6.08070471502867-2.33767946615894e-17i,-0.287512697252317-1.52394735019402e-17i,0.544403001409398-1.25339394365118e-17i,0.0708093176910789+3.10428990848061e-17i,0.30305620832561+3.89591432020493e-17i,-0.07873907115358+3.85355938515248e-17i,0.287414567611184+1.17951548525164e-17i
0.021142287802012-7.96213589758399e-18i,-0.0649770268093207-5.32482882964718e-18i,0.0382919664510199+7.96414414991579e-18i,-0.0333755740917306+2.03402149464288e-18i,-0.0145179379478273+2.44145573903384e-18i,-0.00773641494864245+6.0646259727356e-19i,-0.00655051994886229-2.63692638622251e-18i
-0.0827664010776544+4.73211505127972e-18i,-0.0291183186984496-7.43400161395601e-18i,0.0553969380703849-1.85795261944453e-17i,0.0168908977100261+1.51860517135697e-17i,0.0281162809462753+1.73888762893222e-19i,-0.0101331880318754+4.88945151577649e-18i,-0.00720837097454394+1.26630792874437e-17i
-0.0555667585094688+6.21148715198962e-18i,-0.0821419241819868+2.90004500750929e-18i,0.0711866930361653-3.96964934027041e-18i,0.020858701508599-3.79920644097928e-18i,0.0597290358371088+5.38206819266905e-18i,-0.00136163359300222-5.58062624024154e-18i,0.0290685766205709+1.91578635807245e-18i
0.0797395192756449+1.16157248815626e-17i,0.0420845171911888+1.07154023845535e-17i,-0.128920187648935-1.24311893719454e-17i,0.00456919945781679-9.76859360949812e-19i,-0.267843482022725-1.28591890482594e-17i,-0.00723188428720277-1.28428115171702e-18i,-0.109642574705677-2.05968958960878e-17i
0.029286392817301-1.01893458194162e-17i,0.0120905224512911-2.96195856905028e-18i,-0.00481769226217612+8.59399694881591e-18i,0.0177862215252574-5.01881754482992e-18i,-0.045646766392491-3.53463993174464e-18i,-0.060779685040709-5.94750148680342e-18i,-0.0615642213016948+3.93567851171213e-18i
-0.022134402349385+7.46532756287601e-18i,-0.0549274165977894-1.12472232276233e-17i,0.0438516261151204-9.53727111614303e-18i,0.0325733231485244+4.36425441288712e-18i,-0.0461154576711028-1.00720199065197e-17i,-0.0845298640461243+1.9132886064187e-18i,-0.0509196886571397+4.3909393095148e-18i
0.143289729867332-2.23403854961673e-17i,0.0762448827974506+3.5298093101836e-18i,-0.369457387276442+1.72772233710992e-17i,-0.118468648023741-3.60194243841394e-18i,-0.157927854824939-4.16007438021983e-17i,0.023765102621157-8.2918946937658e-18i,-0.279487409351691+2.04755238992636e-17i
0.00254958379935344-8.06414925435005e-18i,-0.0184994322206503-3.5191354781135e-18i,-0.0315800214076632+1.13011134440885e-17i,-0.0700872541190246+9.26230433578265e-19i,0.0111020248761612-1.18503268529074e-17i,0.0494237210670491+2.65813026929256e-18i,-0.0732040006836241+7.71504420602711e-18i
0.012223208923069-4.57987698803772e-18i,0.0156937761193662+4.94777598810789e-18i,-0.0113603465959064+6.11026055057237e-18i,-0.0689795892403494-2.083848814346e-18i,-0.0233261817849127+7.12556398671092e-21i,0.0599933801255126-2.25790590542361e-18i,0.0352417466008911-3.4502706248035e-18i
-0.132746046274206+1.53395769800651e-17i,-0.104396976588938-4.27457507298061e-18i,0.337877973425238-1.03983897481423e-17i,0.0756834963553865+4.84752606361329e-18i,0.134180518185921+3.50726523411196e-17i,-0.00620389006808367+8.82451913753132e-18i,0.225043722637006-1.85228439639763e-17i
