5.25618714409939-3.85673432218546e-17i,-0.440549065794552-2.3939759466741e-17i,0.789980929655559+4.28649352507182e-17i,0.0624758917046387+3.86575031839382e-17i,0.513387034423033+3.4285527874479e-17i,-0.134362004082911+6.43453786036296e-18i,0.414071182403363+9.29317983924077e-18i
0.0332234469662036-1.06668662572815e-17i,0.0329442212377184-1.00398903322332e-17i,0.0583542131199951+1.8201378783955e-17i,-0.0591312048465578+5.76544474690899e-18i,-0.0131725228480489-8.94196463677328e-18i,-0.00341254601973193-1.37573108077092e-17i,-0.0145635323313593-3.38003212944244e-18i
-0.118016328296508+2.5944391810501e-17i,0.0080205722176786-7.65594166769574e-18i,0.190115746794536-2.10422335169344e-17i,-0.0258305436568064+1.62345714545319e-17i,0.0153607388572213-3.48048996923859e-17i,-0.0426787407002635+2.11240865692211e-18i,-0.0951545545775246+3.60720641966991e-17i
-0.0597685812077517-1.83990771176179e-17i,-0.11266648811079-1.1830042607515e-17i,0.0180706393961967+1.58015339942515e-17i,0.204997273299321-9.23821757169607e-18i,0.117384972076394+2.69450450139145e-18i,-0.000378596052992796-2.45219215422636e-17i,-0.0146796555242627+1.21399872466397e-17i
0.0624990038565552-1.31967234729329e-17i,0.0458857661838888+4.00183895514163e-17i,-0.133932584976112+6.62200251253833e-17i,0.0741139447214739+2.29671284020369e-18i,-0.108678279125207+2.57996548351562e-18i,-0.0436096309945006+2.02630915188004e-17i,-0.102591058610951-7.87099463991148e-17i
0.13375544698876+4.30162805353946e-18i,0.024584477765031-1.48348648027963e-17i,-0.0496017630590195-4.4299925031377e-18i,0.037000779412855-5.52098620651716e-18i,-0.101018245045092-2.09388386686323e-17i,0.169865280429276+2.49591666749109e-18i,-0.0683626949775053-3.71276040150822e-18i
0.0110832228947816+1.26768517975209e-17i,-0.0796551629384266-3.30667833329021e-17i,-0.0375191387245716-1.17786619640043e-17i,0.000194185097827961-1.72857374917158e-17i,-0.0677874165291103-3.24787800983876e-17i,-0.0957196721500447+9.7227129688682e-18i,0.0452599031619798-1.64721225767705e-17i
0.176189207575246+4.47763600640242e-17i,0.0480284532071447-1.39685556260226e-18i,-0.324792631537567-3.61492510237594e-17i,-0.0638503609228746-1.14950246841301e-17i,-0.140326751747236-6.3373543474725e-17i,0.00410295242002685-1.56658839436776e-17i,-0.243734881733027+1.78999731083541e-17i
0.0194194927559529+2.66352532153764e-17i,-0.00673928433450555-8.2859802002182e-18i,-0.0292272996659024-2.40825573525066e-17i,-0.0627397463245404+1.36183438764858e-17i,0.0117422372825067-2.20972485975761e-17i,0.0382768855939541+9.35259965705449e-19i,-0.0719630937687723+1.96650238414407e-17i
0.0162519320496947-8.24385356879898e-18i,0.00441620835785335+1.71409335851137e-17i,-0.0481588998109672+1.29541280227147e-17i,-0.0260065807121382+3.70752021393847e-18i,-5.07477260316624e-05+2.29150365742693e-17i,0.0517121873506617-6.4909268852425e-18i,0.0387315568161123-2.30071779716359e-17i
-0.178051395906998-3.00504605337937e-17i,-0.0922173609949843+1.00213626053954e-17i,0.288647289184069+3.43738506541923e-17i,0.0534452129644577+7.19831278891083e-18i,0.137648868170731+4.82098187067935e-17i,-0.017364589099417+1.45363720240078e-17i,0.203191070793158-1.7608610297812e-17i
-0.0918679572874864-3.95219217281735e-17i,-0.0590983556459669+1.69922174799223e-17i,0.183479011451702+3.69590706873627e-17i,0.0396137607215009-1.61504102287331e-17i,0.0231689055503831+4.22324018443748e-17i,0.0186941346631913-1.07099818740723e-17i,0.156934261253155-2.3908647866874e-17i
-0.141914760399862-1.83360334966425e-17i,-0.150453914859822-1.99974174750515e-17i,0.226739282011833+2.26434820732408e-17i,0.0604600512250547+1.19847804902133e-17i,0.144690424071546+1.40736855143188e-17i,-0.0157070103795259+8.31233267228323e-19i,0.0882467260214178+3.67573512130197e-18i
0.0664130943168157-1.74252306526911e-17i,0.13970498366732+1.65488475172239e-17i,-0.099955160241144+3.57451225707875e-18i,0.0394845683036049+1.0687033131896e-17i,-0.044119662421402+2.62187699363269e-17i,0.0436336228316834+1.71743201356751e-17i,0.0350000020928216-1.45273048107126e-17i
0.11579978206956+1.02972422182362e-17i,0.182807772487711+2.28636602777995e-17i,-0.105093816850877-5.98905595427288e-18i,-0.0598294600408944-9.71375356133231e-18i,-0.12498573957631+2.65809773552004e-18i,0.00270240114488988+1.86839892415959e-17i,-0.0295091209218454-1.29502297532524e-17i
-0.13540243274842-1.25258730589734e-17i,-0.0973884632503841-4.10937080342864e-18i,0.205189486609705+2.46380547432761e-17i,0.0503225330308736-3.67635067945057e-18i,0.0304959879724332+1.06404027646538e-17i,-0.0280841968321391+5.12859651106729e-18i,0.0767230728547277-1.83741181917666e-17i
-0.000465692715230808-5.19204001031515e-18i,-0.0270055309738617-5.4870400955004e-18i,-0.0303717520195703-2.19216744356492e-18i,-0.00538004995526729+1.91951271741701e-18i,0.0455174396574209+6.67483926861834e-18i,-0.0227589216297615-1.5655666588637e-17i,0.0216005861800783+3.34783249005518e-18i
-0.0351860306110256+9.40102541919456e-18i,-0.0200118297362461-4.29896540968567e-18i,0.061133691340404+4.51046795872736e-19i,-0.0483764362063781-1.1516322089985e-17i,-0.00904637721524125-2.21738491883504e-17i,-0.00730959519031775+2.07191507147938e-18i,-0.0158286598467167+5.75526105452714e-18i
-0.0398072354812516+1.03270465548838e-17i,-0.105363217625403-2.10406206022304e-18i,0.0541877855147821-1.61877160832672e-18i,-0.0648253697516488-3.5679546405232e-18i,0.0944318800994963-7.07721087185898e-18i,0.0155265166006069-1.88111154894158e-17i,-0.00161947445856358+1.91766678022499e-17i
-0.0364674260580428+1.49558380298434e-17i,-0.0443071679843989-5.28079946784017e-19i,0.00113946936295248-2.99720783955343e-17i,-0.0425776337535067+7.25187515441941e-18i,0.0347709510810665+2.42433465982219e-18i,0.0106907475882167-1.76636442866443e-17i,-0.0145927155457163+2.82259662312943e-17i
0.0415410028187536-9.4111664295946e-18i,-0.00302824236332784-1.2105856706297e-18i,-0.0876934720805389+1.49722825687205e-18i,0.0303085832209363+3.89031193157589e-18i,-0.0275902769386612+2.72636213303915e-18i,0.0121659115242921+6.9076274266481e-19i,-0.0249573683067845-3.65392015958397e-18i
