5.02375141045771-2.30084690292276e-17i,-0.366015770476561+4.13946679477011e-17i,0.743428836847767+9.30280620184231e-17i,0.0100803414288607+3.80995072764406e-17i,0.475981380011721+1.39564488749729e-17i,0.0165133820868877-5.6057847193352e-18i,0.457608066266704-1.145196929016e-17i
0.0762115606936238+7.57467844473079e-18i,0.262502150167084+5.02054935095111e-18i,0.0681983786706697+2.74608545258769e-17i,0.0201158601275391+3.51233820559379e-17i,0.0211242771623992-8.75882917073154e-17i,-0.0322862752499534-3.40092799845468e-17i,-0.00552729924509203+5.97203562889809e-17i
0.00888588059459451+2.75323079858582e-19i,0.0588139432720893+1.025019678072e-17i,0.204301984288793+1.60871071846319e-17i,-0.0335948189023012+1.10438569419101e-17i,-0.0903464306666461-3.32799050023521e-17i,-0.044975096156922-1.88414926591467e-17i,-0.142142038312068+3.51912742828846e-17i
0.0551885319302583+3.06835553639625e-17i,-0.0244954002868545-1.23042258136276e-17i,-0.00301119625948576-1.80665334910217e-17i,0.369087380353406+4.246674420581e-18i,0.0389026062332816-2.87211483662582e-17i,-0.0257472839398504-1.62095186735861e-17i,-0.0510126192579367+1.70614858476797e-17i
-0.0547147534692046-1.04527503808733e-16i,0.119554873655824+3.08462703894489e-17i,-0.191047948701344+1.51654179188101e-16i,0.0799716640820863-1.72944495380381e-17i,0.352149791126375+8.91338302495791e-18i,-0.0762429918688161+6.51208385343822e-17i,-0.10676230309196+8.22003200554685e-18i
0.0417122563171551-3.20452048626603e-17i,-0.0270376222192273-5.62188542887863e-17i,-0.0715856784515379-2.61498784429538e-18i,-0.00389370618686293-1.34407214226816e-18i,-0.056653704312098-7.38579374942999e-17i,0.399380035704017-1.92343471819967e-18i,-0.0129818627406675+3.7075725139085e-17i
0.0612932394413426+5.97110669993046e-17i,-0.0422695076921283-1.01693311251655e-16i,-0.152740240659874-1.38138599055748e-17i,-0.0314512468982292-2.24956544998255e-17i,-0.0937722132309945-1.49211895626914e-16i,-0.0154696243811933-4.43621859256848e-17i,0.176121039280229-5.4973602462123e-17i
0.0658994474769831+6.20666692918044e-17i,0.0609888588551728-8.86739238095766e-17i,-0.201994481219657-8.74763945153946e-17i,0.0410944535700303+9.57787911309997e-18i,-0.110257995978939-1.5324592744358e-16i,-0.0942637990044285-7.99405139379503e-17i,-0.198434397534884+8.87112786680111e-17i
0.022667647870075+3.34108178741611e-17i,0.0122488597737993-2.70311057212911e-17i,-0.0333564702313317-3.83379788833759e-17i,-0.00856113406638562+3.28043558030805e-17i,0.0132804188427623-8.95334956673036e-17i,-0.0639590230969602-2.38284660763322e-17i,-0.0510168791582081+5.76482805713911e-17i
-0.0240824019306186-1.6086280079112e-17i,0.00642533898230896+3.57352455377957e-17i,-0.0435854978810368+1.18364986041268e-17i,0.0705097188483546+7.38121309772229e-18i,0.099256662808088+5.13751589919067e-17i,-0.0460068500371421+5.48019435108046e-18i,-0.00279060419882776-2.06777905869163e-18i
-0.0424269160183469-3.68796891270203e-17i,-0.062577851556146+8.11627224263806e-17i,0.155792200536165+7.62597463204132e-17i,0.00978242567676392+3.96922821502563e-18i,0.124960397871727+1.04642103974728e-16i,0.0179126027742236+5.00438398759968e-17i,0.16586181795592-7.36769000692382e-17i
-0.0414156055493617-6.61724225624785e-17i,-0.0357652907531533+8.3016845406687e-17i,0.134531156002829+7.80164780963676e-17i,0.0130285569169059-1.13478161641105e-17i,0.0550348326712457+1.4404675895577e-16i,0.0948829550154021+3.94327591080299e-17i,0.0893442154188489-6.71781887917563e-17i
0.0575043651986284+3.42215681794152e-17i,-0.0175563168777659+5.92186735212358e-18i,0.129805208908165+2.13571847048575e-17i,0.102988471166293+4.50657061615515e-17i,0.00566331851424566-5.84478476947131e-17i,0.03075778486153-1.14629620702487e-17i,0.0825865002386557-1.71164284128026e-17i
-0.105034818193957-5.86753317344245e-17i,0.00474465167145285+6.02629504740056e-17i,-0.00645544948394891+2.25713075456463e-17i,-0.0205272974046366-5.97297942446647e-18i,0.0457353645595156+1.49062320005215e-16i,0.0303682630664436+6.45512644885663e-17i,-0.0158518876585521-2.92344888814023e-17i
-0.0493217662490645-3.18680311810192e-17i,0.0639501287999958+2.77790988713769e-17i,-0.0420819003125031+3.86079855549003e-18i,-0.122114556111351-4.44685140382623e-17i,-0.0340554125252385+8.62615377798066e-17i,0.0283586143318911+3.59756232958295e-17i,-0.0163781301925289-1.33032172108834e-17i
-0.0151338335817734-1.56035218939482e-17i,-0.0125776988496402+3.12963445449535e-17i,0.0949613998274625+8.6381979759986e-17i,0.0481672647132735+2.01991765296947e-18i,0.0659333692286669+8.63553187662324e-18i,-0.0583339281793002+1.53108947384577e-17i,0.0764233548005271-6.65344887998258e-17i
0.0569230807154765+2.751226497939e-17i,0.0682327285571152-1.94775700293514e-18i,0.0271278293349323-4.00306608263298e-17i,0.0494981078637958+1.26787165732758e-17i,-0.0578766457681835-7.92927788060601e-18i,-0.0445417973964015-2.49390829444366e-17i,-0.0111546609380562+2.69845530179515e-17i
