4.86200075908896-8.63545877099375e-17i,-0.101296660935466+1.57717407394627e-16i,0.88448827738682+1.99324447004237e-16i,-0.061464944775928-5.77259027791916e-17i,0.27038063651853+1.74612434635635e-16i,0.221820965481555+7.56514921910119e-18i,0.345419365726606-1.3159330943842e-16i
-0.0521343780339326-1.03866821241692e-17i,0.321748687343318+2.75581755272651e-18i,0.0575482928279412+2.34010890079346e-17i,0.0836297058184528+2.24099142329944e-17i,0.0749210066352837+3.95075459263295e-18i,0.00149883322814661+5.49308202568558e-18i,0.0927932991055052+5.74653971834353e-17i
0.0160671368351693-4.79815748051208e-18i,0.0314923447940812-2.2497242445782e-17i,0.111437561203827+1.58280463466479e-17i,-0.0287595115232691-3.83942099154362e-17i,-0.0854644474237122-5.58227793067376e-17i,-0.0211845454718415-2.46140385251549e-17i,-0.0560851675305592+1.9271853109234e-17i
-0.0152369125515444+2.01682056408104e-17i,0.0425491913741537+2.23622538072818e-17i,0.0353513992889463+1.49634377566714e-17i,0.295186441323752+2.34623738708353e-17i,-0.0241383611426461+6.27314523095759e-18i,-0.00553843435424493+1.58448229107958e-17i,0.0480388534921465-3.96836074098298e-17i
-0.00993403015551747-2.39355891693096e-17i,0.128627141232898-1.93289002579452e-16i,-0.231998262782022-1.13193927932027e-17i,-0.015672103991511-4.90512955470748e-17i,0.505380854644091-7.48284668946011e-17i,-0.0272439951482864-1.42884412253175e-17i,-0.152725626894686+2.12474309102858e-16i
-0.0688472005466507-6.50489195376625e-18i,0.0174127152698802-4.69580352687555e-17i,-0.0848624840879237-3.14544411729654e-17i,-0.0230565544191198+1.10658764260125e-17i,0.0323724756027739-2.5199925915978e-17i,0.342982058312834-6.15095487795832e-18i,0.0621619129966783+4.87391433547241e-17i
-0.0623813988263388+2.45135901597605e-17i,0.104560936152826-4.42963906088994e-17i,-0.142283056058914-4.28070088575455e-17i,-0.0151003558235615+1.41829461192221e-17i,0.0278722036646997-8.41891530540625e-17i,0.100926561571893-5.14900526582436e-17i,0.240295292689139+3.58317923312384e-17i
-0.095036342438782+4.34660704533396e-17i,0.19022013769332-1.3382459493289e-16i,-0.129736814623392-1.1893109419281e-16i,0.166390422538628+2.56132290441224e-17i,-0.111617730694545-2.19179829796151e-16i,-0.0917965094657616-6.66901156822602e-17i,-0.0365012414879797+1.50073650896305e-16i
-0.00558970889595022+6.86712999452766e-18i,0.0819244202289509-4.55987886161884e-19i,-0.0238577189543922-2.35689995969404e-17i,0.104708038383373+3.74056133435828e-17i,-0.0502595854405368-6.56319510091537e-17i,-0.125455860149818-2.46881120765913e-17i,0.0357656808684781+3.57310834131044e-17i
0.015089070858868+5.52737710935052e-20i,-0.00708291110339967+1.88053776431249e-17i,-0.007813246821879+9.87937507394392e-18i,0.121911241565054+5.80047220493277e-18i,0.0718606073987394+4.02393643604688e-17i,-0.104061341953644+1.08439011970511e-17i,-0.0574131249912999-2.150071893003e-18i
0.0864264335007087-3.23818533182547e-17i,-0.10108489057918+1.06627972033508e-16i,0.0987626483018562+1.05913092907558e-16i,-0.0608601813957339-7.65208613439542e-18i,0.113085245059867+1.68265633780957e-16i,0.0221463158752382+3.90963238948962e-17i,0.0661113790489867-1.21512015749503e-16i
