4.86524098458362-1.57536520068969e-16i,0.0468320350947557+1.64662385468047e-16i,0.882859456101952+2.51674537225839e-16i,-0.100411229823622-4.50930031770619e-17i,0.119103358212844+1.92064751230833e-16i,0.235237550543239+1.4726855305235e-17i,0.269491656358004-1.1438276505126e-16i
-0.0644891490760766-1.43147059417142e-17i,0.260276648344295-2.93341441489724e-18i,0.0427430180470389+4.00529858799952e-17i,0.0646728712419774+1.1712609954292e-17i,0.0800756448295813+5.71307151639793e-17i,0.0228575525218486+2.20904714033365e-17i,0.103448029187574+3.25554417770073e-17i
-0.0187173282841326-7.65454164213903e-18i,0.0209696223488592-2.73214021342437e-17i,0.0747100762913866+1.26606038153039e-17i,-0.0116565148080565-3.55799176820275e-17i,-0.0558117561317552-3.55302247742039e-17i,-0.0027713662164785-2.35835171380389e-17i,0.00312462737987822+1.14768718188793e-17i
-0.037809635001052-9.18312142753252e-18i,0.0462472857697734+3.1627959500057e-17i,0.0545483983376159+3.51257616225262e-17i,0.202352077762559+2.07598912054236e-17i,-0.0248487786060052+5.11751709607748e-17i,0.00549098917226055+3.33794884261902e-17i,0.0788575720505629-4.73298979888797e-17i
-0.0476600208175842+5.24360140663443e-17i,0.0980834481366497-2.27547652888275e-16i,-0.209314535254059-7.95939220320686e-17i,-0.0305705251572954-3.47238968720569e-17i,0.444954792972433-1.09709705904596e-16i,0.0129572909371575-4.85376735613017e-17i,-0.109285455658457+2.24899702982212e-16i
-0.0841554068923728+1.51997656546072e-17i,0.0353774297680871-2.20105188631536e-17i,-0.0780909755941161-3.08687601149528e-17i,-0.0314548816797287+1.6612858490955e-17i,0.0643059873819962+3.32356262696132e-18i,0.264430392943025-3.59428189159255e-18i,0.0712966370214114+3.22716276240532e-17i
-0.106090067102873+1.55300700058196e-17i,0.131272411615012+1.15520777281447e-17i,-0.111473034975087-4.46094985221563e-17i,-0.0159794590044763+5.23204228003641e-18i,0.0853925524391187-1.7021869801377e-17i,0.133951071102438-2.58108708762821e-17i,0.233941490113844+4.8077684586455e-17i
-0.234136835178081+5.43363357452047e-17i,0.210487030250643-1.14908634792557e-16i,-0.0939580146286338-1.3206190744077e-16i,0.216437532933305+3.32093972265055e-18i,-0.0860437683591377-1.76224981700856e-16i,-0.0467041740442413-5.67212457908325e-17i,0.0929571491203386+1.19270298377495e-16i
-0.0366890877946865-2.33225994458566e-17i,0.0901653222850336-1.5415365477937e-18i,-0.0121681394658942-1.24458344381956e-17i,0.128115040368225+2.04464012200764e-17i,-0.0612994881576839-1.65041905410056e-17i,-0.109072629378519-5.55247959065841e-18i,0.0730960715940629+1.92894081268622e-17i
0.028461435749574-5.72100569071975e-18i,-0.0214404577028533-1.50831882261584e-18i,0.00847570402010401+1.9926572492078e-17i,0.114224164591934+2.16895482104388e-18i,0.0345137161806262+1.34543538140511e-17i,-0.102993361488613+1.23731388266428e-17i,-0.0639972792199795-2.18570531225143e-18i
0.20117629757193-5.38966799846089e-17i,-0.110710651318029+9.26470771477679e-17i,0.0623923725380787+1.22306801090333e-16i,-0.113831238929858+8.20014314272013e-18i,0.0888791047047866+1.47093180545697e-16i,0.00224881003046299+3.86998223823203e-17i,-0.0299148782377247-9.60107998174323e-17i
0.132179527454631-5.83557302455672e-18i,-0.0912054264879245+3.49022945253162e-17i,0.0565317705298313+8.33532294413852e-17i,-0.105905701075228-1.95193209390339e-18i,0.140330554823475+1.13198701916918e-16i,0.0431571214474862+4.31160428552921e-17i,-0.103294947459399-6.12492951320038e-17i
0.0486361287526049-4.75568312672826e-17i,0.0996204220358541+1.03696049774963e-16i,0.0902250546866612+8.80390926632888e-17i,0.0177744811751641+2.56020380528305e-17i,-0.0239430786928179+1.17763687178083e-16i,0.0476528248587192+4.67593235787169e-17i,0.156689438065764-8.00245483355694e-17i
0.0578101777686823+3.67306079791339e-18i,-0.236451583963382-2.46616924389698e-17i,-0.00188044249069636+5.42020564786075e-18i,-0.122223901502743-2.46901608687428e-17i,0.0206623243335675-6.5760339396167e-18i,-0.0617272947585538+7.7733900518659e-19i,-0.227979418117603-1.33306175929542e-17i
