4.77937731439059-4.82889315833379e-16i,0.56925282782823-1.81502882316335e-16i,0.340194647716998+1.36989889840051e-17i,0.186351096351596-1.04445685370076e-16i,-0.304240098031172-1.25375673857636e-16i,0.264453972193842-4.39286976272146e-17i,0.149203885760741+3.15519853011394e-16i
-0.0273764981464971-2.84326077765203e-17i,0.220153148788449-1.11177742502876e-16i,-0.0188325193322507+1.20621397481434e-16i,0.0572191218199041-6.99895096719181e-17i,0.0452088264452953+9.2630379201229e-17i,0.0267998446079623+1.816335351918e-17i,0.0633216909430759+6.63065126017686e-17i
-0.0242250665893269+4.22461402879999e-17i,-0.0719617753933317-1.41476540148729e-18i,0.156096262034236+1.52142576813474e-16i,-0.065865122780646-4.810210532445e-17i,0.0380029960917079+8.30691029538115e-17i,0.00290418791203175-5.2717465208239e-18i,0.0526655118793911-7.44175880805389e-17i
-0.00736720536932049-5.80896210793157e-18i,0.0187554474179119-2.81818625325741e-17i,0.082316789666146+1.7522597834446e-16i,0.0855122279151278-4.43647742562933e-17i,-0.00125446041545364+1.40004719651485e-16i,0.000717491728412314+4.02822393458619e-17i,0.066876668478096-5.29587946982743e-17i
-0.100987353192978+2.36777383223115e-16i,-0.157330010764933+1.11760597577388e-16i,0.126454456875513-1.27886125515846e-16i,-0.162199830247868+1.23212934938785e-16i,0.529275100716268-5.2095715998863e-17i,0.0178260041833836-9.32011353042934e-18i,0.0057018686392811-4.99313135366521e-17i
-0.0764331116232875+5.05575591928734e-17i,-0.00732291873402634+6.52381329875336e-17i,-0.00968249708581696-4.52514704859165e-17i,-0.0619625454903346+5.59460481088015e-17i,0.102440285812734+1.53122012678102e-17i,0.185821927565347+7.07607512685359e-18i,0.0722769139068904-2.5149290694023e-17i
-0.0914139437355388+7.39184342036761e-17i,0.0129984622387423+1.81027901360811e-16i,0.0497247394838371-3.06144684757297e-17i,-0.0958010703677468+6.22320155746943e-17i,0.188531327465902+6.93751327861731e-17i,0.123382135045032+1.19348878238752e-17i,0.216270639617092-5.52817387824329e-17i
-0.301720877994866+2.69128589461191e-16i,-0.163776381199178+3.23096339004298e-16i,0.386728045440629-5.15962683493419e-17i,-0.00727206141805577+1.57049713629865e-16i,0.219334164981509+4.70830724727093e-17i,-0.0419272501519886+4.06931023231422e-17i,0.255962829757413-2.72856787160423e-16i
-0.0407037177291751-2.05238927784788e-17i,0.0545728127967551-3.02997694548235e-17i,0.0263844344874413+7.49603606725535e-17i,0.107813299566331-4.19384737450375e-17i,-0.0375979673662352+7.46391583636119e-17i,-0.0909427821402217+7.40975548665293e-19i,0.0895136093917929+1.77154461579184e-18i
0.0340023428630345-9.71954429323888e-18i,-0.0133571118759225-5.76468372392387e-17i,0.000481014170577448+4.08785633362464e-17i,0.105653503827189-2.34322118990441e-17i,-0.00316798836775875+5.36556634441594e-18i,-0.0916731521127438+3.77483129705573e-18i,-0.0646459593902909+1.60858379847362e-17i
0.261559682987192-2.73576957102595e-16i,0.243498333952114-3.35400673084513e-16i,-0.405914468184269+5.59510779045254e-17i,0.085394078392123-1.63027651104394e-16i,-0.200439288062122-3.70229215970789e-17i,0.0165242879463781-4.13369086521639e-17i,-0.175953835716234+2.80404719797122e-16i
0.174540092834423-1.23429584029763e-16i,0.111421976013324-2.02532206783762e-16i,-0.229158304689129+1.97334795902327e-17i,0.00884057939914581-6.94266252006774e-17i,-0.0377909363728036-4.60786032916148e-17i,0.03550841506854-1.30621196144055e-17i,-0.191594363137381+1.54535296965581e-16i
0.111244553620994-2.02541541471017e-16i,0.295419175085297-2.21556023760272e-16i,-0.209224285532129+1.73207614087198e-16i,0.0851443731622654-1.58622242505347e-16i,-0.170332994803525+9.29480226724229e-17i,0.0497680529787581-1.50050418915357e-18i,0.0443718095413509+1.63828589831479e-16i
0.0383997043802185+2.45977549005386e-17i,-0.22362739370685-2.6679262258721e-17i,0.00862766488852671-2.91075671134608e-17i,-0.093660650473761+1.1238379724353e-17i,0.00386637878153256-6.66189785563535e-17i,-0.068597343285492-1.95342183352406e-17i,-0.205434923731815-1.70497969320654e-17i
-0.0352998740253999+1.08867727874015e-16i,-0.240436823474511+1.18638649316267e-16i,0.0579541931729482-1.57195647037237e-16i,-0.0983335565429445+1.08605587417176e-16i,0.0960485122412011-1.06856651893921e-16i,0.0123432718171738-7.17621101885344e-18i,-0.104765070827208-8.18211900266947e-17i
0.10846467520348-7.83952701985058e-17i,0.115696142478777-1.20485975496524e-16i,-0.14696047389397+5.87540731880343e-17i,-0.0182562965193833-6.92962019619691e-17i,0.0678594403582134+3.89425057430592e-17i,0.00748286719025974-1.61717427263286e-17i,-0.0259153191201713+1.23288103902461e-16i
-0.0206652620138307+1.35952442187083e-18i,0.0534740017280409+9.4897347408112e-18i,0.0850708623335123+4.95265406214225e-17i,0.0432104293955426-2.02268494013224e-17i,-0.0747945112929531+4.26895653823388e-17i,-0.00115769034104032+2.17050813165317e-17i,0.00871659852354643-2.5029209195955e-17i
0.000669541249007863-5.10796990764931e-19i,0.0195111726038244-3.33406846803168e-17i,-0.0024163415880174+4.11941420483119e-17i,0.0602224255718212-7.44761834537194e-18i,0.0244185249642694+1.88313221115107e-17i,0.0541096662331664-5.85132459898734e-18i,0.0158913229819696+5.09611464496775e-18i
0.00961067421663916-9.99104805031576e-17i,0.247510892151026-8.24587908773147e-17i,-0.0450861659997817+7.67065423850652e-17i,0.180278273777921-7.07196994039096e-17i,-0.171960444663776+5.05904771032079e-17i,-0.0290525297423515+2.01542873783282e-17i,0.110554603600006+4.36126687173384e-17i
-0.0147989324017236-9.72609860712356e-18i,0.0233773450994221+1.8642662212415e-18i,0.0632522661604549+5.96667066307887e-17i,0.0880801311327469-1.99067523878267e-17i,-0.0895416320374954+3.93632709325134e-17i,-0.0470687176492869+2.1501893394196e-17i,0.0376364283164195-3.92081226926517e-17i
-0.0551976259421628+5.80714403596798e-17i,-0.0540476234843709+1.07833599620818e-16i,0.0882140992105503-5.78266821233156e-17i,-0.053538012244163+4.8036399972836e-17i,0.0271424681898253-1.26514602668246e-17i,-0.038758722961198+9.22774144152968e-18i,0.0359201816872295-6.12622809755126e-17i
0.00627147482005492+5.84649411808458e-17i,-0.00371811934107372+8.45974648135357e-18i,0.0146012458771063-4.50243479346784e-17i,-0.0711842975724063+4.46456583881807e-17i,0.162110833017869-4.40773849033166e-17i,0.0121870104930876+6.41364314988075e-18i,-0.124842981928169+2.15462507893723e-17i
-0.118249959883554+1.18053125952468e-16i,-0.101384008602991+1.67627196873188e-16i,0.201776289983935-1.47232803487323e-17i,-0.0591684109617281+6.57939005388306e-17i,0.0716902534086033+3.01087487876009e-17i,-0.0146196844411945+1.47725703265659e-17i,0.109583071602608-1.42146393161583e-16i
0.0704116755198388-6.82579338191319e-17i,-0.0630294476344534-8.61264506112721e-17i,-0.123889147427538-5.90845508292231e-18i,0.0269863428319224-2.37060184617124e-17i,-0.0739077629317875-1.87439214756015e-17i,0.0316227636677219-1.34900298759194e-17i,-0.0795891300651599+4.98110241307557e-17i
-0.0045386718983498+3.23483056195276e-17i,-0.0671397276618779+5.17523975942507e-17i,0.0593540848281893-1.66272266528803e-17i,-0.0612954840204139+1.93500215156702e-17i,0.0209003099520106-8.46349101975892e-18i,-0.019467421371134-3.30362325105471e-18i,0.00188435694209047-4.30336121993707e-17i
-0.00771137263747598-2.17216317260145e-17i,0.0709435750796181-3.12501930490285e-17i,-0.00127065567477127+5.16768997947098e-17i,-0.0146840293609052-4.12648892199487e-17i,0.0296875646511947+4.18714520324232e-17i,-0.0753090102414038-1.76533400309683e-17i,0.0516303040708455+3.55737166909469e-17i
