4.59551947939743-8.55702011238507e-16i,1.05450786538293-6.41898079175842e-16i,-0.378926625418371-1.14914548621028e-16i,0.37602040232012-2.58064056628114e-16i,-0.726933569342235-3.35723527749298e-16i,0.29524231918583-1.09043867821652e-16i,-0.087367467862945+7.08362135725159e-16i
-0.010782767909312-3.5190072955157e-17i,0.182053811081072-7.68522851433611e-17i,-0.0617761992987027+2.5906842442225e-17i,0.0505103607881457-4.62739304498708e-17i,0.0179657794037706+3.48260884567831e-17i,0.026918900527109+2.02038861357886e-17i,0.0241703084767185+5.61669740188342e-17i
-0.0169482724019116-1.70873353839942e-17i,-0.0120745997747771+1.82063555662741e-17i,0.0477057884670092+4.05991782994401e-17i,-0.019179918906054-3.13784030181424e-17i,0.009149807916824+9.90609425849871e-18i,0.0166222573680463-1.25166106368497e-18i,0.0519822696414837-2.48682343728773e-17i
-0.0105462008237184-8.11188375228659e-17i,0.130774455995761-6.21079615196924e-17i,-0.0772248288804135+2.96232836632719e-17i,0.0760413642265997-4.1475248902984e-17i,-0.0808461616243638+1.83604449493818e-17i,0.0145732894691451+2.35014447245551e-17i,0.0155150171999305+3.29018236374331e-17i
-0.0441973565338981+3.12008308347981e-16i,-0.344016851627475+2.62592921688252e-16i,0.410234619227699-1.89020875724818e-18i,-0.203050080330108+1.34678789576768e-16i,0.571015446636895+6.49024061946927e-17i,-0.00549929904637347+2.48862415602543e-17i,0.115984149478697-1.67249842094855e-16i
-0.0394466382630029+8.70842617134955e-17i,-0.0866762307957214+1.28490235990819e-16i,0.108259094959322+7.70963823195664e-18i,-0.0893006635748542+6.72036011925018e-17i,0.14864762818704+5.70834894974028e-17i,0.114140007103967+2.16710010977433e-17i,0.0868097394480001-7.89928798799692e-17i
-0.0411099208501007+6.26724311146826e-17i,-0.0307310284558211+2.20755858959012e-16i,0.104833722059103-4.17934469991737e-17i,-0.0917662636147088+5.75955166558532e-17i,0.202401579125614+7.48838483119744e-17i,0.104661311705038+3.21978512608071e-17i,0.183854833748481-6.87729148365227e-17i
-0.185841415676652+4.2230903256012e-16i,-0.509869839430121+5.36972917501442e-16i,0.865040697070163+2.2732961031287e-16i,-0.143969582761258+1.5535458622973e-16i,0.496475256602943+2.91001736626305e-16i,-0.0686784866773281+1.0934036262399e-16i,0.421700504348207-4.81173404751755e-16i
-0.0204567319282513+2.37936207113408e-17i,-0.0303021750298896+6.5518873796322e-17i,0.124565998780676+6.12529550487624e-17i,0.0615355249515462-1.81557258648874e-17i,0.0309115952382485+1.02377335878749e-16i,-0.0802042264020229+1.85334489087788e-17i,0.116852609829328-7.30317177431645e-17i
0.0231811170598655-8.20410661635377e-18i,-0.00125491617175127-5.85284215057342e-17i,-0.0077104073069131+1.03175816718018e-17i,0.0895403164724477-1.29512537040506e-17i,-0.0232587831141558-2.17274965296113e-17i,-0.075388723488996-3.4730279359115e-18i,-0.0583263954750553+1.85550493364157e-17i
0.161657019280947-3.84291451766369e-16i,0.503989586789922-4.7175945614713e-16i,-0.775161495452245-1.97813298965202e-16i,0.165310948396399-1.4470131719479e-16i,-0.417370824180144-2.36091418410541e-16i,0.0458398964983673-8.7100884188388e-17i,-0.318681358166972+4.26757724140643e-16i
0.105827931031836-2.28286277541814e-16i,0.327066425040702-3.38916386951841e-16i,-0.536642724213984-1.56723406984509e-16i,0.0943041287266809-6.43000714906155e-17i,-0.227921426403291-2.09222527144314e-16i,0.0487011859328514-5.93028373759708e-17i,-0.291038018962606+3.0099082101523e-16i
0.0631880966242356-3.0410746846704e-16i,0.474719811643516-3.0822245440815e-16i,-0.511599161165013-6.44960009046713e-17i,0.121155788277021-1.57721121111262e-16i,-0.314616824979264-7.39034921788916e-17i,0.0664378360181852-3.13211407193877e-17i,-0.0878640230619954+2.78291890335927e-16i
0.0112962484112266+1.16644445239688e-17i,-0.159441302642496-1.3006680802265e-17i,-0.0248271475075215-8.48141963326229e-17i,-0.048729238342055+4.16822377350233e-17i,-0.0303155992038629-1.27810232019999e-16i,-0.0605994387658149-4.08495003015123e-17i,-0.175300029501757+3.43457654377456e-18i
-0.0192241673421597+1.58668279327763e-16i,-0.308102867152514+1.31278078890609e-16i,0.198303894428022-1.49238203829284e-17i,-0.0887922572813999+1.05902189861908e-16i,0.154222842104522-1.8055838317643e-17i,-0.00529149707973754-4.95320083802896e-18i,-0.0361501083954757-1.24733958728164e-16i
0.0716048080516818-1.68919016564532e-16i,0.270150879525262-2.12490057691056e-16i,-0.380492708357799-9.65070761297555e-17i,0.0456161755685669-7.7829830253734e-17i,-0.0839188274561739-8.16464038893774e-17i,0.0323201925464299-3.85675317040958e-17i,-0.114859605487621+2.30761050188078e-16i
-0.0184505780824994-8.39030694656955e-18i,0.0558754834196636-1.33753929245672e-17i,0.0491318291569571+4.88611670191245e-17i,0.0345156840717007-2.43593592705068e-17i,-0.0690461381755937+2.14592067183811e-17i,0.00415281853204995+1.90751783987723e-17i,-0.00506206370598027-6.3083412199026e-18i
0.00631384635521169+2.46083301038107e-18i,0.0113907410140062-4.63384799509742e-18i,0.00300215286815896+1.50273941630861e-17i,0.0541748543309226+1.13026775778952e-18i,0.0275812949909695+1.52643717139128e-17i,0.0441375048819967+2.26485094743957e-18i,0.0228977116486354-1.1624225504154e-17i
0.00934317551781651-8.04059346226117e-17i,0.211836132942719-8.74762770782458e-17i,-0.0513013647369667+7.36002326542829e-17i,0.13223450080811-7.50943307033024e-17i,-0.143912179502135+7.43183498442926e-17i,-0.0191743367523764+2.83950614207451e-17i,0.0823635624113622+2.42272511816773e-17i
