4.55885655635724-8.53527356360284e-16i,0.729623924525006-3.0872101937102e-16i,-0.228920026598185+8.01200804186384e-17i,0.129024107800289-1.34351520923497e-16i,-0.56142904230332-1.6675106159428e-16i,0.0797823283327277-3.04483520606e-18i,-0.129354414102294+2.05334788495582e-16i
0.0154678942795135-1.6654812071984e-17i,0.07552244924451-6.30997492533264e-18i,-0.0398800042488472-3.09352411287632e-17i,0.0259127914629457-1.36632926776581e-17i,0.019003943391746+1.97937309651529e-17i,0.0143978807747262+2.88583570736541e-17i,0.000726712747787421+1.76149031755635e-17i
0.0285001303286512-2.21300271928664e-17i,-0.0217721309709432+2.51565448429569e-17i,-0.0503976779481285-4.23501747837509e-17i,0.0246283113020445-1.67516870339736e-17i,0.0237966280019863+2.72629924724312e-17i,0.0285652805098746+3.12255284192296e-18i,0.0876004640040948-1.01811817625613e-17i
-0.0165634319479276-4.07997062057519e-17i,0.118608348314404-1.26949326895587e-17i,-0.0506254895621702-1.76768435270463e-17i,-0.0570098324114646-6.80005805805985e-18i,-0.0807063883874662-1.79076769438756e-17i,0.00381157500056117+2.71720684661144e-17i,-0.000674062430486285+5.36807849770965e-18i
-0.0397532317339755+7.67252012224487e-17i,-0.130738900495578+4.0281718472646e-17i,0.135750807590347-9.81909963094388e-17i,-0.0486380696387483+1.68603657577008e-17i,0.249542478431951+9.89325514757621e-18i,0.0521163504269011-4.02430775737546e-17i,0.0770665666782591+1.1482692891456e-16i
-0.00165053528421638+8.0868488972453e-18i,-0.0334856524999269+7.71730236495352e-17i,0.050370068029733+1.2499310480477e-17i,-0.0501538628111994+1.89191835191579e-17i,0.0912283226107001+2.8269982161892e-17i,-0.00789248180819172+1.36181108362715e-17i,0.050137408477203-3.23793058121766e-17i
0.00222477871071792+2.03695137592211e-17i,0.0344143684332968+5.61381176992884e-17i,0.0329940429520676+2.48525820771123e-17i,-0.0160628778570752+8.2044328014809e-18i,0.110150737838014+7.95296541399438e-17i,0.0998506003872853+6.58321422702036e-18i,0.0507516386042577+5.6814641285895e-17i
-0.135871679309732+6.28643810472878e-17i,-0.16182413647622+1.52879028127627e-16i,0.299491391791641+5.85074654884176e-17i,0.0720586341098454-7.37053487962423e-17i,0.239373776969717+1.42498544825134e-16i,0.0428362932016214+4.58308087825329e-17i,0.322542034774899-3.98769130057401e-17i
-0.0232838736290917-2.46298278681977e-18i,0.00289590218169288+4.89813687981205e-17i,0.0383513701905475-2.34354262742703e-17i,0.0666427331997675-2.49701808281515e-17i,0.0160105849431459+5.69279848808383e-17i,-0.0320479700088384+8.46525923178331e-18i,0.0935470256781882-4.26081153113294e-17i
-0.0173649447403253+6.51360176914537e-18i,0.0109242941192363-3.3394171504236e-17i,0.0111132265114849-3.80812132612351e-17i,0.0347090101371776+9.23605120570122e-18i,-0.0358040227028027-3.88706857679754e-17i,-0.0418391596053791-8.48504855582521e-19i,-0.0408063636899048+1.4685697164234e-17i
0.10804881246555-5.68805573469477e-17i,0.187722606446907-1.35889169432103e-16i,-0.264468899563787-4.24698712511658e-17i,-0.0627622560650949+4.98499208189957e-17i,-0.200344607335524-9.60758412139279e-17i,-0.0399918680578528-3.7198178238803e-17i,-0.253012980262515+4.56480888125528e-17i
0.0813165152945804-3.62639980671367e-17i,0.106776287044605-1.13787061204583e-16i,-0.192153090311731-5.103438956868e-17i,-0.0407153971432272+5.64041409503157e-17i,-0.0925735612127545-1.08860739601264e-16i,-0.034882474779749-1.40779781026074e-18i,-0.215783835525691+6.32117498861892e-17i
0.0615653190284594-7.13377658411088e-17i,0.225618030844251-4.86440453405826e-17i,-0.194894996315574-3.07556603377217e-17i,-0.0751156712258448-1.18078299262528e-17i,-0.147566328222473-1.62024269751143e-17i,-0.0108115062623223+6.21492405856418e-18i,-0.0882210593657132+1.94414718126254e-17i
-0.0138583749118131+2.78021044415643e-17i,-0.123679017272994-2.96549928123272e-17i,-0.0012262735907354-3.6868089677084e-17i,-0.0145513501648897+3.58317958831096e-17i,-0.0208286014572119-8.2889810720422e-17i,-0.0471572450753347-4.98818716357584e-17i,-0.0837382897928328+3.86021137501878e-18i
-0.0183511781402318+4.74141800493322e-17i,-0.185077712408001+1.60609159086803e-18i,0.0747470729217937+1.61254819569888e-17i,0.035443376223582+3.21776416225161e-17i,0.0795366500507492-1.92697692926069e-17i,0.0129553016112429-2.47458979589254e-17i,-0.00487113888216983-1.33004682583631e-18i
0.0661001077008228-3.59575088134041e-17i,0.119778898950406-5.8237831121687e-17i,-0.165523257024959-7.69281095765122e-17i,-0.0394367445897111+2.91922469919725e-17i,-0.0277484432909196-3.30026328360695e-17i,0.00718772886213961-8.80231150730847e-18i,-0.107225947971461+7.18783784255591e-17i
-0.0140262062645256-1.23560881935621e-17i,0.0384522520379793-1.0151354265412e-17i,0.0191936061089201+4.02471391867383e-17i,0.0164243992750676-1.27234107258436e-17i,-0.0434805880451994-7.10775709569946e-18i,0.01307679833934+3.07584092594573e-17i,-0.00934783080167151-1.68712128161262e-17i
0.0137393232065834-8.197319623443e-18i,0.00672349236606534+1.18567988188749e-17i,-0.00706760486024995+1.57661994581664e-18i,0.0405903457594719+5.25634522461728e-18i,0.0231138758172458+1.92198711739924e-17i,0.0215745684146298+2.34201651721208e-17i,0.0266559739919444-1.78895687745943e-17i
