4.50473920509085-9.12039521534235e-16i,0.675218575550216-1.06664258738299e-16i,-0.249821059661897+1.24980655086569e-16i,0.0289348849253905-3.07047110697224e-17i,-0.430886919661751-8.33210607733895e-17i,-0.138531407567164+4.11806040795353e-17i,-0.167622153034399-8.90573405408521e-17i
0.0255784607621849-1.25422403924279e-17i,0.00844193995617811+1.93560590485163e-17i,-0.0692199832117515-8.48439391274351e-17i,0.00993950924040788-1.3567849022898e-17i,-0.0010406921598311+3.29961805562507e-17i,0.0279425318764412+4.17040847210912e-17i,0.0240004042455489-1.99377304172745e-17i
0.0536471320587284-2.34669065824347e-18i,-0.0637131960716908+4.05241956179809e-17i,-0.0940378921607885-5.94188042307183e-17i,0.0380406602313292+1.37884843613697e-17i,0.050621033229198+7.24280769957373e-17i,0.0435189473852694-2.36175141116584e-18i,0.127119272715926-4.86135026443212e-17i
-0.00723583843080636-1.06665276473162e-17i,0.0955996746882662-1.26825682771147e-18i,-0.0545119798042402-4.9942045985444e-17i,-0.14679596455862-2.94669920856277e-17i,-0.102518960305408-2.91636302124422e-17i,0.00299522610511678+3.22547545187782e-17i,0.023687585729911-6.64534759725954e-18i
-0.0106026422946067+2.13223013433381e-17i,-0.113235429763832-1.83631650261018e-17i,0.143339460221695-1.42911929030258e-16i,-0.0970375450428383+4.78589913954418e-17i,0.107578902209497-4.75196494127283e-18i,0.142730885371257-1.18528596739108e-17i,0.077669012760169+1.54645331055478e-16i
0.00503136256299017-2.30059783900247e-17i,0.0118770428394851+1.08324219856263e-16i,0.0682543084322866+6.67645457798051e-17i,-0.0414764578712574+1.730902295456e-17i,0.121706628427878+3.39409938173752e-17i,-0.168223569755777-2.76900387813658e-18i,0.0227307511654199-4.612320497255e-17i
0.0130325226870739-9.5410672732411e-18i,0.0773327102112058+6.03799230539405e-17i,0.0874346837305919+1.09802704646327e-16i,0.0108018320491424+3.86160060609715e-17i,0.102533221616286+8.31270880953351e-17i,0.072730505092366+1.73130967585103e-18i,-0.0447704594252896+7.21439791293679e-17i
-0.120704078177595+4.40424975933528e-17i,-0.0637851066575187+4.95083155045804e-17i,0.209461183571877+6.63618743557198e-17i,0.0444187901833519-3.52888375657175e-17i,0.155076102508776+1.19855587957236e-16i,0.131542106427395+5.22733442505954e-17i,0.281226650527581+1.54477763475997e-17i
-0.0341604817748587+1.33023201592229e-17i,0.0247517020520542+1.53792836596038e-17i,0.0207353010239168-6.08804731906315e-18i,0.0491144075619101-1.98725421366307e-17i,-0.010274842812266+6.28375929732251e-17i,0.0325653011743399+1.73136356875342e-18i,0.0684831982980582-3.14827800691773e-17i
-0.0375112264339495+1.71203588261704e-17i,0.0146817131513159-7.13324442403598e-17i,0.00821223424387926-7.95146800453099e-17i,-0.0173549741298355-1.70325568730035e-17i,-0.081786752936411-6.2424387511821e-17i,0.0120531747980754+2.17741027324463e-17i,-0.0244105669534016+4.54934991799748e-17i
0.0532575177536067-1.5591920979488e-17i,0.12518672641722-6.32639169890427e-17i,-0.195366445068669-6.5278280039624e-17i,-0.0721681915826262+2.059312826701e-17i,-0.167287767277391-7.73820202767323e-17i,-0.0887906837348255-3.37054315371966e-17i,-0.246619982785463+2.89210677317371e-18i
