4.45013768056336-9.17535110245066e-16i,0.579732979101995-4.49442287233955e-17i,-0.338219832840357+5.03444989982397e-17i,-0.112510056782933+4.0544556780536e-17i,-0.212948815153979+2.50907541099681e-17i,-0.309517460498658+1.3101197682015e-16i,-0.236977419832026-1.80746377927803e-16i
0.038976509292555-2.05461173997215e-17i,-0.0918663353433432+7.33840012376209e-17i,-0.0875002861879573-1.25338945573482e-16i,-0.0341732828219274-4.16901477286027e-17i,-0.0291186579820202+5.62665104135326e-17i,0.0402919400963915+3.13696659235378e-17i,0.0377367944461599-1.03177281685308e-16i
0.0443924396061438+3.29885106541256e-17i,-0.0356391343837704+2.23010949679598e-17i,-0.086177441897924-3.05028005312682e-17i,0.0314292208490543+4.00930508284145e-17i,0.0888647390605068+8.30143720676891e-17i,0.0429362549627498+3.68444846675996e-17i,0.0817954646540946+4.52048186661301e-20i
0.026843899514573+1.53124019146329e-17i,0.0537272846086861+1.04705899791838e-17i,-0.0706844395760501-5.96011175313034e-17i,-0.192834486153116-4.42792555434462e-17i,-0.0495612271305083-2.18055690836893e-17i,-0.00242470682889099-1.66120491310359e-17i,0.0279335478538333+1.98630506933571e-17i
0.0367167894759689-1.35237805829816e-16i,-0.119929825117115+1.01243815623138e-16i,0.206670132682336-7.38396817538808e-17i,-0.12976076062545+8.72207989020951e-17i,-0.0723731185578195-1.54052319271699e-17i,0.163990958993589-2.54941799617484e-17i,0.0981711623319571-5.84528613446139e-17i
-0.0169836665739705-1.10939685350681e-17i,0.0410929418061317+7.39526221701224e-17i,0.0843359677377345+1.55793059344928e-17i,-0.0201565965881607+1.4799319218605e-18i,0.078200715814147+1.04611544498942e-16i,-0.24032053009057-7.64505249098858e-18i,0.00321389486046434-2.94263058637704e-17i
0.0268473584111148-4.1742219326029e-17i,0.071716728333494+8.90889887783568e-17i,0.120021535009949+8.19724846013261e-17i,0.012824480077238+2.17924556847935e-17i,0.0743689521461088+1.33493675574466e-16i,0.0210213032146249+5.60096691562099e-17i,-0.0852007441812302+3.88573867224771e-17i
-0.0687567520239765+3.032256295385e-17i,0.0325150681365245-3.76667734491987e-19i,0.18046270255525+8.72060150151166e-17i,-0.0152051664056432+3.872451338131e-18i,0.09626647594248+1.41532428163427e-16i,0.196123817496255+8.13037564272252e-17i,0.247510072700843+2.80644592113097e-17i
-0.0159148800593442+2.81811935084166e-17i,0.0383020251723051-1.73757449218118e-17i,0.0188672017000246+1.16906440975418e-17i,0.00657350380634651-3.05901983274149e-17i,-0.0246926554263295+5.39606250325839e-17i,0.109158943857807+3.66982244078668e-17i,0.0481383219420937-1.72313795820828e-17i
-0.0209423617974329-2.7004595368205e-18i,-0.00508996879496733-4.78407115260684e-17i,-0.00163946972270892-5.81615112782607e-17i,-0.069431424796827-2.47920734416573e-17i,-0.112748126796116-1.03937473320984e-16i,0.0575596102735847-1.59385253248016e-17i,0.0188783638666733+2.60937113833616e-19i
0.0146909096261136+1.4081672639948e-18i,0.0146156265249578-4.58199233053513e-18i,-0.173375499276477-1.15208452959917e-16i,-0.0376788667207229-2.61107082187184e-17i,-0.125607696160854-8.25059503168852e-17i,-0.121060296986459-4.86399103625484e-17i,-0.220578666156264-1.5263433493275e-17i
0.0070019685299374-1.88053086716166e-17i,-0.0351510521268465+9.8791138619657e-18i,-0.143166034947806-1.4133047412731e-16i,-0.0405933475264305-9.36273214040198e-18i,-0.0727390460132973-1.07829875700141e-16i,-0.131068802281309-4.64432328714432e-17i,-0.135524008883756-1.03557241244294e-18i
0.0378404755315595+3.86613709107927e-17i,0.0493546460150497+5.31155353072061e-17i,-0.176431100299411-9.1534479901996e-17i,-0.071816938352778-7.68877611750615e-17i,-0.0189333826969153+6.92248704437973e-17i,-0.0805713862463567-1.27537860740645e-17i,-0.115531782752628-9.38844714068089e-18i
-0.0381603621897951+2.07515644388822e-17i,-0.0656808444431117-7.9664403020088e-17i,0.0134071718703934+2.99105344012647e-17i,0.0371728346389913+4.18914160106214e-17i,-0.0298278219494962-1.4035044867929e-16i,-0.0281849161613238-6.36172456393589e-17i,-0.00272645390995382+2.52560163749922e-17i
-0.0359163551099307-2.79641968167507e-17i,-0.0595516971335371-3.99302625199244e-17i,0.103031738631787+7.09135531775939e-17i,0.0681448867929283+7.1799866272626e-17i,0.0153165770375373-9.4876860384741e-17i,-0.0251894225814933-1.88196574405973e-17i,0.0199172331575154+1.27152353106111e-17i
0.0341193584470962-2.58689955665465e-17i,-0.00683573634244672+3.25388835142334e-17i,-0.0885551458027549-1.13028000199956e-16i,-0.0552152659549575+2.96234177349596e-18i,-0.0586509215254053-4.49877267689999e-18i,0.0296481434846627-9.86928361197817e-18i,-0.121518063983211+1.85054041889785e-17i
0.0214240561589277+1.70001776705315e-17i,-0.0389497756472584-1.20881670490752e-17i,-0.0718541756337268-1.42049211618678e-17i,0.00147957724928792-3.30251535180186e-17i,0.0269019576185659-2.68037921097648e-17i,0.00462157380555924+2.26015594183748e-17i,0.0554926971593324-2.09200374031413e-17i
-0.000439798889536725-9.09224525549706e-18i,0.0257600810641791+3.69948108459891e-17i,-0.00423586982689744-3.19211724584112e-17i,-0.0370992737448008+2.35684741292536e-17i,-0.00484855303593823+3.46656798434058e-17i,-0.0484364441589016+1.67496966531048e-17i,0.0325095546790457-3.55485387196084e-17i
0.00995633306310436+2.43790054012414e-17i,0.0487910233098101+2.26403310083552e-17i,-0.067280737626767-2.43333574852865e-17i,-0.0144128847571635-7.11564959924484e-17i,-0.0311544870247039+7.3004741408951e-17i,0.0255988027808871+2.95605503923495e-17i,0.0311845435117835-6.06994048315972e-17i
-0.00107168718020572+3.99716780738269e-17i,0.0423985630113435-2.41644076901248e-17i,-0.0563944186250943-3.56953945651789e-18i,-0.00140806892466627-2.57545794628047e-17i,0.0386494096852753+2.38388630544628e-17i,0.0348354954625676+2.60255305242138e-17i,0.0481905532416149+2.7229414146859e-17i
0.00441862416860164+1.14092510429238e-17i,0.00376008284146494-3.50175392563097e-17i,0.0371058239652334+4.77499921923653e-17i,0.0118388228308833-2.21944932913954e-17i,0.0398177551433206+5.79246111456601e-19i,0.0597656699687555-4.98152975458348e-18i,0.0146925564237607+5.39520894939753e-17i
0.00566691425256379-5.01848785249787e-17i,-0.108818654253659-1.13380026475299e-17i,0.00067411226942793-9.90791833906896e-17i,-0.0149667083153842-9.76018456600952e-18i,-0.0462201487859858-1.0625601471613e-16i,-0.0411959432433118-3.36762545414521e-17i,-0.00236616156964463-2.043469758709e-17i
0.0192898779177228-7.53228832411966e-18i,-0.0117310037487056+8.99515399597653e-19i,0.0716656528307221+1.00050850387102e-16i,0.0404997086209122+2.47858414132325e-17i,0.0753006084063755+2.83326620983704e-17i,0.11945392501838+4.41361404913888e-17i,0.0823863598267253+1.17845671809161e-17i
