3.70921622818493-1.49271237774779e-15i,-0.072539719092296+4.91198719674398e-17i,0.306787988722179+1.7827499575511e-16i,0.0749085759053988+3.44121746902721e-16i,0.0827263386679919-8.30015284711332e-17i,0.280881476195921-9.81886678018773e-17i,0.177908909769246-3.82142747836763e-17i
-0.0332348578817863+2.87129626346228e-17i,0.136683844246787-8.52549878975077e-17i,0.0361846018170865-4.9674657098785e-18i,0.0780103871993231+2.12588543311721e-17i,0.0275376487166624-1.05033475394139e-16i,0.026259620105522+8.283190583419e-17i,0.0315872090697519+1.12163769034818e-16i
-0.000945430850043342+1.31909621751591e-17i,0.00195614616868733+3.1803107543343e-17i,-0.0295539310457368-2.51395226325975e-17i,0.00403984649964582-4.74314158123964e-18i,-0.0509709011897794-6.26577235931076e-17i,0.00594550344610232-2.16822573257643e-17i,0.0191948691781898-1.2632293522886e-17i
-0.0172728586089875+2.89619610026627e-17i,0.0385797429428175-2.36805101525116e-17i,0.0382193324489093-3.61026903900009e-17i,0.0744702577860902+7.83142173519026e-17i,-0.0270646367156086-3.11068413380472e-17i,0.0253876502778363+3.65795410220607e-17i,0.0719426724791074-3.5614580713512e-17i
0.0767293973318664-5.03408552943268e-17i,0.019211415734791-2.76296168012959e-16i,-0.259220000708862-1.0941988414408e-16i,0.0498366432756345-2.74933165554635e-16i,0.157936767045316-1.07363650261887e-16i,-0.114320827756398+1.6406174727725e-16i,-0.257474712004853+4.2277889499745e-16i
0.0184369740603214+2.97052945099981e-18i,-0.00351518251737416+1.40114579862339e-16i,-0.0947850009151396+6.3651279400355e-18i,-0.0266600409835009+1.01798219675639e-17i,-0.0133277911808065-8.53388080285288e-17i,0.0508603707286339+7.78499636842306e-17i,-0.0535579696268039-2.63261443782178e-17i
0.00709481594570905+4.40025743995265e-17i,0.048647405443859+1.18233222326049e-16i,-0.154439660798655-1.03802850002032e-16i,0.0337890582541006-4.41578867843037e-19i,-0.00879097341692992-1.12823611880261e-16i,0.0350551437246547+7.92516756844673e-18i,0.011620255874189+5.46514678100707e-17i
0.168480158878596+1.09117296035362e-16i,-0.0491214581618345+1.30849611078025e-16i,-0.342062562345636-3.52102300153899e-16i,0.10459122980238-2.06730199480422e-16i,-0.126130840184601-2.42692969765465e-16i,-0.266873330384518+1.58343139109798e-16i,-0.275248161027172+2.52724503549938e-16i
0.0261293893154826+9.22324137494232e-19i,-0.00353531015859668+2.88895290650726e-17i,-0.0463037563313935-8.61661816342372e-17i,0.0821421528508731+8.75641459901072e-18i,-0.0227178586659356-2.18900058012278e-17i,-0.098651245609601+5.85126144272791e-18i,-0.00893515122105295+7.83581997876132e-17i
0.00640808704695858-3.04845574245304e-17i,-0.0108610360997421-1.21712555256463e-16i,0.0488301783549651+2.120391921881e-17i,0.0553421678943372-4.52909490746237e-18i,0.0440638342790284+6.30454135068899e-17i,-0.0388220808319044+4.39997548944938e-17i,-0.0330055075993475+7.58340082587604e-17i
-0.150977855241741-6.54360410036199e-17i,0.0807503890325265-1.31820413855022e-16i,0.30678871808931+2.59733220966559e-16i,-0.0546546610305662+2.03799626395112e-16i,0.117888403044594+1.824446431874e-16i,0.205177504729298-1.36683781876139e-16i,0.266940161798784-1.77811021865601e-16i
-0.106448272795401-5.32680464619351e-17i,0.0629789548550896-1.75907413682966e-16i,0.221795057014284+2.43828262838978e-16i,-0.037827872030283+1.30202878431211e-16i,0.122674906021801+1.47975335623264e-16i,0.173884004493338-3.15380816969141e-17i,0.134179903632295-1.0140258829137e-16i
-0.108460390837112+2.99028965528788e-17i,0.149418909407537+2.07059992888373e-17i,0.185159237630843+5.95786977332373e-17i,-0.013815848117437+1.96395524927053e-16i,-0.00472594038623745+4.10403093979541e-19i,0.131777052756843-1.08452811799045e-16i,0.266751504843064-1.32175077716493e-16i
0.0207778885078547-7.62281752698492e-17i,-0.1069832530116-8.2425961949598e-17i,0.0326387252357333+9.33444506765183e-17i,-0.0966200506738146-7.17454568083514e-17i,0.0445252291793473+1.64117699443204e-16i,-0.026663137327437-3.99665336529875e-17i,-0.0877854426597134-1.26975729887076e-17i
0.0473489315682561-4.21603635008938e-17i,-0.123841864571221-1.62884491695595e-17i,-0.0815269361392039+3.52446345578655e-17i,-0.0484252649967884-1.12328584044481e-16i,0.0261224510245602+6.89871721305431e-17i,-0.0214073656565692+3.88845228762668e-17i,-0.157148658751892+9.76276499238907e-18i
-0.0846778924240782-3.35188052405416e-17i,0.0892630615491266-1.47611287287242e-16i,0.0958422631083939+1.00499276976047e-16i,0.0155835916172907+7.87727334554038e-17i,0.10301141768092+5.20026778975339e-17i,0.103211702899062-5.06289003238223e-17i,0.142349150839351+3.25470321233654e-18i
-0.00633908420402642+3.82541170440447e-17i,0.0371554659715702+2.2815969567148e-17i,0.0538239784022011-1.57146997133006e-19i,0.0300075699247128+1.28676745510911e-17i,-0.0519743608633122-4.93798419969779e-17i,0.0110085750569075+5.38047016576682e-17i,0.0101899964608328-3.13170564276896e-17i
-0.00228758044119609+1.58491976088985e-17i,-0.0028767272576108+1.00247540361956e-18i,-0.0143749176669882+4.16702932808109e-18i,0.0555021695831439+5.28552168153335e-17i,0.00287496277366781-3.14601869507359e-17i,0.0466285846100698+6.31241250103748e-17i,-0.0150632968658547-1.75855574992311e-18i
-0.0211662158423722+7.25946291584433e-17i,0.0909257038978823+6.78288543585178e-17i,0.0751585402802437-6.53574396744024e-17i,0.0734224934659864+9.69053448632147e-17i,-0.06208985104689-8.36186269821119e-17i,-0.00438197516081962+3.46272391438843e-18i,0.0927470889070895-1.64985257063696e-17i
0.00592077037555815+2.15612987137824e-17i,-0.00535719468045678+4.08457969513826e-17i,0.014457869212548-2.78232471184766e-17i,0.0633571705125352+5.84015079024708e-17i,-0.0584000944723751-1.35867347732597e-17i,-0.0201513294788693+1.07784774648222e-17i,0.023269604933784-2.31665928804994e-17i
0.0358811306404777+5.77206956856904e-18i,-0.00118363188757118+3.17377193842293e-17i,-0.0522921314717696-7.26606121002866e-17i,-0.02484473920564-8.07546693374988e-17i,-0.0362879542111825-3.5003670631033e-17i,-0.0784679963097647+3.25142925504215e-18i,-0.0344796797828827+4.61416914033165e-17i
-0.00647549455586729-4.74437054421955e-17i,0.0460771267935059-1.57621014662224e-16i,0.0435738758483572+1.31995419560615e-16i,-0.00801887583227576-8.45562129661486e-17i,0.106453570250668+2.41415166333916e-17i,0.00445712750742108+1.03223279277698e-16i,-0.0860647384441688+1.09420086923204e-16i
0.0631016626300143+5.51985138065064e-17i,-0.0212447659098047+7.9893970498478e-17i,-0.136035470129506-1.33976823399071e-16i,0.0208543475848745-1.01954450242009e-16i,-0.0801773050090287-9.80191817260613e-17i,-0.0802410436065754+3.32896629977257e-17i,-0.0988210462800906+5.9718775253202e-17i
-0.0233823138090854-1.22340462321876e-17i,-0.0595780668921688-8.72640166751503e-18i,0.0482185034825314+3.72932258645859e-17i,-0.0499684132661848+7.0664844070243e-17i,0.0210301488853413+1.07309686724964e-16i,0.0682872098730695-6.73689579055235e-17i,0.0435913721448168-1.21605093984214e-16i
0.00112437120662211-1.43835586363685e-17i,-0.028615577955671+1.0503827393192e-17i,-0.0174028044727444+2.5193498115754e-19i,-0.0192242195911263-3.07981570736961e-17i,-0.00639063882447886+6.57571503248924e-18i,-0.0141835177666445-3.81282616405155e-17i,0.00793032663743821-2.26072731126558e-17i
