3.51284369491605-1.5773674942727e-15i,0.154754693974243+9.18004661085586e-17i,0.326825391184795+4.18203991352949e-17i,-0.0314119434308512+2.9972936534424e-16i,0.0778496039352957+1.42811831852268e-17i,0.341832040141997-7.16277161311874e-17i,0.297476263347628-1.04206837243259e-16i
-0.0321329950414374-3.25045568405501e-18i,0.123215063420458-5.34272296327151e-17i,-0.00669686621510266-1.48198248009858e-16i,0.0198672286515631-6.72714924479557e-17i,0.0652414122529861-1.24927055331311e-17i,0.0371883153246367+1.15425627846922e-16i,0.0257922607802512+8.00781011777961e-17i
-0.00266866037547932-1.92437423670015e-17i,-0.00887663788325902+7.34127090996121e-17i,-0.0538254057021284-1.65439415694757e-17i,-0.000563044905051606+9.49982555279962e-18i,-0.0112704951985778+1.34746893663439e-17i,0.0218457222350359-1.7955816214055e-17i,0.0191892095239453-8.99095596084468e-18i
-0.0232331464864012+1.07756506603664e-17i,0.0779924571382785-2.86856833981316e-17i,-0.00669479783845383-1.24966171324048e-16i,-0.00035615649570145+1.4539482390128e-17i,-0.00984513952133501+8.30967635178129e-18i,0.0303917314514338+7.74156364614727e-18i,0.0825494436631802-3.54396759924922e-17i
0.0498151729608697-8.94721561399938e-17i,-0.107702258808128+8.58291937526666e-17i,-0.128087822304344-1.28059146117218e-16i,-0.00581331051757767-1.65740039427928e-16i,0.099611103072649-2.70002624138238e-16i,-0.0642323943969417+2.80910467552594e-16i,-0.247076404479218+3.07304698542595e-16i
0.014520936243292-5.67330804390594e-17i,-0.0126250294100292+2.49310552367615e-16i,-0.030047865428003+4.53230721491175e-17i,-0.0363071618909528-3.86956123916664e-17i,0.0174740011173411-8.3004071876113e-17i,-0.00709394862173139+8.13852717636379e-17i,-0.0535137642786071-8.95345487699501e-17i
-0.00296644731697187-3.95392054360148e-17i,0.0437519354221854+2.47100312486888e-16i,-0.101817332505925-1.27677089182953e-16i,-0.00246997675787392-2.70021187102018e-17i,0.0504734659918954-4.84614385522388e-17i,0.0440813510807317+5.31486720483425e-17i,-0.0282535321063718-3.26986719403533e-17i
0.0509835338115902-7.78159913722635e-17i,-0.0923704356444807+3.8511420415774e-16i,-0.267020997423002-2.51293964949693e-16i,0.155797649608573-2.31608349044775e-16i,-0.0915427607328982-3.18691109100832e-16i,-0.157680458681219+2.93955867442951e-16i,-0.132093080297713+5.89810173016326e-17i
-0.00569356317529878+1.15447181374212e-17i,0.0247509535549424+1.43197922075047e-17i,-0.0536468367533307-8.74569859188182e-17i,0.0980920858577989-3.5322325163282e-17i,-0.0110519674956406-1.80360652388548e-17i,-0.0427146458810851+3.73049123591936e-17i,0.0432599780026052+1.05187410575253e-17i
0.00100022980203137+2.28010992566495e-17i,-0.0022885843793855-1.58048402649804e-16i,0.0328911335627234-2.5496256324696e-17i,0.0464470025202298+1.29779045118869e-18i,-0.00371766228367282-9.05745454231562e-18i,-0.0216315546062655+4.93338749746122e-17i,-0.00299131358732023+7.52491591982957e-17i
-0.0639638053757321+9.74780362156913e-17i,0.135227943254483-3.7402732740186e-16i,0.208863659364703+9.6022736907922e-17i,-0.125750395111524+1.77120776935703e-16i,0.106777045016622+2.96288356673852e-16i,0.132779049257267-2.41265832891052e-16i,0.146731251936943-5.86854345556154e-18i
-0.0364546195508368+7.37754822049489e-17i,0.0686656517536061-3.26018848290903e-16i,0.149342566550496+9.81400978132573e-17i,-0.100526033294962+1.43702806809057e-16i,0.106690897966339+2.02640423615842e-16i,0.10823689235672-1.12070934641281e-16i,0.0293309248730695+5.43328171093512e-17i
-0.0735218717270664+7.11287343531048e-17i,0.213580974504992-1.39701345031884e-16i,0.0783809569661245-1.21265823841588e-16i,-0.10558668361684+6.75642876659163e-17i,0.0657236978976256+2.02009496530869e-16i,0.0999275334259533-1.97735432634176e-16i,0.184233677759254-5.04738147234618e-17i
0.044121144468362+2.17105979750837e-17i,-0.14901749265248-1.25491156644586e-16i,0.0463377073460952+1.95183810424116e-16i,-0.0425739862894004+5.68470721508292e-17i,-0.0287992492887507+2.25138609250543e-17i,-0.0450353413322203-6.8723792267536e-17i,-0.096327640305905+2.96581293134195e-17i
0.0533040555693322-4.10620868873269e-17i,-0.17403486560915+6.13808471913555e-17i,-0.00925723423537063+1.76928720861666e-16i,0.0123553504095942+8.42127551856552e-18i,-0.039600139470469-9.1167481693457e-17i,-0.0410978584106052+6.76317509015424e-17i,-0.137091259363853+1.23531606376079e-18i
-0.0428739324836862+4.47817387626545e-17i,0.0936294651790211-1.9192847238944e-16i,0.0467591156977471-4.81875247373505e-17i,-0.0637482423311496+8.58163909208632e-17i,0.120430919305019+1.36579974181396e-16i,0.0995499080909859-8.20061918345077e-17i,0.0468021295985399+8.752116699697e-17i
-0.0101019548503893-3.23677904715234e-18i,0.0426399173011698-6.76400860570635e-18i,0.0168859738549854-2.30531895712995e-17i,0.0302507224164332-3.15013648353188e-17i,-0.0349499241342025-1.62932615196026e-17i,0.00936124449315728+4.7518879358139e-17i,0.0324542013800743-3.6934545872725e-17i
-0.00518050092956517-1.40538405337228e-17i,0.0103889098500151+2.97722723705103e-17i,-0.0108864459529253-2.45606590306919e-17i,0.0300701475143178+3.56253717837646e-17i,0.00731532804864701-9.54815046133398e-18i,0.0306569834438262+8.5280077373786e-17i,-0.000798743698431801-2.10067727373852e-17i
-0.0440890249680766+3.28744069754636e-17i,0.154211243236823-2.79801228877267e-17i,0.0194908956242174-1.6080247530383e-16i,0.053706796796683-4.14423423612633e-17i,-0.0240682750981443+2.46094617860069e-17i,0.0107149358383172+7.30293802657708e-19i,0.132821761371842-4.98152217558471e-17i
-0.00685493865108356+1.40387439809394e-17i,0.0264119338708764+1.17523850669133e-19i,-0.0278330745016492-5.31206450361229e-17i,0.0672722368939705+2.08981132317381e-17i,-0.0308550322344517+2.71722133308054e-17i,0.00116361307546245+1.61258319561918e-17i,0.0526035690250908-3.80005209558244e-17i
0.017721775260991-1.37917059725485e-17i,-0.0184058153245751+5.89111673802447e-17i,-0.0402950734848281-3.55256482600237e-17i,-0.00561424881164261-8.47539472574477e-17i,-0.0249192816445502-6.07226340120068e-17i,-0.0518727728318496+1.77811050061761e-18i,-0.023966661756057+2.0261246121407e-17i
0.0113712513103919-9.97556185435984e-18i,-0.0136389036541819-1.34711595851194e-16i,0.0569448109481803+7.10049206775987e-17i,-0.0172309396676328-6.36038096970237e-17i,0.0757901864566652-3.91900683176217e-17i,-0.0133578281410311+1.14303697821858e-16i,-0.107938893743506+1.59243422472755e-16i
0.0270266967435787-4.57208365300667e-17i,-0.0474563270173224+1.89862100873827e-16i,-0.0955678297044783-5.87316615006524e-17i,0.0548738023302207-8.79573228835951e-17i,-0.0661706843718996-1.33219527851431e-16i,-0.041572047938494+9.18104676184198e-17i,-0.0529039863309979-3.27237158926222e-17i
0.000762716321981449+3.09681549409569e-17i,-0.0357692844658298-5.18491048004221e-17i,0.047209122305727+6.99275290901973e-17i,-0.0634450605563398+1.17470366537795e-16i,-0.0203366060879321+6.78898695936611e-17i,0.0280392110303467-1.21441269715578e-16i,0.0233402989841992-7.81432348168284e-17i
0.00347470733384857-1.13018574780178e-17i,-0.0362635339142989+2.57180707156332e-17i,-0.0144041365063463+4.43338213179218e-17i,-0.00737843670132614+5.62175101688745e-18i,-0.00349744539714162+1.31323584725071e-17i,-0.000888387539586856-4.29923600579043e-17i,0.0030442722011813+1.65064633139593e-19i
-0.00917462105694997+2.61527072690975e-17i,0.0544837927225362-5.30190144860026e-17i,-0.0287733326121852-1.21056617380517e-16i,-0.00358111618922683-5.96438967916374e-17i,0.0295946798036085+1.13446655181401e-17i,-0.0215097420327914-2.94675707935432e-17i,0.0158813314753457+7.63092985681975e-17i
0.00537726933067067-5.77264674806339e-18i,-0.00620276967775421-2.69483547178291e-17i,-0.0335792137401945-3.05458322886721e-17i,0.0259166643398226-6.95906904097143e-17i,-0.0349234403769048-3.0983746564105e-17i,-0.048124747311567+1.63644322553776e-17i,0.0154613888948307+4.15550806096412e-17i
-0.000458489443834999+2.47149483223505e-18i,-0.000404014250086876-3.77980934137862e-17i,-0.0244346914239464-7.51482458319836e-18i,0.00345845160940374-5.19182322616913e-17i,0.0518310418064879+1.79750380153262e-18i,-0.0314960237724718-1.80494505256085e-17i,-0.0122739873240405+1.03070070080813e-16i
-0.0119076604928412+2.35348842013615e-17i,0.0356126901073272-1.45986416615557e-16i,0.00161186819607795-4.69631613146157e-17i,-0.00189799540322965-2.8496645574688e-17i,0.0632797370069524+3.89576076911788e-17i,-0.014879598848914-1.06931234847708e-17i,0.0219285628910725+1.17348886223516e-16i
-0.000427741487962523+2.11157620739033e-17i,-0.00255971154280846-1.21411970790865e-16i,0.0208803256570255-5.4933595342772e-18i,-0.00188858556652827+2.08335822605978e-18i,0.0241592458271788+3.14551270084345e-18i,0.000468437617975803-5.47328396261849e-18i,-0.0213897355223794+7.38410901819767e-17i
0.000580857324773101-1.73755411347486e-17i,-0.0123206081783199+7.0532111843396e-17i,-0.0178225650038344+1.74352513088646e-17i,0.00807977933846839-1.49880107347336e-17i,-0.00755718538709091-1.23718161014393e-17i,-0.00635804252862232-1.57342806643526e-17i,0.0122842779829389-2.04347564071871e-17i
-0.0122163201088704+2.64183443064096e-17i,0.0274789838312772-5.0699553417858e-17i,0.0212110127204782-3.46855609434641e-17i,-0.033770196243699+1.04644385644128e-18i,-0.00625776436506989+2.54279670740241e-17i,0.0123050162146656-7.76845139553829e-17i,0.0330372334708232-9.45335300655337e-19i
0.00289595029861086-1.43832398444563e-18i,-0.0146536212244338-2.98675562591514e-17i,0.0599665188290298+1.02042564575058e-16i,-0.031389067874574+9.17392292225382e-18i,-0.0168226453444007+5.98036068691378e-18i,-0.00170313454593574-1.94804489159796e-17i,-0.013676131426488-5.68109155771403e-18i
-0.0025482584630386-1.57069402654599e-18i,0.019802324003412+3.58669749135e-17i,0.0351326338583559+2.39843110474095e-17i,-0.0183185548623998+3.83304882884477e-18i,-0.0167485927294559-2.3599650284753e-17i,0.00913652395879348+1.26288520979404e-18i,0.0011670447720251-5.91341113283089e-17i
0.0211911980997449-1.94139290887901e-17i,-0.0477441618410742+6.85799254278128e-17i,-0.044299612546018-6.32106602034534e-18i,-0.0236351248601355-4.40893857994885e-17i,-0.0293227499355577-4.50344334009649e-17i,-0.0501164869259997+1.72198329248498e-18i,-0.0214006257888199+2.1384155750706e-18i
