-4.74283866595216-0.000551165984235102i,0.917793424645112+0.0440142879500491i,0.972299369813336+0.174987031512411i,0.777452603288435-0.0769723010987349i,0.343329139247606+0.004671955186901i,0.127557991056753+0.000564938117857093i,0.892482725184239-0.147140124315456i
0.161097073676655+0.000493405684497232i,0.0673379893338322+0.0609723722260547i,0.0721405343370717-0.031425960827118i,0.0524190557431768+0.0107710685525755i,-0.00838537374320545-0.010705697075267i,-0.0404868602103277-0.00108511126315598i,-0.029091630213033-0.0284437135695037i
0.0291563007246378+0.00241719721160609i,0.0253312774201113-0.00494003731327131i,-0.0239302781574211+0.0264568457785886i,0.00191027500342588-0.0138951468256162i,-0.00723593373288611-0.0125836208613811i,-0.0232962097087712+0.000921016983547327i,-0.00517729209404821+0.00522699361386392i
0.109158103973721+0.00196626630873762i,0.000719624643259233+0.0153233369748694i,0.0730634954193777-0.0076161648285937i,0.0378920042086023-0.00034964303026299i,0.0466841175588919-0.0215712399674051i,-0.0552414440660017+0.000894663011689621i,0.0100404686749701+0.0143361914135876i
-0.0879341096922562+0.00132622386731966i,-0.0244982387809889+0.121433879056353i,0.00742514336106417-0.00557277270786955i,-0.0167110897497248-0.0377780685471527i,-0.135666853523742-0.0336751364436915i,0.101879303629467-0.00288933190519861i,-0.224370793951567-0.0421702848984118i
0.059073992614636-0.0067212909267848i,0.0613506297139399-0.00722033825038741i,0.0778148299868846+0.0820665250652292i,-0.0779961563663301-0.0198057937170722i,-0.172954112946236+0.0263365436666064i,0.0442802395955458-0.00299207968347218i,0.0612000906192065-0.0820137012271213i
0.143668262032149+0.000317827990836697i,0.118860738900066+0.0548547387614517i,0.0450960108269317+0.0530085977439141i,-0.00663450331169639-0.0356313852363795i,-0.153508440049262-0.000123544765845689i,0.00729650371053808-0.0015138433676855i,0.00790783072488449-0.0706987961238008i
-0.0523713024174309+0.00280586055831428i,-0.0709670549020064+0.0340661189423353i,-0.0984638069369941+0.0196620470243129i,-0.0601693780402505-0.021656545002749i,-0.243214172227282-0.00396514812355685i,-0.169998375979492+0.000326972047126681i,-0.105878720825864-0.027413047426112i
0.0243932457366183-0.000664557441849479i,0.038906478881701+0.0577897575710746i,-0.0257205526054243-0.0185161590072702i,-0.0814282326847932-0.0240849204640008i,0.0696301601605261-0.0106082667946155i,-0.0949688118168084+0.000461777237549143i,-0.0503438593884329-0.00576135220682935i
-0.0489357133877301+0.00297777957974863i,-0.039903273586887+0.0460196251545922i,-0.023923337723112-0.0836159999637494i,0.00717753579212463+0.0117677174871081i,0.0538001660400958-0.0102841869636924i,-0.0190906424867066+0.00118881420046977i,-0.0160980408356752+0.036850235536898i
0.0988734672900996-0.000753074333530598i,0.0673415151851192-0.017739259980772i,0.0793071501878256-0.0266314990965572i,0.110085852840659+0.0156497454529864i,0.224921043810113+0.00265464296646788i,0.108536911258977-0.000152783167747549i,0.0623372909628746+0.0261630161451592i
0.018098056468388+0.0018546702094717i,0.0565800080595009+0.0252468352064024i,0.0462207534026953-0.0419872633708854i,0.0414189518508027+0.00887815488440194i,0.121639448323764-0.0243010718545886i,0.122980018697467+0.000656006145410467i,0.0494669434945857+0.0327632701464533i
0.244142380425705-0.00113341314354072i,0.0614468101102749-0.0574291426622826i,0.124314180793818+0.0355871209278303i,0.161201133297418+0.0276765879320359i,0.129422503126429-0.00302649015772209i,-0.0142438721147492-0.000301175078272295i,0.0311748749158472-0.00333620175471314i
-0.25782774969485-0.000610207893389628i,-0.0905374460784488-0.0284009412046671i,-0.0997115247561174-0.0307187648839432i,-0.077656253548717+0.00562527612341718i,0.0475010314688307+0.0112117500491792i,0.0956660326244003+0.000297633051797227i,-0.00682646044143471+0.0420125938551153i
-0.212258053288108+0.000503443606413016i,-0.0934196545293037-0.0153041627034086i,-0.0516980355983324-0.0288033605849108i,-0.0764634582502884+0.0213171210033773i,-0.113316200787999+0.0142847482730242i,0.0748193965503047-0.000679853346974122i,0.0197948907173805+0.00930868260881107i
0.0953362713596274+0.00246836872519013i,0.11115268436623+0.0607282208367891i,0.0384751638153344-0.0106457369777717i,0.0426699766617479-0.0139257531157877i,0.14639509666502-0.0398973853161358i,0.0688815025364858-5.85254833850514e-05i,-0.0641257002871266+0.00453276337100979i
0.0460299895144992+0.00188564609806228i,-0.0262928550917032-0.00934099410052178i,0.0331806567826752-0.0188255957238858i,0.0189952826027805+0.0225407240533973i,0.0260809342268952-0.0119716257338157i,-0.0579878502737817+0.000550055596845097i,0.00947951977692634+0.0177541034625571i
0.0544268552166993-0.000499480434529583i,0.0215643292497315+0.0212632128941818i,0.0481606790862351+0.0282982244572628i,-0.026968917170733-0.0302170538381672i,-0.0543859447243582-0.00974542091438918i,-0.00879295083334479+0.000178837097657571i,0.0440910596932073-0.0102978889037348i
0.189955972894397-0.00145080600907769i,0.0170850916704358-0.000478557471571009i,0.0619543588631064-0.0230306474220946i,0.0957074993088755+0.0124119878991191i,-0.00349713136337363+0.0189547647670752i,-0.127461096353549+0.000350973287919414i,0.0645403387692638-0.00874903026385776i
0.0315103266591954+0.00459153538885909i,0.0147828952166791+0.0270511711842204i,-0.0439112361056009-0.0250020285866617i,0.00048884101667865-0.0174201698933673i,0.0192183354146284-0.0112103929513291i,-0.0771852337566181+0.00228244712938797i,0.0285765171573675+0.0273266871930013i
-0.0411541725190813+0.00211668817453249i,-0.0493264911773598-0.0177064032062167i,-0.0655701963311449-0.0193056861843039i,0.0681511365672091+0.0111776416943703i,-0.0241784398338172+0.0121950666477421i,-0.0209353070757546+0.000216713853854755i,-0.0414431263929428+0.0145429762940248i
-0.0657344160608371+0.000180992911950908i,0.056158888797611+0.0735077876845346i,-0.035019590167755-0.0731893792604284i,-0.0332995958548697+0.0182456565667428i,-0.0130879926828335-0.00917822266201212i,0.0816763374997569-0.000967642991641423i,-0.0356138400454202-0.0082863703412579i
-0.0187819279144694+0.00252450174733953i,-0.0365910795473203-0.0130665419185001i,-0.0423842381991015+0.0195580547092965i,-0.00147416068264361-0.000484595685002177i,-0.102606862729873-0.00115026209797329i,-0.0596131040156418+0.000635792508200052i,-0.0249704927594751-0.00404721295409421i
-0.0465117967930002-0.00325256718719132i,-0.0675616373309077-0.0449444157723738i,0.0656030670534639+0.0235463648432979i,-0.0130202025999648+0.000168269565533292i,0.0176070173661129+0.00909192989961965i,0.0553852895191964-0.000297158427693082i,0.0565394700172349+0.0112537322591071i
-0.0349726137334329-0.00140939874624944i,0.0193862377486563+0.00556032193312181i,-0.0181501221978626+0.000778500884111493i,-0.0462005076200819+0.00194960808858416i,0.0326630971983123-0.0067463073341882i,0.0122052088135202-0.000404303634920432i,-0.024314990595401-0.00212281955647284i
0.0357034882384806+0.00100688599880994i,0.0154451263256922+0.00923744078556527i,-0.0304442481110917-0.00463746509694681i,0.0534225598573492-0.00150475849116134i,0.0630351160766244-0.00725328268242738i,-0.0262697513725921+0.00049760071800165i,-0.0785171922064912+0.0039366629299409i
-0.0335300346689513+0.0040420457962678i,-0.0312294679643333-0.00819605836438779i,-0.0836801822885552-0.0358705004781706i,0.0441350608074589+0.0145017255893706i,0.0201268600426375-0.0102547422850987i,-0.0633993607190046+0.00200733063047698i,-0.0302796682565311+0.0400922228807294i
-0.0250933180516264-0.000122759896822203i,0.0273286781854011+0.0135937133063166i,-0.0437628992287264-0.0157212673785444i,0.0054073518134018+0.0184078167672887i,0.0715846260435579-0.0126274039461533i,0.0106358096622701-0.000577319593428297i,-0.110244799637409-0.00350003271633309i
0.000456157279879649+0.00232638752875807i,0.00395021190715562+0.0285819319878973i,-0.0278330996287712-0.0510783025564901i,0.055821546389385+0.0177293299034519i,0.102756946889301-0.0201078423969022i,0.00115407691998467+0.000628397271616429i,-0.0883598054141051+0.0250439760403819i
-0.0306746279651631+0.00241867012880938i,-0.0128647904943099+0.0306799332934908i,-0.0325832078942267-0.0539301466867839i,0.0433375428005661+0.00884058884724729i,0.0396980443512224-0.0087457790564681i,0.0231923715523448+0.000400032342476197i,-0.0403302832464552+0.0240062237696658i
