-3.91639961050394-0.000730230180937125i,0.974316940411847+0.0690135439208084i,0.989715125405542+0.152184413763386i,0.877216028356526-0.0694657486703411i,0.481545210333702-0.0200948738667653i,0.083204590663803+0.000934057380687303i,0.802584935672474-0.132274887103801i
0.075812454233669-0.0004782540647312i,0.0617727092473529+0.0627710687481579i,0.0621479219022582-0.0301527155269555i,0.0589359590573632+0.00894100520773232i,-0.00125220284766086-0.0213973878028574i,-0.0447899460274066-0.00111270608118337i,-0.0468821971237468-0.0197566616343683i
0.0218580257094808+0.00404712010382025i,0.0218659628042281-0.0038178753923417i,-0.0161633681805353+0.0221955683474136i,0.000637767856481005-0.0119775768012725i,-0.0132029745237015-0.00225399772288162i,-0.0257364030749539+0.00142901108765249i,-0.00159959701456639-0.00194211176269723i
0.0226273198569195+0.00365974191939376i,0.00370510593951256+0.0152209140829998i,0.0586496970373291-0.0128463455665521i,0.0274274227249495+0.00510009714551319i,0.0407476324468104-0.0205455519724466i,-0.0649615314267489+0.001591950639112i,0.0100551398656105+0.0148346568956339i
0.0129091464324517+0.00223746367667173i,0.00408065321090145+0.126230371042639i,0.0212211405587396+0.00564765593299053i,0.00521457433387702-0.0316188791724652i,-0.161107268263643-0.0469752920479388i,0.125246165535557-0.00305623004374672i,-0.244187992103808-0.0507861189775712i
0.0787227658764557-0.00846384833846254i,0.0548197374774893-0.00345469465035843i,0.0649050799574304+0.0744817353709309i,-0.0371486803715502-0.021998078515753i,-0.12885509244347+0.0105975574196185i,0.0550865365262175-0.00409148270412075i,0.0201813306140558-0.0637457787857337i
0.0940037681799745-0.00080122300555973i,0.110664277438891+0.0537866562990471i,0.0434792408590007+0.0548904812036753i,0.0198613471261945-0.0353042286998202i,-0.132912783219018-0.00581401458847535i,0.0128617756387818-0.00134653836166444i,-0.0342188470202181-0.066614261115856i
0.126657232148484+0.00315805950624641i,-0.042727932575725+0.0422643043314374i,-0.0670508018023445+0.0235096999703079i,-0.0407279898073805-0.0206613057314874i,-0.22234652073813-0.00731428393541307i,-0.187404075394914+0.000232932431095386i,-0.120236347209792-0.0363061703444091i
0.0335597016699816-0.00162647306638743i,0.0273417371732512+0.0390522687766722i,-0.0199333435773052-0.013049881150011i,-0.0575142645834584-0.0155125864623964i,0.0460687194709352-0.00695897226026527i,-0.109037949003551+0.000258509978226086i,-0.0350440664481324-0.0062917818589349i
-0.0287939445275973+0.00355436235289071i,-0.037505722944258+0.0376574239975825i,-0.0199171777226123-0.0789996035232357i,0.00129179793029956+0.0174141369874745i,0.0406425948835498-0.00991129322878799i,-0.0223038477969274+0.00232216686077704i,-7.45089668739351e-05+0.035749113697251i
-0.096907968920138-0.00112564092447245i,0.0441758465081989-0.0245482693968528i,0.0570558340452559-0.0280036622110955i,0.0806373263033461+0.0175867169706966i,0.200937431164532+0.00541947234881983i,0.118298564836039-0.00103396297928774i,0.0709489200298078+0.0298703384172509i
-0.0545690943995557+0.00339628552091131i,0.0368563295528621+0.01497820710874i,0.0405819619922508-0.0451949845007192i,0.0387488783176817+0.0160856250842848i,0.111633342082624-0.015624303568056i,0.139949447361073+0.00142731351809194i,0.0528751750698929+0.0328291538422256i
0.0307499142506005-0.00162813840284373i,0.0536555685017023-0.0451939840334389i,0.0975487868311669+0.0294505933159349i,0.129668042310372+0.018683233909969i,0.125861737475288-0.00562489784494696i,-0.018113010490857-0.000997098013270026i,0.0272507348038366+0.000866128936463338i
-0.0430525847254871+0.000173870195515005i,-0.0767001287781016-0.0330012829950679i,-0.0809289462357628-0.0310845886238553i,-0.0681697204351819+0.00836886254484257i,0.0447617053665238+0.0184216883616852i,0.112871580692842+7.17777437874339e-05i,0.0342835289825086+0.0380727651843353i
-0.0389368966435373+0.00133657951749633i,-0.0769438970627082-0.0109624081279636i,-0.0390188430094815-0.0221144494021982i,-0.068909544273498+0.0125772076147713i,-0.0904704965069304+0.00965665419404898i,0.0875320309384716-0.000747622050404216i,0.0208527775630683+0.0119040062667983i
-0.0332702276528366+0.00173748772976148i,0.0920613358290385+0.0505442550176337i,0.0367673758819068-0.00499655600571189i,0.0377605047482771-0.0106171553600191i,0.103593012706235-0.0303002424586141i,0.0776308175044738+0.000203273858708476i,-0.0564972929147288-0.00320657029874197i
0.0159178823476266+0.00324527116281691i,-0.0224191994375894-0.00671519138950254i,0.0226281448807125-0.0196103385769025i,0.0112684742773295+0.0182283651441707i,0.0273192303862376-0.0102439990704466i,-0.068963397540414+0.00120076272302054i,0.0174037699024352+0.0190667750758781i
0.0134705107761143+0.00101792074156551i,0.0156646581506426+0.0199525725234577i,0.0403467417090576+0.0174290369191115i,-0.0172232397270934-0.0205499459705721i,-0.0385051488766523-0.00911051948570161i,-0.0104634263261444+5.86711025136162e-05i,0.0179008464325817-0.00739129297170898i
0.0507686689705201-0.00292313781359467i,0.0115007744190482+0.00148380429700005i,0.0454002186069852-0.0262734091941742i,0.0775937653432626+0.0134453469056749i,0.0171922029098214+0.00800050166147055i,-0.150033775794832+6.33153517513479e-05i,0.0443064103631629+0.000575962840384123i
0.0379825458843024+0.0065883663324293i,0.0106080607033877+0.0173317369658545i,-0.0320876030266355-0.0282712428178819i,-0.00308034277252259-0.00712701275296716i,0.0178787649715961+0.00159508120437233i,-0.0889955327729363+0.00337031186421879i,0.0410193956891881+0.0210766468086229i
0.0196592359136408+0.00186687641662837i,-0.029874539807664-0.0128261150211418i,-0.0521876358098054-0.0121332607258074i,0.0496498060001318+0.00714157794921496i,-0.0282027594599042+0.0120941539840265i,-0.022281405157732+8.85205727589353e-05i,-0.0258857786439282+0.00727940747191563i
