-3.90248624625365-0.00051217096741267i,0.908347607829119+0.0662634950741534i,0.931911168030244+0.131740207657029i,0.831872650657616-0.0570850366368761i,0.502039920849273-0.0268357492229768i,0.0635777235777438-0.000246079024107358i,0.710273875408154-0.112490562688326i
0.0453312927220284-0.000771834697393559i,0.0592767648234718+0.0576963553219401i,0.0584464610208445-0.0270300668217459i,0.0599110833699447+0.00760432822391561i,0.00548593737421319-0.0220171194718262i,-0.0444353836228094-0.000978323503603732i,-0.043556826305277-0.0162618185213782i
0.0204878781671534+0.00371301508765878i,0.0200625519537765-0.00277746334337448i,-0.0114265013552429+0.0191996175994718i,0.000373015514625157-0.0104062616513524i,-0.013374567635152+0.000522657325660265i,-0.0252215418121387+0.00157415154610168i,0.0010390922701102-0.00340591483039757i
-9.36761205748851e-05+0.00374937348509041i,0.00842077594272579+0.0146254371463065i,0.0523623531026656-0.0134575384693706i,0.0263801100395928+0.00605943227027839i,0.0385768346494844-0.0176742698218636i,-0.0643859708915627+0.00197559470212125i,0.0129196827615554+0.0138499360385883i
0.0429438491048881+0.00213733787452588i,0.00547100143857845+0.11781213864139i,0.0166037178803084+0.00872740438093188i,0.00310632287160323-0.0279453097069744i,-0.164303346039444-0.0458312954026687i,0.122998598910025-0.00286548280621861i,-0.234065337281709-0.0497775815277466i
0.0744837753377586-0.00767518692185548i,0.0501131465766554-0.00277859820543593i,0.0588521451143961+0.0656994059452042i,-0.0224797040729918-0.0206854034392183i,-0.104899062599742+0.00497152642212031i,0.0573350616476661-0.00435658575093897i,0.0117133998154938-0.0538911310327174i
0.0759600419196329-0.0011704949849585i,0.102171684069197+0.0481989848994932i,0.04458504156087+0.0518003091131596i,0.0270902400368512-0.0325942671216198i,-0.114101682098672-0.00671951986779626i,0.0145492713184532-0.00130630286957384i,-0.0369394803116147-0.0604180946548429i
0.174664730144858+0.00270013554099967i,-0.0348616461171068+0.0418160884074095i,-0.0530605844426284+0.0260467373321368i,-0.038417931876636-0.0202132858780504i,-0.212295262298863-0.00777038670945443i,-0.188991906811047+0.000131716137073607i,-0.116149540131451-0.0378331611513151i
0.0359323316833669-0.00173140664304648i,0.0240010499080974+0.032166798189146i,-0.0161509218423745-0.0100996832961691i,-0.0470244744626848-0.012932997588799i,0.0346403830585313-0.00581952369912307i,-0.109804044526798-3.05199957063367e-05i,-0.0285637892516251-0.00704708444546082i
-0.0216092489034897+0.00329248723273069i,-0.0349197180470455+0.0326368753867019i,-0.0183395270428261-0.0705325565045099i,-0.00106417494843378+0.0172504825301173i,0.0329599107604923-0.00867715056699609i,-0.0229912015027458+0.00279224731500958i,0.0012618194987672+0.0323935813777083i
-0.147871336669386-0.00116551735804787i,0.0384059150491176-0.0246210045075474i,0.0482444229869811-0.0282004762692811i,0.0723294782588631+0.0176682192716772i,0.189695514144465+0.00542254455110381i,0.11923999811153-0.00143582035367767i,0.0692136426725311+0.0298333537921844i
