-3.9308366926102+0.00153612120249927i,0.829358599697708+0.0642252673272738i,0.852473543262102+0.122423561875601i,0.742447558814772-0.0472330127176041i,0.431164844019927-0.0303905952642378i,0.0327477676900429-0.0028499650817509i,0.58543077729634-0.0961215461089842i
0.0176444750909889-0.00100195319862683i,0.0577984179070634+0.0521058415674074i,0.0561904109297365-0.0251046567253499i,0.0613975089202883+0.00672843495984472i,0.015348617986861-0.0217241453502077i,-0.0410289471061196-0.000732804059077788i,-0.0368835564262891-0.0127101927503307i
0.0198427791033207+0.00308695591245049i,0.0199643771804175-0.00169750140017066i,-0.0057938431981354+0.0163136912658528i,0.00134806281782761-0.00882799648485094i,-0.0114826923695622+0.00286038310434234i,-0.0225976826345834+0.00158435982937187i,0.00591973260007772-0.00421571591621536i
-0.0201089455837388+0.00327598581329735i,0.0125712632277408+0.0144673261645044i,0.046503817775066-0.0140917057006599i,0.0258834959816234+0.00706186518074403i,0.0371981827307397-0.0145450453364037i,-0.0599450165349547+0.00246680093650291i,0.0149390948422329+0.013345365377074i
0.0790956323145112+0.00177608399254951i,0.00728209564534979+0.10829925137735i,0.0141057533734227+0.00929878047451497i,0.000877797457816848-0.0241467982498131i,-0.161283255287743-0.0423533999022024i,0.113664303355535-0.002368042357817i,-0.212951118857371-0.0470286753930506i
0.0672728922478743-0.00616742184977149i,0.0489385761094425-0.00355469015221156i,0.0574210729756849+0.0567091634840318i,-0.00789511988067498-0.0192524109168677i,-0.078695504428152+0.000330186014158186i,0.0595433729823427-0.0044594640801799i,0.0125076763114426-0.0448729890484245i
0.0608786662443194-0.00120011777911169i,0.0974359509930259+0.0412462157265524i,0.0495648198770979+0.0474148306263013i,0.035390630783733-0.0295843637616319i,-0.0896198764299459-0.00654546690893649i,0.0184489014738871-0.00139962298679544i,-0.0283351288545574-0.0535077344858425i
0.226543659766793+0.0021941762018493i,-0.0166596357810289+0.0406181700344724i,-0.0275715983178855+0.0277191724663926i,-0.0265837878276983-0.0199324534554395i,-0.193916705472128-0.00709622908155255i,-0.17996178744537+0.000173102680854428i,-0.0922936160670411-0.0382336716694238i
0.0400236421200841-0.00156162074673315i,0.0245586947563877+0.0271301721153096i,-0.010387929612967-0.00760101963353403i,-0.0366987315752409-0.0114769174054483i,0.0268755064457577-0.00516000317405259i,-0.105346517745395-0.000510785201775821i,-0.0208575519862263-0.00823503181454514i
-0.015077434109483+0.00263067319848358i,-0.0332681025428396+0.0290896097887818i,-0.0178417754494335-0.0620832164231183i,-0.00381827640336816+0.0166688115738858i,0.0242516687264357-0.00755157930024382i,-0.0238533433472219+0.0032327295618739i,-0.00111074516479798+0.0289501742675793i
-0.198643693958879-0.00119803638533416i,0.0236169675106737-0.0240639749763286i,0.029172275613736-0.027930383529956i,0.0570407990915977+0.0178291607853531i,0.172211402442248+0.00429906192833016i,0.112806455041209-0.0018449631155061i,0.0508347365126309+0.029237468922268i
