-3.90827488582078+0.00245960871620074i,0.667030951812468+0.0663175367545345i,0.685738239767863+0.13107148475575i,0.579985789769333-0.0432798927135567i,0.215451728903835-0.0309359237419677i,-0.0575224395216831-0.00357940086462143i,0.358761349647419-0.0918725751555221i
-0.00998550913629601-0.0010320268824607i,0.0571410575466391+0.0463954319586339i,0.0546945417003191-0.0253236035161952i,0.0641693705888821+0.00639981434151045i,0.0307246867718816-0.0213164114671341i,-0.0319371826913019-0.000284949852592679i,-0.0284515139573541-0.00819273779587348i
0.0163931276377359+0.0022315959626298i,0.0229717538632015-0.000439411065323679i,0.00273819435668229+0.0125373684926004i,0.00504441537012512-0.00685779792377846i,-0.00478425076439976+0.00563796592190364i,-0.0151778438295605+0.00142634821201929i,0.0161924325410104-0.00423597653253871i
-0.0379294251808008+0.00192238827823759i,0.0151639790630432+0.0150467801372986i,0.0386015138955517-0.0156947719944652i,0.023866610375457+0.00867195082936769i,0.0350233731644829-0.0107200525558913i,-0.0517199372374871+0.00340529117683216i,0.0147177543906757+0.0135084860105493i
0.113564631740838+0.00127931943012117i,0.0202606620530758+0.0995299423878939i,0.0240431841182031+0.00617088410785492i,0.00849310513582418-0.0195271148898676i,-0.144916695547769-0.0372140796993334i,0.103686829271274-0.0010397136971848i,-0.173498960205661-0.0427464912503343i
0.0510968164467132-0.00378375081894106i,0.0536609674171771-0.00646072015086017i,0.0631379015429012+0.0464997672394457i,0.0121892341705718-0.0176531596447668i,-0.0412533094498311-0.00463466715326002i,0.0679017154568387-0.00462603557465529i,0.0243293849144016-0.0348657690581114i
0.0392854982646832-0.000647224753398176i,0.100198046899311+0.0324061644241078i,0.0625360003448037+0.0410304272443779i,0.0505130312921895-0.0259870610943226i,-0.0502976369372251-0.00562442877117566i,0.0324575117610195-0.00176893523200143i,-0.00546952503512757-0.0447696799735994i
0.259224656085562+0.00157331738791443i,0.031507193148209+0.0385904030701877i,0.0317759772747686+0.0237224559633315i,0.0154039967559517-0.0178247591419635i,-0.137562721304704-0.00488643991591715i,-0.142095431173969+0.000732908237944082i,-0.0223987234244466-0.0340655538201639i
0.0415868787007427-0.000759159949160169i,0.031899965796789+0.0229427921364294i,0.000861236196016983-0.00651676064438454i,-0.0223116141751605-0.0104552971549576i,0.0273453307411007-0.00487746917266289i,-0.0926431323854346-0.00141109600163925i,-0.00599302145569843-0.00930194918342891i
-0.00656900597985656+0.00133921189254212i,-0.0332856393069286+0.0271455669358605i,-0.0188429270830284-0.0537434063108428i,-0.00820334788383347+0.0161322125999756i,0.012015898665219-0.00640117169367466i,-0.0270157324689504+0.00398208499030511i,-0.00738546865308095+0.0254608252919987i
-0.230481207481057-0.00106744610645653i,-0.0165895837346821-0.0227839499772031i,-0.0185079065559513-0.023094462910836i,0.0169051523447269+0.0167206304545185i,0.123115897265414+0.00165872069589822i,0.0835985342090757-0.00247248777287721i,-0.00655604062497306+0.0250440604278617i
-0.133562454942528+0.00152887960270956i,-0.011822684984281+0.00502713961185001i,-0.00353092779947286-0.0388468889363156i,0.00779610490619697+0.0214808217656168i,0.0781192801827639-0.00691730053401244i,0.113672440704046+0.00261568853390196i,0.00127107385277207+0.0305788105407711i
-0.144787414035353-0.000687931993378386i,0.0366644949176184-0.0291877531935096i,0.0465801081745284+0.0138035056378481i,0.0887489761439902+0.0116487513157312i,0.109972140158306-0.00497650756894612i,-0.0108910858987275-0.00152962796170365i,0.00759202694738776+0.0056149956773414i
0.0535188539639824+0.000207851853270274i,-0.0696473957686894-0.0253953883662954i,-0.0724963839686756-0.0279061475947137i,-0.0616835511646519+0.00982983227552337i,0.0202031760240198+0.0169441539640199i,0.0912868915055704-0.000318169292810169i,0.0240904982642339+0.0277515199347075i
0.075204545316682+0.00084133912572378i,-0.0600159455780564-0.00818401523742972i,-0.0284127361550633-0.00624396364201878i,-0.0607891024021695+0.00348662617284199i,-0.0692200040853746+0.00445521210906164i,0.0708139606043559+0.000345572010103754i,0.00619309660205594+0.0098345467977827i
-0.113362879988644+0.000149966034821921i,0.0430748340575814+0.0329683691548117i,0.00432620651387597-0.00463037356317403i,0.00838372638725633-0.00451015974738353i,0.0513345272749088-0.0163556023238092i,0.0605727810961265-4.90675934673723e-06i,-0.0586869352417856-0.00587420563383794i
-0.00252454497993085+0.00168894320210604i,-0.00322543241300266-0.0020758203360357i,0.0174095019162392-0.0161078114421105i,0.0160984675432034+0.011788436289776i,0.025934207298619-0.00327605450976236i,-0.0560813446126091+0.00342875145803047i,0.0288057683585068+0.0156683803211937i
-0.0054752668567079+0.00149787029775986i,0.0157411323591998+0.0178740983246096i,0.0337118719547286+0.00503601763570542i,-0.00341313351056057-0.00819614487574805i,-0.0165733967177162-0.00545192451291669i,-0.00622390110548599+0.00107164866250801i,0.00924095038510427-0.00216157651370836i
-0.0420250052466425-0.00195705750246158i,0.0203493921226998+0.000966920660686685i,0.0416258348285035-0.0183119542221425i,0.0682757803001227+0.00932851581459918i,0.0391476721193995-0.00287197924085191i,-0.126318711275265+8.30581699714757e-06i,0.0305248863092933+0.00446423120495208i
0.0242712086205718+0.00315016027985346i,0.0180593293873451+0.00946550368017047i,0.000803258706276667-0.0226769969992325i,0.00713332843594109+0.00227954909617804i,0.0291627972499415+0.0104973310628932i,-0.0665288593834812+0.00420216590870619i,0.0549444668343293+0.0161405278465695i
0.0520205968933268+0.000636290759163618i,-0.00619476603704272-0.0097945545478289i,-0.0211908369733542-0.00310638317035403i,0.0339661866636213+0.00316227134281554i,-0.0160866733441981+0.0107572379983974i,-0.0152230903711704-0.00013893288668306i,0.00135352798992923+0.00132799303702703i
0.0168242613359701-0.00139655177629253i,0.0143640442653638+0.044539768118798i,-0.0154189381038651-0.0446201139025401i,-0.00126383060526982+0.00746859087833647i,-0.000731489625956026-0.0104719109350187i,0.0831094767949833-0.00103489222973228i,-0.0343836565159035-0.00503846486764474i
0.0864302477521886+0.00100564484914525i,0.00656649563121089+0.00368083659601863i,0.0050832157579575+0.011378347847659i,0.00907722508056428-0.00520313824400408i,-0.0673894187686654+0.00498173677460327i,-0.0482402124392653+0.00205842350408328i,0.00966842907822835-0.0116859043519689i
