-3.40815116244329-0.00369374890421368i,0.25987312318262+0.0633525364836051i,0.350905566540424+0.0421121306261578i,0.102261180293944-0.0112194647161561i,-0.309780270206076-0.0344945762337895i,-0.00434525812973222+0.0101650615385094i,0.0285452800618273-0.0112456904815982i
-0.0519478804580768+0.000923832662795994i,0.0170184764754212+0.0279821525614549i,0.0107961964401018-0.032525806940336i,0.0314804206923732-0.00140439653625702i,0.0754891267658781-0.0188343495810733i,0.0234370041280732+0.00500670585816896i,-0.0276156628866326+0.0149073941513529i
-0.00381631966520758-0.00148150798038847i,0.000211617839522486+0.0111732637694888i,0.0110553368010114-0.0143865934501838i,-0.00620760781474798-0.000140776968775795i,0.00975851048736223+0.0176991448848067i,0.0306905412613812-0.00355134687875887i,0.0446570319015848-0.00127759172647915i
-0.0477618291430514-0.00286179857672306i,0.0132466085256162+0.0271273963933005i,-0.0262556116925558-0.0439743206125112i,-0.0155191356184334+0.0138246129664198i,0.0209386245067069+0.00764349776838916i,0.0105755066254386+0.00256283690668291i,0.0229651954687885+0.0127080377800097i
0.0823174948821602+0.000272256919671925i,0.112597369491369+0.0637084361119472i,0.0797613226967066+0.000341532800025479i,0.078685346501324+0.015051108683498i,-0.0720827787765229-0.0282375846497551i,0.0470897430292767+0.0010313215019478i,-0.0537371370570515-0.0431366534517616i
-0.00955972906852352+0.00358070202322916i,0.00953170123159345-0.0289683096032941i,0.0368128074589112+0.0184644127671852i,0.0550110748788806-0.0100865033383218i,0.0662563656647146-0.0242061171292162i,0.0887637877280101+0.00385742737733356i,-0.00291306065394397+0.0147618044945235i
-0.0372023720119964+0.00190656452332773i,0.0388834081306288-0.019040261281132i,0.0597964828223213+0.0266523901639269i,0.0464334975738793-0.0103004275504349i,0.0743265669267993-0.00726043291664653i,0.103195915182968+0.00032024544576222i,0.00889142719639428-0.00233477828590693i
0.0981977486914913+1.61713683018917e-05i,0.139622813753897+0.00635167806427387i,0.193272583585188+0.00653483944225634i,0.125294751743151+0.0072253596868322i,0.0719827043465727-0.00907139524354863i,0.0177012482560777+0.00465089113462605i,0.141479352025372-0.0101574298552807i
0.00448336684013706-0.000107202313965468i,0.0320386912762362-0.000754150895580172i,0.0260251367818463-0.00694415533022619i,0.0394224590694441+0.0112304071491384i,0.0238248687978318-0.0011683696007107i,-0.0275900433027095-0.0056980354077826i,0.0423167770253894-0.00203771476283904i
0.0150600217700375-0.000893175281129776i,-0.00735780829720622+0.0123705340293179i,-0.00181357941561412-0.0241369269703634i,-0.010177740677301+0.0167935591213091i,-0.0212100372158124-0.00749603496014914i,-0.0441248637730745+0.00749335497795726i,-0.0131679726114762+0.0075939031912915i
-0.102070300453753-0.000201202082074157i,-0.104877604605426-0.0028455554915536i,-0.13906473549985-0.00951370465689717i,-0.102077171326669+0.00861296942952269i,-0.0505258687927274-0.0034554590778424i,-0.027144753555268-0.0031432906746505i,-0.132167937007891+0.00737982152540877i
-0.0486318853718564-0.000522754716920637i,-0.108924957391378-0.00742119645329092i,-0.0819572975740996-0.0307934034196136i,-0.0613342811457857+0.0212268156500069i,-0.0279391693908202-0.00262173455853165i,0.0148082888125447+0.00794315900192435i,-0.107487286852245+0.0213334078930664i
-0.124091139033888-0.00135399493618734i,-0.0365159334399537+0.0161093985974562i,-0.0964855291758177-0.0246110285525598i,-0.0404424010992203-0.0117941328064011i,0.0472078808352578+0.0121448342188441i,0.0294050123171087-0.00417698578629513i,-0.0408865791169721+0.0138231479292692i
