-2.94659119021937-0.0184004605251657i,0.00275959423855822+0.0290436527105229i,0.0728202380729925+0.0354715212575222i,-0.238234678722465-0.0218940504872969i,-0.503676006763723+0.00167065079274044i,0.394139170770977-0.0948328369377561i,-0.406293091185868+0.0722055276390207i
-0.0113826250816695+0.00721134377438686i,-0.041000068999735-0.0101529054732568i,-0.0582229942594172-0.00957948177035806i,-0.0314215584254856-0.00903881952954906i,0.0584294169418274-0.0134131742416855i,0.062158608620723+0.0207370968645471i,-0.0185980645800137+0.0127387216609883i
0.013205395240788-0.00902598924666831i,-0.0273917990308774+0.0100016434534752i,0.0202189762673002-0.0162140782647364i,-0.0251326984774712+0.0122439314782181i,0.000167941854213824+0.0229125010441838i,0.0521914624630177-0.0146892849509378i,0.0249985629591546-0.00349554516234368i
0.0128547552833281-0.000359266313425574i,0.00324222603810183+0.0169670470416039i,-0.0819339252953704-0.0175731223240084i,-0.0572867161604609+0.000378664495788064i,-0.0467117729013739+0.0109619584759327i,0.120842639304638+0.00517290965647516i,-0.0338753940834739-0.0120565872305021i
-0.0614391456336139-0.00314056675453278i,0.112937943521181-0.0346852212346885i,0.0785513704535553-0.0441816342055496i,0.12140780417651+0.0414021143477771i,0.142521287897881+0.0173371544851435i,-0.262291629547932+0.00951370077478466i,0.225496896933081+0.023693019785043i
-0.0467787617751826+0.00822414285451847i,-0.0297109187171221-0.0238617840964641i,-0.021738640765048-0.0485908783411866i,0.0780529726949873+0.00456821383283099i,0.168676927542169-0.0283922473923399i,-0.0432224775496438+0.0135907009868999i,0.0105742762766985+0.0674851719316325i
-0.0405877801735264-0.00343506264117178i,-0.0587892148698416-0.0594359268677548i,0.0144472132825805-0.00704746673725641i,0.00691181588955885+0.0155113588746362i,0.15920679946297+0.0100773712751424i,0.0220013841868451-0.0104985539808499i,0.0352304695075104+0.0475566331715555i
0.00415589161843994-5.63842077260998e-06i,0.149661874232276-0.00783240521112309i,0.226187367701014+0.00356067192020694i,0.146684173373685+0.0135897400841633i,0.168084522923346-0.0055918159174049i,0.0337686743896321+0.00463371361207389i,0.17935751371667-0.00695286138620479i
0.0181466157245065-0.00338640255250816i,0.0161404176442088-0.011935982566021i,0.0337796164950245+0.0222220282293912i,0.0472475913035398+0.0142384722420256i,-0.0337728531415268+0.00088555768351687i,0.0722050202614214-0.00682569986104011i,0.0228812823757503-0.0144011303129747i
0.0194290511880791+0.00433872751151757i,0.0228207669648045-0.00856710894946509i,0.0131787251055059+0.0323666626516148i,-0.0087961630160196-0.00175898665702143i,-0.0518264546937861-0.00733497959949987i,0.00322210136340544+0.0127025702156664i,-0.01902057778973-0.028608585973949i
-0.00405384956230525+0.000462820024611444i,-0.128969957790048+0.00497350548468452i,-0.175480476735069+0.000913053307509834i,-0.152403301255904+0.000493395764990183i,-0.150535920225929-0.00442990206749586i,0.00625290539199345-0.00211122771565186i,-0.159981405125537-0.00230918348460216i
