-2.50685697010972-0.00618755866574137i,-0.341895719960711-0.0199452959714011i,-0.301843176468962-0.0177925692350115i,-0.551319838349211-0.00211794444270724i,-0.534952181768185-0.000446522533685243i,0.550961384269613-0.0725958681318361i,-0.664627185168871+0.098689050618172i
0.0379318018031812+0.001547570746729i,-0.0788358581320033-0.0519114617232422i,-0.0994086284796836+0.0357160587928521i,-0.0870495123591843-0.0142578452761732i,0.0133609284699339+0.00724540124780432i,0.103287581711801+0.0119146071285645i,-0.010864178818+0.010466502234349i
0.0105351445266173-0.00380691247609246i,-0.035680801744847+0.00841600758059713i,0.0262112097195725-0.0267396126232182i,-0.0183241077160583+0.0132747870261251i,0.00957432657814883+0.0139131562004882i,0.0441378933744684-0.0105201124162845i,0.00871489506895926-0.00199829316058388i
0.0416842549324134+0.000352892722761567i,-0.0114485113561102-0.00809628404153537i,-0.107886733897457+0.00801859090449887i,-0.077159898893832-0.00780291343400679i,-0.0722588632126338+0.020360114204226i,0.150122622463906+0.00321233226788199i,-0.0452172944785767-0.022268624836613i
-0.10586040339088+0.000414673390921123i,0.105983085192469-0.100292987775856i,0.071432676788715-0.0223184702359029i,0.122795500480624+0.0339093579837977i,0.220737745462301+0.0356483225418054i,-0.322585438101354+0.00835450257950294i,0.298829525424695+0.0407393091084401i
-0.0357191012810796+0.00114623772071367i,-0.0594330646171576+0.000314080123694079i,-0.0714248874557212-0.0936922999334376i,0.0759460687333954+0.0243789209990574i,0.203621177065048-0.025310912725216i,-0.0982535067168283+0.0102085575739038i,-0.012696922084031+0.0916831016542704i
-0.0187135461966728-0.0031999392275501i,-0.12052665005444-0.0639127929516502i,-0.0287866298189676-0.0424327662780873i,-0.0150532631531789+0.0327877137074791i,0.191640058096801+0.00775397556089571i,-0.0168877918270339-0.00895586017690666i,0.0183097966093317+0.0718628264889841i
-0.0247310775363149+0.00157165674447851i,0.131288786134631-0.0280762463983886i,0.192931648801212+0.00505731080055662i,0.126493865675774+0.0114782758381572i,0.22576186240856-0.000618946862160553i,0.0888807347994475-0.000167331383848023i,0.159445047991966+0.00578228815309887i
0.0290641862447745-0.00386859499396839i,-0.00520794400795951-0.0300984338899526i,0.0316090813564324+0.0402294789035929i,0.0410488445043582+0.012715207367759i,-0.0644396079730519+0.0049999017468962i,0.127988970923589-0.00699140620716962i,0.0191623618579954-0.0147002623718214i
0.0153663930316274+0.00270931846349005i,0.04186657444244-0.0391668103274127i,0.0251696218140813+0.0869173707608479i,-0.0118399291793963-0.0166808529173623i,-0.0676689411610129+0.00665157472038518i,0.0323105197840167+0.00414320443058469i,-0.0073096558724062-0.0460596976034536i
0.0364118171520938+0.000531905503261642i,-0.122225694439766+0.0124702699610858i,-0.16066294077285+0.0107122155463111i,-0.161003606789678-0.00551374028624219i,-0.216864882817979-0.00535527806509552i,-0.0103518928579176+0.00231897088397719i,-0.13146914814416-0.0145438263559962i
0.0201950120564067+0.000399248189100456i,-0.110515138355624-0.0332724074822151i,-0.104678289351646+0.0134404889038605i,-0.086397462171115-0.000405927226760541i,-0.0962728176693285+0.0191685171838105i,-0.0843507910733989+0.00330441822280531i,-0.0833816283587184-0.0105599973439362i
0.0767397429843759-0.000472264266912325i,-0.12535351985504+0.0446127024739433i,-0.218122447496378-0.0397564835873956i,-0.214977634592682-0.0196166123248907i,-0.14749568722199+0.00402727041225788i,0.185437051121102+0.00535712180966193i,-0.111301827470628+0.0023781019642241i
-0.0167394502423266-0.0014900530415921i,0.0787972618855708+0.0283183104299328i,0.0958379689505141+0.00919602984856055i,0.104856604360188+0.00323405617539362i,-0.0169061452615768-0.00600460183006439i,-0.202795321185984-0.00262715027127365i,0.0283701618993986-0.0231367314131591i
-0.0648507939923905+0.00577307966807816i,0.120934242574642+0.00315731801310076i,0.0956093012769855+0.0183032072260309i,0.135834644424549-0.019556726097999i,0.125712904882002-0.0120218767408361i,-0.214866783210671+0.00921709152172571i,0.0445900257206137+0.00220719981787349i
0.0109129243197327-0.00534193256592869i,-0.116664172637068-0.0466998127709342i,-0.065029056502272+0.0028709391326185i,-0.0875244117253225+0.0135388681362136i,-0.109237753064609+0.03793947627221i,-0.026067967643596-0.00947547364846948i,0.0272358352958036-0.00269590463564281i
