-2.28193676118275+0.00813306885591253i,-0.533355031237947-0.0432822721424457i,-0.530853057652073-0.0905293289203417i,-0.652104359025003+0.0126366854466069i,-0.490061359684792-0.00830826088067788i,0.47567732061177-0.0366669649562597i,-0.758809719555833+0.126608704256395i
0.0431522750076814-0.00333136027697749i,-0.0848916632260331-0.074641390249072i,-0.098064066694316+0.0595276884683343i,-0.0952446860013503-0.0148082294698606i,-0.0147439296360427+0.0220974199878882i,0.101512967982087+0.00335968987227773i,0.0152417653135693+0.00954245599552382i
0.0048222651950887+0.00175738639509847i,-0.0345666345867865+0.00507302092636364i,0.0236049185567738-0.0307379132223133i,-0.0062896664535129+0.0120770273145937i,0.0189122027806423+0.00397326649527158i,0.0320778039065446-0.00458675743636776i,-0.00125896350239282+0.00129415822113347i
0.0305701609424988+5.57006601221168e-05i,-0.0140572701602842-0.0237706309554675i,-0.0932441635657824+0.0240624854581608i,-0.0625887140907168-0.0104893471820014i,-0.0703728833492501+0.0254325168390404i,0.131398239759613-0.00165592683828721i,-0.0364936115920116-0.0233680565988043i
-0.0685305656061827+0.000489309255461264i,0.0578057680213805-0.145331316821386i,0.0266991554704799+0.010906996939862i,0.0670271244833189+0.0259040694433857i,0.234255507746739+0.046522191617723i,-0.273024910564169+0.00422054517955314i,0.292019814782759+0.0465948882150371i
-0.0023900369264994-0.00543218520423914i,-0.0766238724794533+0.0139248542616222i,-0.102140451702195-0.10863604092223i,0.0543069456761832+0.0339993197692731i,0.187559127074398-0.0162244349952718i,-0.106487358909398+0.00719587794418319i,-0.0296593445326534+0.0903553081253005i
0.00562121853496047-0.00165559505963788i,-0.146549925636451-0.0585291815510654i,-0.0618761122365088-0.0683212416779479i,-0.0251275438075143+0.0415582087710155i,0.184318854643557+0.00290211043118425i,-0.0346986358904149-0.0028746279408343i,0.00997371732439112+0.0806136243170103i
-0.0114766446993787+0.00208883290440982i,0.0956192133724843-0.041734964328161i,0.121355143286366+0.000219423944739353i,0.0884385714142126+0.0114576844884878i,0.262609805485576+0.00161734521815727i,0.147378311641834-0.00094466563759231i,0.12065960933087+0.0208495171196091i
0.0239426278154853-0.00192351560225372i,-0.0206819160275167-0.0405730179828693i,0.0300388049677536+0.0388983420912251i,0.0480129760223713+0.0122165640979298i,-0.0672439920742183+0.00569108554128296i,0.143922429713981-0.00440121473382809i,0.0208445384595562-0.00806102710168906i
0.00306690392152291+0.0011428460367585i,0.0528228224498379-0.0553753086094775i,0.032466801403415+0.114104678852236i,-0.00756407220700163-0.0246209177076277i,-0.0644987470036436+0.0155798779077899i,0.0417819838213423-0.00268708513636795i,0.00344715748242527-0.050988175429451i
0.0224089624642328+0.000230651527208592i,-0.0901936522184513+0.0211727270390119i,-0.105980547709728+0.0185064695956261i,-0.132923490954421-0.0113701518942252i,-0.251596819894347-0.00515996730126987i,-0.0545352249735554+0.00356576510265654i,-0.0834574750654903-0.0244822053403358i
0.0128318987626782+5.7668756601909e-05i,-0.073401053375562-0.0328328928037117i,-0.0758386737715211+0.0382853910839125i,-0.0662679876056917-0.0127366271008349i,-0.126732535746953+0.0236782491221573i,-0.124978507415024+0.00111317462484616i,-0.0499033896071485-0.0261473241827579i
0.0628259937089951-0.00189287947672094i,-0.110215885224758+0.0525734429894553i,-0.170104987290131-0.0436041113360044i,-0.200181577983894-0.0162663260150892i,-0.175603620867689+0.00300322124448175i,0.135368987119925+0.00367774402700738i,-0.0723070474135907+0.000471961565505842i
-0.0204711859533662+0.000738464776007835i,0.0985525823744981+0.0332528082262123i,0.119852730958382+0.0240472725131005i,0.106070986698283-0.00467758934261234i,-0.0282495871952179-0.0121182534231411i,-0.189068408109331+1.16713485542354e-05i,0.020704872619953-0.0342890231806329i
-0.0507645506579922+0.00171945604354411i,0.118158139262697+0.0113379932043615i,0.0713596504244544+0.0136193825109405i,0.125094318583957-0.0128686518750104i,0.133293519046022-0.00719946375637761i,-0.188717651933165+0.0043492959092767i,0.0223260873908924-0.00157815381072121i
0.00246793183604142-0.000828929362668799i,-0.115136243604008-0.0608893656710797i,-0.044616044777508+0.00753687966571874i,-0.0611287099663017+0.00993896353980104i,-0.118633193658123+0.034365211720909i,-0.0620966994397166-0.00422995098872831i,0.0558882833968537+1.92536610632166e-05i
0.0266650062114438-0.000915005333902679i,0.0128085414743714+0.00225541197802074i,-0.0435870656425829+0.0306246500795513i,-0.0323558543499938-0.0228886280697072i,-0.0481362110858136+0.0152804573805969i,0.121697370392131-0.000283081928440123i,-0.0350915082384134-0.0245204345288564i
0.00173929183159618+0.000117006624130054i,-0.0216712837778587-0.0260138467121371i,-0.0616098724837503-0.0250431242053443i,0.0126236265266382+0.0240844180312029i,0.0449136102596994+0.00994395604233069i,0.0165017707434833+9.1853291609708e-05i,-0.0328435829765204+0.0105142512185241i
0.0536082560745442-0.00162140848565556i,-0.0347952335552063-0.00264314731428556i,-0.0924532385905748+0.0518255580193001i,-0.13241825486069-0.0160954876622635i,-0.065362866546106-0.0127002074575996i,0.267322114051862+0.00202191482626971i,-0.10232496289315-0.0127305501870802i
0.0316663763736219+0.00259569431850072i,-0.0297048403114117-0.0278923637171649i,0.0324362884516909+0.0402860845072132i,-0.0253863217485807+0.0064018038664089i,-0.033852552493506+0.00216059597106808i,0.140952325428183-0.00684321089863146i,-0.0601275143769524-0.0299864781819925i
0.00631060691134736+0.00154039844807326i,0.0290977316636691+0.0130916852502131i,0.074584077533237+0.0178386168128874i,-0.0509393327377555-0.00688638710179854i,0.0320926458452085-0.0134016946556342i,0.0210776606658428-0.00150836648412559i,0.0356904819182116-0.0104107837429545i
-0.0062954428421453-0.00248594069566696i,-0.0526114460540476-0.0817096213394758i,0.0381347959920968+0.0883900811108885i,0.0230148730572147-0.0177885812931163i,0.0365526594165952+0.0144037554234064i,-0.142638860676287+0.00094005943244725i,0.053342909961115+0.0066949819065536i
-0.0147375184907427+0.0024707549434547i,0.041645897604377+0.00700160222404176i,0.0603781970343886-0.0108507071831849i,0.020148532863069-0.00332780372837469i,0.117967209966953-0.0031080601097566i,0.0497384211830598-0.00362093751505948i,0.0258736378818887+0.00542957320118085i
-0.0107209328990192-0.00103873808616376i,0.0642478281974563+0.048769412419717i,-0.0626235105527185-0.0350787821013326i,0.0212410730662367+0.000737101872260906i,-0.0329393037303112-0.00256862914093984i,-0.0779390073434343+0.00103079897670589i,-0.0467273275192753-0.00907413813833982i
-0.0169290734103803-0.00183896800517339i,-0.00660368775584537+0.00443797984982993i,0.0348114066515398-0.00921065557661463i,0.0503832113625206+0.00190417837338281i,-0.00978680393105461+0.00421957330765626i,-0.0308587898137254-0.00233812545885599i,0.0258172746412219+0.0054624436087743i
0.0197029160538566+0.000396371509055196i,-0.0206713878011969-0.0077956135394367i,0.0292920782978463+0.00892434763093327i,-0.0590361167840193+0.000166712438814999i,-0.0580520286240444+0.00254809332459696i,0.053185580839416-0.00290030759717544i,0.0641473384701309-0.0050756048784205i
0.0211544917307457+0.00267859533288336i,0.0221102123105305-0.00255199072861688i,0.0843304365485548+0.0567536460206808i,-0.0411925216341934-0.0206280832810382i,-0.0329278189382488+0.00365664953563364i,0.102238959519716-0.00326568346297219i,0.0121034209650224-0.0438771280504374i
-0.0114542407428756-0.00116204226800988i,-0.00248936224714569-0.010444283463927i,0.0542210284023383+0.0132921832396069i,0.0120397291291316-0.0132668225425225i,-0.046032316735715+0.00804222004170248i,-0.0342347802533872+0.00287243259102074i,0.112686751318544+0.00308382173195174i
0.016551484899246-0.000162899947782483i,0.0018772382455055-0.0345162603996529i,0.0203289437111547+0.0616844619607288i,-0.0519151940837509-0.0187967375388283i,-0.100201569565271+0.0169892190183446i,0.0186597875552131+0.00103194571141171i,0.0744124140231321-0.0281190109508472i
-0.00697923838166742+0.00141458204190437i,0.0169904776324734-0.0392398210626627i,0.0449353683225132+0.067992817318744i,-0.0305015602239573-0.0140656783549165i,-0.0309658507849458+0.00912937103311457i,-0.0312426112384906-0.00196663021771948i,0.0411064429837014-0.0264054250452502i
-0.0149426571051893+0.00094738999221909i,-0.0394640280200886-0.00293670998888145i,0.053744754536621+0.00470519678472637i,0.00376608500783312-0.00177086749502683i,0.0368333419914452-0.01021951639761i,0.00442385228158856-0.00179184199779866i,-0.00209952475519041+0.0128413353588549i
-0.0106349878569232+0.000811704733102378i,0.00327824661361048+0.0125490256206023i,0.0297743065496661+0.0362922510702153i,-0.0731547004340081-0.0205982695382435i,-0.0015808088100232-0.0166025093180241i,0.00932851831843941-0.00124963409313042i,-0.0189868957467022-0.00614297822680696i
-0.00343278367831604-0.00292244798591622i,0.0186577527630985+0.0426239232262078i,-0.0192823540858259-0.00239854402560442i,0.0251659467682256-0.0207212604255925i,-0.0114140840725934-0.00862450683211157i,-0.0414161667497759+0.0036168976555146i,-0.0318847145824875+0.00350269941054092i
-0.00701095861526817+0.00151123567972397i,0.00543727129494132+0.0203040015029137i,-0.034706625654357+0.00146356899686206i,-0.0308742151167234-0.0218744898361976i,0.0523450023574258-0.0050660138518939i,-0.00313934850353596+0.00297657795517611i,-0.0629310026489505+0.00152473402546918i
0.00635662565406903+0.000725906116956111i,0.0837077560071646+0.0357095626935613i,-0.0223966272177613-0.0210722968334773i,0.00360288586472445-0.0116655441524412i,0.0446661710211566-0.00100488442810625i,-0.0133241003681039+0.00508206502053542i,0.0155057750195936-0.00664228844027804i
0.00873019118252705-2.72539162748879e-05i,-0.0289025209906259-0.0302640017697892i,-0.0580849382616365-0.0229229408170297i,-0.0161113704898407+0.0106144395259071i,0.109537485578373+0.0131808580778312i,-0.0315592775832304+0.00260944553316371i,-0.00762479665792773+0.0194791209245942i
0.00780973928437149-0.000552104808784325i,-0.0910815747062901-0.0249460326663046i,-0.0158533345559713-0.0481246110602388i,-0.00443974207291195+0.0333038363068837i,0.0422298579554203+0.00295470944426437i,-0.0656527586510133-0.00185007379282035i,0.00199116625000831+0.0313709396736838i
0.00736748616553242-0.000593720350285162i,0.00451908653132006+0.0277638738348738i,0.00429417709590159-0.0331006812990592i,0.0510924486019418+0.0248783827960118i,0.0101035038814693-0.0175931817695625i,0.0670602405138319-0.0036539317739806i,-0.0649330367269931+0.00629856027872445i
0.00422667952186803-0.00107188691452755i,-0.0547684810311762-0.0434131925342263i,-0.00864042853581595+0.0489613736937923i,2.30075951217082e-05-0.012296014200918i,-0.0575893744267091+0.0135458287961514i,-0.0181381366179629+0.000799005357125138i,-0.000906102100974782-0.00543416351037907i
0.00485585496356658-3.57518100808285e-05i,0.00769853466429388+0.0185504973415104i,0.0086572438674185+0.0160598754535079i,-0.0179518895570507-0.00841954930319516i,-0.0823488636466361-0.00652406592873391i,-0.00529204789270423+0.00242036117754278i,-0.00761264725619195-0.017375691618756i
-0.0207877596063543+0.0017930392289759i,-0.0292191478032188-0.00297547548720768i,0.0525186830592105-0.0219611983122349i,0.0746219971278171+0.0267232086326892i,0.0647142960640789-0.0136306358635073i,-0.0670535167254366-0.00711435674786385i,-0.0645499647133132+0.0130180140182466i
0.0145445461602088+0.00142725645951549i,0.025690700589891+0.0448148430714467i,-0.0259483087383516-0.00531848233922966i,-0.0503595901692001-0.00782437480123524i,-0.0244634976731023-0.0170927178396972i,0.0947259569364749+0.000751804152797316i,-0.0776862880097408-0.0152421254117223i
-0.0139403875366857-0.000371351811651525i,0.0369886580923957-0.0229674542608438i,0.0279000671232847+0.0310720027595312i,0.0653116683354428+0.00384853034505485i,-0.0977761546295331+0.0140380138403432i,-0.0380094136059008+0.00123612251870854i,0.0480044645020874-0.0282597761595731i
-0.00818518362699399-0.00258711806491861i,0.0377266435997677+0.0313919293725373i,0.0338367811657226-0.070524046949802i,0.0704003844494787+0.0117289005349364i,0.0206344928275807+0.0072024037786371i,0.000423285966880491-0.000156387501536813i,0.112047148736683+0.0230666640068935i
-0.00202330859790789+0.00223330521856971i,0.0236634042256014+0.000521612602243576i,0.0727549102886664+0.0433267470076677i,-0.0513518946417253-0.02088314427781i,-0.0473759821247335+0.00075741311626912i,0.0452245080908854-0.00190427043128403i,0.0459637159312193-0.0278829540154738i
-0.00038120075003192+0.0010414667282318i,0.043810205732365-0.0208003805646381i,0.0049551738423517+0.0614645258765807i,-0.0588224778138578-0.0251768906526502i,-0.0593331368062579+0.0107317284322598i,-0.0456605399936637+0.00301465572454467i,0.0409404892249133-0.0316815250303002i
0.00105626410926076-0.000218742576706417i,0.00754870354193761-0.0286410863831023i,0.00567942420355929+0.0466345905337354i,-0.0334580538418005-0.0160491430314694i,0.0203740187771698+0.00332668605690373i,-0.0535702366646971+0.00162515751645322i,0.0335493345806109-0.00218195474679847i
0.0305545280957701+0.00259724984586213i,-0.0689847784074198-0.055891652839888i,-0.0519502868333117+0.0181434104527565i,-0.0721142569588109+0.00757754759476424i,-0.0146841008621441+0.0256709698936886i,0.0224420317647182-0.00357841645519657i,-0.0201527089600672-0.0130598550867409i
0.0331223285234432-0.00334236026630837i,-0.0289946849904878-0.00564872166830352i,-0.0517955320910325-0.0348990448982098i,-0.00414506861162284+0.0108814219926591i,-0.00681065899667206+0.0144702396920524i,0.0831766185851495+0.00220065073737117i,0.0455958708919062+0.0154200496024795i
0.00372342377237587-0.000125493861824766i,-0.0637445877641266-0.0368193020305486i,-0.11015163814141-0.0126577576829668i,-0.0387185514871254+0.00579132959860565i,0.0374679012068285+0.0147307026773184i,-0.0156358000776931+0.00174436153220855i,-0.043686343465829+0.0216158350595647i
-0.0127164318971596-0.00153980122419904i,0.0262947728809155+0.0494123112481995i,0.0211876011711825-0.0486734529475514i,-0.0126975008559767+0.00269270512976774i,0.0644800869930094-0.0236450341357754i,-0.0479270137780703+0.00188583489833467i,0.0443039229613421+0.0320992427117436i
-0.0211746918507578-0.00109046690172289i,0.0140681424912669+0.00864517107421029i,0.031894807123228-0.0137872251795247i,0.0748997165160031-0.00523732480042771i,0.0320238040772448+0.00210410820794791i,-0.0462753244592905+0.000195383836194983i,0.0293683306765247+0.012083918803476i
0.00399126499867109-0.00285483530593408i,-0.047203287645496+0.0258020217535668i,-0.0161961697162814-0.0430970409942876i,-0.0478343274548422+0.0146553906974537i,-0.0497748509763824-0.020405935589371i,0.0260215594572177+0.00459993809932542i,0.0547501494496632+0.0330449847669676i
0.00200841012011321+0.00121755632355264i,-0.0422375446748524-0.0548687584597529i,-0.00177583576194481+0.0460640745457036i,0.00861143040420673+0.00306611763710628i,0.0448582018996909+0.00987763010358987i,-0.0148691257249861-0.0051369488746678i,-0.0554644725030216-0.00617236308587229i
-0.0123004189966477+3.80721780666965e-05i,0.0366215029146913+0.0206633560497834i,0.0220424458161927-0.0354864264263413i,0.063008861665329+0.0161841935177719i,0.0109161369319155-0.00227238614004836i,0.0174872388454798-0.00409113168721125i,0.00310080772631404+0.00271526498963613i
0.0232342272345127+0.00133065901824865i,-0.0581844227543337-0.00331768866722441i,0.0187116138890658+0.0375041577578185i,-0.127538140556651-0.0148014851477579i,0.0196964665116298-0.0145817624379022i,0.0211115570630526-0.00394202098358449i,-0.034612776884878-0.000458315013043115i
-0.0132936611562486+0.00375040782791345i,0.00643720229971858-0.0192020496025752i,0.0350482317110608+0.0195943419456535i,-0.0188459997096808-0.000950191567955616i,-0.00385908068512806+0.00758149326528668i,0.00329238114266771-0.00385488753213323i,-0.00048203318463777-0.0206286342993823i
-0.00510581683065069+0.00176277190044234i,0.0233458901400805+0.0172512766839844i,0.0105037369700179-0.0146063085092571i,0.00350707382118135-0.0060583485841735i,0.0415327358665923-0.00140322155249488i,-0.00331793201160234-0.000488646632939133i,-0.00854028382348811-0.00157906551705705i
0.0259516999918654-0.00138135158493096i,0.00408111506129968+0.0359895942482827i,-0.0296356220644465-0.0641101485561397i,-0.0191395468639798+0.017482890270602i,0.0137435628584627-0.00823117184312256i,0.0243531080287147+0.00120183377319025i,0.0164237840727724+0.0185968624705449i
0.00176646024883082-0.00153451307614437i,-0.0540909059003152+0.0212539232545764i,0.0343225760448436-0.0098252681006966i,0.00233357705854461-0.000769365629870667i,-0.091865197748736-0.0149365957691745i,-0.0226609091747958-0.000768880879630555i,0.024354410301097+0.0150448133599304i
0.0161051502728224+0.000313537900748771i,-0.0633941706230619-0.0216239872262977i,-0.0320767630941432-0.0166375979386131i,-0.0204462767197289+0.0208144327608778i,0.0600182682806936+0.00180986616118986i,-0.0113525395976845-0.00545577391922687i,-0.0611934151499692+0.0137796104759014i
-0.0148957139479584+0.00392706911014901i,-0.019121276684416-0.0163001160536474i,0.0521334761314751-0.0103585519271573i,0.0335949069125234+0.0277308605698791i,-0.00623062888931699-0.00405337284611316i,-0.0540989151763921-0.00421762319671957i,-0.013443104009872-0.00840718178255453i
-0.0259650193384562+0.000819231080018651i,0.0644871523359104+0.0436648019846102i,0.0130147966612388-0.0673272874869552i,0.0521488233439136+0.00406006929553904i,0.080278333865359-0.00101666096180266i,-0.0600444997386546+0.00279471170259003i,0.0316077544371739+0.0129743349720227i
-0.00218198376562407+0.00168248363206784i,0.0403750250276639+0.0329077906783622i,-0.046834307011196-0.0713516825477061i,-0.0131490755394924+0.00586765992375591i,0.040636487031197+0.00973315524850571i,-0.0182139366450431+0.00369672532847085i,0.0350091509237042+0.00863815252427633i
-0.00657697617913303+0.00245165112483269i,0.0742804373290584+0.0539095675613787i,0.00542423587705365-0.0143926029328277i,0.00202314637303789-0.00961533531408997i,0.0219583505648358-0.0113290286819487i,0.0443234850444146-0.00104579350161554i,-0.0622630199512138-0.0211000560990741i
