-2.31845120880541+0.00209574431099106i,-0.560057725618217-0.0436775765081331i,-0.561212473498943-0.0971146133777561i,-0.477307903616335+0.0198216769048918i,-0.30344619648156+0.0295976064220959i,0.0251135324844369+0.00350009426278521i,-0.505455224512897+0.0790207472653627i
0.0114560884718338-0.00405777663610666i,-0.0647677176359195-0.0685355460562115i,-0.0530944349409548+0.0350158738699402i,-0.0618104468931111-0.00159018481772069i,-0.0423271761444986+0.0287459972730369i,0.0404362609100521-0.00447581805979319i,0.055376945722134+0.0128663728133665i
0.00722972125614964+0.0035687640918257i,-0.0146797733877124-0.00768406175920971i,0.000611001540852237-0.0103084185532005i,0.0127537146139194+0.0114202213373617i,0.0164932088871127-0.0121100666643649i,0.00978815528635898+0.00364522607159285i,-0.0240138194297613+0.00868252677177697i
-0.00746971816670668+0.00393089810179397i,-0.0294485859529782-0.0315894526679995i,-0.0324715293385852+0.0315928754100289i,-0.0116416877107939-0.00928194626781061i,-0.0375581089846904+0.0120354844058634i,0.0438929520544357-0.00544856090842218i,-0.0248214965979332-0.0131185588972255i
0.0269742671038181-0.00344202826254675i,-0.0355192215192908-0.12656633468538i,-0.0297683394533995+0.0104685086160175i,-0.025701300169361+0.0107775460788828i,0.173970857639936+0.0458455890676076i,-0.0806898538211529+0.000330011056226279i,0.217147695514087+0.056129935460858i
0.0581223158222998-0.00788067227392355i,-0.0485921063637335+0.0174100056122561i,-0.0723331585179102-0.0614107139677495i,-0.018357692723806+0.0219905129695766i,0.044193540029787+0.00972729452372354i,-0.0723258666622179+0.000683921171549229i,-0.013578241141922+0.0278228062112739i
0.0488062138166152-0.00443593943840424i,-0.104685739243744-0.030173809129858i,-0.0746434960256634-0.0636623264896116i,-0.0385470232021919+0.0362971200766417i,0.0557493735761408+0.00356302524394339i,-0.0378038256571529+0.00584410583501414i,0.0192745917052245+0.0542909132193165i
0.0747745560988744-0.00202922492215302i,0.00393674795748103-0.0462064700088513i,-0.0286886693275945-0.0353478116756384i,0.0318608806737751+0.0201440207653595i,0.246335549400959+0.012956906552868i,0.196818556196854-0.00173235425359827i,0.0684007790135889+0.0481063052220969i
0.00687888539379142-0.00121584767398775i,-0.0411892626750467-0.0361145790926381i,0.00861172507184919+0.00163030776960735i,0.0533770892890089+0.012572352540684i,-0.0168270949062586+0.00666795465363668i,0.113103220498605+0.00340800053112848i,0.0227012216464808+0.0191274113869689i
-0.0206076180100463+0.0020336976572584i,0.0368791930842434-0.0354554633308206i,0.0197315752827006+0.0724307712705389i,0.0114009456916863-0.0233733589276468i,-0.00999763018555995+0.0145290173317222i,0.0339503239229606-0.00809464978515774i,0.0123313440871271-0.0289708430840906i
-0.0711316386246903+5.2237399910822e-05i,-0.0156834377020816+0.029863963446633i,0.0104010424172656+0.0349476987599398i,-0.0607508595178348-0.0263460916080821i,-0.215555786830776-0.00230547621987843i,-0.122334307674951+0.00233167688333501i,-0.0210241067721507-0.0346008354257739i
-0.035056864598365+0.00344820455735398i,0.0120784115035508-0.0004416023754539i,-0.00521471797000411+0.0624448948126706i,-0.0379047622932771-0.0344309177531357i,-0.139277150775699+0.0119296289909555i,-0.148219162301372-0.0056161371923391i,-0.0133435546994744-0.0476613150696233i
-0.0255564168722479+0.000240002141730992i,-0.0578247111575488+0.0253706835593808i,-0.0360050262467066-0.0105365013267911i,-0.113559943975589-0.0075874810788229i,-0.160213247162517-0.0031853015567725i,-0.0114218315123137+0.00123359061485602i,-0.020502307286385-0.00552357080813454i
