-2.41410466191791-0.00416793649322753i,-0.429336907322458-0.0351980324464518i,-0.442735001823654-0.0666719509348838i,-0.350141028924368+0.0298735079905192i,-0.160982393174222+0.0286815707957496i,-0.0262751310276683+0.0128781499493095i,-0.436462651509765+0.0577967172166782i
0.00454476538235233-0.0024240107438438i,-0.0528143275516593-0.0584228982262628i,-0.0414884964824473+0.0285646673496613i,-0.055612792723697+0.00195410971867836i,-0.0503276136388945+0.0225502611359693i,0.0208400627387501-0.00408194035266237i,0.0417415632387574+0.010301018183466i
0.012876271111435+0.00256642741977708i,-0.00764737803193977-0.0101745700443561i,-0.00524322458622081-0.000882825832317776i,0.0106315146325015+0.0103862767507419i,0.00817801815190778-0.0146373647194043i,-0.00154507589806926+0.00489124982034341i,-0.0369179490882753+0.00737727634039264i
-0.0150197724348174+0.0035662030217824i,-0.0295500615790188-0.030542717644858i,-0.0163268415972225+0.0346901934883006i,-0.00362272581736893-0.00777894302659898i,-0.0336295346652137+0.00410892041978499i,0.0242793977492023-0.00355588547258919i,-0.0297306438525224-0.0100559111427767i
0.0624200276291699-0.00337377207828727i,-0.0567993640443967-0.10239555674216i,-0.0410513857934065+0.00452892463966764i,-0.0370917213845356-0.000844139352244214i,0.142785813471816+0.039390129668064i,-0.0605674356504224+0.002410178893879i,0.162693389893107+0.0573038658367394i
0.0628910312044303-0.00429069187627134i,-0.0360700657449802+0.0190722842603021i,-0.0604330377627119-0.0445294315902232i,-0.0403926394735691+0.0145569935933325i,0.00426111749516747+0.0108104373973147i,-0.0727325011689902-0.00278555900755057i,-0.0149431759776293+0.00815073500156815i
0.0583937121903957-0.00227565831461635i,-0.084125362465174-0.0154411197737187i,-0.0743787858547495-0.0522233580315483i,-0.0487678223720123+0.0259578251633609i,0.00839851210055306+0.00194411470907275i,-0.0526016075246398+0.00476147170975063i,-0.000285347110783667+0.0367924004515213i
0.143379773686582-0.00163193238133054i,-0.036199370129897-0.0408802330427423i,-0.0766930067103258-0.0309625921464824i,-0.00687138969803162+0.0129236847025894i,0.176506959820175+0.0144920871634275i,0.150735943182272-0.00376048822451444i,0.0159683188300739+0.0400533536032833i
0.0158415858887831-0.00106736970834138i,-0.0390896085707026-0.0268648527802173i,-0.000593339090324287-0.00237639781168849i,0.0313489278209309+0.00734485497149228i,-0.00945619235441986+0.0061132305324072i,0.0927134153335309+0.00434008305595197i,0.0109606189651456+0.0189908423991998i
-0.0224869937461888+0.00102364764315917i,0.027381047966549-0.0258264164238585i,0.0154840648568256+0.0524785096970818i,0.0181286582471649-0.0214767184269895i,0.00552228820658098+0.0145150042914327i,0.0370116082097704-0.00803771623489905i,0.0204621923387164-0.019544381800472i
-0.128890988049268-0.000116268537503014i,0.015289866347303+0.0276627943439659i,0.0470792690491421+0.0288585258463189i,-0.020279917072943-0.0236476633213977i,-0.154604807143578-0.000634973567987175i,-0.0928703755084169+0.00257895476350963i,0.017485488295484-0.0281052039738601i
-0.0760638467802305+0.00353194810789556i,0.0419365097533159+0.00784138887060113i,0.0209939361589325+0.053939878292156i,-0.0130168545485128-0.0329771075832146i,-0.101722760308537+0.00726802290618676i,-0.117627742956481-0.00742120728082115i,0.0144250643377076-0.0438423517476701i
-0.0631778088997679+0.00126041693028209i,-0.0364765529304572+0.0104217047110012i,-0.00155046191839162+0.00353964083042187i,-0.0780982881158635+0.000852985454011732i,-0.138029099256764-0.00977402536912001i,-0.0278710911643556+0.00357125855129102i,-0.0178889195131608-0.00560485134734814i
0.000148506268684579+0.00128872634671781i,0.08787296334945+0.0284739177715366i,0.089431848685972+0.0266676679486291i,0.0578990081817912-0.012249756397729i,-0.00344001783944917-0.0167670636473924i,-0.0473788659580974+0.00356815731109423i,0.0051462208656598-0.0242541315220654i
0.0315830988881722-0.000966089562799274i,0.049858194667785+0.0207730439087967i,0.0142123111808901-0.0126889976402782i,0.0547392954193746+0.00387708512274902i,0.0677936237521231+0.00495409903840676i,-0.0337116484246631-0.00578599746298388i,0.0150431349531498-0.013159714494147i
-0.0588058062601094+0.00103765890803204i,-0.0399597275000403-0.0378604167522077i,0.00254991452513705+0.0131999124255884i,0.000440394882211184+0.000603380865628013i,-0.0674989508799687+0.00502920897038632i,-0.0765253168002725+0.00654450031932408i,0.0396989478400736+0.0132491812143465i
-0.00197598179820174+0.00320083521780459i,0.0101144986105628-0.00845290965762799i,0.00265991026842864+0.0271700152999578i,-0.0104665732916788-0.00179809599198665i,-0.0153364283817762-0.00561744795587333i,0.03637111866448-0.00553981111088143i,-0.0390646511325328-0.0163943853056292i
0.0075939136073992+0.00285623995081249i,-0.0180844441726995-0.0170875292643883i,-0.0388448756580244+0.0137635124962852i,-0.00107848571894431-0.0105678985317815i,0.0137090564741223+0.0107067469988658i,-0.00746468645690379-0.00567467313062206i,-0.0151131775365848-0.00706821578519904i
-0.0134226803889697-0.00238526640060633i,-0.0338811989610154-0.00151023040148824i,-0.0398083891927382+0.0128759976594244i,-0.0594213327660289-0.0116285455665621i,-0.0453530465345906+0.0147783696447156i,0.101164489454811-0.00772563336419421i,-0.0171318787049343-0.00709556438090879i
0.0138338499663672+0.00420137409234915i,0.00145097338194811-0.00525735593490117i,-0.00828178502175748+0.0278294026001515i,0.0273365441193843-0.0120362786891464i,-0.0221442730238496-0.00624992094821223i,0.0450181379530241-0.00372285774174765i,-0.0567521422447233-0.0168470299442571i
0.0252753237486211-0.000355655595827424i,0.0136043568751061+0.0138926420048778i,0.0164799762266326-0.0032886008247935i,-0.0142006396195376-0.00342063968138701i,0.02034260514949-0.0110595736785379i,0.0179515394493947+0.00333505173332887i,-0.00647087283938362+0.00444579261936126i
0.00223540266059567-0.00434224982929591i,0.0235850176759555-0.0405813441089602i,0.0108314226725685+0.0358881683455766i,-0.0161369950257718+0.00238304002492578i,-0.0176672767071634+0.0129164135241248i,-0.054753693334891+0.000274832445211104i,0.0625656879716859+0.00190948254011346i
0.0481915446680921-0.000386388735064528i,-0.00909429309552385-0.015424164363499i,-0.0213438267084799-0.0131104304789707i,0.00109246547170968+0.0170294245797564i,0.0819535165931566-0.00831172617964577i,0.0442344328296295+0.00267213436771099i,-0.022411924670773+0.0191334373753404i
-0.0249708415057765+0.00119349611607775i,0.0101180401351377+0.0275271899850891i,0.0350196785989089+4.23535227487446e-05i,0.0214724629755719-0.00713897952505059i,-0.0242557783607662-0.0058216814984207i,-0.0398763112068694+0.000194157547544532i,-0.0174682535878477-0.0141665978525147i
-0.00241347740276705+4.81541259595351e-05i,0.000196710650137637-0.000721506081025539i,0.0164788244170248-0.0141024996315013i,0.0201795453903732+0.016570872808059i,0.016200793662076-0.0124065455976644i,-0.0116088396612859+0.00568698251509354i,-0.0114331645458339+0.0120000371999833i
-0.00160254549893882-0.000925864546250337i,-0.0154727990958204-0.0138725677752977i,0.01394985831407-7.36303022509984e-05i,-0.0340738149638628-0.00081654984098945i,-0.0158934273034349-0.00264436507023959i,0.0250903106016507+0.00627231582691063i,0.0393933013704125+0.0189087167546226i
0.010348428066006+0.00285003353553354i,0.0395677566979632-0.00956742095672183i,0.0155605849874486+0.0337875351259316i,-0.00389809216204829-0.0124580044468508i,0.00864359073899058-0.00754709048018413i,0.0568876401935311-0.00244914331678768i,-0.0110156397768299-0.0102709083282555i
-0.0111280071101363-0.00299606479379698i,-0.000470513397712662-0.00795995740837906i,0.0083039789420619-0.0240148972893173i,-0.00450535671562089+0.0109268881803583i,0.00977407247525058+0.00710579973242094i,0.0134351485977794+0.00328288227868735i,0.0712986866361004+0.0207566972674903i
-0.0227564410075504+0.000156035269885046i,0.00746539222753669-0.0133367677529226i,0.0113333740489931+0.0188053522670577i,-0.00493238907571334-0.015083938340047i,-0.0338617908280565+0.0136350102450098i,0.0179976153738539-0.00321217031736276i,0.0589625090358014-0.00429630557329344i
-0.0191624454065921+0.000440057312099851i,0.0114072432675697-0.024666251410038i,0.0151809611895745+0.0274797200312926i,0.00470725771922256-0.00680082198765046i,0.00640143686007273+0.00418352271185956i,-0.0051284368383545-0.000328213624629778i,0.0294627466382036-0.0019457949638487i
-0.000447936958078697-0.00241391967071991i,0.0025283489434696+0.0134862807473465i,-0.0160242918821095-0.0289978503683788i,-0.00643441286809081+0.0125359754138049i,0.0319868899815521-0.00458229851051364i,0.0100688959525307+0.00233745266689853i,-0.00737903975263546+0.0134761347669277i
-0.0216243182825574-0.00331764058697347i,-0.0130178550460033-0.00560902798498265i,0.00642568990341832-0.00333108364179786i,-0.00241558526040604+0.0109599830496865i,-0.000725136350496934-0.00299532525161492i,0.00228221074033625+0.00577093020754558i,0.000393283289824657+0.0116458271483514i
-0.0106527298593849-0.00155190348702798i,0.0260940554350764+0.00617040646618138i,0.0249853823131525+0.000480259006955033i,0.000177484678195063+0.0184972488838648i,-0.0198637312405873-0.00917173331840486i,-0.0157739083869538+0.00185786372407536i,-0.00730274802591049-0.00523129407961508i
-0.000955280320385226-0.000339398119293729i,0.0122941495207868+0.0145507725087019i,-0.0267978533913497-0.00149084506464837i,-0.0242696001130408+0.00019512803940231i,0.00636913044877735+0.00303615879308297i,-0.0210363261453237-0.00612071862935744i,-0.0204687783647216-0.0151592357070257i
0.030060414907253+0.000937905345051732i,0.0194350681875987+0.0172865310954127i,0.0117893587439631+0.000655003301327142i,-0.01445862242314-0.00852370096109701i,0.0116269404322332-0.00181162438955625i,0.0100085293883503-0.00375460357890841i,0.00433366942183002-0.00932564750440503i
0.0384582028320933+0.0014650268572956i,-0.0164278933278509-0.00881581058072846i,-0.0434876067204735+0.0017984441571935i,-0.029457353985308-0.0055108985154559i,0.000749029239331402+0.00932018521888094i,-0.0370444326689861-0.00590874296199897i,0.00186456919049577-0.00592847868875212i
0.0154344006672775+0.00120952585080617i,-0.0159761206010474+0.0131681088740324i,-0.0218116242931317-0.0169854699126073i,-0.0214927484650738-0.00611975599329537i,-0.0220458102596006-0.00108103202894962i,-0.0585569140656458+0.000813043921665012i,-0.00178718114822268+0.00282365945458764i
0.0165558627585968+0.000790965877978289i,-0.00344027650543679+0.00721311426762171i,0.00562245307197345+0.00103580161192026i,0.0158409040487378+0.00135334697164079i,0.0102847035175785-0.0101393565882025i,0.0351258944783756+0.00276342376934613i,-0.0502885983841399+0.000621139934400498i
-0.0280492040100366-0.0009336456755998i,0.00584712954947381-0.00872154415782372i,-0.00500615747819979+0.0084493754791138i,-0.00359261409096611-0.000951493199713259i,-0.0369975183590283+0.0112028319821284i,-0.0192436545973835-0.00429126772785922i,0.0313757799497487-0.00768504501512329i
-0.0343076459991518-0.000538056237438647i,0.0260623511468251+0.0131174380377607i,0.0207598056279081+0.0129837894214898i,0.0072934621324816-0.0131146431582375i,-0.0298559094279183+0.00515180574664931i,0.00124304910955184-0.00227529191899168i,0.0128390720855477-0.0138516047070184i
