-2.43353231989503-0.00515354618644694i,-0.299649827821417-0.04663102475548i,-0.341369649312237-0.038944295339504i,-0.242877056925049+0.0491682183004424i,0.00716522375969941+0.022683760456088i,-0.105956262852206+0.0210146800806637i,-0.373127893051118+0.0470763662696764i
-0.00484163370144911-0.000110486973827375i,-0.0347015706959842-0.04640050590961i,-0.0242661240517227+0.0263597534647373i,-0.0442786207496384+0.00678296566299102i,-0.067499238782108+0.012642131338357i,-0.00596090074280721-0.00458293272711504i,0.014650528221863+0.00435162483052378i
0.013519737479852+0.00185478850181882i,0.00644863715973396-0.0124681062977154i,-0.0125083500909616+0.0151180769656423i,0.00765153727077929+0.00634295855401427i,-0.00391706098338449-0.0167483194182755i,-0.0197319741627352+0.00504060304459772i,-0.0556597216768334+0.000494776723769123i
-0.0238055151030752+0.00349128494841067i,-0.0295660715556952-0.0348846802839478i,0.0101983879189645+0.0392212429444872i,0.0114862136195405-0.00325933775808557i,-0.0292230541542706-0.00638025528773758i,0.00339547425794833+0.00116147269721052i,-0.0372374939581298-0.00319292637930468i
0.0877164022441859-0.00359603966304601i,-0.0855265737799066-0.061962529227887i,-0.0534057496788526-8.03801732914746e-05i,-0.0524165439559072-0.0295321773029565i,0.0857599836746039+0.0313280752531598i,-0.0587845734252503+0.00435230263498121i,0.083330278430158+0.0521850092304105i
0.0525354615594625-0.002243112383467i,-0.0156611194125272+0.0254581344429786i,-0.0452949786389941-0.0164156519284004i,-0.0702649358674721+0.00578501469718658i,-0.0429486742287498+0.011965847276309i,-0.0778470067799859-0.00868237328315633i,-0.0225900608842281-0.0185687304226401i
0.0519736223733371-0.000966819006873825i,-0.0501678367473001+0.0120098127128602i,-0.0770449651535483-0.0307350546162529i,-0.0588075696180077+0.00578586374991387i,-0.0568964160976809+0.000285405457017563i,-0.0807034124942269-0.000646277790947255i,-0.0349386164735137+0.00537024237691996i
0.184229767454947-0.00282193844897351i,-0.078409576370921-0.0157653292944999i,-0.133460726246211-0.00739638196674233i,-0.0682537024710701-0.01450314418813i,0.0447685476123028+0.0163452330947669i,0.0671700628711982-0.00996955948975086i,-0.0698694692624382+0.0103093315966523i
0.0215476359333005-0.00132719471403522i,-0.027205453494713-0.00782383700615641i,-0.0129768438407546+0.00222596584136535i,-0.0137345319042523-0.00884909691765434i,-0.00785549933721588+0.00480229396799698i,0.0603850761305572+0.00350244395057879i,-0.0145013078967912+0.0107230852170887i
-0.0160853112483045-0.000293788130900028i,0.00849841042499649-0.0131640421151396i,0.00993920364262837+0.0205640773418572i,0.027966444949086-0.0190920515482157i,0.0201224158611502+0.0146583812522722i,0.0453442184705707-0.00701267498663566i,0.0363968422111538-0.00365725644823893i
-0.162425622591568+0.000352388220522033i,0.0480959815141164+0.010112947063019i,0.0902680447651077+0.00918346884828176i,0.0440279350990004-0.00701457240781286i,-0.0467875378965006+0.000132294795999102i,-0.03567843685541+0.00558779166083246i,0.077211623738673-0.00502500500772086i
-0.100588732784456+0.00243342429324363i,0.0731443924918576+0.00953546892357972i,0.0510233085876548+0.0312953495760422i,0.0268888498604958-0.018692879618529i,-0.0324965366204243+0.00215578265867108i,-0.064291307176659-0.00699506985237287i,0.0622446774268199-0.0256695274055835i
-0.0954053043450565+0.00419091509664879i,-0.00732638757396743-0.0234701028305373i,0.0479816603911934+0.0248057627787467i,-0.0162202975923312+0.0218401957607235i,-0.0964801566969721-0.0207031925982555i,-0.0404727460268704+0.0084919468314832i,-0.020895960880504-0.00121316669240553i
0.00620808057846358-4.48285967737231e-05i,0.0717123528282564+0.0221900411032147i,0.0758451606841673+0.00509574914658121i,0.0502444496986766-0.00813037026596579i,0.0338373115783177-0.00839089147313455i,0.00622818145124272+0.00453100131717526i,0.0436912888713262-0.00648435631839099i
0.0478539855407473-0.00115098109478844i,0.0140295364235698+0.0232832415366538i,0.000812885651453835-0.0366140726767957i,0.0381400248116754+0.0107072731740906i,0.0498681009286809+0.00994208818738043i,0.00504428000585584-0.00745694667719647i,0.0457689051343424-0.00458144602092317i
-0.074528611376459+0.00163335877375552i,0.00512939012431705-0.0287138158288637i,0.0211208757236147+0.0134635029400359i,0.0201401260514335-0.000628806986493624i,-0.0140711729021622-0.00586785003191133i,-0.0645997541372509+0.00927915294726932i,0.0257477155998719+0.0168869295516467i
-0.0043491295201133+0.00371986596324816i,0.00614560532283431-0.0176014938693213i,0.0155018802897348+0.0288186539387112i,-0.00661896174887673+0.0109856559229512i,-0.0172622400571721-0.0135800229806313i,0.0168513059421338-0.00302150191853759i,-0.0446844310686547-0.011499460546086i
0.00457564346896058+0.000668366431833647i,-0.0143197914590775-0.00497375936968794i,-0.0304474198473557+0.0239254218789394i,-0.0124478250330413-0.0274258768118876i,0.00151246703220764+0.0106835158108828i,-0.0156259520182688-0.00739769141591526i,-0.0153253803738345-0.0127746168134557i
-0.0221699064526873-0.00157830256250332i,-0.0407302589705694-0.00380681935483932i,-0.0273784877966769+0.0103979498283221i,-0.0353511922856488-0.00978161653447601i,-0.0624316720707755+0.0165020202383997i,0.0641960826021572-0.00855036296526927i,-0.0114242910373061-0.00872876918661369i
0.0135271030779168+0.00143382356445327i,0.0110631148916201+0.00746840814375472i,-0.0220773843541115+0.0283227040495319i,0.0283734888573266-0.023832016831416i,-0.0337010548994457-0.00281486866200617i,0.0193543972423027-0.00670342569989585i,-0.0567654833120266-0.0224460946912686i
