-2.29546586573921-0.00556265004234252i,0.0307798404500893-0.00166210781639137i,-0.033434160375176+0.0110941780054873i,0.16228562775513+0.0139883653792141i,0.201386945425489+0.0271806741608337i,-0.393215654735935+0.0138446552149664i,-0.109744141162954-0.0202364993925585i
-0.00902678847872275+0.00469345941203998i,0.0629494975131151+0.0652237154730967i,0.0697471687409966-0.0412603826251803i,0.0660805531825752+0.00292815407956563i,-0.0239888113798112-0.0199204097503151i,-0.0924460712786212-0.0172335914341892i,-0.0452743925412477-0.00262550011142709i
0.00900359501479711+0.000315597532480025i,0.0335783033028056+0.00344625526516092i,-0.0191804316582544+0.0195660981580535i,0.00558188345841534-0.0122773344791178i,-0.0233188787638534-0.00168119529912646i,-0.0226861239457954+0.00372094949901561i,-0.0108036048375399-0.00891924747706506i
-0.0194603474717545+0.00408932646851267i,0.0191811821654069+0.0283345710829672i,0.0723459641584111-0.01449789713231i,0.048394985165887+0.00284233763375637i,0.0186632289090329-0.0256496385994973i,-0.0759336179121637-0.00157262385172092i,-0.00139346570989973+0.0100015297826761i
0.0563818678364445+0.00218442080778126i,-0.0903553398005565+0.101131963753131i,-0.059607411685546-0.0524016165707684i,-0.0707080430252631-0.011896278403893i,-0.110286687006123-0.02955390506646i,0.076112034934345-0.0058048978794869i,-0.165697213635407+0.0093316536002056i
0.0238396529821291-0.00112718601261818i,0.0332817854764144-0.00886625756140713i,0.0719576742393388+0.0759403318982602i,-0.051729614770714-0.0171699000832907i,-0.121506361243213+0.0140786230234264i,0.0160878007955463-0.00738809667867277i,0.0319225950494445-0.0584027155556432i
0.0228270224253311+0.000918757170470943i,0.0933592637772778+0.0504865469893598i,0.0250589245088173+0.0410659203422697i,0.00471647656911456-0.0343172127249945i,-0.137416806473027+0.0012020275576126i,-0.0440100545492452-0.00434506448382429i,-0.0247345109028912-0.0549891288045525i
0.127878690039305+0.00367070665684778i,-0.112331967188839+0.0396891525949827i,-0.10853016205038-0.00989844614456254i,-0.104945535326551-0.00408544646170268i,-0.206561458939595-0.00607737532868822i,-0.0677828311958502-0.000685085852169531i,-0.113739614631777-0.00612328420159714i
0.0137701598928872+0.00222134987209103i,0.0293942013026396+0.0374060223908501i,-0.0224047097775562-0.0187469027910393i,-0.0548923957490201-0.0215246322196765i,0.0265704866264252-0.00659724015396274i,-0.0617472217400006-0.00200628660416072i,-0.0488400252272708-0.00121391510713927i
-0.00563318064519432+0.00317972304856801i,-0.0373290478708333+0.0439781499190977i,-0.0147660781691757-0.0873030629354857i,0.0086791000532139+0.0191638467569346i,0.0345891136346313-0.0157196106122381i,0.00292167871801569-0.000968369200338101i,0.0038624146134849+0.045511322929613i
-0.111146234749189-0.00258310941968123i,0.0991730630430768-0.0231489525111139i,0.090801412317191+0.000736077132024466i,0.130815512730486+0.00179195099979269i,0.180874585656236+0.00556528521728231i,0.0133397660077431-0.00690942676219327i,0.0630209822082494+0.0106042069247966i
-0.0698332249812644+0.00149171750753602i,0.074024720899955+0.0233792492679304i,0.0799874466256474-0.0293740835052091i,0.0762360849019662+0.0119703690235058i,0.0941408080393785-0.0184053861213177i,0.0436599965972881-0.00500863939443389i,0.0629547839111917+0.0241411164581394i
-0.0687685781097589-0.000524975088647873i,0.109432195128712-0.0334309188067526i,0.132211736394745+0.0538189785731754i,0.177947753894098-0.00107536051155i,0.0862777514485361-0.00464120391283538i,-0.120260379506799-0.00990461765393883i,0.00244690490828741-0.0226522754144362i
0.0124568734016475-0.0035159920673774i,-0.0564923676907254-0.0326366498330747i,-0.0653743856552128-0.021513491010733i,-0.0631832026144686+0.0074970991376932i,0.0558356247452088+0.013127672524023i,0.138630823359569+0.00966428467759768i,0.0457294361726297+0.0290456277528241i
0.0349943076645026-0.0010567599416696i,-0.109355485385255-0.0191051197462984i,-0.0477943731509336-0.0214831315054781i,-0.104427203720105+0.0241401419746901i,-0.0482468443462616+0.00497629095830604i,0.13166206022717+0.00740235963463147i,0.042397577107352+0.0183414574440074i
-0.0554586996060769+0.00169320869466957i,0.109689168750249+0.0484710415874783i,0.0289346329660193-0.0137511928476462i,0.05574173097774-0.0159702550047435i,0.0958385096853713-0.0236306210574773i,-0.0220191825968174-0.00291523110090022i,-0.0467936268656844+0.00014885577652584i
-0.00131830102398466+0.0032376903928939i,-0.000989621382997344+0.0069765273622478i,0.0403781611476563-0.0173537474820099i,0.0283910891493648+0.0150579343875267i,0.00162065250425239-0.0157584409122736i,-0.053942217029419-0.00174193556313917i,0.00531590346909377+0.0084403832721327i
-0.00208661444133438+0.00215549501500164i,0.00243694910408563+0.0259995051461907i,0.0405030715256155+0.0132733400130769i,-0.0221246956238447-0.0164553846800884i,-0.039666916303844-0.00927444479435985i,-0.011104538605929-0.00141864913751769i,0.0211363504252769-0.0032280517303067i
-0.016419849660206+0.00245928001061085i,0.0208287090151079+0.00747350632811476i,0.0679777744190355-0.0173691908159483i,0.0949967755573843+0.00560417752794579i,-0.0125726040801503+0.00380744547636199i,-0.130836313282215-0.0110565499768894i,0.0174160070447509+0.0021773880276423i
0.00986000476672149+0.0029384526719421i,0.0390499419932788+0.0355608295167645i,-0.00890389806519432-0.0228231732326324i,0.0217222022134768-0.0107893652971887i,-0.0128785529136519-0.0062064258753608i,-0.0583123805243662+0.000652681956199263i,0.0204771853029809+0.0093904282856719i
0.0285373107401097-0.0012042153727631i,-0.0156008997818047-0.00771589420058072i,-0.0532890352622763-0.0112788894247519i,0.0511885765498778+0.00402270569115427i,-0.0306932058809452+0.0106278116389675i,-0.0125234763363709+0.000837119921548697i,-0.0319145493306386+0.00162154368103391i
0.00143419808664761+0.00185668789421698i,0.0381175686527128+0.0576930216541164i,-0.0254181463827294-0.079466256804156i,-0.0164096118913413+0.014827478208645i,-0.011048782612387-0.00484096543845137i,0.0528450702137838-0.00826329805198656i,-0.00682921666852537+0.0150628077496391i
