-2.13859667201288-0.00610435537499687i,0.292820693517843+0.0171662283071253i,0.244654943696613+0.0353995053857623i,0.348275924533853-0.0125551206200207i,0.285915686430126+0.0130107782651188i,-0.366012118613418+0.0123211011560977i,0.169691714109427-0.033059396895472i
-0.00139503203152992+0.00436819875771669i,0.0867907191198507+0.0891750195140818i,0.0828908989420336-0.0531559934340222i,0.0856279680044683-9.56152608383161e-06i,0.0173848556862908-0.0274287207375857i,-0.0926461266974713-0.00347093425920749i,-0.0411643912698767-0.0122869819743612i
0.00702522958810993+0.000797306476584067i,0.024761003111343+0.00987807964239017i,-0.00392041540172336+0.0129181545440265i,-0.005474228975872-0.0133142583514009i,-0.0261201844003951+0.0065987199146876i,-0.0160380453103795-0.00188193706436174i,0.0200040208152604-0.00927411120678787i
-0.00947579862698687+0.00517811874344247i,0.0512519055047285+0.051312292374555i,0.0681760029515595-0.0418466687356002i,0.0477812637404492+0.00482967140306306i,0.041736587233608-0.0214840966767239i,-0.0868927341540576+0.00394006080015275i,0.0351273678186376+0.0132389081532969i
0.0352192802223473+0.00134419793630294i,-0.0656309394179897+0.113508638975798i,-0.049208248368817-0.0223588596366388i,-0.0673851359072782+0.012254554927911i,-0.194781434410289-0.0359935583393619i,0.148288538411355-0.014251003461403i,-0.235703121065739-0.0456589716616361i
0.0266799065438794-0.00322469728982314i,0.0447193016670961-0.0283342597606868i,0.0915207008809484+0.0941972972677505i,-0.0151769931624679-0.0264812512391941i,-0.103287326573239+0.00449596506280353i,0.0550782935026007-0.00398132752546616i,0.0313508875455476-0.0476832992970404i
0.0263875216566712-0.000928085222926815i,0.114053872603045+0.0306957463606971i,0.0770873191896639+0.0785747516325261i,0.0251708222223724-0.0395257369939359i,-0.114119984020148+0.00124105899747287i,0.00130164968554909-0.00775478051726563i,-0.00379453292482287-0.0665051918113254i
0.105388097615913+0.00458651405552156i,-0.0686678257651585+0.0519837421175312i,-0.0300342276828135+0.0013258257106903i,-0.0648224925640122-0.00468229112018372i,-0.253072438651231-0.0119514269946198i,-0.136566250186503-0.00161195518643096i,-0.0913605684570425-0.0237075945319798i
0.0124249214070275+0.00386516698003377i,0.045751469990618+0.0465922095033183i,-0.0121335492615331-0.0234856211174033i,-0.0397218873559915-0.014153513070748i,0.0311745153202045-0.00648688472376129i,-0.110579803238489-0.00108589376979524i,-0.0313483596164227-0.00885344463549312i
-0.00870987362420236+0.00304164993607349i,-0.0417391903697109+0.0510420160676742i,-0.0245421730860764-0.100938839891339i,-0.00370787417051271+0.0275255374980479i,0.0315165185988218-0.0226358176672171i,-0.021139977626274+0.00574155300421624i,-0.0174862890985803+0.0424622156653411i
-0.0822018635683382-0.00244964739209463i,0.0808663639485727-0.0287322336492837i,0.0452114784210463-0.0145312513815053i,0.110737956065918+0.0124882824684946i,0.230693072655146+0.00374287015146987i,0.0572474897892677-0.00127329541761112i,0.0507111713754701+0.019584703467798i
-0.0544026495338238-0.000428876600347803i,0.0309167020300686+0.0116612313795375i,0.0460921522216121-0.0446714638901695i,0.0543236712765791+0.0236420169608126i,0.127287476808861-0.0207587846374331i,0.104743355820277+0.00192159649972896i,0.0328933065122341+0.0345420769332266i
-0.0422415566062649+0.00101909223409583i,0.131891760810371-0.014338171402161i,0.111739207072834+0.0277710494327695i,0.184688179912172-0.00690357453050641i,0.152142416882471+0.0034714548407635i,-0.0982787183648994-0.00161650835544575i,0.0518074934172436-0.0118919826551273i
-0.00394141854957109-0.00414500440138668i,-0.117748901298236-0.0449934273129456i,-0.12490596916603-0.0264152816829425i,-0.098248064080786+0.0149138372240658i,0.0292912661559819+0.0176340250066194i,0.149552341686176+0.000283352356638992i,-0.012382661809313+0.0346022409700172i
0.0188999281873596-0.00345004295268818i,-0.128803073397528-0.0389086131916323i,-0.0610380086565449+0.00462943706629586i,-0.118850286135146+0.0127829029537042i,-0.0833497734675461+0.000635222550964706i,0.138850900846995+0.00393492221909588i,-0.0136583108680082+0.0199108642410279i
-0.0414198435175751+0.0014451934764291i,0.0998959143298307+0.053970124195321i,0.0240221061264741-0.00912677254479984i,0.0309341673243986-0.00636985483505166i,0.100913805303804-0.0159991859285084i,0.0447566592723179-0.00581900294347828i,-0.038058027447013-0.0171511774301263i
0.000883983925339276+0.00359416223449845i,0.0060084591603291+0.0205336457431229i,0.0311972531906102-0.037616793171374i,0.035952648005864+0.00683480756038315i,0.0177402921256792-0.00963476634127863i,-0.0784039432621329+0.00486347946754988i,0.0345615895501336+0.0189708296767887i
0.00286338017538138+0.00266079908162098i,0.0197677820924382+0.0288872538911957i,0.0595361597375346-0.000672003795075324i,-0.0079585734932932-0.00290600512340777i,-0.035711560255237-0.0156003715636235i,-0.00975996601379421+0.00137681049802405i,0.0294757951906572+0.00140941460995926i
-0.002247505330006+0.00391722681209909i,0.0693608908129371+0.0218069719771637i,0.0924755838542735-0.0388353855071511i,0.131635001987124+0.00462367506237998i,0.0442438738551228-0.00873771698639209i,-0.196810808509175+0.00476317100145197i,0.0487752382659943+0.0112709395464857i
0.00846597514186568+0.003666364182119i,0.0321700676283387+0.035503520435582i,0.010678259609313-0.0416283717752645i,0.00545369876307768-0.00159808492467585i,0.0107217304983583-0.00672067550718544i,-0.0863407725916713+0.00394402734742277i,0.0534648234801614+0.0204644201323455i
0.0179668984268692-0.00118961504969446i,-0.0270673638633843-0.0131884067804886i,-0.0505837460591779-0.00672384459966416i,0.0318823363265904+0.00514811427495852i,-0.0382340114713161+0.0130360633790412i,-0.0163982208037512-0.00185660326289332i,-0.0231444300298997-0.000644357423073413i
-0.00508502053911801-0.00138440091147705i,-0.00861025133143767+0.0570624616454445i,-0.0304920896718032-0.0676921125645587i,-0.0174909188614206+0.00878953368650263i,-0.00685971863744131-0.0119548983477159i,0.0888073912108228-0.00482723939205541i,-0.0647582753553732+0.00117647608697255i
0.0343142492029006+0.00018304754443617i,-0.0344762694286239+0.00701621360145709i,-0.0275827460261424+0.00399052547010516i,-0.0226412697594258-0.00509881502475943i,-0.113403430646153+0.00661671768618792i,-0.0385364062139101+0.00154248708643939i,-0.00719425625834915-0.0105673984334289i
-0.0172768988825232-0.00166422132396054i,-0.0280595639564595-0.0464004567844732i,0.00245069507775031+0.0229036351147391i,-0.0167915328959547+0.00527987038101169i,0.0448537325654846+0.00592276370476503i,0.0677887434377435+0.00492332515871928i,0.0443504310835096+0.012840078729958i
-0.000641471302364416-0.00114339881318297i,0.00202471710414651-0.00635400915540101i,-0.0326121164134327+0.0142994831377737i,-0.0411251531032447-0.0109755126837603i,0.00170251290284998+0.0100062140205841i,0.0259496426957092-0.00114773600485651i,-0.00268611001796821-0.0120047722180846i
-0.000206957902488179+0.000832939582058978i,0.025451893158964+0.0170625552197093i,-0.02845633408838-0.00639418305640912i,0.051570545678043-0.0011472149559256i,0.0275524893888032+0.00345131737293243i,-0.0526678841824498-0.00408276630835823i,-0.0642572846810476-0.013830665045412i
0.00997255113829186+0.00249700282490329i,-0.0340412120666203+0.0204385782745667i,-0.0435288933276712-0.0579942159139125i,0.0275010316477894+0.0157423308146702i,-0.00574454049903481-0.00243992327536507i,-0.0674806505499378+0.00124350899833278i,-0.0167601792497252+0.0272498580576207i
-0.00410968994130967-0.000958866232329694i,-0.0112919671611687+0.000979810749436255i,-0.0448578941183209+0.0101475915529905i,-0.0118405244794806+0.00228743706284367i,0.0246756276303002-0.00166576019628203i,0.00769979005733904-0.00536590865320169i,-0.101361609545797-0.0148702802100311i
-0.013492907538907+0.00202020711229898i,-0.00207545943729359+0.0293278890777593i,-0.017946457175476-0.0423275611042161i,0.0289028792510929+0.0178288516363515i,0.067163054803625-0.0181636855217331i,-0.0205414570614447-0.00102784799974976i,-0.0801296269661441+0.0124929601881589i
-0.0100398376418765+0.000747061259320421i,-0.0210695083211007+0.0341269687096337i,-0.0386009158980108-0.056497869848337i,0.00875341478705385+0.0140627070726234i,0.0163886912113366-0.0071939432028516i,0.0259892772002511-0.000329378108662211i,-0.038408016065713+0.0162760223184073i
0.00292194747311001-0.00222890880505748i,0.00713805033455393-0.0169562586824937i,-0.0162563335855099+0.0183259951010285i,-0.00183609492559303-0.00680772915827694i,-0.03070223209353+0.0107360393475764i,-0.00207986690035616-0.00181607261377705i,0.00378132685214949-0.0126436439738583i
-0.00998022455581768-0.00239227120959342i,0.00827284658067513-0.00601691156359217i,-0.0236088036399856-0.0194273807162384i,0.0401948081352567+0.00314384432116912i,0.0130211958809358+0.0119377561034465i,-0.00188918779057653-1.58491273524425e-05i,0.0126745138952914-0.00196188329073883i
-0.00756948081948595-0.00248269289588124i,-0.0244909594000833-0.0279076685292907i,-0.00680087893240299+0.00240083911896124i,-0.00835837128863108-0.00335219932935267i,0.0248957085996291+0.0130407425010989i,0.0336310017725258+0.00148971394482921i,0.0232867945375537+0.00342572291335342i
-0.000307448042241131-0.0011270339959096i,-0.0126934648545127-0.0218172123140415i,0.0425156343644349+0.00179147958084239i,0.0353587057145924+0.00959222324146361i,-0.0238944599648678-0.00215596901285405i,0.00486133853286254+0.00471868582884728i,0.0512029521394122+0.0128701181376858i
0.0178979577561756-0.000153161116052361i,-0.0599425604518919-0.0265992561084944i,-0.00455963267109546+0.0110983132645402i,0.00613194891602169+0.0122405929917065i,-0.0339881228798733-0.00042635716756566i,0.00289192032384717+0.0018865500096986i,-0.0164185070694703+0.00904471691952258i
0.0172692110641221+0.00110257031010294i,0.0164512322047151+0.023158601564458i,0.0612599078837217+0.0147225921700421i,0.0174417407405274-0.00229921693342513i,-0.0703336215973055-0.0161940213789578i,0.0118628356197746-0.00123481937002708i,0.00191628616741474-0.00658196665875198i
0.00176503409702055-0.00124182180494668i,0.053722002249716-0.00170672710886096i,0.0295134364002354+0.0459114866313852i,0.0094377509707165-0.0142910698376692i,-0.0183027018063722-1.61025007808157e-05i,0.0396609556282992-0.00447069955885186i,0.00282640870137686-0.0227233849555449i
0.0113770874877063+0.000486796234778229i,0.00726130251473089-0.012255252225589i,-0.00208007685089869+0.0108919251486131i,-0.0284761091187378-0.0138913873435488i,-0.0140101602397426+0.0142948248616639i,-0.0408049093359959+0.00112507039043907i,0.0582285477817475-0.00139644668278704i
-0.0189861614158842+0.00034188400503499i,0.0253268557149757+0.0238505830867085i,0.0161392838287867-0.0256176005672086i,0.00465322049073778+0.00386179646909731i,0.0538488636679399-0.0140700653378686i,0.0111911023457335-0.000296348220995053i,-0.0152758077417313+0.00817867393653113i
-0.0192397666810983-0.000530232223993091i,-0.0137350442921714-0.0164598343330032i,-0.0122266619779221-0.0162347944225791i,0.0117748079382714+0.0117280213119117i,0.0631052405041036-0.00030521629757296i,0.0100625732563368+0.000914739626245492i,-0.00266368654024625+0.0171394026586653i
