-2.0613785756273-0.0160388176886379i,0.364591334378561+0.00812181445095347i,0.344977997362922+0.0537177843791563i,0.345028690329395-0.0291036906249489i,0.275930766676413-0.013115058926847i,-0.130473118160902+0.012796575366123i,0.286856023003931-0.0433680505086186i
-0.00110872553676389+0.00307594223084948i,0.0753491646039853+0.0815124988381203i,0.0636767743962666-0.038695116979651i,0.0717261135142599-0.00297382867110715i,0.0365355495308171-0.0283949575847442i,-0.050351205221906+0.0169494510845445i,-0.0366279596873876-0.0261398422064466i
0.00474202222358235+0.000390754930399173i,0.0108313206690464+0.0116631603691141i,0.00522092131207669+0.00382424200490628i,-0.0131056612547687-0.0137520823814281i,-0.0228181685351007+0.0120271472625337i,-0.014384625521757-0.00806985438840136i,0.0372889270373107-0.00590112032021905i
-0.0107055092752518+0.00377695503948694i,0.0495794882714467+0.0486283468741468i,0.0389443868646804-0.0467866051104657i,0.0240079001881104+0.00388929135195078i,0.0469967181857439-0.0134681137063749i,-0.0713011637145399+0.00810253851640655i,0.0489954564895191+0.0109684108310964i
0.0488671269469567-0.000784501690323925i,0.00518614457003774+0.0976275080961345i,0.00485928913588302+0.0206070641263871i,-0.0211278855354452+0.0170760105558641i,-0.210524051109592-0.0412718647560487i,0.202956970722413-0.00604913685532249i,-0.234107548451513-0.0908614184461466i
0.0306349582798143-0.00157994109823469i,0.0441329494343209-0.0269493296727652i,0.0814590714691274+0.0808655704278726i,0.0212042716343437-0.0228490626751168i,-0.0718540547103461-0.00363510150252912i,0.0881051895351487+0.00125350244854864i,0.0107121971507071-0.0282289627336605i
0.0303981156229959-0.0010064273927476i,0.103958364143992+0.0170856571249897i,0.0947371634318574+0.0849388018082648i,0.0367489557733901-0.0332827442781447i,-0.0787688226325288-0.00052514168735788i,0.0556162083465993-0.00648519076646223i,-0.00224125924079718-0.0633231976459452i
0.106392360341547+0.0033143483301853i,-0.00479092248250855+0.0462341216948409i,0.043367088797261+0.0192186181323881i,-0.0229713073577468-0.00932158333080645i,-0.24205832188893-0.0171800096552883i,-0.180907494447604+0.00473817895044254i,-0.0411242773238731-0.0363029544532141i
0.00634582643887463+0.0033408353311796i,0.0396314158163002+0.0383296145640915i,-0.00789993777639366-0.0161589451772174i,-0.0329096128324957-0.00687272975933658i,0.0203428757789517-0.00470647872914012i,-0.137495534625355+0.000938009945798686i,-0.00920070865659647-0.0139911158497722i
-0.0111797444657858+0.00130927850031149i,-0.0346976200911908+0.0378110682964795i,-0.0259841747932461-0.0802852284375672i,-0.0151253065278729+0.0260749329681264i,0.0225700066004975-0.0231865927158591i,-0.0389575752577647+0.0126726778059922i,-0.0236657409511125+0.0274901133438748i
-0.0790312979727317-0.00182762044461042i,0.0315483637567624-0.0268166709334977i,-0.010562962103138-0.0276312083892514i,0.0656679991786632+0.022150381990508i,0.224924136110431+0.00207646536389886i,0.104835049232306+0.0031773843103546i,0.0176338954983208+0.022716548614415i
-0.0466134106843539-0.000947644693021389i,-0.0102308447441098-0.000546185377157655i,0.00668377431872175-0.0479944994581494i,0.03406489732645+0.0290529362414746i,0.132923517316512-0.0168878852104815i,0.153774413483358+0.00894550543228541i,-0.00427405400416854+0.0337136987269984i
-0.0395256265141638+0.00198009653313905i,0.0943979801218708+0.00123827236171629i,0.053943159176026-0.000136094429099679i,0.133682588443033-0.00669469575711881i,0.168304400584719+0.00886506448380395i,-0.0348864393661905+0.00595204196941011i,0.0639269849581209-0.00271449621366444i
-0.00695045679731895-0.00309402425680805i,-0.12305692977492-0.0413348943103232i,-0.125558998381008-0.0275723330532667i,-0.0869889865923312+0.0158849125330152i,0.0106525701849669+0.0197855398132785i,0.105849294542314-0.0132351852599645i,-0.0398331289133844+0.0360865766150397i
0.0200210438007268-0.00315045177724498i,-0.0949107674288236-0.0386981653759794i,-0.0430057563474312+0.018779567502498i,-0.0867850309155772+0.00298434700410516i,-0.0879679160656003-0.00201447580007172i,0.102887931772705-0.00282502090097062i,-0.0434216198859315+0.0199891868718361i
-0.0306933201963325+0.000382542283014455i,0.0704722567885721+0.044546273394669i,0.0176098802461322-0.0012124006980613i,0.0129150691784591-0.000909778549441853i,0.0901706671943001-0.0078352543540992i,0.113401625484102-0.00547893213765699i,-0.0318826881365859-0.0299519131326021i
-0.00495891288517039+0.00289090870441877i,-0.00235455837717119+0.0208078304608877i,0.00795438337891179-0.0418796895396724i,0.0233695428177518-0.000816524227085278i,0.0218198796189946-0.00222053088802218i,-0.0869845199544179+0.00899594461840237i,0.0477285154703151+0.023136601582437i
0.00426200638531104+0.00201440427038607i,0.0251838589165509+0.0205513815746068i,0.0535056466417443-0.00912629575062318i,0.00170513296513792+0.0083933889349832i,-0.0273407533752091-0.0180434442593518i,-0.000195963660583455+0.0065685236719625i,0.0225281758260731+0.00319950634266199i
-0.00858375898880548+0.00343782246072243i,0.0665816655173919+0.020768166741113i,0.067807291106983-0.0403794977398842i,0.102562578849038+0.00736940496293384i,0.0667123183539537-0.0170510097762955i,-0.200188483184594+0.0226887690928882i,0.0561051184679841+0.0112213516927011i
0.000671118548810709+0.00224336915673954i,0.0104273277387087+0.0208799990570179i,0.0113372306468842-0.0449419358482188i,-0.0174424519104294+0.00528710319406109i,0.0208953187094325-0.00436676038933216i,-0.105051808338134+0.00488041783057986i,0.0660126499903021+0.0248112194584148i
0.0134523782755075-0.00104576620007511i,-0.0257793176767438-0.0126547488292064i,-0.0317613402588828-0.00280597991530749i,0.0120443932579052+0.00354427611476372i,-0.0351789759352406+0.0118852332864633i,-0.0263808876112301-0.00474463127723563i,-0.00534141355407549-0.00169786491914275i
-0.00157206574415163-0.00234837717366396i,-0.0293443575784338+0.0456494013267278i,-0.0206443971936586-0.0370653105977719i,-0.00114493210886495+0.000685546009526732i,-0.00138875983662653-0.0144904288001711i,0.113548932222663+0.00417801983435849i,-0.0917544634064399-0.0146778713590691i
0.0295319138511558-0.000421193110827632i,-0.0125982697917309+0.0125000641043265i,0.00401657185213308+0.0116222090374452i,-0.0172905787563935-0.0161135731537545i,-0.111144942300725+0.00786948262513643i,-0.056774113176825-0.00494623451947213i,0.00990973997377487-0.0133186238179186i
-0.0146553219299436-0.000442327599120506i,-0.0114266913212657-0.0369350503142706i,-0.0284395718743568+0.00896848536871089i,-0.0193574202813752+0.00833917287158734i,0.0429266249587171+0.00923439786840421i,0.0594908834360093-0.00497045616332898i,0.0248514938105648+0.0202368871950046i
0.000899877943453832-0.000842581758011611i,-0.00327996751970181-0.00393705269045021i,-0.0227681453034052+0.0185762424237112i,-0.0302759296476903-0.0170688083003865i,-0.0112735803576092+0.0161954868870564i,0.0255937175308837-0.00953502178205936i,0.00776369919366272-0.0103131224973705i
-0.00147015341201669+0.0005475686805224i,0.0182475617662998+0.0192742193743406i,-0.0219621408017203-0.00443816931871713i,0.0382564327684387+0.00233446015512211i,0.0175293558685513+0.00433084460290332i,-0.0360785915084879-0.00311810057372623i,-0.0455028222937455-0.0238045737811719i
