-2.09176366539033-0.0287023701511854i,0.0790563096181869+0.0200771968760849i,0.094351989990679-0.0213729811332711i,0.0283343797498172-0.0181934200038992i,0.0417802662913632-0.0263930178276115i,0.142416840901435-0.012117295324565i,0.13659332422042+0.0136308687307601i
-0.00819524912119142+0.00790419873916199i,-0.0240111152693086-0.0416729420769776i,-0.0281306526104689+0.0201835865810561i,-0.0106655385474292+0.0122178012904261i,0.0548979234456359+0.0260661681882752i,0.0671402012904363+0.0300483402195311i,0.0630167385615916+0.00669366133244861i
0.00626482041566414+0.000391828320369306i,-0.019832622006179-0.0105534838019484i,0.0152778718986733-0.0105050865309066i,0.0025269248966776+0.0100715552417209i,0.0189986143429795-0.00267840231883551i,0.0214288776725359+0.0010859897179324i,0.00990667675901267+0.0102942642488456i
-0.0218459601433062+0.00353365731015579i,0.00209978160306972-0.0229440743425068i,-0.0298667906588669+0.0105890709716903i,-0.0101332958176671+0.00678542143502272i,0.00922332383975669+0.0213680393543885i,0.0765888224181985+0.00227664318659609i,0.0146384566434056-0.000743499155881555i
0.0820839714495934+0.00535307470624335i,0.0394490739726642-0.0623701572901634i,0.0364950015954209+0.0410235595155253i,0.0285963948301311+0.0180998342833479i,0.0497247311167628+0.0431127191384717i,-0.135824116115371-0.00460909692387988i,0.12637935639146-0.00791609043679063i
0.0186579785338253-0.000392047203914976i,-0.00330808097585179+0.0102042312182192i,-0.0576910367048796-0.0627237734052169i,0.0590315356703284+0.00691442547459103i,0.10745029508707-0.00806539914177605i,-0.0382705457501335+0.0120271753152596i,-0.0186478978546753+0.0442936719742782i
0.0237614398883056+0.00390835424568455i,-0.0438749668950679-0.0363207065474742i,-0.00416616004643888-0.0435513761208044i,0.0399578781968929+0.0302777748823955i,0.132440064072891+0.00559254134599662i,0.00637752382915082+0.00624780942550225i,0.0502364810514667+0.0499945748676382i
0.182354129428896+0.0101913157757848i,0.101929681373814-0.0272151244480285i,0.0756832195374638+0.0197844899289824i,0.0873017381850136+0.00904834897104156i,0.137678070970655+0.00976702543709148i,0.157908034375583+0.0118559182257067i,0.045126542974044+0.00221739973326238i
0.0185606938038768+0.00645828625822784i,-0.0238142951514426-0.0348235128113535i,0.025391873518567+0.0109518557348519i,0.0670819069306758+0.0266469769396167i,-0.0249670403072271+0.00577585947616248i,0.101195801642786+0.012866773743497i,0.0332412757605522+0.00422115357165607i
-0.00581202853042178+0.00159118479813649i,0.0187568124835175-0.0268196943680487i,0.00776943218489349+0.0682683447643398i,-0.0149093545050774-0.010629614379928i,-0.0373336633445454+0.0164917429121321i,0.00109829579359899+0.00462095341486368i,-0.0118379515811252-0.0412785636982613i
-0.145884633528683-0.00588355064216477i,-0.0814460948404655+0.0212348717294199i,-0.0557263647269008-0.0165933936730579i,-0.0962947616382283-0.00287008575873211i,-0.106522748258851-0.00157321271071518i,-0.0952070027579976-0.00231822811271547i,-0.00405084491276061-0.00370624787228466i
-0.0827074103253917-0.00500895351269031i,-0.0708924498774055-0.00657527258311715i,-0.0654118882980358+0.0090178577950924i,-0.0720574792710943-0.0117388707618366i,-0.0494503612646961+0.0190550677432743i,-0.128927614295923-0.00331887304079094i,-0.0151590974300561-0.0173761192564447i
-0.0751370561457853+0.00132096852750195i,-0.0518736458230922+0.0214638037339121i,-0.0585119947145411-0.0553400584105063i,-0.0994854316741898+0.00842031430953611i,0.00492919077167846+0.00375474257409742i,0.0870034441943023+0.00201112146797462i,0.0520961196254682+0.0371292664351906i
0.000511082613633874-0.0068661460993949i,-0.00762131662891581+0.0210034952270401i,0.00478985841533724+0.0232477974554336i,-0.0181862303113262-0.0153108806283722i,-0.0934823469717231-0.0174237151852722i,-0.136260528855347-0.00666439267522821i,-0.0721607059175881-0.0330240468139777i
0.0332692046095506-0.0054966679426807i,0.054665612053363+0.0209724624094857i,-0.00112682696115916+0.0250150634105928i,0.0350404505805482-0.0296037946519018i,-0.015120341775432-0.00496653830913847i,-0.118833348374754-0.0129160832681947i,-0.0726938277889794-0.0280933020726667i
-0.0522020962994107+0.00141826578436759i,-0.0999089269911151-0.0402437308299632i,-0.00703694280044187-0.00354870208170378i,-0.0312235273766693+0.0201757804648419i,-0.0494649358573513+0.0227106584389018i,-0.0453487852969059-0.011097319020641i,0.0822273548657256+0.0163382654151992i
-0.00671327953324636+0.00217558992304193i,0.0153573223545957-0.00676599404099623i,-0.0192505090666842+0.0176387415293882i,-0.00834843870227149-0.00705832661046676i,0.00971240557318273+0.00856835896949013i,0.0676687599547619+0.0088202955966736i,-0.00794900024976481-0.00512549964115084i
-0.00217518566070956+0.000410935348644604i,0.012778987951014-0.0134527318415588i,-0.0245960533482904-0.00970916881355887i,0.0334562770236442+0.0121478031559495i,0.0391488450386093+0.0105676103054705i,-0.00154509858852903+0.00347848277347997i,-0.0166278178990401-0.00065676897804192i
-0.0164620783180504+0.0056500072203828i,0.0337320759623517+0.00360578811847204i,-0.0150543491471741+0.00652630918488176i,-0.0226317173092757+0.00334080119298604i,0.0560501942424099+0.00202404117409302i,0.156224593062738+0.0231269294589948i,0.00356315154880182-0.00368342260789825i
0.00159135449046835+0.00273783135872558i,-0.0149055947632325-0.0304834255050681i,0.0110908123073354+0.0193980245349567i,0.00253279446813591+0.0108705504479023i,0.0198738108568508+0.00372516738007146i,0.082606695034388+0.0101613189698158i,-0.019510878054947-0.00642331043608436i
0.0274493964572748+0.00152733578181749i,0.0142370916334825+0.00030599962218679i,0.0359809072425989+0.0127660414256682i,-0.0494919991819252-0.00438106857669281i,0.0198123748766099-0.00902959657490905i,0.0313745704188257+0.00273311863399917i,0.0191455261250063+0.00183978860265513i
-0.000809029598689657+0.00147179123914624i,-0.0474435191528767-0.035226897258254i,0.00368989933254203+0.0540827010736305i,-0.00391799911827255-0.0079674215049726i,6.66551122666895e-05+0.00989765354044979i,-0.0940342327271144+0.0197149950145487i,0.0130353236673005-0.0195858217753092i
0.050984677151396+0.00210768704368522i,0.0466103603836142-0.00345919410480096i,0.0440502771353579+0.0157334122985538i,0.0240878740818793-0.00434131289705903i,0.052316144764241-0.00419887665253611i,0.0555565906628082-0.00192241004630848i,-0.00185907478982353-0.00133389078949774i
-0.0282930118783878-0.00518829940143002i,0.0201957082220135+0.032052090602701i,-0.0398568637756372-0.0229202169930472i,-0.0142002651799665-0.00753408711201248i,-0.0393252855722308-0.00280631456092286i,-0.0663901275380289-0.02499154999525i,-0.0493945825626923-0.003770762929668i
0.00366556730294564-0.000584808049730738i,-0.0202464523122289-0.00618018771960233i,0.0188729053993224+0.00200002290337597i,0.0214266726310793+0.000484165642697623i,-0.0282015453347035-0.00648342233463815i,-0.00653988260265437-0.0100263168533092i,0.011195262777516+0.00997491979588136i
0.00774662768616814+0.0038338683310272i,-0.0200677513430844-0.00965789488565531i,0.0264468706465757-0.00170164352355806i,-0.0341147656111425+0.0139656740912074i,-0.0115476059619305+0.00220216981269871i,0.055711089564679+0.00479504570177553i,0.0637245129815221+0.00904596378501749i
0.0169715163822129+0.00239077491492145i,0.0110657695847153-0.00566762101062117i,0.0308086198388+0.0353336080847884i,-0.0356897098501232-0.00766623518926619i,0.000256555644993606+0.00197456796492106i,0.0543134862379439+0.0170816446451847i,0.00639840003253246-0.0244083000174037i
0.0117488882688212+0.00214571313149821i,-0.0214522362359955-0.00165242021068892i,0.0273677415390048+0.00308200328837332i,-0.00148953951465808-0.00177419766823311i,-0.0487699063828746+0.00484434912979189i,-0.00202704324602747+0.000908523380758251i,0.06918853496087+0.00602320862290922i
-0.00849343143982029+0.00314383218688177i,-0.0205442700085507-0.017134621543245i,0.00324614177546527+0.0216645933559406i,-0.0383452412225068+0.00044343529680021i,-0.0465959150270387+0.0181210812544221i,0.00937162901858056+0.00477236443742628i,0.0606038552707545-0.00892375763362984i
-0.00512883592163476+0.000188446438772754i,-0.00243647583347328-0.0181464368036297i,0.0229858832306393+0.0436660845249952i,-0.0359204248178065-0.00535507100942677i,-0.0267773779611263+0.0081498615029372i,-0.0308607953700745-0.00323562904567093i,0.0160034350643556-0.0226125359730799i
0.00789509718834869-0.000456285497241501i,-0.00947132026988997+0.00243865244844842i,0.0367887196731986+0.0065624101348438i,0.0112841711156694-0.00728635309355848i,0.0147553781813358-0.0131055136409653i,0.00436382324363182+0.00225732933671278i,0.00624461248622734+0.00433367690367044i
-0.00988858792853127-0.000407602710276002i,0.00802352007994619+0.00755827003202892i,0.0369171730132067+0.0246943344844883i,-0.0493071142841063-0.0133205373080732i,-0.00231338568755454-0.0126680795935491i,0.0097415793316093-0.00811990216731147i,0.00142702626218543-0.00387280076465643i
-0.0134493368553047-0.00296940386391747i,0.00486750879645804+0.0262557443338403i,-0.0201370770518407-0.00190589093814674i,-0.00198668483421308-0.0159596785404509i,-0.0201886148355471-0.0128179433711581i,-0.0357640190165557+0.00230925056621154i,-0.0357148898098152-0.00143913851466555i
-0.00709477249380245-0.0023022973689398i,0.0312983958973704+0.0205470251012922i,-0.0175562237347032+0.00530052057311011i,-0.0162491192620354-0.0228508490408262i,0.041372458714967-0.00188222702994925i,0.00172362506565291-0.00229164391872688i,-0.0404441851945736-0.00852905028465456i
