-2.03945132622572-0.0364705357278596i,-0.137149998627461+0.0219512507148459i,-0.120660055444016-0.0401951088264938i,-0.134179975637523+0.0153804525300982i,-0.0498218862533636-0.00979120775732305i,-0.0457279395136869-0.0108067318529739i,-0.0387439047131024+0.0232837587519571i
-0.0037687042985614+0.00757409042652493i,-0.0683486935945592-0.0930383508803267i,-0.0590864003722351+0.0362551570957731i,-0.0647386517360396+0.00362164157968191i,-0.00149659458914332+0.0287370035435687i,0.0434104133442017-0.00344970765096865i,0.0500818091746278+0.0298243980061662i
0.00303715743336944-0.00024022019316692i,-0.0119103441342132-0.0114691654440708i,-0.00109530196210895-0.000527623470789693i,0.0116062994968805+0.0129899776266192i,0.0279132913931307-0.00586082989694976i,0.0113225329091549+0.00635121589674191i,-0.0255507825624449+0.00556115159119522i
-0.0146644120071229+0.0030206909825055i,-0.04792922780787-0.0567683210008893i,-0.0374574155769824+0.0437079509079511i,-0.025336049232756+0.00277588903314018i,-0.0209620946687394+0.0201814560024674i,0.0505280484054017-0.003853962141308i,-0.0211386465806887-0.00691975543527367i
0.0550771727038895+0.010175888685639i,0.0509577553551706-0.0799030070267621i,0.021905083760312-0.00164043548615287i,0.0447505821877428-0.0325840093847131i,0.151622941078664+0.0296160900218403i,-0.136512976374376+0.01277560798597i,0.190548095864017+0.080174068913979i
0.0133616712206823-0.00136844627851896i,-0.0232518274493799+0.029285309581511i,-0.080123709713469-0.08275438583133i,-0.00213086412644394+0.0142330431956452i,0.0864048230675845-0.00549161358325154i,-0.057698815384604+0.000958108653103083i,-0.0265454220413368+0.0271725569926845i
0.014531656384191+0.00232807048650365i,-0.074532665119047-0.016300695471039i,-0.072685141386592-0.0759743570842967i,-0.016159914964902+0.0250862868793317i,0.106037471871556-0.0012096596182079i,-0.0284804836351998+0.00802023293081793i,0.00601560473203664+0.062653899971921i
0.164630013186027+0.0100776398824171i,0.0502677535597648-0.0437110769293098i,-0.00643199614783306-0.00117020853129997i,0.0546252853243592-0.001163857056153i,0.206542004899224+0.0270867981857184i,0.146582839993721-0.00125523386480076i,0.0428633792347848+0.0186639814724712i
0.0183729207324785+0.00594785560858937i,-0.0320327887289916-0.0434450770747647i,0.0191650084142643+0.0167900239419232i,0.0463071289468418+0.0122247833104569i,-0.0124961669330575+0.00814800101031258i,0.107216012085976+0.00634784839474013i,0.0268169607918284+0.0156864965501968i
-0.00207629138896391+0.00231915730394629i,0.0264013679781004-0.0431406920253947i,0.0221150947463057+0.0778318158157692i,0.0123938231553851-0.021699620502938i,-0.0329707631392409+0.0253932482541455i,0.0237354071442746-0.00918415732559656i,0.0241569333160061-0.0302650304904483i
-0.128956195505997-0.00510646177908727i,-0.0624753007781493+0.0185799534659828i,-0.00916000947844407+0.0109046509692682i,-0.0871668543346364-0.00980440670211666i,-0.18268481992608-0.0108793230047336i,-0.0872123884444688-0.00314440173049765i,-0.00779867310214482-0.00747859775644725i
-0.067850372635775-0.00415033406553498i,-0.035996585286912-0.010685518213172i,-0.0425905574722911+0.0326058130214176i,-0.0648080270799588-0.0195739140071407i,-0.117946441585414+0.0122633922519327i,-0.124845435272536-0.0124111722473676i,-0.00878036734898524-0.0226813323477212i
-0.0561117751067867+2.68239101401924e-05i,-0.121579838946495-0.015955473608244i,-0.0702160061828851-0.0105348308951948i,-0.155065806020604+0.0168262278973241i,-0.104465955092673-0.00582403585361426i,0.0284320833327836-0.00354785450399861i,-0.0328961146382391+0.0205287393872172i
1.88723783755886e-05-0.00510150938301749i,0.0819047691634463+0.0476820737805436i,0.0847763689939663+0.0199932965763471i,0.0593175422588318-0.0135312798968402i,-0.0556353101329465-0.0222760566343364i,-0.0820410227915418+0.00608893153572335i,-0.00755281322907088-0.0362093713298822i
0.0238687166638811-0.00465517901986421i,0.103059397213609+0.0529884470620034i,0.0358853746084534-0.0154387391115267i,0.0859245130602657-0.013997807309722i,0.0415888140198714-0.00389534275331024i,-0.0786527213370745-0.00337961381631284i,0.00138826102244055-0.0304806834082912i
-0.0446629216275984+0.00125223280732679i,-0.0894992817656507-0.0491563268247055i,-0.0251632074558386+0.00356353808002911i,-0.0353528704742945+0.00629896778446275i,-0.0770207633533144+0.00516822442051178i,-0.0839289529038987+0.00346704657973396i,0.0368344704845482+0.0404499284487033i
