-1.98622646541535-0.0407367850954243i,-0.246523238445882+0.0142675778940397i,-0.225181240280203-0.0266086875154984i,-0.212474148100852+0.0332391260424369i,-0.163924630106819+0.00421486144042237i,-0.108222945044579-0.00633095033572317i,-0.16028641405132+0.0146845687270811i
-0.00273037536110742+0.00401618009336532i,-0.0625613908383068-0.0788211575190708i,-0.0489063687958242+0.0277340063413613i,-0.0702792877462588+0.00277207383546945i,-0.0367070758028141+0.0175493628216188i,0.0271023526543786-0.0176934266481893i,0.00835933042599388+0.0404422488893346i
0.00132355039596898-0.000382746326139297i,-0.00257738089921286-0.00950868568799221i,-0.00861609333148923+0.0055058101511493i,0.0123319008195789+0.0119734656311432i,0.0270685028153362-0.00470053093275628i,0.00702765032367013+0.00565272717609492i,-0.0353076515789585-0.00278632014546562i
-0.0114921900272675+0.000342697864643629i,-0.0547644079147617-0.0506950537929095i,-0.0188158792836588+0.0477836008374761i,-0.0158230923463191+0.00381926989771188i,-0.0306925442259966+0.0111873458689522i,0.0276858866443651-0.00256973217726625i,-0.0417398159577645-0.00695580373086506i
0.046253653199798+0.0102749956974327i,0.00481580154297506-0.0514636874706927i,-0.0239549243516525-0.057920318714088i,0.0136838399081752-0.0511668292059614i,0.152739280640114+0.00131444264819235i,-0.0977564303699342+0.0204966285187235i,0.142808222067232+0.116907119228623i
0.0148368891402003+0.00135391867159955i,-0.0283510916635475+0.0261289320116474i,-0.0663507403314183-0.0572056709511181i,-0.0557706096842784+0.00769770361923991i,0.0349300865110719-0.00267013115793603i,-0.0361145976634424-0.00792132306759505i,-0.0197406298893647+0.00203653634166551i
0.015154496774826+0.00398235713975108i,-0.0734037212412183-0.00180140370674185i,-0.0953932856690448-0.0685436791973281i,-0.0606880078286519+0.00732106815878444i,0.039226088900875-0.00903249477587531i,-0.0140781276310441+0.00388470596456517i,-0.0317654511038694+0.0448664013259835i
0.160802673767785+0.00789674208098302i,-0.0420664075114656-0.0407009241890254i,-0.0840170354198498-0.0219145012323523i,-0.0187414724161025+0.00289440365596628i,0.179430003499011+0.032850011747488i,0.123212516257485-0.0136595347291887i,0.0129242327289098+0.0283184160325998i
0.0130596181607171+0.00325124441232875i,-0.026655772772675-0.0312895752544306i,0.00855721459336553+0.00894194967790302i,0.0169487409987847+0.00247408532654822i,0.0129807527856579+0.00705590776647971i,0.0853714761533468-0.000101225238304416i,0.0132332837341607+0.0212042965335924i
-0.00403130558278433-0.000141688594483029i,0.0234298719103656-0.0273182712520082i,0.0246782406977089+0.04659194439664i,0.0341717445298867-0.0162138649585459i,-0.0119835526278952+0.0219637112468958i,0.0219143031712331-0.0102323628122985i,0.0394840875197275-0.00442195619241871i
-0.124542432562271-0.00448167398699253i,0.00453999617476966+0.0163279528900008i,0.0453118795582594+0.0309578605591769i,-0.021443890609524-0.0183167701698086i,-0.172651726545722-0.0161297100904689i,-0.0762474685673034+0.00247187509110993i,-0.00532445105193651-0.00984169483798042i
-0.0633910529374743-0.00306934312632965i,0.0281302550590796+0.00228558593104767i,0.00903451611286785+0.0386357890452846i,-0.0127786028254618-0.0227353442390068i,-0.128626592591104-0.000572086120118906i,-0.100561904345844-0.00856608466784487i,0.00174267144970931-0.0192950076767053i
-0.0431678289586301-0.00115168963874673i,-0.0965881116841385-0.0346451222854477i,-0.0307045643703149+0.038060814435575i,-0.112323146848962+0.0144553019058249i,-0.151190096912987-0.0113902678065517i,-0.00815951526493541-0.00298167380673794i,-0.0930996033175951-0.00405436868283463i
-0.00553080879797319-0.00298218995149972i,0.118942434430344+0.0472584794805971i,0.107521215583142+0.00616375070653781i,0.0984157291097053-0.0103048321962791i,0.000409712590153275-0.0168520764477314i,-0.0547830994710675+0.0123725845568026i,0.0554606650334373-0.0252531008703045i
0.0182269505903946-0.00191100825454556i,0.0853998938602377+0.0512201453217975i,0.0368484824529075-0.0399282907075166i,0.0772772846018632-0.00165880075051043i,0.0686795193401081-0.00162590672434015i,-0.0444978028224273+0.00346034136471547i,0.0629027892831412-0.018858459899071i
-0.0346321532958235+0.00149418626382546i,-0.041571714552571-0.0338323965130838i,-0.0192927973087577+0.00480571488292529i,-0.0162311943357531-0.0075306418477352i,-0.0863246001462678-0.0148529540821063i,-0.0841610293337725+0.0122668220668137i,-0.0191367575717452+0.0359137307531678i
-0.00399431813704101-0.00116876050031301i,-0.00557327381312636-0.0276966820806921i,0.0058721313630093+0.0398300042577912i,-0.0142507031002613+0.0142253287303139i,-0.00324457543332885+0.0103101663678226i,0.0446736203756285-0.00889044867573279i,-0.0258510241151892-0.0209016839255925i
0.000602023606444721+0.000831190858385317i,-0.0226006425394814-0.0107681780607003i,-0.0407146939623228+0.0142754576254234i,-0.0134134366891123-0.0189494395360871i,0.0190662014796307+0.0181262442052225i,0.000561627868212992-0.00910055107115757i,-0.00868025349201029-0.00819062861191497i
-0.00333476509354075+0.000994274310036884i,-0.0810465369061389-0.0400873519861879i,-0.0469673440479189+0.0449873212090094i,-0.0864091244099811+0.000955084854932549i,-0.0551084389793445+0.0284667840035633i,0.112892030501139-0.0264256571780439i,-0.0305131397300346-0.00501286570737796i
0.000947936162601483-0.00103922181565556i,-0.0107359631909368-0.0159037196948267i,-0.0161885361955741+0.0390630733902493i,0.0222217828093442-0.00053759143137479i,-0.00398713373706994+0.0201675617780831i,0.0612562554653501-0.0107153836144677i,-0.0369011288421626-0.024539243650946i
0.0143866586011988+0.000120371867294719i,0.0162921854155152+0.00815647046232269i,0.0125502137636075-0.00141132374558798i,0.010586516402296-0.000232965230801244i,0.0301903301084524-0.00261525015574307i,0.0200038500140628+0.00293082192041923i,-0.00374493446913262+0.00320774243372223i
-0.0030122526780392+0.00159996388630271i,0.0501451616724769-0.0267321555760172i,0.0061211790681761+0.000335166899045166i,-0.000969248896704661-0.000418924514457509i,-0.0147526623036843+0.00196239003673191i,-0.0617282018254479-0.0108982059785489i,0.0665722361614115+0.0326758009018034i
