-1.99977493603945-0.0444404668355165i,-0.175157807859064+0.0107619809019449i,-0.176691572579637-0.0200232292241644i,-0.143562872865553+0.0280605921940379i,-0.133602578835325+0.00163829598500763i,-0.125915429943016+0.0175134205734879i,-0.152721575604238+0.0125472587378707i
-0.00982316028604788+0.00339980005690553i,-0.0214771769615638-0.0406395059081638i,-0.00747654391677716+0.0160202638904874i,-0.0464746416180601-0.00716645901114242i,-0.0340318172801186-0.0046807433636103i,0.00850963617726882-0.0211512428598686i,-0.0291219586063416+0.0305132509640908i
0.000181379792462515-0.000129450871700502i,0.00838427970781902-0.000518337523326968i,-0.0136356343428047+0.01005370822393i,0.00428881766048891+0.003757199467799i,0.0213010431184436+0.00274607921429645i,0.00657039412406825-0.00113508250633679i,-0.0257212510855167-0.0122977708531199i
-0.0185618872327284-0.00133967332075572i,-0.0306038390863495-0.0317694052553623i,0.0115705593794621+0.034534068211099i,0.00559266281434202+0.00165419351801264i,-0.00808849036407352-0.00160747500741543i,0.00146621629330821+0.00413388486478542i,-0.0333874914202171-0.00436118839048671i
0.0665226419252854+0.0104796518463249i,-0.0500749949909979+0.00910919898969087i,-0.0658163581423355-0.0784637813037075i,-0.0441778352800291-0.0688730636847108i,0.0460197525973357-0.0356363846213138i,-0.0142679025308914+0.0217674032539303i,0.0116535791029009+0.103412886127832i
0.0138914046903958+0.00283194620305439i,-0.0094257479341062+0.0273885145021852i,-0.0227224428893919-0.0156741611183282i,-0.0886630663005154-0.0063815262676163i,-0.0181238604872003+0.00142964506741635i,-0.00645394724080166-0.0178856010767023i,-0.00672335412646297-0.020395639265781i
0.0130447346279205+0.00546689863696712i,-0.0247866036795834+0.0281485273944263i,-0.0661245059492401-0.0251784457274818i,-0.0887169726316792-0.0235068725058905i,-0.0185542293837178-0.00845503890097199i,0.00803376211175212-0.0105324544443482i,-0.0531606688370342+0.00154365698753266i
0.164012258730458+0.00906620452931437i,-0.0983592616904194-0.0274827911494523i,-0.107877157294333-0.0262745334559204i,-0.0740997446167726+0.00124660883904582i,0.0993696417755063+0.023490226108904i,0.0910135394790205-0.0260639830677243i,-0.017269588481779+0.0204559098306802i
0.00647556719281444+0.00243129972556377i,0.000658426000534231-0.011402058114258i,0.00303354309855974+0.0129879813373634i,-0.0346902080521183-0.0102699909310426i,0.0479463137323253+0.00643480063147424i,0.0466479908104136-0.0134619456174066i,-0.0033913037843976+0.00891715646490889i
-0.0054273611721535-0.000880783635711069i,0.00264372690751709-0.0118445451924268i,0.0152521200071873-0.00411553318721658i,0.0412926938267255-0.00302967311317067i,0.00441764766043037+0.00373021226377616i,0.0215082088077895-0.00259908990806514i,0.0372107902639547+0.0271109067105117i
-0.130415522465187-0.00583727763882326i,0.0574339903851527+0.00629866690870872i,0.0742284905572798+0.0353693040914068i,0.0531830120044611-0.0147083360169754i,-0.0977264098265844-0.0172628260103228i,-0.068259874077077+0.0152660270183253i,-0.00163101698788771-0.00546827159521952i
-0.0667242276469118-0.00394563355815911i,0.0676715548448092+0.0150981287223611i,0.051844354883275+0.0194541916152632i,0.0429070482322462-0.0148466459441831i,-0.0973288624945137-0.016870633209886i,-0.0624437349122205+0.00733696738736492i,0.0101030901944479+0.00102373383719858i
-0.0545057892057568-0.0026692498107047i,-0.0168697518408789-0.0441193569979082i,0.0330178510112943+0.074033100317165i,-0.000607775936892344+0.00708514463784093i,-0.093294897040903-0.0102006536524724i,-0.0621589739202133+0.00770595367741834i,-0.0929154810062203-0.0331889217732265i
0.00421337452108501-0.00246042665516466i,0.0791474989283631+0.0313368823128172i,0.0609530950741178-0.0180974662564344i,0.0841151117878421+0.00202330631185174i,0.010344479642748-0.00386766644287753i,-0.0129110297549752+0.0116294168453953i,0.0794806577305049+0.00215698964013216i
0.0265907761480505-0.000796743462517825i,0.0176342338164611+0.0346399861051397i,0.00817255268607865-0.0606405603221623i,0.029203576481659+0.0145682941211359i,0.031884657987699-0.00209477012174803i,0.00829181436808338+0.00878229993651605i,0.0817992629364409+0.0116254577880827i
-0.030531356190796+0.000715914350680194i,0.0316569577062616+0.000989204938374455i,0.00217371451746833+0.0183871817924924i,0.000176568655422517-0.0254443807452992i,-0.0595119404353647-0.0246313701033969i,-0.0747306831432274+0.017242113296656i,-0.0648890228463019+0.00931370546051334i
-0.0104527681810043-0.00193577443659358i,-0.00660163638667139-0.0253445495017063i,0.0202443980767193+0.0200792973133981i,0.0043524769227661+0.0209059807432747i,0.0119989692310489+0.00574769195413907i,0.0209725004988266-0.00595458602430967i,-0.0062708236272959-0.00960003968900057i
-0.00261617274483858+2.60314792682409e-05i,-0.0191815339673631+0.00540377522279004i,-0.0166331153854519+0.0115631927903696i,-0.0288875719237434-0.0237702573098268i,0.00218316767194895+0.00775157499441507i,0.0111321560304138-0.00820978659077844i,0.00416178087628789-0.00128025450964831i
-0.0180873330164319-0.000131427926463i,-0.0638658131401905-0.0461828194621272i,-0.00926105331677158+0.0377800419542937i,-0.0300102951108295+0.00697731488334346i,-0.0290518567614967+0.0186511648419404i,0.0500643071221991-0.025005581941827i,-0.018717502592211+0.00166546523352691i
-0.00666833741842453-0.00117517564254975i,0.0043092207556143-0.00168563696589677i,-0.00823545532487939+0.0224376823984489i,0.0193119508673095-0.00099680315582058i,0.011373336316612+0.0189751035741298i,0.0395507264828029-0.0164803583396431i,-0.00487619501452449-0.0167368879048001i
0.0153437598478828+0.00117423766511083i,-0.00650696623361392+3.03307343469443e-05i,-0.0145975359869131-0.00858822727932877i,0.0380005136065859+0.00472809980391046i,0.0169595876950128+0.00414954627458167i,0.014491662836382-0.000141289735146385i,-0.00904823632627908-0.00160414871197724i
0.00262665248796598+0.0031593127170499i,0.0569114581434728+0.0047425206131514i,-0.00013565324646626-0.0344680319952022i,-0.00908662456070607-0.000848616997157678i,-0.0362542373704019-0.0101894664764633i,-0.0186689779962066-0.0174118860411276i,0.0345360270538886+0.0426934237097812i
0.0285894520596403+0.002196173309962i,-0.0316965446045394-0.00946923196144726i,-0.0413944153493668-0.0280808517649848i,-0.0059582963577064+0.019293264386414i,0.067255414840589+0.00688961031409447i,0.0398888613589401-0.00241424825213723i,0.00607065935523987+0.00739851814037065i
-0.0142499939691124-0.00283542448107927i,-0.00982590760713134+0.0106882028739133i,0.0448054986516139+0.0062645704691825i,0.0377752232421177-0.00299319213060317i,-0.0258208775014934-0.0131956712024311i,-0.0256409353147076+0.0283396651366617i,0.0175287431939696-0.0142596812010675i
