-2.01809805839304-0.0534340000535392i,-0.0588968162622085-0.00192252831124687i,-0.0530307656259401+0.0269028631886927i,-0.0531886304630317+0.030243254413638i,-0.0753296667622918+0.00696418361038925i,0.0548770405350723+0.0148778818237615i,-0.0993697628803457-0.00343329729348287i
-0.00999306251159152+0.00955693767209212i,0.0079009227665569+0.0303396192237633i,0.0221192188963431-0.017542590757673i,-0.0061620419284967-0.0242987223390931i,-0.023383317104184-0.016287079872321i,-0.0282055643131787-0.0406361506930638i,-0.0545267276762925-0.0129136160580161i
0.000267885899413703+0.000285263929389473i,0.00539304035789528+0.00904364087912193i,-0.00721014400653301+0.00208068646312915i,-0.0114375600816667-0.0062910983451557i,-0.00252151719664851+0.00642769137840127i,-0.00104159562009599-0.00933385483106583i,0.00821428260588634-0.0107004205185873i
-0.0162314762183367+0.00236278735641749i,0.00550674800849772+0.0203260721610993i,0.013810978526305-0.020399545800688i,-0.00468194586337362-0.015520689125734i,0.0102897916721206-0.00913809131556382i,-0.0644752883436887-0.00947514887389985i,0.00324781179249806+0.00339819161332259i
0.0589979645863281+0.0144509123623168i,-0.0467078374071818+0.0375571108111595i,-0.0262107218280661-0.0185255853606424i,-0.0341073213330378-0.00301036962180799i,-0.0743884895910334-0.0436664919658621i,0.187491718055783-0.00379758943816606i,-0.147269929081578-0.0318297463772901i
0.00430206668410506-0.00109625906102358i,-0.0222740097998665-0.0147667952810015i,0.0583225283234677+0.0653543445623956i,-0.048902422985965+0.0036955048767293i,-0.0918643144253869-0.000512015733840131i,0.0805334905928121-0.0177673745807017i,0.00755480029187101-0.0396372156714912i
0.00505958862369485+0.00453542079310479i,-0.000394394635435866+0.0125548091271687i,0.018801475711683+0.0545504518228973i,-0.0610025270353764-0.0163781471761334i,-0.0981324949242409-0.00396543275644452i,0.0606774900258429-0.0232504048993903i,-0.0416873624910414-0.0629057563434585i
0.181472162947906+0.0155829522824325i,-0.127141082234288-0.0120345177233616i,-0.0510342669901624-0.0190506192945688i,-0.121579313202884-0.0127020738372728i,-0.0691433231435752-0.00165019781803446i,-0.0972434144566854-0.0440846316716512i,-0.00474332898871683-0.0134794672858732i
0.0186038209485149+0.00755071575937997i,0.0105228150720842+0.0148241018891249i,-0.0277076430590191-0.0130870096881947i,-0.0695186132363114-0.0280742129647796i,0.0453230980824248+0.00336029724216718i,-0.0891016151360839-0.0252148687790027i,-0.00601990876130586-0.008088175462682i
-0.000120656896739145+0.00184003398214409i,0.00061546297399629+0.0193305351601631i,-0.00923012022836777-0.0604810374802179i,0.0147499442980721+0.00213721349005675i,0.0420766596658257-0.0138227074121948i,-0.0211414373032185+0.00196007714138151i,0.003900802272031+0.0404989998889241i
-0.144309132598842-0.00843541760905307i,0.0962450929227236+0.00634560128113668i,0.0335764503819047+0.0130726052942792i,0.109554679066054+0.00532810175008087i,0.0553085076533579-0.0037972898079992i,0.0480265686776878+0.0264571663429156i,-0.0256394531237393+0.00957463825454888i
-0.0841202087372862-0.00809797602424623i,0.0865499374696328+0.0256320284199859i,0.0622621085343855-0.00543762219682107i,0.0956992124218443+0.0126979183420511i,0.0178359597063241-0.020935487618583i,0.0975147884481452+0.0270854665245585i,-0.0170240892271509+0.0215056233848323i
-0.0652074405647656-0.000409168474923428i,0.0521792200556217+0.000977974017716194i,0.0361976063543133+0.0360185825189707i,0.0782064635442468-0.018659892820574i,-0.00340826346526399+0.00506721519385176i,-0.0754490186643585-0.00654867374046563i,-0.0312317973550998-0.0308489884276605i
0.00276503594534694-0.00676804200442445i,0.0366015404154154-0.00362205171970359i,-3.42217523923178e-05-0.0181809650037336i,0.0588117759398753+0.0225566848705136i,0.0580282336373338+0.00612492591708298i,0.0862524405821386+0.0265485623351491i,0.042063771898932+0.0364579952935822i
0.0243930680913478-0.0065167011795535i,-0.0353679214026835-0.0173656149049899i,0.00749041519454077-0.00889458544565887i,-0.00927786076958245+0.032623895308834i,-0.00142413833112707-0.00490093802279414i,0.0971573906667798+0.0289584226984794i,0.0403567239605826+0.0292847056588386i
-0.0445455726959402+0.00034633348115615i,0.0977336058777528+0.0487216800335313i,0.0118672296709239+0.00587353347455979i,0.0335065194752454-0.0186243162441594i,0.0119109669858349-0.0150961800332593i,0.042026533358963+0.0166724573466481i,-0.0774739818361449-0.0293904115985022i
-0.00426777285688619+0.000941610269867393i,-0.0140739692012427+0.00514617060664426i,0.00782226520247409-0.0254230897726552i,0.00126728191563374-0.00459318165982634i,0.015822628739732+0.00111754174250332i,-0.0593598320363811-0.0146717031364884i,0.0242528506261672+0.0144213929897028i
-0.00439356471887573+1.82534893435264e-05i,-0.0162034053833452+0.00347364471939654i,0.0232546404019071+0.00453101764462145i,-0.0310240857763135-0.0031884175601885i,-0.026291282230264-0.0122849959027631i,0.0161651658740788-0.00642447712734333i,0.0138599321464331+0.0045723262449632i
-0.00743243714920034+0.00650257442272289i,-0.0389711514926258-0.0157611905036486i,-0.000706410414833996-0.0135814171961054i,-0.00723436908911951-0.0160455290728161i,-0.00765342281568707+0.00209438257668972i,-0.141770661938025-0.0372136099737557i,0.00986510457335078+0.0131601965228549i
0.000397531572081517+0.000906889370676516i,0.00567995241410562+0.0127804633288771i,-0.00231610461813473-0.0233719709281704i,-0.0190462158346046-0.008941610284784i,0.0170794010068777+0.00205047475058205i,-0.0621248667786184-0.015523481754248i,0.0385207756399648+0.0122832108390318i
0.0172859988615641+0.00246167584870286i,-0.0213581260790473-0.00615602782790936i,-0.0268863373996794-0.0119524457130738i,0.0266210366429225+0.00639298199690809i,-0.00238427042996169+0.00998785611992815i,-0.00805973144479936-0.00746397599154347i,-0.00558601308445261-0.00634528870708107i
-0.00406254683601271+0.00267444109333226i,0.0379688420783404+0.0345153299124331i,0.01267844034701-0.0333111727029825i,0.0251921127088657+0.00262844406097419i,-0.0113948570944019-0.0144223280909582i,0.0941010679819258-0.0102497552384282i,-0.0442091060182366+0.0116950099828284i
0.0349250899985061+0.00339301988479236i,-0.0606963178888245-0.00729305088562936i,-0.0354256310838113-0.016614326916213i,-0.0476088927415174+0.00214015196712984i,-0.0172456792722701+0.00723055650676022i,-0.0201222563713938-0.0127724295752496i,0.0192010392430112-0.00288539510049057i
-0.0182193840968156-0.00642194629728702i,0.0145642166263765-0.0146126445237138i,0.0202423664610295+0.0209972463355439i,0.0292414496242697+0.0100571827378589i,0.0120758325722464-0.00315464651135536i,0.0254870457126612+0.0341958770096927i,0.0322043900450347+0.0100124483079743i
0.0034268619296715-0.00175089301215625i,0.0154613317965452+0.0104944374385732i,-0.015313018270109-6.75060529247663e-05i,-0.0146573456496165-0.00131110643023567i,0.0109961036578563+0.00940043769385251i,0.00220789609310387+0.00980435551587589i,-0.00376564093781372-0.0124741498882584i
0.00606320316138702+0.00621139264199552i,0.010311985266927+0.00616053163868067i,-0.0256876332945352-0.00219316226304745i,0.0194458667412925-0.0140007626947216i,0.0126076825183416+0.0041264969236248i,-0.0349018348028128-0.012930510103927i,-0.0453995452949289-0.0185626087374978i
0.0126690145290916+0.00346710876650966i,-0.0202417695503608+0.00062720178964842i,-0.0233729383684876-0.0422189958317302i,0.0235318430478484+0.00130112703157459i,0.0319210066769265+0.00517698981643825i,-0.0420638541890772-0.0222428192395534i,0.0101815584533981+0.0249377580764987i
0.0109772395424684+0.00342895225051465i,0.0131529408989236+0.00299829326718843i,-0.0231612776255839+0.00207857746728859i,0.00562861436791073-0.00294451382835974i,0.0255471244920684+0.00097804854098427i,0.00117017300878042+0.00251428121330148i,-0.060385273135096-0.0176585614289598i
-0.00431690293365381+0.00361852880237183i,0.0254198358527468+0.014361432140768i,-0.00348038517088144-0.0179395795746595i,0.0351907093171445-0.00466848149507045i,0.0335308469564446-0.0101596381150464i,-0.0108993862536417+0.00177929707702475i,-0.0536032351477196+1.83897786849979e-05i
-0.00383365266912054+0.00113730260229462i,0.0133843362154963+0.0187553648873879i,-0.0173781932573174-0.0351689326370375i,0.0309923327319396+0.00185177387179075i,0.0168789245796831-0.00841293812673006i,0.0197220932535012+0.00908209474193706i,-0.0244540905967372+0.0155991306456467i
