-1.98682954791427-0.0635231485620973i,0.0976473761857711-0.0335802338940406i,0.0651734724789871+0.0319616493429449i,0.0581331144437074-0.0234595938286751i,-0.00614324419187726+0.0200435044370698i,0.0643239554944863+0.0318205635911665i,0.0279736735676397+0.0133890102011168i
-0.00803960302578233+0.0054337105588887i,0.0489169023309716+0.0833324199138007i,0.0395941275956651-0.022364165575749i,0.0585472446788891-0.000976571684478315i,-0.00623574661156756-0.0353366137648441i,-0.0402116457436873+0.0099706156462327i,-0.0230228608621481-0.0458698048611096i
-0.000755039824235071-0.000732772918823252i,0.00397937949181231+0.00563384554631403i,0.00489232332116292-0.00452063614145908i,-0.00945603634094662-0.00990272491581868i,-0.0216302215211129+0.000809648511089753i,-0.00197928026756304-0.00338261303359109i,0.0256677412742289+0.00350266540937936i
-0.0135323674799341+0.000220203539492192i,0.0449087091730108+0.0548923274916399i,0.0165336477981077-0.0461571298298076i,0.0120492460148667-0.00540574006952055i,0.00555916209908601-0.0215084739823346i,-0.0410024342961473+0.00454942296294286i,0.0236391335270149+0.00448117672139271i
0.0534271065469783+0.01533890582165i,-0.0264230376996461+0.0321732190326783i,0.0110254457953323+0.0560907116293068i,-0.0125519657253968+0.0482615834296061i,-0.100221594110866-0.011975615935216i,0.128551746882059-0.0338985849637387i,-0.136409590277493-0.118501854329688i
0.00572412902242938-0.00130308776692678i,0.0215445745386528-0.0322668599985835i,0.0648775004085377+0.074777195942777i,0.0429980394537082-0.00549894637518579i,-0.0689048939788581+0.00266303392551838i,0.0329663085086636+0.00327742615013702i,0.0141601125403144-0.00349470938058043i
0.00318886002971527+0.00183959764758972i,0.0588383000647075-0.0037115135023841i,0.0717601219766772+0.0759238602684641i,0.0460990765144299-0.00759916375340234i,-0.0865766631538315-0.00111096053334592i,0.00836305608084257-0.00446165106642512i,0.0107205549954512-0.0455109911369085i
0.17034820441263+0.0115627058085434i,0.0106983264125447+0.0382705920890974i,0.0490633759521386+0.0131353815256567i,0.0109283904723579+0.00359174343137141i,-0.162093027472442-0.0526568319695271i,-0.0989884519534744+0.00938300162603318i,-0.0232524438931739-0.0101984128744513i
0.0139243486430957+0.00505432219834728i,0.0143917180874145+0.0353845773540366i,-0.02133340411363-0.0161639960137773i,-0.0258173629897174-0.00367943114367403i,-0.00499509539111139-0.015024391225552i,-0.0747842765975927-0.00645018094127952i,-0.0163430579463765-0.021203699597487i
0.000896144749959608+0.00197301555959538i,-0.0241471472921889+0.0332316292446577i,-0.0225568653510773-0.0517657468274546i,-0.03064325876553+0.0152790152768044i,0.0378887623159498-0.0222346561302491i,-0.0159632966944184+0.0076083493127649i,-0.029286610464432+0.00541775075353946i
-0.135644649290597-0.00649269609620625i,0.0108762379818994-0.00963820380799143i,-0.029392879330922-0.0231354516532053i,0.0198415940880393+0.00991979853594727i,0.136381431885645+0.0273375885180685i,0.0481648853710929-0.00124839999363878i,0.00501582712535538-0.0065544333531109i
-0.075186032052264-0.00532477664978182i,-0.00169900266075073+0.00500766629871352i,0.0108622500740133-0.0248055426074471i,0.0171522652637755+0.0156382446720311i,0.106219995923047+0.00792307660999953i,0.0760316541959505+0.01161136903118i,0.0029231121504864+0.00333737422915826i
-0.0614545289840899-0.00340936541211405i,0.0971068474806591+0.0429968930567502i,0.034026266366659-0.0294123400604361i,0.102719216512065-0.0187825044468277i,0.052683264955376+0.00184423448620926i,-0.0410905089331095+0.00911645953065639i,0.0607727796243606-0.00884654347045272i
0.00572505741656674-0.00188573942469336i,-0.0815276425159088-0.0499329376151568i,-0.0673145052084085-0.00763343193322678i,-0.0692442869338036+0.00936148697950019i,0.0721563349849677+0.0328667453260585i,0.077186698963485-0.013357028557123i,-0.0122425219762201+0.0241980321793753i
0.0224512737943772-0.00168381698660865i,-0.0808185947388937-0.0605670596614423i,-0.0245788224440735+0.0362196640182885i,-0.0638926877365336+0.00762400547423239i,-0.00909250379086465+0.0170393889919571i,0.070791090211946-0.00568439259229947i,-0.0313431839858554+0.0262783147157305i
-0.041906567427229-0.000117874957923452i,0.0546406176478139+0.0384563304070794i,0.0195480665824207-0.00607585940949303i,0.0155614642467234-0.00183215285691323i,0.0521825955797767+0.0113039677855978i,0.0562651788479751-0.00611848491749352i,0.00376172791266717-0.0497728436008301i
-0.00370778898352811-0.000497088085488373i,0.00127381572208674+0.0307127228385626i,-0.00320925415367877-0.0395955092106867i,0.0117133921204798-0.00952087578371668i,0.000924848176589043-0.0165596171427257i,-0.0451957345589435+0.00831090400882943i,0.0170664918685802+0.0209241815154117i
-0.0026635645856478-8.65591031216902e-05i,0.0111989010889848+0.00940370606485611i,0.0318622783861317-0.00413821657229855i,0.003735888987208+0.0167289427534537i,-0.0270614742609838-0.0216730526571294i,-0.000242785055090324+0.00797107358212042i,0.00177889266912211+0.00915253024465385i
-0.0069908712225918+0.00224212816879382i,0.0526525957818966+0.0517796758062841i,0.0246248107196283-0.0428241393640084i,0.0655013095152079+0.000492443856660668i,-0.00221593145222318-0.0413235919424422i,-0.130403873516103+0.0230252803902033i,0.00972776258276929+0.00970363432055673i
0.000839132134198627-0.00120713796508351i,0.01230478517563+0.0236756810755947i,0.0108763316211573-0.0376976906865375i,-0.0183729213470684-0.000941020630816495i,0.00361735634864347-0.0246677172442875i,-0.0591081445325779+0.0130616872499632i,0.0310577682335118+0.0255775043412578i
0.0130266140331484+0.000966694695564212i,-0.0147925320533961-0.00816473524142058i,-0.0125537226673214-0.00358740288020707i,0.000389487448737546+0.000978568689905426i,-0.0174106917159503+0.00122448287635834i,-0.0104473882444303-0.00300474350884694i,0.00331745984849011-0.0024263015649305i
-0.00101818146589354+0.00302000716434489i,-0.0313941309795869+0.0273715927750324i,0.00561316307622378+0.00248901907957908i,0.0037081614456474+0.00273851816980625i,0.0288489625762641-0.00374316175587967i,0.0656683707703123+0.00616277256215904i,-0.0494567579875719-0.0364445774314465i
0.0261894300556545+0.00222441909733713i,-0.0252181283026725-0.000624551291524996i,-0.00509835609882955+0.00991157655680043i,-0.0241344545585061-0.0103971388597032i,-0.0775120807204978-0.00748017877765117i,-0.0194278965132449-0.00494707615078183i,-0.00395100896713522+0.0029240984585907i
-0.0130449101552458-0.00299196758125136i,0.00854504826295484-0.0323388318377073i,-0.0215325085656462+0.00540269774108878i,-0.0174150954820951+0.00312391259233213i,0.0394324780050489+0.0250429356681625i,0.0311182937569017-0.0110216628781892i,0.0201625863497843+0.0243457835365383i
0.00153673345197914-0.00148826031716707i,-0.00501316717330304-0.0100484444742395i,-0.0143479299253675+0.00962794664112638i,-0.0202918914662755-0.0176009996293714i,-0.00554470182550543+0.0198320087892387i,0.0220600329547333-0.00794860177510468i,0.0102521946028565-0.00399612277341007i
0.0028209927985624+0.00396424572382421i,0.0170860429274522+0.0244119830243256i,-0.0137826598370663-0.0108494863990673i,0.0269771565740545+0.00120994124104528i,-0.000654344242017181-0.0010767921986264i,-0.0209610212625652-0.00742745813583768i,-0.0150042317922913-0.0358847881947426i
0.00974485344935951+0.00177120237894323i,-0.0371078939876676+0.0267720183986081i,-0.0226213226881962-0.0456369210477847i,-0.0061709474981479+0.000468184379962312i,0.00383936962891717-0.0197597578356717i,-0.0406735587420328+0.00778365710933622i,-0.0057523627931648+0.010104945348721i
0.0068796291355991+0.00325075303443325i,-0.0139820353424602+0.00372339556537806i,-0.019831488362968+0.0157415031084162i,0.00519237575758441-0.00108227671343714i,0.00776445889603684+0.00962773252416711i,0.0111508557476924-0.00850386048860866i,-0.0403331179813758-0.0398935849048723i
-0.00350223282685551+0.00293157446021491i,0.00225411852008894+0.0290904755706411i,-0.00920517981209138-0.0234833742800112i,0.0102505220073714+0.0135635659260868i,0.0435243811970291-0.00921649903597359i,-0.00740397189283881+0.00135758159035813i,-0.0315705832390834-0.0292775901525627i
-0.00320694147192139+0.00154841496864936i,-0.00914369665036927+0.0194116302542152i,-0.0142708299927897-0.0213541703499557i,-0.016859757220469+0.00736217819010334i,0.02680780633518-0.0027139289203816i,0.0224999406857241-0.00132247258986898i,-0.0236075964185021-0.0150057667279031i
0.00365834863773688-0.00150167506631562i,-0.0107675549830404-0.0189173463773913i,0.00828757654781512+0.020885298695245i,0.00105178431557153-0.0120806056843532i,-0.01982379258587+0.00453342834284173i,-0.00735920541405628+0.00734451310384503i,0.00439571997671918+0.00119992434049111i
-0.00627901399995744-0.00100012724090956i,0.020676741050295+0.00590552598349611i,-0.00206253846604613-0.00395847431119979i,-0.00457233110133186-0.0138790353409914i,0.0105898072974334+0.00792750904239776i,0.00214558746884706+0.00135870698317474i,0.0120336817684118-0.00287689605344597i
-0.00503669528694487-0.00195375778003019i,-0.0167716170487788-0.00472377677899643i,-0.0161609127789104+0.00101788403927455i,0.00212839887564931-0.0186920580359619i,0.0242702792750975+0.0160187736037085i,0.0180716946013681+0.000226768797983222i,0.00670811651833739+0.0130685305927225i
-0.00385036066113679-0.00358619883330518i,0.0027145065842691-0.00978639733951525i,0.0306571235732714+0.00831347399637322i,0.0218701027045841-0.00843763748617118i,-0.0114298326522601-0.00556991853190439i,-0.000400233206634176+0.0161833543709852i,0.0152798984898379+0.0265521626365809i
0.0144515611344897+0.00133418010599815i,-0.0194164916916071-0.0140290856123291i,-0.0139848820663638+0.00204533800638088i,0.00568925851840301+0.00887547502492966i,-0.0139775480267576+0.000852314977993041i,-0.00417708299398094-0.00741416941497751i,-0.0060034186089796+0.00851998792476225i
0.00360317846290004+0.000727452499554857i,0.0135152326514014+0.00449874671984158i,0.0447431263841164+0.0233470778864759i,0.0240410483919499+0.00861885402649902i,-0.0373375687205733-0.0136901440009231i,0.0130368084757511+0.00294496825319506i,-0.00182988648876379-0.0088780061558934i
-0.00844382264260928-0.00105911482123053i,0.0194334494569452-0.0191844179616413i,0.0336829921659981+0.0338811718519946i,0.0259994582511679+0.0079911421328287i,-0.00697643222705336+0.00511667533416186i,0.0254347072209001+0.000749341320680248i,0.00905529363566311-0.0159883424510352i
0.00603814113952177-0.000418399012344014i,-0.00307349703658717-0.00740534415963934i,-0.0088242601575314-0.012682297718598i,-0.0163594558185922-0.00154499300463314i,-0.0180719810479356-0.00571263808639603i,-0.0317346167639858+0.000703888945744486i,0.0235458458255078+0.02647386060746i
-0.0132471525767205-0.000544997529224925i,0.00204110290567486+0.015382879100715i,0.0104562660425938-0.00450694823024383i,0.0137348241128485+0.000308320302038547i,0.0390315263353653-0.00459856476975688i,0.00695337196152565+0.0101865079621283i,-0.0144057510435146-0.0106046139657341i
-0.0114351852665237-0.000969018975999227i,-0.0119858752880252+0.00141499409982851i,-0.0155348055802765-0.021220283636421i,0.00119612650737357+0.00578092821441055i,0.0491630697809854+0.00186907415091093i,0.00422845095805599+0.00583460801177545i,-0.00547662898465022+0.00735232914274966i
-0.000339501372824131-0.00511598696215947i,0.00572709439821181-0.0325115101493857i,0.0151171758958946+0.0233489755036008i,-0.0585522711283007-0.0146409433074793i,-0.00656037531012823+0.0153848635068539i,0.0323551670973446+0.00105904306498774i,0.0414704058819094+0.0260958441151977i
-0.00396328809086099-0.00191541330948688i,0.01061852867348+0.00834931183543263i,0.0132331004853678-0.0282199141229242i,0.0108538916963948+0.000146462239899317i,0.00415234079784271-0.0170590555431785i,-0.0416634341596801+0.0147505206358959i,0.0233064558904047+0.0363457867304545i
-0.00272503266328649+0.000345519105033879i,-0.0265956170087794+0.0179087527944905i,-0.0164809699044447-0.0426879613252551i,-0.0318285413574046+0.0184533704890795i,0.0372080799037865-0.0106764200750814i,0.0342515328949057+0.00371881397093897i,-0.021620938751771+0.00449441154754207i
0.0228351520148729+0.00405474894742214i,-0.00872389717904669-0.00268535039837031i,-0.0299240570504477+0.02104123411633i,-0.0219757783184339-0.0117438938635012i,-0.052969487458828+0.0162414922471244i,0.00395561915556932-0.0276029185361534i,-0.00877641357432968-0.0279564071788604i
0.0048547142542685+0.0013128441735101i,-0.0141201574658997+0.00259483943573546i,-0.0250582705079777-0.0129622718056456i,0.00368416875482514-0.0019341914727338i,0.00656794365392071+0.00260119266738739i,-0.0193492147856487-0.00182303163085574i,-0.0128671681708648-0.0112855723324501i
-0.00731540624597886+0.000752343592499233i,-0.0119450325575949-0.000366566498131295i,-0.012909392445417-0.013295831566708i,0.0133649945998383+0.0216939642954069i,0.0476877959930761-0.000402897847604393i,0.0196776395502487+0.00234383541896352i,-0.0312067424787465-0.0104218940331728i
0.000957668142142177+0.00186655364613862i,-0.00247632225299094-0.00199507221711621i,-0.0113748071888395+0.0149692835407828i,0.012954527083922+0.0032890501803478i,0.0163336093066133+0.00904243696022743i,0.011880256534661-0.00613708303212158i,-0.0234167244608303-0.0257859836206462i
-0.0164543498819348+0.000226292758927724i,0.0367966667318788+0.0371753862218051i,0.0343633691155088-0.0179623211645701i,0.0183326726380214+0.0086986124087614i,0.018261218991569-0.0171679442210661i,-0.000552239380371272+0.00543576109247595i,0.0114489783488014-0.0142074117736199i
0.00928354675703471+0.00420037705173884i,0.0213718745534583+0.0356892118101673i,0.00902850724165372-0.00690069073206699i,0.0311391842821883-0.00325628379634968i,-0.0368461477040216-0.0142801095066302i,-0.0348574511957799-0.00676327580505912i,-0.000983890092572983-0.0238057474737962i
-0.0165739431284484-0.000973950454333024i,0.0519061749196863+0.0205643370366237i,0.0459682308643277+0.0133604731208372i,0.0263555795702266-0.00242492316701705i,-0.00744623771062788-0.00625515268380923i,0.0112206104284005+0.00400282763624009i,0.0117007909850288-0.0124576320015256i
0.0116801606418432+0.00273267481930107i,-0.0101528681277091-0.0248688594882936i,-0.0192174511719395+0.0346587124097296i,0.0201523721571011-0.00505584538582563i,-0.0325124062149196+0.0187690651023677i,0.00940108492403168-0.01406029825661i,-0.0134073468872176-0.018216428846066i
0.00960691537731023-0.00028455958967971i,-0.024963349148863-0.0140593834533017i,-0.0159617088919033+0.0188682758016069i,-0.0240579688871481-0.0144651955028886i,-0.0165644091655729+0.0146525196136973i,0.0195961052797754-0.0078911042198042i,-0.00620502759612213-0.000124711824659491i
-0.0042627156051179+0.00368506420939236i,0.0250468416096407+0.0110227576066754i,-0.0032429614782482+0.00899768381119849i,0.0515043762900001+0.00192791184370657i,-0.0107099700704218+0.0030273180963203i,-0.0133381450142135-0.00489010377040341i,-0.0176735446762791-0.0389768997598727i
-0.00552315278470443-0.00125858646101833i,0.00434151920173471+0.0085058905577452i,0.0156445328390671-0.00525112746592746i,-0.0168639295959023-0.00406832953226864i,0.00709664702120988-0.00632860916562862i,0.00794886868945415+0.00607201366854542i,0.0123288775632286+0.00860898897414019i
0.0108267830409172-0.000520149225058187i,0.00204858049542302-0.0157542547817812i,-0.0138107781821788+0.0100464157959106i,-0.0463390396178904-0.00852299160142689i,-0.0218902499038676+0.00998686692328573i,-0.00862412022621029-0.0125836185101014i,0.0167346957774173+0.0107883023969502i
