-1.95985655525682-0.0680584058190834i,0.106202149089136-0.0381153043153956i,0.0915940809745449+0.0140554805070459i,0.0756626085628573-0.0234618439947579i,0.113541447579193+0.0142498393441523i,0.0668181009441736+0.00645877237304035i,0.0906971729919509+0.0105319973912525i
-0.0100636101442506+0.00438252400813824i,0.0287944988884355+0.0554295793854108i,0.0130374008522813-0.0124180510430624i,0.0572964980504553+0.010896166817275i,0.0153035847417905-0.00123064584470514i,-0.0225726190383478+0.0225902977945447i,0.0247181049789233-0.0320374278221632i
-0.00346910469707968-0.000508562191844693i,-0.00348605024796838-0.000347709670031249i,0.0078388780618759-0.00405149480226807i,-0.00276526760138338-0.00576531974462075i,-0.0287682128040227-0.00728688537806678i,-0.0104931825783998+0.00360671236682302i,0.0126598708933649+0.0114993516185502i
-0.0142944883649711-0.00064003230192247i,0.0308066622435712+0.0413429105964604i,-0.00496524627122572-0.0362549771669577i,0.00323244302773139-0.00211588152824022i,0.0028051025032303-0.00599911868235234i,-0.00561781687083284+0.00304826730804895i,0.0247039967234566+0.00774102424703883i
0.0569338617909122+0.0145019236584697i,0.0269402547055561-0.0103171203160038i,0.0658687710478902+0.0967012090581862i,0.03735394631011+0.0667685935676189i,-0.0509791180411345+0.0398284496943674i,-5.75563991394995e-05-0.037009768459887i,-0.0185699074754213-0.116978398002219i
0.00621031237220571+0.000423751009556939i,0.0170522006439358-0.0360488283010674i,0.0283864002210853+0.0327882428371862i,0.0859334538522588+0.00627379641118378i,-0.0055176208109693+0.000498189973653186i,-0.00637815061454582+0.0145644154018602i,0.00543528159562021+0.0160001296079027i
0.001465461142112+0.0030562350964242i,0.0389627382616367-0.0237573465360753i,0.060461146384691+0.0405445565672585i,0.0951015247046417+0.0188621578800178i,-0.0179193092420443+0.00200292263736314i,-0.0321120667780877+0.0100978844895587i,0.0395991856178717-0.00593575300961355i
0.155023305395628+0.0131638180624929i,0.083784878832553+0.0413335853976426i,0.0837548022642512+0.0373057053928954i,0.0665234499269255-0.000988943425088991i,-0.140575660482965-0.0341335245838599i,-0.113959402026451+0.030364600149469i,-0.0107787227587296-0.0125725284356245i
0.00278364754867565+0.00375078152209119i,-0.00218270482642955+0.026388129639731i,-0.0159165584381758-0.0123164116445606i,0.0140203636027018+0.00572087126617912i,-0.0574839173701157-0.0100619365754352i,-0.0535930842678161+0.0131251796968859i,-0.0119876396776771-0.0108150163183646i
-0.00191639890969113+0.00110779212366972i,-0.0132036059452601+0.0210081378881529i,-0.0181487333172726-0.00644735738688265i,-0.045479134395909+0.00326532431106454i,0.00426731264906032-0.00130093548714957i,-0.0136161960623417+0.00244008716389977i,-0.030001354156239-0.0243507666930569i
-0.123809844133988-0.00782113500451327i,-0.0454504200827764-0.00983170521497049i,-0.055941085576506-0.0446529482366845i,-0.0408948212045706+0.013884938874664i,0.124244101283685+0.0253212320135675i,0.0815078087928745-0.0173963650746386i,0.0208622204280123+6.80895292274816e-05i
-0.0646774362736999-0.00550487999430554i,-0.0502613192262333-0.0168358615707314i,-0.0335243447488301-0.0239811000030556i,-0.0274752697367356+0.0153662186379301i,0.117742234892399+0.0231310704372129i,0.0731930729392683-0.00738596208335543i,0.0104099118378023-0.00674838483453692i
-0.055286199435978-0.0037435437430179i,0.0408747340053509+0.0484700623885192i,-0.00957361167144945-0.0728049659170642i,0.0380000487227259-0.00395335589467488i,0.0870934396804161+0.00179445746771399i,0.0490757676414301+0.00207199808929367i,0.0877811594752768+0.0333756795722967i
0.00961071613208997-0.0020736540369786i,-0.0815868266982017-0.0451238208540118i,-0.0523518282277059+0.0109496207932205i,-0.0918819376786041-0.00417832875880839i,0.0244291561848794+0.0153368666931968i,0.0400819773530487-0.0196615509620431i,-0.0518648657854886-0.00464801222122868i
0.0204723296481131-0.000978439284583807i,-0.0382857610881097-0.0517042904369577i,-0.0127171879716923+0.0582122317656705i,-0.0451093625709706-0.0107928970262822i,-0.0237880775555042+0.0116993713398937i,0.00361263346674264-0.0170501558312555i,-0.0663589017742154-0.0113016587988986i
-0.0326273048373526-0.000549683604897183i,-0.0110645048570955+0.00552090446389789i,0.00775601134014016-0.0173200954922005i,0.0138130864915097+0.0229160562468568i,0.0720899311326705+0.0213661072935191i,0.0679592415664961-0.0159901841794432i,0.0611510264964117-0.0168321142692561i
-0.00842976939024407-0.00109457804095697i,0.00417478705874548+0.0295227809701059i,-0.0191839798650349-0.0221079710867807i,-0.0027377794437015-0.0171354301255598i,-0.0172053232677215-0.0111796979964035i,-0.0210909832293288+0.0115004445088841i,-0.00176162329560327+0.0120885361372937i
-0.00412656818348673+0.000218841354231308i,0.0159728425094985-0.00271941999016096i,0.0145817050407584-0.00588673308652083i,0.0228610561645364+0.0199445412176425i,-0.0109513434487598-0.00745532374067463i,-0.0149312448843021+0.0106437152750016i,-0.00881759983358964+0.00170447986857618i
-0.013542568221139+0.00174419804038327i,0.0604293749737705+0.063347791183627i,0.00565888382629996-0.043426394172742i,0.0377275799214698-0.00487988377574717i,0.00513552658701323-0.023365681876824i,-0.0595877867463757+0.0334683983898444i,0.0126975393185595+0.00700725067839492i
-0.00631987882524828-0.00101573700234554i,0.00115539565918753+0.0138000960099378i,-0.00100179227618492-0.0234473565263646i,-0.0176577122981229-0.00467698496485913i,-0.0206733282660721-0.022913514613649i,-0.0426650569855151+0.0221397037466383i,-0.00277809564792228+0.0191170313988878i
0.00861393074564028+0.00124158325071635i,0.00419757111392097-0.000155741458493288i,0.0103428130321772+0.0110497593274385i,-0.025733907754173-0.006309679096414i,-0.02503776224128-0.00546298241263376i,-0.0194192539900446-0.00110598239345913i,0.00277878688246506+0.000292236685611754i
0.00360298003768817+0.00302943569594782i,-0.0466488710575761-0.00378574624165286i,0.00425458722463684+0.0335631608739628i,0.0067260433143272+0.00515065837328608i,0.0454643103290846+0.0149088784723704i,0.0233938625873078+0.0109960096486304i,-0.0152178706980497-0.0473732973840258i
0.017504081500307+0.00289144782981659i,0.017145786607678+0.00535331899947271i,0.0245907476330069+0.0341839568684705i,-0.00141417908675633-0.0174018803587359i,-0.0882427999651272-0.0114209055030477i,-0.050254168623923+0.00338973666113972i,-0.0205410802409018-0.00450151608850013i
-0.0053141798192777-0.00317898928809566i,0.0038328899764584-0.0205933944855045i,-0.0294716696170065-0.0132951181646687i,-0.0331255650364542+0.00234633809415029i,0.0431095720239176+0.0173444169183837i,0.0400156345203741-0.0277415654326995i,-0.00288918619622113+0.0172765329354949i
