-1.9625904826234-0.0784263552309823i,0.027180182546019-0.0283923125365295i,0.0256915583556557-0.0293190825408705i,0.0345808169451946-0.0249171328878035i,0.102333641312271+0.00482420649474907i,0.00736013092290325-0.0272567130675131i,0.054983316698119-0.00226623231741002i
-0.0122774692446785+0.00580491958883546i,0.006405271314017-0.00176164805671122i,-0.0188749372753811+0.00943329826989406i,0.0176651092934708+0.0274936844834949i,0.0168624203841242+0.013722265817128i,0.00395753643777816+0.0369155026411605i,0.0427671399207231+0.0131083590740681i
-0.00296988459601913+0.000226040939252909i,0.000892190078976146-0.00454740461523102i,0.00216870770107004+0.00225176367777663i,0.0096438013682242+0.0021197768280372i,-0.00836720972524199-0.00618524499909864i,-0.0107773770199248+0.0113128083651718i,-0.0120492730022524+0.0086701676312954i
-0.0151242821701289+0.000723523032074335i,-0.00204308635540046-0.00171633478811534i,-0.013079019951174+0.0114520093585737i,0.00780437679547528+0.0165400211126074i,-0.000945206432566049+0.00575297673542817i,0.0406609500865735+0.0169251759686807i,-0.00299477558855679+0.000420403418640168i
0.0590313442968258+0.0158360773416187i,0.0369974495741408-0.0246048156343122i,0.0312294020476007+0.028290006694002i,0.0416201907915971+0.00718001559122966i,0.0324213183913744+0.0387119000371646i,-0.161247185774662-0.0113536366052492i,0.114251629118284+0.0212737406938907i
0.00349640528877165-0.000756991994841522i,0.0299607402675342-0.000753281752137784i,-0.0385422171744708-0.0419702908504764i,0.043106578460677-0.0078655196762439i,0.056429758085736+0.00795005996816519i,-0.067817017458452+0.0105615285163236i,-0.00569525320267876+0.0251311992374647i
-0.000864721969803707+0.00332155865391556i,0.0239832838627283-0.00616718551275167i,-0.0117665388284189-0.033468447341744i,0.0661896494254545+0.00973771200179583i,0.0548933642355553+0.00459018113276672i,-0.0675733743929133+0.0223143769074668i,0.0275060610316049+0.0492007339454496i
0.161686780322479+0.0154935266490928i,0.122637686481903+0.0405474890793309i,0.0389418679844706+0.0279317249838416i,0.112639028111679+0.00682523540168994i,0.00834813600609228+0.00335281634823076i,-0.0153937957513354+0.0455811800325431i,-0.00657943142344671+0.0145256133393675i
0.00791161023594023+0.00567994914180945i,-0.00107601768036769+0.010725197929767i,0.0185518232736786+0.0109275740008818i,0.0511747575810048+0.0226587959838408i,-0.0482578192338756-0.00815680232764977i,0.0353907581974529+0.0286280272476235i,-0.0043995938496189+0.0117715727109685i
0.000273689140823211+0.000823494166353413i,-0.0101224902350203-0.00348151423868792i,0.00300637564270583+0.0377199551385315i,-0.015758328727145+0.00238691633177729i,-0.0308101971791259+0.00915276787394071i,0.0166810114268867-0.00486115685499889i,0.000568118211175459-0.0290899681005267i
-0.130750903712925-0.00896736213354655i,-0.0891437641391595-0.0204980696980713i,-0.025016862609089-0.0217942662103365i,-0.0927661836100019+0.00134753432774195i,-0.002963188297407+0.00178157523018126i,0.0328916618645994-0.0272521571446573i,0.0273918320928249-0.00737038814370335i
