-1.93263751901397-0.0981766743701254i,-0.0597119697446756+0.0430849733595319i,-0.038871947589096+0.00897910707192051i,-0.0385438760606686+0.0305745747325365i,-0.0736453341910064-0.00348105964835215i,-0.0369626864927804+0.00865338812289643i,-0.0419832027134915-0.0277334229277054i
-0.0089081237035946+0.00426209397723727i,-0.0234134599242507-0.0478186867385206i,0.00463148955070318-0.00563318528696887i,-0.0532154795962772-0.0309144383393092i,-0.0136044727246-0.00317586906351785i,0.0180054644217648-0.0407338226158876i,-0.0242584030402637+0.0140218049864884i
-0.00191839882797463+7.48202513273244e-05i,0.00108150943472861+0.00300290599935543i,-0.00135779067189044-0.00293003581482421i,-0.00401715990378433+0.00165739483804709i,0.0153448001402644+0.0080431502370213i,0.00896209566482875-0.00803697351967346i,0.00479276820609597-0.0110194979518321i
-0.0107211822768626+0.000362690240792007i,-0.017228537528261-0.0354667416040747i,0.00791520617717872+0.0141308699690055i,-0.0159917340585004-0.0099632519620793i,-0.00426381620238946+0.00439358472259086i,-0.010392380186344-0.0227736191606409i,-0.00359824095588667-0.00676047410760107i
0.0580368712115219+0.014246862306704i,-0.0132625147950103+0.0220495681636651i,-0.0447094459187688-0.0826470073852318i,-0.0357432986297125-0.0459271225592405i,0.0115369346161819-0.0447445291941643i,0.0723134471600765+0.0431622268558845i,-0.042375151107051+0.0698410984913788i
0.00323052272609814-0.000399538577200401i,-0.0296095571831524+0.0326685107952819i,-0.00126137174261662-0.0180792176411143i,-0.0704478619669429-0.00320033865774541i,-0.0156845873054597-0.00819471543625166i,0.0369661234661509-0.00249156488152275i,0.00336174133850762-0.0190740786346439i
-0.000607646778002317+0.00245839386543395i,-0.0424107799154124+0.0171529778334856i,-0.0222301114499303-0.0275586148405065i,-0.095181904690752-0.0200720273139521i,-0.00798688920700377-0.00143331056570442i,0.0531072682843094-0.0125498810521553i,-0.0203897738180793-0.0204467274777875i
0.160329281491525+0.0188295845453929i,-0.0966926098778255-0.0576360287764102i,-0.0485422804323555-0.0620985601015301i,-0.0977881199803743-0.0156021397372158i,0.0588311452971509+0.0214650970208463i,0.0721352243112656-0.043249700781681i,0.0376851446180766-0.00831313675015798i
0.00538829408490778+0.00490848099283485i,0.0052479799723562-0.0344733472458405i,0.00739687633897751-0.00056021341647584i,-0.0258707685287957-0.0181083387448196i,0.0456059677640181+0.0127865637709628i,0.00745432380640848-0.0266501091289198i,0.0178896299059023-0.00176897695953942i
9.68245615866174e-06+0.0010681957275856i,0.0201620987372944-0.0197080150051507i,0.0135742221712459-0.00218617030680667i,0.0382287233276072-0.00303303372905001i,0.00778671225422322-0.00455109257850331i,-0.00384403765184196-0.0040439715074745i,0.00994461616289621+0.0277020435330353i
-0.129810246286153-0.0113318222299714i,0.0596651770780682+0.0173112503327239i,0.0307890885606896+0.0544514706104897i,0.0661120752991133-0.000629086220893381i,-0.0519869283334143-0.0166833053754068i,-0.057039380791339+0.021373720740854i,-0.0414876224791144+0.00954944648603556i
