-1.91273063639213-0.122359051778337i,0.00593593851541054-0.0347904898404412i,-0.00511909147134013-0.037213036355576i,0.0143230227059746-0.0264410554221615i,0.05926648362128-0.0121308881653269i,0.0210243509872623-0.0120873305481353i,0.00215662456597421+0.00896958865997957i
-0.00786168916301595+0.000827800886807062i,0.0242763066654766+0.0220588452309673i,-0.0143957619840506+0.0217679447237922i,0.0141342932206499+0.0351515216335186i,0.0255317106020388+0.0208365015932825i,0.00435571850772159+0.0275795812237862i,0.0142046721352675+0.0174850754501167i
3.73221334114951e-05+0.000185064569050487i,0.00964748385699223+0.00183551927893364i,-0.000699544029987304+0.00412128538001771i,0.00741799402310698+0.00140520971223622i,-0.00174459841346034-0.000857753068869395i,-0.00580820021513403+0.00512748698991526i,-0.0101755412495309-4.07582074135561e-05i
-0.00706767605256051-0.000711607445317851i,0.00517743684183377+0.00190412550956435i,-0.0115744498444764+0.021008962103385i,0.00924919129145919+0.021723408963758i,0.0182717765624714+0.0159305212581999i,0.0227837706697832+0.0198979510376968i,-0.00566518965734225+0.000278737335184448i
0.0584527567284072+0.0124079837150763i,0.0163514911462376+0.0303868244180494i,0.0130011471333408-0.00572962851773982i,0.031170725793861+0.003034164594708i,-0.000504979211884484+0.003345524507597i,-0.0902185053048495-0.0110428484299817i,0.0554899365050669+0.0398161943034457i
-0.000885337751442926+0.00034337304588779i,0.0412572227841486+0.0154180927084323i,-0.00254589816710135-0.0307188620336211i,0.0206852099324356-0.0159546017653083i,0.0264466978912186-0.00515526135480591i,-0.0315464042566398-0.00216745312181119i,-0.00423423155204045+0.0130587547329119i
-0.00368850811885368+0.000816939715037358i,0.0510480300961568+0.0302368268228325i,-0.000177833546698773-0.019289785369107i,0.0427138872380878+0.00152749416457698i,0.0370960613715707-0.00419213471378576i,-0.0346055953498388+0.012963890830124i,-0.000674451357271955+0.0305992586632148i
0.157097155731483+0.0179208417887936i,0.116342339005695+0.0726503994296354i,0.0229597251359712+0.033772189173683i,0.0882655406288889+0.0297383828034792i,0.0244166032008195+0.0206245797665773i,-0.0301487346049629+0.0350186970998975i,-0.0255557805707839+0.00357724694797618i
0.00463297169427381+0.00190024053950513i,0.0163344304876477+0.0230613903636571i,0.0133633045623289+0.027981397416446i,0.0237009861112369+0.0255753434605891i,-0.0149445511856848+0.00395745154535469i,0.00704843192850688+0.0185019693802679i,-0.0123032894906664+0.000199491602254296i
0.00275581881278287+0.000244829463714136i,-0.0201325114190418-0.00380637349732503i,-0.00432705853283127+0.0210448810687748i,-0.00920493023633166+0.0109400053745355i,-0.0224734553506815+0.0109580519718813i,0.0101259140988397-0.00054919778173223i,0.00794761876668154-0.0110719627545219i
-0.129693093341765-0.0116147622470617i,-0.0831068674677461-0.0444347438721369i,-0.0196187538306992-0.0158569024582915i,-0.0659724835317628-0.0117437347487678i,-0.00967967610307613-0.00658765970735542i,0.0328978464264907-0.0155823467937283i,0.0250829118310558+0.00336352314733509i
