-1.90885086052223-0.128430812780481i,-0.0231078469058837+0.00172269038498307i,-0.0228053094826891-0.0135106503994386i,-0.0148123381659613-0.00140992133385066i,0.00537409788791675-0.0279518491978017i,0.00396114643909086-0.00469331101762804i,-0.0128309089948807-0.0292701299759747i
-0.00786684242135089-0.00129652600830668i,0.00322411143300972-0.0115472357508428i,0.00571948878289302-0.0042954432346161i,-0.0237905119413432-0.00122886199016552i,0.0171900575727101+0.0309586083640643i,0.0204393693360248-0.0152493051877822i,-0.00063479970823421+0.0222584620266609i
0.000422827282970938+4.36391985267172e-05i,0.0066841205506566+0.00447816906293022i,0.00250867043536951-0.00272590699793358i,0.00287770261452188+0.00218782873180754i,0.00878234920266381+0.00635246406949647i,0.00437057536660938-0.00128182793398975i,0.00304649093885075-0.00468329014290531i
-0.00660426791812188-0.00147608630573868i,-0.00158396512945269-0.0202142010645289i,0.00327783035414464+0.0127833033285085i,-0.00991537298700684+0.0011091724312159i,0.0079045143687486+0.0230934861070209i,0.00266713090236445-0.0172596042357469i,0.00216173833388538-0.000201417403919792i
0.057815579566315+0.0108227080141681i,0.00925164162851706+0.0448719258295624i,-0.00496811126090173-0.058894373585557i,-0.00241018855039846-0.00947462407608178i,0.0195652281746605-0.015599881474014i,0.0259483789623433+0.0473792488482155i,-0.00621298417825653+0.0616758962968899i
-0.00259563589182907-1.25777014842114e-05i,0.00434724020135117+0.0323474978040631i,-0.000743385949241822-0.0357213646868609i,-0.016703660757469-0.00169830541578367i,0.0228765853816025-0.0129407810989051i,0.0297401030051444+0.0158922920299444i,0.00642911499600399-0.00758469065600868i
-0.00547488454684848-0.000415372874752232i,0.0080871346926014+0.0323675213894358i,-0.00175325126463585-0.0424573003565094i,-0.0238953245704295-0.00140195656949735i,0.0416526533909845+0.00672092380450177i,0.0425646893081808+0.0165063416923565i,0.00305738167455473+0.00161168978220911i
0.154072452287894+0.0167909496167999i,0.0392798393935821+0.0238338262624349i,0.0117757142825387-0.0513807850629097i,0.0104676366886348+0.0188189222174115i,0.0947293014088976+0.0618149285827511i,0.0600648458569838+0.0113452943155368i,0.0474234618645403+0.00488004759549642i
0.00439769951441811+0.000931011561252394i,0.021163319109099-0.00332401175820935i,0.015890326454722+0.00434520114869491i,0.00368050356845215+0.00466370046697668i,0.0272816520504963+0.0315275499684166i,0.00312221175482198-0.00467340852923151i,0.015446415737367+0.00468677586770005i
0.00354585227400689+0.000193105489191961i,0.00192423626991663-0.0148201769627996i,0.00654859889009802+0.0167269261340923i,0.0116183463213734+0.00129618320473738i,-0.0154040565700428+0.00693688447195556i,-0.0126725315558282-0.00965209722242497i,0.00177492623027912+0.0135395395999643i
-0.128067401858223-0.0112742815019533i,-0.0312977600123253-0.0286247843412279i,-0.00986018233701844+0.0429485190760704i,-0.0134830670538204-0.0159839695786831i,-0.0672745882114233-0.0332708901373858i,-0.0399008054248375-0.0134671617592774i,-0.0374425981006682+0.00290577941695821i
-0.0710505369944276-0.00731043641137834i,-0.0263681107235227-0.0173472953198043i,-0.00543906042664803+0.0311756428604144i,-0.0131547791621002-0.015354919056685i,-0.0681122163885078-0.0393213906633735i,-0.0297098562538519-0.0117227221520619i,-0.0331804638714582+0.0108496555319686i
-0.0759752959514332-0.00542038991906283i,-0.0189038716602603-0.0307664850623034i,-0.00732426131706235+0.0223622784644303i,-0.0297906991807756-0.0061555440447822i,-0.00761359844701472+0.0143769327815736i,-0.000794832796472265-0.0221320031410084i,-0.0190551492606841-0.00876687243196447i
0.0128125960972484+0.00117271041302417i,-0.00921909934955348+0.00134275332971366i,-0.00260869768643669+0.0210332003861734i,0.0253198206200345-0.00517466622396573i,-0.0567886308452024-0.0447638365203098i,-0.0409157077658651+0.0059431391994912i,-0.0150887360079961-0.00150983278660032i
0.0213408043693088+0.0015528047060652i,0.00298086825110884+0.0249074831563195i,0.00043355358682021-0.0123711148328665i,0.02698141883734+0.00368768196168067i,-0.0179218429954939-0.0374147136950782i,-0.012420128655325+0.0232719648801847i,0.00543936704129419+0.000410708792153865i
