-12.8228214749869-0.000166028132883173i,0.0138275966610193-1.76602929341949e-06i,0.0138275966932755-1.76603196136017e-06i,0.013827596678159-1.76602688122602e-06i,0.0138275967396729-1.76601934089724e-06i,0.0138275094962329-1.76572703920686e-06i,0.0138275974889855-1.76602545170928e-06i
-0.12662951967427+4.47860536791716e-06i,-0.00360277894370484+2.57466363087352e-06i,-0.00360277892174771+2.57466053380918e-06i,-0.00360277893909764+2.5746666411338e-06i,-0.0036027789177785+2.57467666207521e-06i,-0.00360282274233024+2.57402759345388e-06i,-0.00360277855363982+2.57466926880694e-06i
0.00415479895883611-4.13274777983698e-06i,-0.00613010382424181+1.69984115794857e-06i,-0.00613010383424884+1.6998421814045e-06i,-0.00613010381952938+1.69983348466648e-06i,-0.006130103811846+1.69982326056298e-06i,-0.00613011105671671+1.69961571355701e-06i,-0.0061301037772537+1.69983970346823e-06i
-0.144878627341235-2.90710412404521e-08i,-0.00152497328409762-1.73403087139364e-06i,-0.00152497325045023-1.73403296538202e-06i,-0.0015249732611524-1.73403273672548e-06i,-0.00152497322113964-1.7340280705859e-06i,-0.00152502963094235-1.73369233443293e-06i,-0.00152497277345904-1.73402966683869e-06i
0.304100067344201+1.00848601150059e-05i,-0.0169460742648798+2.35553778556758e-06i,-0.0169460743140429+2.35553964522093e-06i,-0.016946074287932+2.35549088910388e-06i,-0.0169460744381849+2.35548444483464e-06i,-0.0169459495492384+2.35378251149603e-06i,-0.0169460754863336+2.35550094730322e-06i
0.0293796256709709-2.93638255949301e-06i,-0.0058722317196847-2.88959510278754e-06i,-0.00587223174493361-2.88958698660771e-06i,-0.00587223176247896-2.88960436738281e-06i,-0.00587223182566068-2.88959362344127e-06i,-0.00587218054200512-2.88999509113013e-06i,-0.00587223220870738-2.88960477426789e-06i
-0.0388808323958537+1.57397495397098e-05i,-0.0137246798912858+2.35328841642652e-06i,-0.0137246799138242+2.35328735740005e-06i,-0.0137246799135839+2.3532709824207e-06i,-0.0137246799711478+2.35327063129188e-06i,-0.0137246487363958+2.35171168219175e-06i,-0.0137246802144878+2.35327790635787e-06i
0.503326775819866-1.42472100688262e-05i,-0.0623766911335483-5.19879065834792e-06i,-0.0623766911599183-5.19879271611871e-06i,-0.0623766911367846-5.19880051127486e-06i,-0.0623766911894949-5.19880701083655e-06i,-0.0623766390589422-5.19885241116762e-06i,-0.0623766916272049-5.1988034776628e-06i
0.0600083861030903-2.0132297945271e-05i,-0.0145035699096656-1.23863779736968e-06i,-0.0145035698982595-1.23864814499826e-06i,-0.0145035699078389-1.23864199765484e-06i,-0.0145035698470939-1.2386424847553e-06i,-0.0145036073552091-1.2384595135224e-06i,-0.0145035695673627-1.23863625074169e-06i
0.0309903884201158+3.69784678286489e-05i,0.00159319490481958-3.73922705465963e-08i,0.00159319491811102-3.74006820798334e-08i,0.0015931949178824-3.73894203002146e-08i,0.00159319494329082-3.7387029152598e-08i,0.00159317612468261-3.75325607775442e-08i,0.00159319508615334-3.73867695885348e-08i
-0.473289153896517+6.9519225169716e-06i,0.0483230958707266+5.31701596232675e-06i,0.0483230958983937+5.31701347860955e-06i,0.0483230958900117+5.31701969763894e-06i,0.0483230959435316+5.31702346300739e-06i,0.0483230290069748+5.31746848723558e-06i,0.0483230964900787+5.31701841631656e-06i
