-1.88194617366712-0.143573392469012i,0.00682703173958149+0.0035731251953397i,0.00436371999607775-0.00445268327289526i,0.00576570494248527+0.0024586490713612i,0.00868005234136346+0.00758265566586427i,0.00116698055212701+0.00246391193879358i,0.00568043651281569+0.00316710407502188i
-0.00564449919504703-0.00302072563207109i,0.00157149671526127+0.00117873200501479i,-0.00264982918706689+0.00271553150435982i,0.00289214816490703+0.00091468090516747i,-0.00116864154605557-0.00479200805385612i,-0.00218454694826793+0.00155004273897041i,-0.000817559236127149-0.00155581717891911i
0.000368692952897464+2.71177751820993e-05i,-0.0022944785792214-0.00236874400850445i,-0.0016551039626667+0.00260070171219361i,-0.00169015264310187-0.00153920365387053i,-0.00451586298754141-0.00321763689263673i,-0.00226048913635565-0.00122490024740437i,-0.00345599902632579-0.000108094950219135i
-0.00355306431724605-0.00127192205299424i,0.00186063659704879+0.00293108810782632i,-0.00107202205237062-0.000349339314345026i,0.00233755479671614+0.00163335249727578i,0.00176252374976868-0.00174473020002256i,0.00155769412205742+0.00348194994693047i,-7.25855818916842e-06-0.000597763852073425i
0.0553172538889151+0.00467912535425479i,-0.00502400846072854-0.00935917585857462i,-0.00288220949293143+0.00918713531063691i,-0.00213733164184237-0.0041157827518204i,-0.0106687574121921-0.00503663449098998i,-0.0123767263234813-0.0105584811758002i,-0.00234014356297158-0.00194205122849465i
-0.0028108514422825+0.000847176573916287i,-0.00167887503112128-0.00435212390375826i,-0.000286942412597405+0.00451950799941773i,-0.000870592600919016-0.00252458589724492i,-0.00665243886594104-0.00128980161841226i,-0.0072145041725772-0.00404144905765921i,-0.00360394979765293+0.00155803643738732i
-0.00536155255048102-0.00111110082433871i,-0.00307325661062068-0.00611339635034039i,-0.00276106562094665+0.00822282760762692i,-0.000651996775043701-0.0035416341463853i,-0.0113092951240968-0.00676441262464053i,-0.0104795313757938-0.00493014617748654i,-0.00675567239148803+0.000821719068376174i
0.136567028360682+0.0114848711057836i,-0.0161622351702947-0.0178305546746352i,-0.0120195145529983+0.0224737394695476i,-0.0116219859303998-0.0121606509828204i,-0.0363816636670571-0.0259594959756418i,-0.020109048640112-0.0118908061849681i,-0.0262939808183686-0.00218511556374982i
0.000912545332084013-0.00165957163809053i,-0.00637396240430653-0.00564579685098863i,-0.00534882289193568+0.00700912990894481i,-0.00430289347262178-0.00383921118526073i,-0.0121179162926496-0.0111565851074122i,-0.00406099630191833-0.00292787518752641i,-0.00960620948754634-0.0018040481066143i
0.00243530964518699-0.000734194784059678i,-0.00010041403275553+0.00115362375162819i,-0.000808832353711909-0.00142726564373574i,-0.000261888901250355+0.000711176375848133i,0.00210092077163391-0.000300388035287466i,0.00300627385477904+0.001083846265866i,0.00119200622239426-0.00157317731523859i
-0.118899223053297-0.00950407397286515i,0.0127131153435507+0.0145686828969463i,0.00836866462696443-0.0164619517360303i,0.00951780656585993+0.00969571549763315i,0.0274501808576158+0.0180159456818033i,0.0152043722850724+0.0100167267824581i,0.0196535924425175+0.00116552855677713i
-0.0622955125912141-0.00488379270222186i,0.011509811789161+0.0126298754329766i,0.00751410847487805-0.0149837347364781i,0.00869827342145086+0.00878600398243773i,0.0253783380105191+0.0177374723863616i,0.0129043717577148+0.0081750307335315i,0.0189701332680576+0.000805177409821635i
-0.0841376361492913-0.00659092751185398i,0.00698149570704567+0.00809592069306343i,0.00245087459068134-0.00552455465046802i,0.00594090241594878+0.0049543366264044i,0.010801898284253+0.00447271142635913i,0.00556634936456018+0.00705978131394385i,0.00660206280620698+0.00090425205067133i
0.0127569770775976+0.00279968469862574i,0.0025920739155028+0.00342622305141777i,0.00505919296033065-0.00847157791890463i,-1.67365582250754e-06+0.00251551616808679i,0.011153956886086+0.011055630756122i,0.00781617173723013+0.00111503666321716i,0.0087390487829386+0.000601212997477848i
0.0331829720910652+0.00293256320315667i,-0.00171356475599261-0.00286414661443277i,0.00183654604487451-0.00111773458414382i,-0.00282955889196775-0.0016834065980256i,-0.000218825518228111+0.00395430666548982i,-0.000164713293998436-0.00389267895745304i,0.00104013793639098+0.000279667702534746i
-0.0443552978234805-0.00354369859704295i,0.00699197467426402+0.00691562980589783i,0.0036775121397409-0.00703827070744045i,0.0069545012383449+0.00562570314876326i,0.0140080157662529+0.00866130782241938i,0.00540159530306736+0.00463390040225136i,0.0113248748055992+0.000454401784543648i
-0.000648613757872135-0.000425746211207627i,-0.000846765853751231+0.000156924282230754i,-0.00187273098256981+0.00110904464365075i,-0.000794251626965064-0.000329178534534576i,-0.00209370188708243-0.00332646441650983i,0.000395589244635809+0.00131351510217428i,-0.00270696374702537-0.000751529123931259i
