-12.2746749824579-0.00016127188335405i,0.0707094559950704+1.73923956292734e-06i,0.070709484810588+1.73505928353659e-06i,0.0707094696644007+1.74162077046267e-06i,0.0707095251395208+1.74635698908266e-06i,0.0706331487026188+1.9612713897417e-06i,0.070710156691673+1.742818077893e-06i
-0.0908479660262219+8.25780839622446e-06i,-0.0015225961719019+2.37142616210248e-06i,-0.00152258213760677+2.36800840047395e-06i,-0.00152259112818658+2.37064082710876e-06i,-0.0015225735745227+2.37431863801468e-06i,-0.00155672103792834+1.9802981567201e-06i,-0.0015222946372802+2.3729067728556e-06i
-0.0204684498662025-7.48822862014053e-06i,-0.00850637066936165+6.10894427460657e-07i,-0.00850637319491725+6.11050529213652e-07i,-0.0085063688984167+6.08266131864421e-07i,-0.00850636510714432+6.05013829099186e-07i,-0.0085111453971414+4.91667963226533e-07i,-0.00850633409053648+6.10905266144739e-07i
-0.094962884820662+3.10411122754131e-06i,0.00211127441873349-1.05990241079208e-06i,0.00211129586053683-1.06304945864517e-06i,0.00211128794750823-1.05861971326906e-06i,0.00211132412870989-1.0563413643786e-06i,0.0020671027928456-7.82593845390862e-07i,0.0021116793462475-1.05748893681425e-06i
0.0985672683731019+1.24708488177066e-05i,-0.0335758709337055+1.34748891165162e-06i,-0.0335759150671772+1.3514026893031e-06i,-0.0335758935887162+1.31611446420911e-06i,-0.0335760212338472+1.3111962997215e-06i,-0.0334673966350771-2.19280339697237e-07i,-0.0335769193031559+1.32219160559036e-06i
-0.0178375254452938-3.11850996019253e-06i,-0.0100026907726891-2.0930468226787e-06i,-0.0100027084497282-2.08756943687718e-06i,-0.0100027132228052-2.10112395300599e-06i,-0.010002762792007-2.09733736144103e-06i,-0.00996173091195279-2.6443689336988e-06i,-0.0100030829390908-2.09977271794652e-06i
-0.101425834005541+2.39515416260666e-05i,-0.019442388684792+2.19453903914787e-06i,-0.019442404126489+2.19477400118105e-06i,-0.0194424019105175+2.18136082931805e-06i,-0.0194424462434321+2.1807115121879e-06i,-0.0194161214382565+1.08908130280656e-06i,-0.0194426571146858+2.18611815451809e-06i
-0.0197436934865465-3.61237741911057e-05i,-0.105493144723688-9.99411483489705e-06i,-0.105493165113964-9.99328667691024e-06i,-0.105493150481242-1.00002948522359e-05i,-0.105493192543335-1.00044924263541e-05i,-0.105447848957503-1.01396624960093e-05i,-0.105493566337759-1.00014318439017e-05i
-0.0340055888873835-3.40267135177702e-05i,-0.0226552699704007-3.21297843350848e-06i,-0.0226552605153382-3.21900882102342e-06i,-0.0226552663451092-3.21257977545589e-06i,-0.0226552263240937-3.21198263278423e-06i,-0.0226845532341754-3.03002565491932e-06i,-0.0226549978895061-3.2103396038629e-06i
0.0284118008047252+6.00503786760653e-05i,0.001844586048875+1.6799560391694e-06i,0.00184459416716469+1.675452603179e-06i,0.00184459288351448+1.68279966260713e-06i,0.00184461322123205+1.6839029006086e-06i,0.0018293421271134+1.87744991205726e-06i,0.00184473456291424+1.68273767266654e-06i
-0.0364326972387131+2.27379363219878e-05i,0.0843416188603143+8.3926456560523e-06i,0.0843416418335438+8.38924167506304e-06i,0.0843416317510081+8.39613572819296e-06i,0.0843416788662773+8.39921279948823e-06i,0.0842844829999958+8.74187647731333e-06i,0.0843421439042679+8.39552444632683e-06i
0.0386564424102753-5.88280355387774e-05i,0.0649810795106386+4.83992789660163e-06i,0.0649810845799066+4.83730596659407e-06i,0.0649810776568138+4.83657866964278e-06i,0.0649810940721567+4.83613194404784e-06i,0.0649620647648087+4.72566934780794e-06i,0.064981253506778+4.83839734656173e-06i
