-11.0547848603963-0.000146779143734966i,0.187623454066568-2.01266243270776e-05i,0.187648475691687-2.44833652248456e-05i,0.187636301672236-1.73744305700076e-05i,0.187686986445917-1.4154041512613e-05i,0.122423534159817+0.000148621133951701i,0.188220321861135-1.62864061389304e-05i
-0.0130622769085213+1.01001602927639e-05i,0.00996650953186181+3.30320614104669e-05i,0.00997587228976934+3.04309603477191e-05i,0.00997091374834517+3.20640050138349e-05i,0.00998547739404633+3.35110290241443e-05i,-0.0148106623071699-0.000148883822951224i,0.0101862428784323+3.33912575838832e-05i
-0.0408506698757833-1.20850673983318e-05i,-0.00950710312848799+5.99896908843857e-06i,-0.00950694039149695+5.87963005963112e-06i,-0.00950615573245628+5.3363898745635e-06i,-0.00950321104966893+4.51839712979205e-06i,-0.0133449531157478-3.16137077258812e-05i,-0.00947408838855249+6.26699533521152e-06i
0.000166290290924179+7.71026967864359e-06i,0.0163728850598737-3.24343274952949e-05i,0.0163864741874721-3.49508149965257e-05i,0.0163810383552814-3.03689350101616e-05i,0.0164085406846373-2.90640423503263e-05i,-0.0151675394527224+0.000159142267566069i,0.0166637479079901-3.00157375437195e-05i
-0.182791927950404+1.53520949375263e-05i,-0.0718595504582107+0.00018839752790404i,-0.0718913738863897+0.000192210525101014i,-0.0718768606071467+0.000169685809353129i,-0.0719654282613408+0.000166244581861883i,0.00575609878791385-0.000897641351214881i,-0.07260366564552+0.000173093853634575i
-0.0668958003851072+1.13618092795497e-06i,-0.0185730948398621+6.98516626518139e-05i,-0.018584018861761+7.28539713431825e-05i,-0.0185838788531166+6.43158288931223e-05i,-0.018615430416027+6.5165060849861e-05i,0.00758863901519575-0.000348136413031268i,-0.0188241010610337+6.56250196031365e-05i
-0.136717113310422+3.15562247863548e-05i,-0.0243978038559184+0.000111663504638033i,-0.0244060095471128+0.000112095642491302i,-0.0244042654556173+0.000103707348782121i,-0.0244302909762602+0.000103165916693125i,-0.00942046828214479-0.000526080593263979i,-0.0245520867970982+0.000106449444046113i
-0.61644297186663-4.97890557642374e-05i,-0.162243430936444+6.57456134211295e-06i,-0.162255511119434+7.81250187168101e-06i,-0.162248192809985+3.25813388571691e-06i,-0.162274352648042+1.24195049991199e-06i,-0.133702477691909-0.000111281101966746i,-0.162508148795319+2.82452212530662e-06i
-0.128078229078322-4.33579694982774e-05i,-0.0272271198425083-3.28832583746905e-05i,-0.0272198465826252-3.59776612666208e-05i,-0.0272236602656955-3.11735355896963e-05i,-0.0271987274299126-3.04390088709001e-05i,-0.0479405075336606+0.000131387759379967i,-0.0270333710509062-3.05895782302879e-05i
0.0168208874808731+7.62371721883557e-05i,0.00234072963503077-2.72274038846093e-05i,0.00234511106878357-2.92359252948477e-05i,0.0023441141675377-2.51572025609957e-05i,0.00235652437718173-2.4698816176086e-05i,-0.00680122848289574+0.000156179393774643i,0.00243026991986204-2.56425526750279e-05i
0.484137447752313+3.08199196943782e-05i,0.136547103256647-2.43041254472621e-05i,0.136562197216343-2.69485245816572e-05i,0.136555459090505-2.16830949452423e-05i,0.136587801457434-1.98806354704858e-05i,0.0984319900234074+0.00018650304460255i,0.136897503271529-2.1862322610798e-05i
