6.87440325366914+3.90475526765126e-06i,-0.113599044466755+7.70816769524434e-06i,0.247688456492868-2.88435261156774e-05i,0.0475392958754472-6.12259940621866e-05i,0.0955301123293437-3.75567280675761e-06i,-0.033059161885456-7.5713922345581e-05i,0.140155848446654+6.62779194621875e-05i
0.036923577196088+1.00548203630529e-06i,-0.122562824091956+2.34099573205842e-06i,0.0270244713894203-5.09878839762782e-07i,-0.0175844727120642+4.42241170508497e-06i,-0.0144580045412249-7.93843686538835e-07i,-0.00710435287215426+6.85974121175637e-06i,-0.0146558177535343-2.80701826825963e-06i
-0.017315210353228-4.1354496677109e-06i,-0.00743730687609126-5.73859031744329e-06i,-0.0568006331367785-1.69498877346484e-05i,0.0282740535227512+6.38024130814215e-06i,0.00675228858140067+1.22149909494071e-05i,0.0120107326954223+4.04252456991192e-06i,0.0127013753012378+1.55269570294355e-05i
0.0338557871172647-8.71626079479844e-07i,-0.0338271585552762+7.42824095359244e-06i,0.0487527495472749+1.27244593745033e-05i,-0.092278647922817-1.86007482054634e-05i,0.0191719198835559-7.07384622521904e-06i,0.00759454281707495-1.75329886981726e-05i,0.0330805727578729+2.29437380323885e-06i
-0.0714417275148198-9.49638871277378e-06i,0.0123915508260653-1.94221149618879e-05i,-0.0760805363260132-1.03583512676792e-05i,-0.000130346314804199+3.77985460135628e-05i,-0.324282431958137+8.45915724542235e-06i,-0.0244737328969593+2.13426253855146e-05i,-0.0931085171295858-2.34465419354398e-06i
-0.0148299648804927-1.18721182323145e-06i,-0.00426860586043907-5.2251913414238e-06i,0.0218758980090948+5.42066786878188e-08i,0.0155524634777848+5.1406973215623e-06i,-0.0345827640576608-3.0702060434967e-06i,-0.148257418214271-8.69170337714311e-06i,-0.0593527440515865+8.17300347710174e-06i
0.00221958870613644-4.3018184609498e-06i,-0.0356872128427223+6.05805724341512e-06i,0.0431157621448882+2.24437436482656e-07i,0.0386285421815878-7.47900402733171e-06i,-0.061547863380466-6.78177665624667e-06i,-0.072845578434699-1.54463226636547e-05i,-0.110238539821055+4.53619619370124e-06i
-0.151688405073781-6.74213525624507e-06i,0.0174181021665725-3.67825571645328e-05i,-0.289826773625344-2.95805403690646e-05i,-0.137639836194927+8.80525370815987e-05i,-0.105148691896931+2.22845470794104e-05i,-0.00205477310023786+6.23647321749572e-05i,-0.282216759274141-1.7841726529783e-05i
-0.0310741119951328-5.22938521513102e-08i,-0.0373220413941349-1.34938672122478e-05i,-0.0304857104342401-2.10465100905261e-05i,-0.0737720092144504+5.10569146368106e-05i,0.019769832630168+1.57714325663853e-05i,0.0528087713366341+3.17412444495854e-05i,-0.0737701682354784-6.35094319793062e-06i
-0.0156549285761591+5.98262772503556e-06i,0.00388235148955119+4.12137649606287e-05i,0.0211055500155684+5.94855043407555e-05i,-0.0752492580085202-7.42149215487778e-05i,-0.0129583014863199-4.11507493434976e-05i,0.0565133173402683-3.04865785432733e-05i,0.0405023227727674-3.03793150350958e-05i
0.145018355307233-8.75462459449788e-07i,-0.0460438168576067+9.82657515643574e-07i,0.26065117216472-9.98109269703898e-06i,0.079025332801803+2.20273514147813e-06i,0.0793224382779485+1.72641130253161e-06i,0.0289970304173769-4.95584863658957e-06i,0.217063424147459+8.66326446466089e-06i
0.0732605110133629+2.1099117169775e-06i,-0.0280389736642841-1.8319967961937e-05i,0.170706618322507-5.23224931983037e-05i,0.0691662197000441+5.94071830939816e-06i,0.0195521745690707+2.44638213051476e-05i,-0.021178612278414-2.21648119884454e-05i,0.20339506309429+5.0746171854853e-05i
0.123934657355812+2.85328874783488e-06i,-0.1277698273163+1.76335173756835e-05i,0.17491391089264+1.01004879034757e-05i,0.00553387674269065-3.97048562877393e-05i,0.108474059411005-5.14100610110801e-06i,-0.00560293014306481-2.61716502175371e-05i,0.0913287018216257+7.41848356849534e-06i
-0.0978605371914864+6.50483392729697e-06i,0.109680837186847+1.81554644806284e-05i,-0.0037892560149179+2.02686659678369e-05i,0.0508951515542642-1.91237615114062e-05i,-0.0142982606500623-9.01622513463406e-06i,0.0207059226707446-4.79727698846826e-06i,0.110453065408222-2.02846756965059e-05i
-0.0787131654764837+3.60195138424759e-06i,0.106584440635879-6.81809811167548e-07i,-0.0773757450519923+1.55192116416381e-05i,0.0604802739551818+1.34506822130351e-05i,-0.0545522712108729-5.2129805971279e-06i,-0.0270991919149817+2.42309285483362e-05i,-0.00406357788461461-2.78151067214584e-05i
0.087596830377989-1.40895958509175e-08i,-0.0496949709463584+4.17211941831882e-05i,0.127729580565568+1.80202113615552e-05i,0.0473755086603492-0.000124360986137014i,-0.0409748233970732-2.69877305688004e-05i,0.0242184373605492-0.000102564308268853i,0.0858020963662532+4.42269422503512e-05i
-0.00310118912800949+3.84259466603813e-06i,-0.0513809093208992+2.93434908276978e-05i,-0.0165725949744242+1.04961595479684e-05i,-0.0393266540053438-8.91294541623205e-05i,0.0652561211511509-1.60181654779418e-05i,0.0132115860009283-7.09008061451624e-05i,0.0126647435778891+3.66193609608615e-05i
0.025189729704975+3.44737598666097e-07i,-0.00370271534043824-5.21942222501883e-05i,-0.0249843389845627-5.57745942277538e-05i,-0.0232640050205297+0.000106904845382351i,-0.0216011718447415+3.68343927810535e-05i,-0.0356430615874256+6.47657274165025e-05i,-0.00435924927583536+1.56669003020964e-06i
0.058408319438001-2.6450995036757e-06i,-0.121256390053855-1.19627763508028e-05i,0.0238964985215972-1.68429281857933e-05i,-0.0807597993801043+2.54192961518006e-05i,0.0964245338070245+1.26267865540903e-05i,0.0324176344482149+1.32617022765143e-05i,-0.0413016065851889+7.47507844156557e-06i
-0.00871008039849328+4.27785150523176e-06i,-0.010907429581555+1.74775786532782e-05i,-0.0424622145356107+1.26935647006293e-05i,-0.0580679185289488-5.02246536928327e-05i,0.0691683649659576-1.40748002790698e-05i,0.0359232998735222-3.41954873242805e-05i,-0.0135121160771123+1.01670948462406e-05i
