5.60959793141578+9.37251476355178e-06i,-0.384917809138205-2.59407120310143e-06i,0.709249769444885-0.000115414593082284i,0.0741738493921265-0.000175193782691286i,0.424779992917571+1.36536139876287e-05i,-0.119814927758184-0.000242426985038591i,0.35924681356911+0.000216803062804818i
0.0228009046491037-3.68816991720641e-05i,-0.0262246801355309+1.19934263186129e-05i,0.0468486628786974+0.00010798479402155i,-0.0490017651344036+3.70826312312772e-06i,-0.0172793168515858-4.0239096937427e-05i,-0.00632175777695968+2.0394549613841e-05i,-0.00705049817040075-7.474640998627e-05i
-0.128016942592743-4.31670519839405e-05i,-0.0256506904672686-6.51354361654908e-05i,0.128462268355339-5.26457405008125e-05i,-0.00359764684195669+0.000188798673968447i,0.0341869311102983+3.83375176927258e-05i,-0.030510011719607+8.36444364565885e-05i,-0.0380025874563008-1.16223405850926e-05i
-0.0819241393155509+1.23717052329597e-06i,-0.108143595504878+2.61507100106635e-05i,0.0562108397973918-0.000119267759184217i,0.105721122968199-9.92604507313536e-05i,0.0896749193420359+5.81094299018537e-05i,-0.0019566979988067-9.69837484995882e-05i,0.0149531806311973+0.000143003017687421i
0.108820184655834+2.43732484258372e-05i,0.0452896658882339-4.88359629503367e-05i,-0.139574888562509-0.000146276410324225i,0.0288731357642995+0.000116534325576254i,-0.218169771653349+6.10736287505364e-05i,-0.0086010853885879+2.79295219862837e-05i,-0.110929696365111+5.30360190957863e-05i
0.0804671191870838-2.71008891490422e-05i,0.0239966994668223-4.70728424806626e-05i,-0.0308759122509772-0.000129387626878106i,0.0266777194700481+7.07270881252939e-05i,-0.0662443174092126+6.20034799069956e-05i,0.0218748340549015-4.2751851039786e-05i,-0.065278468452215+9.80381569815371e-05i
-0.0193451313654411-5.3658368452894e-06i,-0.0645676210793443+3.03747741896745e-05i,0.0211289316759785+4.91839721577008e-05i,0.0213219188596369-0.000127462745778274i,-0.0491776799822528-4.91558068993808e-05i,-0.0943026625982752-0.000137576768378629i,-0.0140004324037097+3.28807441060898e-05i
0.225468497338829+6.64139546455824e-05i,0.0798473942778881-8.70467546636441e-05i,-0.377892646154367-0.000207485887759803i,-0.0961720139022915+0.000267134888752833i,-0.166743279267978+7.81750318632909e-05i,0.0300487709687956+0.000162946147295402i,-0.26772172490624+4.49188101782824e-06i
0.0174884370741929+2.67112072480073e-05i,-0.010134937067087-3.86227720109548e-05i,-0.0313784248952605-9.27435774113947e-05i,-0.068692265199044+0.000169058900192931i,0.00784475022020874+3.85118784178343e-05i,0.0485824499479756+8.2654710574694e-05i,-0.0739959592085916-6.56554496814162e-06i
0.0271159180489974-7.36326010926686e-05i,0.0153541740385245+0.000157376114938567i,-0.0317785028443677+0.00035423538415231i,-0.0554005709814537-0.000383100434768816i,-0.022832259360431-0.000152863334671816i,0.0643063490647889-0.000161161341929761i,0.0357320000165826-0.000115238111616452i
-0.217468061984792+2.79286858632207e-05i,-0.11465429643482-3.33697696819057e-05i,0.346035577463792-7.19194495468493e-05i,0.0663913292663404+0.00010350018258128i,0.149574575195462+1.80685355183482e-05i,-0.0219835846040118+3.41368002596517e-05i,0.219304872328532+1.12143381937404e-05i
-0.131556699692572-8.83652966457695e-06i,-0.073649621769731-8.39741707886925e-05i,0.214392145990388-0.000200224080738744i,0.0507294417851643+6.1527405208028e-05i,0.0473309197758355+9.87754234739325e-05i,-0.021132799240585-6.92384707411213e-05i,0.182346617336567+0.000169120027134312i
-0.200585498414959+1.26398457918694e-06i,-0.181691764197558+1.79093886540134e-05i,0.278999693154241-1.48436324892389e-05i,0.048580942607991-4.67105460965648e-05i,0.168195906397564-2.52269784679264e-06i,-0.0389791391627482-3.77200957177135e-05i,0.109089115754033+3.46514300218107e-05i
0.07950623764054+6.29113030610874e-06i,0.145200442047697+4.46545878463894e-05i,-0.113242149814681+9.67897009126173e-05i,0.03589677041349-5.72639264732209e-05i,-0.055944982325075-2.18680519693128e-05i,0.0450564950945382+3.1629101027252e-05i,0.0473131469029637-8.01575858712248e-05i
0.146708687673942-3.33961589805109e-05i,0.184180989485426+6.0020391966821e-06i,-0.149542706366884+0.000162216187670525i,-0.0278152052373894+4.77498035367703e-05i,-0.123753506043785-5.17299882262032e-05i,0.0036165120415928+7.96450173095303e-05i,-0.0360969061150475-0.000144613916427365i
-0.150351354512229-0.000116435035045603i,-0.110410975919334+0.000145740017374932i,0.225473216930344+0.000186179748457436i,0.0530114474267303-0.000525532446658736i,0.0284728310804567-8.94882698715503e-05i,-0.0149436405131141-0.000416370005880099i,0.0913343623219721+0.000136546783577208i
-0.00866051634965156-8.36225062507001e-05i,-0.039385368147612+0.000144336645319258i,-0.027056644691765+0.000204379444952758i,-0.0109078989659253-0.000519085401670558i,0.051411946301491-7.21799742979149e-05i,-0.00619307897784037-0.000334105075072832i,0.0226744139892655+9.97918090950228e-05i
-0.034601717443787+9.74117731523364e-05i,-0.0211719355826523-0.0002474791338269i,0.0451005824520524-0.000392274138189062i,-0.0441880960923698+0.000634179529321234i,-0.00571983142127573+0.000156246675915836i,-0.0276766635782365+0.000316728271139157i,-0.00250604733446643+2.04430707044394e-05i
-0.0620948796756534+2.99757003558948e-05i,-0.121689931901669-6.10252132104263e-05i,0.0758889624789635-0.000106950739795115i,-0.0663924783086556+0.000163311293829624i,0.104607119228632+3.59409419811309e-05i,0.0130455847691785+8.58735545146151e-05i,-0.00524066654522982+1.44325336344688e-05i
-0.0371521836674242-4.57100629135647e-05i,-0.0339110114510167+4.51864621431706e-05i,-0.00707751569730375+8.98629505992081e-05i,-0.0440458965247229-0.000196448125896187i,0.0512014554670268-3.9635804125631e-05i,0.0199469843852978-0.000145910238415866i,-0.00866906825838768+3.66593213305279e-05i
0.0423184079150743+1.07534578210034e-05i,0.0153301471798815+3.88863030061718e-05i,-0.0771011407315467-6.56914042590607e-05i,0.0175560247943652-0.000140088728770632i,-0.0244926032329368+2.29722259251446e-05i,0.0236603508305203-0.000125112042196587i,-0.0410874130926048+0.000111339741408586i
0.0742238642116031+2.7242760448551e-05i,0.00732386556009063-5.41668838037488e-05i,-0.0631575754806481-9.35548241360683e-05i,0.0226662337538799+0.000130099192419106i,-0.109810199015995+5.06562532614335e-05i,0.0197948927000983+9.61871920890065e-05i,0.0667539095329657+8.33646837783553e-06i
0.071640775711968+1.48507123448796e-05i,0.037889493773226+3.92147917170903e-05i,-0.141599827799489+0.000119541439526135i,-0.0109781054067284-4.70989117074406e-06i,-0.0443031451586577-4.84647287200493e-05i,-0.00691337241095741+9.01141609331489e-05i,-0.0917159127538841-0.000113754287682348i
-0.0197450607005908+2.92411752029089e-05i,0.0588034468214877-7.16246832837923e-05i,0.061647420190099-7.75754302468568e-05i,-0.000204979710493916+0.000193737911435707i,0.0335293673827107+2.98024151539966e-05i,-0.0211914581937537+0.000103680318262706i,0.0436292781305874-2.66708063971438e-05i
-0.0134217569621186-0.000105646437691067i,0.00267235384940169+0.000168157551181249i,-0.0126433080195524+0.000264602068304815i,0.0433355268991472-0.00055314367286252i,0.00747101436235989-0.000106267193585486i,0.00867850635594198-0.000332137402172609i,-0.000387006121732707+6.35112822052506e-05i
-0.0384747739603409+2.97844150630806e-05i,-0.0609956864307135+5.08341936444813e-06i,0.0242652673754242-0.000148187016856628i,0.0242529392574461-7.46984370559043e-05i,0.00537604457143449+4.19866281642678e-05i,0.0309589803612532-8.85490172421381e-05i,-0.0154301139461407+0.000131061328514474i
0.0150550899779918-3.86515186493945e-05i,0.00610822702703874+2.25526476938572e-05i,-0.0683446070068784-5.05306496983105e-05i,-0.0081299465842758-8.2442529973263e-05i,0.00729443998506949+4.97115580391142e-05i,0.0615059667008018-6.96695852449811e-05i,-0.0270879858688202+0.000100992786821757i
0.00639296136400188-3.71203562773446e-05i,-0.0155504420943878+9.10294836702897e-05i,0.00266513515633237+0.000116407688833999i,0.0184875975422273-0.000150230692347347i,-0.0420827169872886-3.93113686473914e-05i,0.0346468982502299-7.40517613907256e-05i,-0.0306160901242678-3.70497666100892e-05i
-0.0259460813978766+9.06339930115202e-07i,-0.0405599574485077-5.77541770084792e-05i,0.0535038798369921-0.000175234512015158i,-0.00806124879931033+8.18057528056832e-05i,-0.023961494199063+7.43021842624671e-05i,0.0397493085218637-2.06687038576118e-05i,0.0167851719964143+0.000112882904412774i
