4.86480329395967+8.75549926425802e-05i,0.0461755049984561+0.000129979307081327i,0.883260599050893-0.00016156200172378i,-0.0996815631898228-0.00026881188253231i,0.119541917860911+0.00026129710736221i,0.235546680198515-1.45723377287538e-05i,0.26972647997181-4.46755369590835e-05i
-0.0644554421598338+5.74625679295738e-05i,0.260137674713443-7.75706684081266e-05i,0.0429040422668123-0.000126717297221271i,0.0648070927297366-5.58453500145016e-05i,0.0799233783741436+0.000106930447714063i,0.0228633111119021+8.41316737339202e-05i,0.103394928416918-1.29853187591717e-05i
-0.0187794266360312+8.20694730551963e-05i,0.0208517911896243-4.38348772825119e-05i,0.0746714841068966-6.76563369755974e-05i,-0.0115174819011713-9.04844170336032e-05i,-0.0558589991011721-1.62118410440065e-05i,-0.00268105158965089-7.48545141720115e-06i,0.00315862327940348-3.67871473847033e-05i
-0.0376709816977632+1.6186788785215e-05i,0.046309407261099+8.55545435143856e-05i,0.054319792266739-3.62496542558152e-06i,0.202459953113958-5.49810391531173e-06i,-0.0248522914653027-0.00014452830644875i,0.00542986446202416+3.04429411322864e-05i,0.0786475747965819-0.000122422178048196i
-0.0475060420043603+3.03893278830699e-05i,0.0982537876628196-2.89500282369235e-05i,-0.209137930704171+0.000275431404712956i,-0.0308931274751442+0.000174056545538185i,0.44497736249215-0.000150823497644661i,0.0130388230828198+0.000118425639514907i,-0.109207882927371+4.8259604654651e-06i
-0.0840398592396154+3.04536077746156e-05i,0.0352551858867593-7.54763269696719e-06i,-0.078034939805443+6.48731729622851e-05i,-0.0313178025332948+1.88106567659864e-05i,0.0642485927802899-6.22637674328561e-05i,0.264465511744928+0.000151240348305906i,0.0712771151090018-4.93917703696584e-05i
-0.105929914085129-2.48200516056446e-06i,0.131082302548502-7.42939104795194e-05i,-0.111487244521111+2.64792392616067e-05i,-0.0157155692561467+0.000102651333035973i,0.0853652720939477+4.59437757292479e-05i,0.134050726371432+0.000284923770456328i,0.233932346501294-4.90749002124751e-05i
-0.233933000107729-9.41509275003816e-06i,0.210819304940712+4.8031597854463e-05i,-0.0941083220449537-5.13784415623571e-05i,0.215858559345994+0.00026332465622746i,-0.085971025971264-0.000211340381178595i,-0.0467627894949433+0.000135195739740625i,0.0926166329910469-0.0001246802787026i
-0.0367672656929786-1.50462301081581e-05i,0.0901821836876026+7.10855532525926e-05i,-0.0122660762809651-6.61646621863705e-05i,0.128083118799858-2.42016454582193e-05i,-0.0611874567817697-3.2414695889522e-05i,-0.10908211957324+2.82192489000961e-05i,0.0729925525229874-4.65906187296112e-05i
0.0283820554247605-0.000159434956590782i,-0.0213610384727539-6.81705264937008e-05i,0.00835861922243653-0.000143822149588931i,0.1142307235162+0.000290460484669793i,0.0346179106838057+0.00010741700512914i,-0.103043652341222+6.74951747687304e-05i,-0.064024316385045+0.000159149124504989i
0.200935734982735+5.43521554297186e-05i,-0.111088525506621+9.79314825485004e-05i,0.0624863762193101+0.000101984537788348i,-0.113166573189979-0.000484716232855919i,0.0888393586328219+9.64673884396601e-05i,0.0023672073351103-0.000227312626823769i,-0.0295834052644179+2.41791230718513e-05i
