4.78340546696822+0.00025379813881049i,0.567797820698348-0.000333825716185435i,0.342100487606805-0.000242987836949561i,0.184036313182856+0.000938988952019491i,-0.303188754954741-5.96155425131473e-05i,0.263939042078997+0.000646292243390343i,0.148000646715077-0.000565381724148317i
-0.0270182092732744+8.3022364115093e-05i,0.219948721220905-9.29388010016926e-05i,-0.0185069108564938-0.000129190670343574i,0.0570545765477754+8.11891599840611e-05i,0.0452392536512774+6.2521712100189e-05i,0.0267239164316254+0.000114759231154194i,0.0632356290133013-7.52210061262913e-05i
-0.0250806493329682+3.59271745865434e-05i,-0.0721377473673141+0.000112394944002092i,0.155856655533509-0.00017790569972127i,-0.064972455669318-0.000268979338382243i,0.037846029732776+3.63291057149999e-05i,0.00313401597091536-6.22501576015429e-05i,0.0530183609369649+1.35477218720487e-05i
-0.00748747185318063+1.262343828916e-05i,0.019009977295565+0.000122118535968066i,0.0817492419282026-6.42804667489548e-05i,0.0861259370089835-9.64935093426453e-06i,-0.00149365638947992-0.000165573628732961i,0.000809271257956885-1.19929317929503e-05i,0.066833534353985-6.37158149098016e-05i
-0.103099758417519-7.27097970955058e-05i,-0.1559715120782+0.000320646596693922i,0.124603689206519+0.000235000812467651i,-0.160477871199312-0.000386996337571939i,0.52850546165981-5.07648075940264e-05i,0.0184622032790309-0.000216837667232946i,0.00619386144068388+0.000266719543878418i
-0.0767173245085023-2.23902482633533e-06i,-0.00726366465605534+0.000171959026425749i,-0.00997580060546934-2.34123518528889e-05i,-0.061476946831783+1.22137963504999e-05i,0.10233363250966-0.000108609796687661i,0.185953323871433+7.18940804313752e-05i,0.0723482499110464+2.95030115704665e-05i
-0.0922385174511575-3.2860857177041e-05i,0.0132398327302517+0.000100465253612978i,0.0488643005792819-1.25259163137074e-05i,-0.0944714342551629-0.000148961013980807i,0.188231324625994+0.000113264977502716i,0.123744636965687+0.000141211800528728i,0.216570198093624+4.09347461235014e-05i
-0.305140011911263-0.000210277667618528i,-0.161790158254702+0.000406507585470501i,0.38395574468083+0.000108257864750447i,-0.00436901594874319-0.000855651794913577i,0.217790466306112+1.13236169895709e-05i,-0.0412174802606648-0.000394760437831519i,0.256588506719387+0.000280090069483325i
-0.0410968283985616-6.07963490014545e-05i,0.0546175980196072+6.69002755310792e-05i,0.0263028124994205+8.81558844066828e-06i,0.107959076619811-0.000139548927260998i,-0.037556070073537-4.94519182386297e-05i,-0.090910998614941-1.13290142852014e-05i,0.0895508498907998-4.47339900540795e-05i
0.0339850590848012-0.000114335041214773i,-0.013387749006728-0.000398028449881636i,0.000604974727337223+0.000269393831215251i,0.105430936614797+7.90496397015047e-05i,-0.0029855240009249+0.000337723604449608i,-0.0917382086074287+3.52901949098266e-05i,-0.0646779473184213+0.000223715398768569i
0.264856614632826+0.000185959567852246i,0.241568570260018-8.06111129667674e-05i,-0.403423358935616-0.000214202845429502i,0.0827771302958277+0.000694449892829265i,-0.198917404614369-0.000284895210929664i,0.0159170986214221+0.000290220017663156i,-0.176526243699462-0.000407129072854346i
0.176504275508245+0.000260804497145909i,0.109882120286612+0.000271672572913297i,-0.227421259639658-0.000471503667389599i,0.00736777174056212+0.000697144965943295i,-0.0366277589742689-0.000481192267454096i,0.035212436175402+0.000291796218077378i,-0.191835778366019-0.000467740108611921i
0.113427753981935+0.000165805484999242i,0.294351487910113-0.00014318393679798i,-0.208022158511236-0.000222405408375107i,0.0839599161691507+0.000456986277815905i,-0.169646006419127-0.000133111764275603i,0.0494423820839369+0.000262894524169336i,0.0439264800901692-0.000300551227727267i
0.0382361844323151-1.69152553009207e-05i,-0.223540814392216-2.7475850610895e-05i,0.00875562741887613+8.74818667533552e-05i,-0.093966921837154-3.64837378531348e-05i,0.00396611643521283+7.3659457085391e-06i,-0.0686102864264677-0.000203502120086181i,-0.20526880278907+0.000178145979376911i
-0.0361978369634314-8.97745992286534e-05i,-0.239483786759375-7.8784325486499e-06i,0.0574001848713842+9.82160782408807e-05i,-0.0981068216637452-0.000229308268501355i,0.0952941280026083+0.000164140612112678i,0.0123150606971418-0.000176066298617569i,-0.104765647605352+0.000267281910305211i
0.109489541356228+0.000165133096949253i,0.114482433786718-0.000235190825142889i,-0.145893804196258-0.000124894733793292i,-0.0187679551949804+0.00064080080686563i,0.0687408531309246+5.55188096602007e-05i,0.00742081497479457+0.000503140928326003i,-0.0259402290583325-0.0002497977578123i
-0.0208019383396144+5.71373622749957e-05i,0.0530861730092939-0.000241304862035213i,0.0854030431867446-8.02769965419992e-05i,0.0432611471687619+0.000338106428867336i,-0.0744694666154157+0.000142952241181179i,-0.00119542690526403+0.00024415221264969i,0.00884529175210101-6.27471695725732e-05i
0.000572394662792138-1.99896820823798e-05i,0.0193954292433155+0.000550887794508964i,-0.00234298375249484-0.000126581309657995i,0.0602957299134604-0.000333146348807778i,0.0244133139041945-0.000383884908950746i,0.0541389551469896-0.000206534463245855i,0.0158797529977148-0.00015318636215092i
0.010326669495911-2.89617786155321e-05i,0.246998418927625-9.25412871298453e-05i,-0.0444846635994972+9.30194677085431e-05i,0.179673155332792-2.97344010341892e-05i,-0.171536229820089-1.86010480764615e-05i,-0.0292234018197832+2.43446079144985e-05i,0.110353999079743-0.00015945455394392i
-0.0150169255698297-2.81649284659187e-05i,0.0227272973839634-3.44695199241667e-05i,0.0635129168069493-6.04935788831213e-07i,0.0883414584225436+6.10683792353878e-05i,-0.0890718498293617+4.46965096415464e-05i,-0.0469911298929881+0.00012645147055006i,0.0378305901422619-9.45682483986388e-05i
-0.0557826392240225+4.55052354775626e-05i,-0.0537654187747533+0.000128708267218329i,0.0876906783274875-9.70638257910214e-05i,-0.0529075308684611+6.44833735724595e-05i,0.0269861566435694-0.00011982712364202i,-0.0385935893439875+2.25072860082436e-05i,0.0361046184493154-8.00575420025314e-05i
0.00622093891425457+9.74204016106562e-05i,-0.0036501585544619+0.000259623340384408i,0.0145755666383677-0.000182613685963398i,-0.0711532106696244+4.96155683005133e-05i,0.162114913529741-0.000203596237661796i,0.012268533356206-0.000123147617802017i,-0.124709089635784-1.23143105884387e-05i
-0.119733660210568-0.000133597426306606i,-0.10023223921455-0.000120353111906667i,0.200416550736542+0.000215330431238594i,-0.0579247041622712-0.000555812397676219i,0.0707133434589621+0.000318639209538135i,-0.0143267546699722-0.000290096848696589i,0.109835606590749+0.000345928430894502i
0.0711495339096555-7.21344257911257e-06i,-0.0630107039364839+0.000155768352901392i,-0.123551946776705-6.20989064623532e-05i,0.0262366694152076+0.000109819991628984i,-0.0738336335702283-0.00020262802131526i,0.0313843038653742-3.10109613682222e-05i,-0.0799136071681645-5.67719527450394e-05i
-0.00486894485503181+4.80940651760971e-05i,-0.0669568806930932-0.00022947157095903i,0.0591243776015988-8.13011005695306e-05i,-0.0609918801431134+0.000353190883805026i,0.0207646276131702+0.000204338411109065i,-0.0194423892980652+0.000270854691003751i,0.00193105305095082+2.70665336949782e-05i
-0.00770299541914397+8.45045560574532e-05i,0.0706993638774052+0.000111421266217683i,-0.00129132581371808-5.32799334809155e-05i,-0.0145166624945788+0.00014881487015747i,0.0299467631066288-0.000167947056556835i,-0.0751802800916889+0.000101468641950557i,0.051750342469269-0.000213611968145445i
-0.0492978263221017+7.73389743703671e-05i,-0.0409474086419743+4.58800373472359e-05i,0.174363515830406-0.00010365982739447i,-0.0048876043988455-5.92599362675997e-05i,-0.0127772921744733-8.68350229011042e-05i,-0.0969114792849282-6.60697739517122e-05i,0.00132162167542892-7.31747357383542e-05i
-0.00544537297541019+1.20945957381923e-05i,0.00955408768780114-0.000201183026946264i,-0.018450145171661-7.97474708771743e-06i,-0.0533565509365126+7.26475198309039e-05i,0.0824696749668633+0.000150857902980792i,-0.0645927939874179+8.75533855777531e-05i,0.0292492832835267+8.97199588628705e-05i
0.0243513889289911+8.23508224204073e-05i,0.0409323631214325+0.000252911645579325i,-0.0346254484163338-0.000139671218385917i,0.0326085122117525+0.000101906631738078i,0.0574549344927079-0.000291143125849246i,-0.065526978672641+3.431644253345e-05i,-0.0176142488824606-0.000229143675529058i
0.0334316382342218+3.10265622341687e-05i,-0.0102310363296332+0.000168468897342795i,-0.0269775194687889+1.83844032911677e-05i,0.00954915600782506+3.76050995234522e-05i,0.0486171781139479-0.000170256678436464i,-0.0607509832809652-1.30800714276363e-05i,-0.0495472020597631-0.000121917693923435i
-0.0213455749527509-1.27968185508369e-05i,-0.0409528675765614+1.2660009668041e-05i,0.0322137759907427-5.3247677977202e-05i,-0.0291957985027581+2.04167684508457e-05i,0.0147763004626536+2.01522388411415e-05i,0.0109312761492912+8.16309386194811e-05i,0.0621025793217396+1.57135153818848e-06i
0.029841872722035-2.18059433282994e-05i,0.0220649249520423+3.29759047316102e-05i,-0.0241030592056186+7.36110650793341e-05i,-0.0189761267488864-0.000245891899108398i,-0.0295181841164387-4.6415912839514e-05i,-0.0433236436005242-0.000240101624867683i,0.0103509520098616+5.37047643895323e-05i
0.021735873516951+1.17905428951053e-06i,0.00811362558545813-0.000308101021053773i,0.000603326824169684+7.46058584803611e-05i,-0.033418445734887+6.48576751751333e-05i,-0.0572219094718835+0.000234984791701213i,0.0254549295067294-6.41533614987346e-05i,-0.0884480646224449+0.000185760293747247i
