4.54173358912094+0.000449468191260405i,0.942576194365847-0.00064147734541007i,-0.345404533187535-0.000137637133716667i,0.243491882164422+0.00167555285155566i,-0.683471011809908-0.000188522154066718i,0.233832230183073+0.00114274722680283i,-0.150651663534737-0.00102103760634195i
0.0113449595865559+9.40136454770142e-05i,0.109512460756469-0.000142305139900976i,-0.0260755789021894-4.67194684237515e-05i,0.0285163647010843+0.000105259312914954i,0.0299848623453444+0.000118821410159273i,0.0172216953561583+9.1756099956476e-05i,0.0126853356318074+7.06244366240685e-06i
-0.00341638345751279+4.36710723024626e-05i,0.00745555522909802-0.000149676348459978i,-0.0203229698424001+0.000129301055590013i,0.00722931337710973-6.33553666336992e-05i,0.00158414994931011+0.000112529834518138i,0.0263824178002992+4.05253659624717e-05i,0.0550453115156969+7.61608733963357e-06i
-0.00807431390080549+0.000112163916373255i,0.123274826735328-0.000155668761639284i,-0.0668291746046401+2.08721678801643e-05i,0.0112391312719863+0.000338711842542967i,-0.0748779006538356-9.09067835256686e-05i,0.0113428853341532+0.000193631425501346i,0.0041064302590945-0.000187136320277646i
-0.0631875274408859-0.000152815649064626i,-0.167879984791486+0.000348597914243027i,0.171529620325875+0.000178276708717781i,-0.0752438796326217-0.000370446755839395i,0.35444060028033-0.000124407163933877i,0.0245979065289695-0.000223419780107937i,0.0774069628135323+0.000179004500518092i
-0.0242974555460416-6.10725711105784e-05i,-0.0517137139206129+0.000138818839231415i,0.0648880560201895+0.000113148069827874i,-0.0574999055476482-0.000132534661117564i,0.106256730113576-6.13188738373733e-05i,0.0652142183642153-2.95656702968133e-05i,0.0629223069647349+3.31583901899516e-05i
-0.0182329632662187+2.70503356181214e-05i,0.0165785304591696-2.62716889445956e-05i,0.0304043925601099+6.2004911509278e-05i,-0.040992287375101+5.91800727380734e-05i,0.139407566948367+0.000134502930560534i,0.100370375283958+0.000198214129681236i,0.116418966117991+8.44042616119708e-06i
-0.187547422250681-0.000197494296379753i,-0.252100420071072+0.000179546582397114i,0.46626510184724+0.000461595251360429i,0.0210431538215349-0.000956764113142483i,0.30512737441071+9.28260561711135e-05i,-0.00852753597555594-0.000548140095905018i,0.348208256351553+0.000363613545169401i
-0.0164736909954584-6.63109203087032e-05i,-0.0191416172088978-3.21829144355243e-05i,0.0871322366935452+0.000198940063849425i,0.0661000143410384-0.000291702569240947i,0.0278912866886277+2.09997932255289e-05i,-0.059728993478249-8.82838194640868e-05i,0.109422981162826+1.77731465195951e-05i
0.00852855048994464+3.24528667007954e-05i,-0.00195407337914585+6.00707520512618e-05i,0.00753739065784615-0.000493970190546523i,0.0626331336471233+0.000394545994400883i,-0.0233443294445072-1.78365515523657e-05i,-0.061675891154361+0.000113862282148183i,-0.0454649349409477+5.67425828628822e-05i
0.164013754523926+7.66919452805876e-05i,0.259477560037769-0.000137061482503955i,-0.404575566151869-3.53830776857965e-05i,-0.00114083236257357+0.000432173476427385i,-0.243428068855978-0.000124859322296013i,-0.00333437141245547+0.000310067337319392i,-0.258900844626917-0.000342559738999871i
0.109395444202709+0.000119940731757099i,0.167369322005826-0.000189709611931626i,-0.295412814947919+0.000162575451527357i,-0.00632141503166289+0.000517153174660085i,-0.124919986705893-9.66405727741234e-05i,0.00702713947754876+0.000381799496067879i,-0.241529768382114-0.000339873441083306i
0.0861882981108593+0.000184638730426138i,0.283989653854677-0.000329086290850981i,-0.267258612735105-1.35841016195989e-05i,-0.0159261894250924+0.000467134558919657i,-0.180386412206073+1.4466829952266e-05i,0.0242793671584349+0.000320796737856299i,-0.0708205273707888-0.000290253979232957i
-0.00806122404953829-3.86372857341968e-05i,-0.131473939482772+0.000122314887788985i,-0.0152054811541739-0.0001439260501337i,-0.0298599242329929-2.52334017754002e-05i,-0.0309457972508817-0.000101227934307846i,-0.0525876061116045-0.000137535825412335i,-0.132369050169568+0.000116449431972904i
-0.0326537838612754-0.000123693225069399i,-0.212255570525581+0.00024938161874078i,0.0969472066656853-0.000179217165830303i,-0.00837841150123367-0.000264576342935459i,0.0904073360759393+1.64371282685832e-05i,0.00632974903516133-0.000206069705932395i,-0.0300673343672793+0.000265975022743163i
0.0797719044555382+0.000225788784713655i,0.169279524710191-0.000281686584673841i,-0.242349064629745-0.000218542585224492i,-0.0154258693587218+0.000989040561261431i,-0.0377864500000069+4.79232310229878e-05i,0.0167022403155063+0.000690111428862875i,-0.105358380913774-0.000317031648114334i
-0.0172492789296035+0.000184612842883733i,0.0480872790465526-0.000208623549628616i,0.0348737733999441-0.000282248546970207i,0.0223384147482078+0.000626667046889648i,-0.0552769519619807+0.000100590698813405i,0.00836558452629609+0.000332510235127931i,-0.0108573718221194-7.63618470561198e-05i
0.0123819844817063-0.000191412999529726i,0.00630172117043635+0.000221228817036813i,0.00190813951731522+0.000525745363678129i,0.049245313607361-0.000711940601048674i,0.0270848370809634-9.55495578525374e-05i,0.0349435838449941-0.000314412087534858i,0.0250993387298346+1.55753421146959e-06i
0.0196555581779624-2.71329709761999e-05i,0.134611049427634-4.70120020005436e-05i,0.0156409105934503+0.000128784330078312i,0.0711906862941133-0.000173917920692492i,-0.0839020432600247-6.24601069534371e-06i,-0.0211991039217123-9.02770257811655e-05i,0.0755642065373233-9.54574162073581e-05i
-0.00869518829661473+3.90171496570631e-05i,0.031231892641712-9.60459541196777e-05i,0.0228965406280254+2.07509023197446e-05i,0.0669249357314392+0.000216384003617955i,-0.0418333924627947+3.33511692732115e-05i,-0.0196916914665845+0.000182825533749889i,0.0403933934040498-7.6503574977493e-05i
-0.0457745512296111+5.61986164027382e-05i,-0.0297135620652186-0.00013715726786123i,0.0705901941120032+0.000201061712259769i,-0.0381377958272542+8.96697461914513e-05i,0.0300120000072138-3.17048578929994e-06i,-0.0197371163188211+4.64216341179031e-05i,0.0353251616180763-5.74736383910502e-05i
0.00161100605808563+1.97052517960593e-05i,0.00197484858746308+2.6776789185889e-05i,-0.00450249474839069+7.73273061043367e-05i,-0.0284811804785871-9.34367841294142e-06i,0.0732533989351328-4.38438740436745e-05i,-0.0137361885236034-7.89646163061332e-05i,-0.127392274830513+3.18795881082767e-05i
-0.0766015162294196-8.35369272664688e-06i,-0.0883036963540075+6.94539543651855e-05i,0.166664942294036-0.00015974135582005i,-0.00843663331926466-0.000307605339636242i,0.08527272936772+0.000129921414334033i,0.0224282203257741-0.000266412134513392i,0.121677699917805+0.000262552159465039i
0.0340991339846342-8.13629908363927e-05i,-0.0220043233530046+0.000109682584498312i,-0.0961373243629477+4.69381847617516e-05i,-0.00601887635690978-9.72621172021137e-05i,-0.0832395613118761-0.000105320180206417i,0.0116433799369056-4.88557797910671e-05i,-0.0694316633626933-3.33836757218101e-05i
-0.00705161645859018+0.000175125103666865i,-0.0134069591177853-0.000208478704617043i,-0.00836738875059091-0.000301664758223791i,-0.0250673770099432+0.000693741415785661i,-0.00668710451396232+0.000114409836696136i,-0.00599048580518585+0.00040720553001962i,0.00203495571876574-6.66885275062318e-05i
