4.56713235626334+0.000233994204243436i,0.72918914012156-0.000410499538643187i,-0.228605151569627+7.95001566935467e-05i,0.127983111470463+0.000904620741018727i,-0.561175313934343-0.000305219674286782i,0.0793807003063479+0.000669482911332104i,-0.131236289559048-0.000859710766174607i
0.0156049625883109+7.03652963677427e-05i,0.0756159415785186-0.000107541995524611i,-0.0395605387013736-0.000146305705563863i,0.0257481953066105+0.000125536620522853i,0.0188868781339432+0.000105805288700499i,0.0143461400912934+9.43564918663399e-05i,0.000563384185955986+3.64624554483694e-05i
0.0286863957992462-2.1052901592399e-05i,-0.02198995844475-4.04355575615474e-05i,-0.0507846525898423+3.34223566966373e-06i,0.0250643748394769-0.000170568739853502i,0.0237417066195185+5.60970408526392e-05i,0.0286501249582357-3.35528926815368e-05i,0.0875336763359023+4.36142950485943e-05i
-0.0159792965301274+5.40922037709861e-05i,0.118684230241502-0.000192127609045844i,-0.0508069429267354+0.000149042469998762i,-0.05700741562796+0.000371584546566702i,-0.0804472365187723-9.77886626248309e-05i,0.0038722679293003+0.000275436432444471i,-0.000617277013060553-0.000251639621449153i
-0.0405183694787432-0.000152000777939595i,-0.131230773554189+0.000322143227478166i,0.135594589662977+0.000189522033911279i,-0.0484513575340987-0.000206170749666253i,0.249989124932451-0.000124744842958658i,0.0522092508924638-4.74434362754218e-05i,0.0772049658607327+3.84815069704394e-06i
-0.00181933867015685-0.0001266760664112i,-0.0337282852863279+0.000134473884197236i,0.0505060399271517+0.000289662337082117i,-0.0500190478796545-0.000114845493064064i,0.0915013056911646-0.000152373838135726i,-0.00786597289510959+1.77494032334581e-05i,0.0502808521442818-0.000155028401250657i
0.00231266070648631+4.9173974418404e-05i,0.0340104745414366-2.6116112152909e-05i,0.0327816303816809-4.52225152838602e-05i,-0.0156355933769074+0.000286581204463515i,0.110496142451073+0.000150532473651614i,0.0999536555458927+0.000350580110013425i,0.0508677974286887-6.02222694905048e-05i
-0.139490842038339-0.00011962442017518i,-0.161145590599953+0.000151654927297019i,0.298313408548879+0.000342599636964914i,0.0722853094941072-0.000599716327165627i,0.238650524864835+2.85952378239907e-05i,0.0432028001002446-0.000335095771059069i,0.322152696660288+0.000160984682344829i
-0.0234233326531177-3.57325615033333e-05i,0.00278179070685336-2.63832099374619e-05i,0.0383628292661126+0.000145127002545492i,0.0669093442836503-0.000161563026751603i,0.0160245236506758-1.26327008124458e-05i,-0.0320634421062547+1.62540469766494e-05i,0.0935819858200609-5.99466963044498e-05i
-0.0173354706290355+0.000133594346011974i,0.0110165750854779-7.57489663927701e-05i,0.0110758490503873-0.000412897170837513i,0.0346375337847716+0.000443241449861989i,-0.0357964022005247+9.29297334128797e-05i,-0.0418726482839032+0.000153697507605556i,-0.0408135127953359+0.000108778063378725i
0.109246310475254-6.08079450838388e-06i,0.188340968175233-8.17060220338977e-05i,-0.264680755910567+8.96761129141664e-05i,-0.062979175810526+0.000146935028749912i,-0.200572308876773-0.000122788640414232i,-0.0397197669750445+0.000142579631997389i,-0.253309869427402-0.000229540769003529i
0.0822463044305532-5.30209993760433e-05i,0.107090757895891-5.10142598352933e-05i,-0.192557209540855+0.000171146551665752i,-0.0406907636357267+0.000308573282411166i,-0.0926207312124639-0.000163394476370826i,-0.0346410668478056+0.000306060594435012i,-0.216044969751251-0.000320973957024703i
0.0626735904749062+9.12561362246605e-05i,0.225978681348836-0.000300436245436247i,-0.194985348841774+8.23197649455422e-05i,-0.0751899320329541+0.000328106931344945i,-0.147526816378772-1.60330645975028e-05i,-0.0106430891529271+0.000243438742774759i,-0.0883097346811042-0.000243824659315209i
-0.0139591278361125-2.43062166770068e-05i,-0.123549037840361+0.000117010132305072i,-0.0013444833097514-0.000126337202608158i,-0.0147414309394163-0.000170125022710943i,-0.0209509030023895-6.12586175625359e-05i,-0.0471656356183165-0.000227577899790839i,-0.08370747992639+0.000180133010754839i
-0.0191378504224215-5.61757118832593e-05i,-0.185086536372096+0.000241569215738038i,0.0754532962251116-0.000254940614760338i,0.0349116790345752-0.000280810130642397i,0.0791625872528889+5.97923843048542e-05i,0.0126846096256452-0.000254947937997251i,-0.00508816994759273+0.000298635174460368i
0.0669171873703548+0.000142150929312056i,0.119874888824728-0.000258538831558723i,-0.166071710483051-0.000230099869395438i,-0.0392002937332457+0.000963391619920991i,-0.027603146229286+7.38051960903291e-05i,0.0074020823986431+0.000748638998130818i,-0.107432881061778-0.000274630615136553i
-0.0138689715586166+0.000183653217748096i,0.0384917487391523-0.000237389665236439i,0.0189394835839155-0.000348838435063024i,0.0165281657198675+0.000713764113015899i,-0.0433821790530439+0.000140074959951774i,0.0130200554300665+0.000392536682027723i,-0.00923545270064-1.96012837584661e-05i
0.0137361618779574-0.000238737124969184i,0.00659461707864989+0.000309457849859597i,-0.00700502780773206+0.000589115273876379i,0.0407888582020972-0.000813536001166078i,0.0230518599866753-0.000171127403439121i,0.0216329068754437-0.000379232805339858i,0.0265817751590813-9.66550346537775e-05i
0.000229510494480373+4.15908033193566e-06i,0.128821223027545-7.46676379101104e-05i,-0.00208826686140291+0.000194755614472343i,0.0415601549280422-0.000131023358989571i,-0.0794800379788432-9.31198123932668e-06i,-0.0133030260711129-8.4184080709083e-05i,0.0441736375341375-0.000105390708310345i
-0.0127791588129595+5.24728096107737e-05i,0.0365879456638543-0.000102976087385043i,-0.0032680423793557+3.37650979631191e-06i,0.0597929316884832+0.000260146209281241i,-0.0257273612163356+4.71855910858836e-05i,-0.00495522337494092+0.000229689531974262i,0.0409976487534273-7.63833811454388e-05i
-0.0373810041386261+1.33284962009876e-05i,-0.0120144779768682-0.00010779300380834i,0.0551909919519834+0.000160702945274713i,-0.0277827262745421+0.000187893808382666i,0.0247337724355332-5.3839837877911e-05i,-0.00532467783800045+0.000133767474705749i,0.027013889618459-0.000110933521530389i
0.00400724204963975-5.76890410932869e-05i,-0.0118009411663253+7.82456554641449e-05i,0.0178673606574361+3.77970294709053e-05i,-0.0171362499331232-4.47165300523722e-05i,0.0593038451248243-7.73976906407211e-05i,-0.0326005964574698-7.74503484519977e-05i,-0.112665108099347+1.3308598966355e-05i
-0.0496009050777068+0.000110234636165625i,-0.0630439812436567+5.12125022090418e-06i,0.114069284447234-0.000284292479884729i,0.0234851205469362-0.000188566161279131i,0.070322780370653+0.000204044217150898i,0.057965331303784-0.000269499820402149i,0.108662895636679+0.000334073256762501i
