4.51378693522924+0.000165846431748605i,0.673592960441566-0.000398646841675541i,-0.249174072939347+0.000186461218084245i,0.0293948342834153-1.31206330841981e-05i,-0.430175441973408-0.00060674994099124i,-0.138580240917301-0.000146249847921713i,-0.168105659866773-0.000449677471743258i
0.0257763495517712-1.11984217123656e-05i,0.00838672760783308-4.65601251611725e-05i,-0.0688375917363823-0.000196532956032678i,0.0100593382816974+0.000126464125939901i,-0.00119770556657118+7.88666913673899e-05i,0.0278140436530636+0.000201639945243521i,0.023874756953295-4.71179236763109e-05i
0.0539624549779653-7.44131679493401e-05i,-0.0640774384459333+2.0548991854289e-05i,-0.0943278005353081-0.000126412023161238i,0.0386443691121423-0.000245390539555985i,0.0503776826035719+2.21717613544184e-05i,0.04359550307908+1.82966301328373e-05i,0.127017903755681-1.44626141139358e-05i
-0.00700218420775052+1.11998028356331e-05i,0.0958382566704538-0.000296409810676094i,-0.0544013834901756+0.0002318252223784i,-0.146919922548243+0.000328794450868163i,-0.102086517476165-0.000197972988965529i,0.00307982305709736+0.000202429505907979i,0.0238716389630446-0.000144452840054326i
-0.0107766789197704-7.32708227560944e-05i,-0.113862895114117+0.00023152533087826i,0.142755489740869+0.00029181619563271i,-0.0967257359520296+0.000290699757962387i,0.108296287846051-6.71776885405354e-05i,0.14303463955351+0.000364762038757454i,0.0779042671240463-0.000210790207490365i
0.00496687128651011-0.00010257488712038i,0.0116922871759415+1.79004875722054e-05i,0.0683222303354539+0.000495679752674995i,-0.0414459048850218+5.21176182736702e-05i,0.122187598384765-0.000341431013310532i,-0.168276827334133+9.98505158951609e-06i,0.0228065025162906-0.000241695091786295i
0.013226660367111+6.24323349528498e-05i,0.0769600823639078+1.15705244945526e-06i,0.0871932609001141-2.30028441964811e-05i,0.0111391617416447+0.000484343883786803i,0.103090570333245+0.000244501610195309i,0.072769197980722+0.000460937696020711i,-0.0446945701689024-0.000135199669532931i
-0.123157523271661-9.44568115430918e-05i,-0.0634020935922223+0.000121641208911793i,0.208616731221433+0.000352033103865725i,0.0443210747925906-0.0001582577836038i,0.154743323743886-3.86997683091478e-05i,0.131778936916714+0.000133255208300808i,0.280690932604718-0.000141488211574001i
-0.0339881363817572+1.49973863308148e-05i,0.0246110866887214-4.06799451555635e-05i,0.0208616012520985+0.000121528418141526i,0.0492465759575678+4.38447849091821e-05i,-0.0101822347325722+1.39080481599849e-05i,0.0325416033844608+0.000259122152233143i,0.0685056619644165-0.000152320693004938i
-0.0375202116633893+0.000102612015213497i,0.0148408202374251-6.11278219620748e-05i,0.0082240687913667-0.000257424525889453i,-0.017526373071221+0.000396261638450641i,-0.0816413522088416+0.000143554272084306i,0.0120539557421295+0.000191944832972723i,-0.0243307528861377+5.78292111453896e-05i
0.0531777608130528+2.58203645877591e-05i,0.126013802283383-0.000104131069339654i,-0.195400041338624+7.08181358936193e-05i,-0.0721463913213981-4.55989847847197e-05i,-0.167578575388207-9.02882075166108e-05i,-0.0886332319949575-0.000170131039088634i,-0.246793007726506+1.31933179868416e-05i
0.0501077378287514-7.37827361347147e-05i,0.0485823577415153-0.000101922799724505i,-0.154252116774303+0.000111008732295231i,-0.0447731058728438+0.000153234188302849i,-0.0648610814361597-0.00023406059965071i,-0.0975415658142492+6.65279506802169e-05i,-0.178039627981345-0.000132673370965132i
0.0475671689364687+4.19888752469443e-05i,0.162428795985126-0.000342296123564175i,-0.165725168551456+3.21759682182292e-05i,-0.0946993009770428+0.000118310121840511i,-0.103763376009741-7.62756593603695e-05i,-0.0633896545403793+2.62828341820412e-06i,-0.0936092618584267-2.84663814581865e-05i
-0.0187926550697512-1.69844699985503e-05i,-0.120215942134645+0.000152248543874491i,-0.00303899853517686-0.000158229207670908i,0.00189371181376706-0.000273645013947517i,-0.0188117330606559-1.25256696096713e-05i,-0.03192871859029-0.00028389102015791i,-0.0349745585866276+0.000197765805574058i
-0.0154432511312987-3.0212250814685e-05i,-0.149066242280495+0.000301185940281462i,0.0748000492762706-0.000212608137113169i,0.0623646333085954-0.000221881170205038i,0.0690475765730856+0.000121484110186679i,0.00966397229560714-0.000167736678886302i,0.00635854295838716+0.000155179339940787i
0.0468239663005854+7.01881550746682e-05i,0.0738466143386638-0.000235204777234337i,-0.125035227121255-0.000218048559260808i,-0.0492805753608942+0.000870244913259602i,-0.0391297371440245+0.000143086337498247i,0.0224789324577711+0.000649058333362446i,-0.114045032189735-0.000195369878152283i
0.0060600830454186+5.6637188328829e-05i,0.000258226652516487-0.000195552452752923i,-0.0197112544442463-0.000378376801571457i,0.0158613215618659+0.000472082551793269i,-0.0210541641927099+0.00010617539953637i,0.0114711078126664+0.000241399765016293i,0.0281650272168193+4.29559317094409e-05i
0.0084932787113989-0.000162579184649497i,0.0131951144507464+0.000282813374368028i,-0.0102081412257003+0.000659900196054355i,0.0116074632089898-0.000654260337232433i,0.0173067787022851-0.000288904988208587i,-0.0136425131482397-0.000337901054895603i,0.0308566493903104-0.000197735505045704i
-0.00898100212797527+1.84225436685272e-05i,0.111136069834789-8.72102597253256e-05i,-0.0203287911697333+0.000211503951748322i,0.0160848336945624-0.000148560459092784i,-0.0749919695877412-4.98980813413345e-05i,-0.00172603869136833-0.000134084749786625i,0.0295416793623067-6.64691576280848e-05i
