4.45905682938476+0.000132472929939627i,0.577769390935176-0.0005830521698716i,-0.337417639810292+0.00015473810360854i,-0.11024832498593-0.000720179331154105i,-0.213007744396466-0.000715583241366606i,-0.309749242191204-0.000988759389885054i,-0.235995414597562+8.81466461183597e-05i
0.0390758568427219-7.83815288582625e-05i,-0.0921459665150045+9.07082795082409e-05i,-0.0873495748545759-2.16494260661323e-05i,-0.0336678969618274+8.3012883583931e-05i,-0.0293556080645839-5.81626539865278e-05i,0.0400468994322427+0.000248593853185953i,0.0378792782182974-0.000197360991001638i
0.0444830660686697-6.278652714123e-05i,-0.035674307843845-5.62043255166026e-05i,-0.086256699091914-5.27384840745444e-05i,0.0319774392336659-2.28151398080859e-05i,0.0884630804201746+5.97436382066214e-05i,0.0428605265155415+0.000189545098073935i,0.0817461798435958-0.000154394325266709i
0.0267480413535131-4.56703887199358e-05i,0.0539112256449176-0.000333734661427442i,-0.0703022469845782+8.99313334780825e-05i,-0.192989920218093+0.00011550920976803i,-0.0496326593151143-9.63606591052953e-05i,-0.00242460078956826-0.000154223536091901i,0.0282410054640001+0.000113176455969764i
0.0375601452390227+8.58566914752087e-05i,-0.12104354244416+0.000128819538077344i,0.205689547561214+0.000136706475891631i,-0.129800278010164+0.00075748215636242i,-0.0701382924456297+5.30356885998905e-05i,0.164779478909574+0.000430186372351126i,0.0981133098876007+9.75255998690332e-06i
-0.0167922528876878+3.01701627299393e-05i,0.0407238917652252-0.000143949909768878i,0.0841774247563725+0.000398980273796819i,-0.0203512466705385+0.00045728183669295i,0.0792293437817017-0.000272872516222911i,-0.240221917967752-1.24529096180723e-05i,0.00306510902522434-3.21521992666775e-05i
0.0271651397513982+2.90686087977428e-05i,0.0712978329467239+4.25634348840612e-05i,0.119813611422462+2.35441440311563e-05i,0.0129625446025241+0.00044918917242927i,0.0751508433853166+0.000189010314838449i,0.0209978230713649+0.000364289451363542i,-0.0852780506965917-0.000153831397132622i
-0.06988548395806-5.53858419218886e-05i,0.0320541335293258-6.21730081713612e-05i,0.180238203466628+0.000242620328523545i,-0.0153298366650443+0.000346921172729263i,0.0966384187369633+5.09552297578619e-05i,0.196292085954236+0.000523350243071056i,0.247077362268991-0.000228934472629106i
-0.0155497253862375+3.81058195248766e-05i,0.0381685312344784-9.11834414411037e-05i,0.0192478583909032+6.82965079519837e-05i,0.006507164001144+0.000110642786095934i,-0.0247424495668615+8.58172537115704e-05i,0.109149364878585+0.00028597420312899i,0.048264698276858-0.000143615227403738i
-0.0209170043556708+5.13312182520421e-06i,-0.00494404195336518+0.000189332220369247i,-0.0015208211396595-8.63896596111681e-05i,-0.0698052967454017-0.00010986207343233i,-0.11261524184507+0.000123430526196853i,0.0577046774725415-1.83591124580567e-05i,0.0189746432577293-9.82286959981872e-06i
0.0162159230713608+5.25962337499161e-05i,0.0145461564127907-0.00013229430476942i,-0.173161034948264-4.44547741472192e-05i,-0.0373471936548076-0.000144770920049061i,-0.125451795479637-0.000109021681685379i,-0.120963097284421-0.000395315297561878i,-0.219613862503706+0.000210597228001643i
0.00606558140169889-6.74182743735124e-05i,-0.0343740398502057-0.00018445368575415i,-0.143769689215694+3.17820422236215e-05i,-0.0404624163972049+0.000165720387949785i,-0.0729141241797574-0.000348542087894065i,-0.131218216626068-0.000306129766029456i,-0.135667518689895+0.000172052471665786i
0.0370464727580688-2.46343278407822e-05i,0.0499640938490107-0.000332722618554014i,-0.176384852487288-5.38254110614006e-05i,-0.0713926655035651-7.2297306252413e-05i,-0.0196810213996333-0.00010258342594911i,-0.0810389649687835-0.000173781863943421i,-0.115327999053469+6.31478176475606e-05i
-0.0382248259575684+4.73085944044141e-05i,-0.0654649687480894+0.000164693613553272i,0.0131803642571271-0.000188053500233268i,0.0368544369157125-0.000277001169979067i,-0.0298271661610891+0.000114568550711554i,-0.0280098190346804-0.000180584169837878i,-0.00286955051687238+0.000163360806956828i
-0.0356570145322743+4.9227755427162e-05i,-0.0599975677735034+0.000351551946046155i,0.103127260858828-5.84311106391865e-05i,0.0680241552385689-0.000101512435789526i,0.0154330735929834+0.00015514013358209i,-0.025111085716822+5.81618086947597e-05i,0.0197887935321538-1.39729215879666e-05i
