3.71778986342883+0.000820936477976947i,-0.0772693030557512+0.00053086692397241i,0.303432615858129+0.000332020903104862i,0.0758679148891079-0.000330549551399597i,0.0849578431550693+0.000973583817233898i,0.279999208442188+0.000960085309050469i,0.175376204628083-0.000295124247558075i
-0.0329102914728939-0.000141378214362456i,0.136501392851126-0.000280241355311535i,0.037445178853256-0.000144348686844873i,0.0777875858330068+0.000143322310822664i,0.0279125328414064+0.000222509232058637i,0.0260337729794017+0.000118119771301317i,0.032394521975822+0.000148777380392859i
-0.00124122580402994+3.45812000427685e-05i,0.00217989682317062-9.37761847093252e-05i,-0.0292340583306844-0.000145173002971565i,0.00406794697908952-7.21510654664338e-05i,-0.051310592023381+1.33597121360817e-05i,0.00647526319266217-0.000153306092447299i,0.0191827168991157+5.21692911547938e-05i
-0.0175856661628192-1.71412368699703e-05i,0.0379396598096252-4.96120190971889e-05i,0.0387447908494088+2.55158795609996e-05i,0.0746204006802285+4.6394782202899e-05i,-0.026732091922962+8.2121344330751e-05i,0.0252828133539998+0.000297286267403417i,0.0725374924061066-0.000213489831764814i
0.0773343278511749+6.47917338038825e-05i,0.0224968638299553+0.000195155207712116i,-0.2610740151782+3.01264796412792e-05i,0.0501493545380515+0.000283156930252059i,0.156339634913603-0.000324944051698049i,-0.112918079870586-0.000203678478395899i,-0.258417339338351+5.66050571952782e-05i
0.0189499955500651+5.13927096028112e-05i,-0.00174297330817795-6.97723482034065e-05i,-0.0956848387219604+5.66526038395507e-05i,-0.026580235636236-2.56691508305731e-05i,-0.0136459237915821+7.66223835946873e-05i,0.0510774512568083-0.000177140918647902i,-0.0536440427792383+2.98697427787224e-05i
0.00747243868798982-0.000170912391935847i,0.0495524785062179-0.000121353323785274i,-0.155052007917694-1.35971674976858e-05i,0.0340486165596827+0.000157716593673639i,-0.00909795357435203-9.40094232914062e-07i,0.0352159461205617+0.000151960358091412i,0.0114544983155967+7.16189445706908e-05i
0.169078047886323-8.05534753736312e-06i,-0.044047704455457-0.000103998085943018i,-0.342693996656554-0.000368424700613889i,0.103222672953704+3.43331120082177e-05i,-0.128016135312244-0.00053004134885591i,-0.263439211982298-0.00111352208046681i,-0.277371094100753+0.000222401567820535i
0.0260992042358472+1.43038894813583e-05i,-0.00294546166024474+0.0001705435996358i,-0.046358295826473-7.11498735016811e-05i,0.0817062993994917-7.6821905770433e-05i,-0.022882925787917-0.000169317797578062i,-0.0982320236028418-9.01105067858755e-05i,-0.00997073468081458-0.000160446527072269i
0.00634890380883901-0.000107945574647748i,-0.0112682077528467+7.13827720483793e-05i,0.0489433106751054-0.000165748399623546i,0.0554770715227937+0.000413837383896632i,0.0441288205728133-7.85606855704501e-05i,-0.038832433807488+0.000383673298055175i,-0.0330396350135134+4.78887927696007e-05i
-0.151408165252146+9.59791835875067e-05i,0.0759622249738269+0.000269028725814253i,0.307588617123559+0.000475738828824212i,-0.0532672084012728-0.000436207974894885i,0.119686468359718+0.000394021151081772i,0.20225750986553+0.000750575167451386i,0.269311579577255-0.000396698845383858i
-0.107224840052994+8.56909436587931e-05i,0.0596074387123986+4.78235058003307e-05i,0.22346524297891+0.000384098110981482i,-0.0364342852146147-1.59819864888425e-05i,0.123797654908616+0.000428936897291924i,0.172413841976563+0.000919027608213255i,0.136673554141047-0.000504985495669473i
-0.109278182451404-2.06104166556745e-05i,0.146040227938327-0.000226474549784711i,0.187304755391576+0.000256344743179877i,-0.0133266334724583-0.000308214904078765i,-0.00310659331455969+0.000401682982379014i,0.13011224137144+0.000409378018202113i,0.269240324161494-0.000166295621001257i
0.0204522753509022+0.00010678196419655i,-0.106780586154612+0.000232504216330369i,0.0321727846988432-1.02655527930043e-05i,-0.0963598685101368+0.000103481962736969i,0.0440487747756574-0.000222533622981329i,-0.0261842192094564-2.34725867309337e-05i,-0.0883003677846099+0.00012802068245287i
0.0479201967573295+1.09762951537239e-05i,-0.122046412440087+0.000186817233719342i,-0.0826336126927022-0.000188897525932824i,-0.0489260862546686+0.000246932047991421i,0.0251804281874991-0.000223621082219104i,-0.0208627027021185-0.000217090122281525i,-0.158847280539895+0.000312017352382821i
-0.0855142460515482-9.61295913785954e-05i,0.0867832641734358-0.000194523272882834i,0.0970496835325604+0.000184581120622119i,0.0167376668124133+0.000522122754905128i,0.103717683142323+0.000335530949663931i,0.102027678645873+0.00120266646880895i,0.14424863421659-0.000365617992148301i
-0.00618711950616445-0.000162049589334184i,0.0370252284363247-0.000507074666558027i,0.0541383082927228-0.000189419273231322i,0.0300445851751202+0.000509108255367352i,-0.0517741178523619+0.000250478072871669i,0.0111582172503415+0.000401234991699253i,0.0109035418372637+2.20924090672902e-06i
-0.00209517534358853+0.000192906241587152i,-0.00271228177370288+0.000419174964273633i,-0.014272949695219+0.000157700925793227i,0.0555176732191421-0.000673631106931462i,0.00281668690375271-1.41983398004755e-05i,0.0466785814924946-0.000487912927164719i,-0.0152043661598865-0.000298077390604746i
-0.0210497635806818-2.02865709120545e-05i,0.0899584311955363-9.1212593225338e-05i,0.075998606812949+3.68232831656149e-05i,0.0730962363803549-0.000425594266907124i,-0.0612076282434722+0.000183487489057289i,-0.00483289912381272-0.000274896526185941i,0.0934962955454195-0.00017501944137949i
0.00570851779309752-3.54318714826332e-05i,-0.00557120239268723+2.35099519702703e-05i,0.0147457417154076-7.78674312049676e-05i,0.0635115831810125+7.79969051069054e-05i,-0.0584454583104727-3.17830721480893e-07i,-0.0195707776062412+0.000155409781917457i,0.0231998710576395-0.000222735118204391i
0.035917228148223+3.39659764390532e-05i,-0.000357092084403284-0.000206148024558952i,-0.0528574787718947+9.8665695411254e-05i,-0.0248859875428817+6.85876586721972e-05i,-0.0366229286057367-7.42248902924795e-05i,-0.0778134675884842-4.61231367701877e-05i,-0.034631900150162-0.000142979018509157i
-0.00612927669818258-2.49308849887197e-07i,0.0462959181280495-4.21619340511919e-05i,0.0436575814633796+7.6993737260958e-05i,-0.00761435217890369+0.000169058433654254i,0.106371585319284+0.000103979458938421i,0.00453693095522915+0.000136157461590953i,-0.085334645140011+1.50138260951863e-05i
0.0637698869756165-0.000157528899957768i,-0.0192201360179284-0.00020448880813512i,-0.136908959967908-0.000355582722804429i,0.0200739359628584+9.87582455103749e-05i,-0.0809832523848739-0.000209689033360044i,-0.0791791852032787-0.000607705205673769i,-0.100059724658531+0.000564748206106641i
-0.0237279966804352+0.000121031055251123i,-0.0605170836292635+0.000281853633116809i,0.0482893441187821+0.000173401025057698i,-0.0498532458135746-0.00020871532762303i,0.0212917065019706-3.09677848021648e-05i,0.0676327992315203+0.000115577191950688i,0.0435045271054181-0.000146140912307248i
0.000887113518011456-0.000120298011040751i,-0.02847826231877-0.000246862931441557i,-0.0175353982909833-0.00011282488747496i,-0.0193075493484548+0.000682538294782227i,-0.00657822458325767+2.88263469676864e-05i,-0.0142067544268462+0.000597933750285422i,0.00767478052914944+3.00875706844828e-05i
0.00223941226114885+3.62309847806658e-05i,0.0596490333563934-8.41884341711233e-05i,-0.0130343228919665+0.000256285924672613i,0.00908918523751722-5.16763711090162e-05i,0.00983756431335735-2.32883948753127e-05i,-0.0663712989110615+0.000136550404401169i,0.0291890035563748-0.000329055167127617i
0.0228278019130627+6.73606494121487e-05i,0.00999900948671627-0.000221717939191363i,0.00569253942342554-6.51873906159681e-05i,0.013412547089432+4.99507927517738e-05i,-0.0517190165386428-2.9517343170382e-05i,-0.087415956862394-0.000129454302962667i,-0.0237607076223134-9.76641327473292e-05i
0.00195065227842677-5.9877838056732e-05i,0.0182597682280084-8.75535157361159e-05i,-0.0385298403603494-7.00760251260872e-05i,-0.00395851669646863+0.000228149863684962i,0.0445722610927145-7.78723665709207e-05i,-0.0698765324718976+0.000159753291685187i,0.00515881589037444+0.00012484513492038i
-0.0171091251929004+0.000179191689581894i,0.0351132133704604+0.000163166516472991i,0.0309674188715291+0.000223881682420767i,0.0331342239520204-0.000229121671979241i,0.0597486561641906+8.32096531443291e-06i,-0.0434715834517157+0.000134036704800881i,0.0397981372113336-0.000464246395423106i
-0.00643938133074875+9.44682876674718e-05i,0.00893635444781113+0.000211088495724434i,0.0242760281499142+0.000193054777315579i,0.0120144521476403-0.000124538235033418i,0.0545517785257785-3.57044571226757e-05i,-0.0145457690177391+8.37131480983534e-05i,-0.0110585974393604-0.000291662468118899i
0.00769704781379967-1.66487185716178e-05i,-0.0212317477358892-8.04318516483019e-05i,-0.0398992763398799-1.58095846135813e-05i,-0.00724457222012609+0.000154593762900571i,-0.0178401062949083+1.18574777243002e-05i,-0.0133044197852848+0.000161081872711721i,0.00920650380488624-6.09802905632173e-05i
-0.0152738268119432+3.63535998553266e-05i,0.0180577778061377+0.000117620194291773i,0.0321279372497499+7.98074815242947e-05i,-0.0268753823809635-0.000412506128043201i,0.000902143018196651-7.40243063659667e-05i,0.00195995591858301-0.000336598001578239i,0.0496554189768803+0.000117783606661015i
-0.0100957840411763-7.37508435699893e-05i,0.000241872633777639-0.000243270749940378i,0.0695213821092122-0.000167814416949532i,-0.0555448855670218+0.000137366817340647i,-0.00509264908845265+0.000114009573188935i,0.0319830846029789-0.000106424466584289i,-0.0130055742560512+0.00041164608538471i
-0.00619993311193652-2.92774356983598e-05i,0.00909424427982867-8.21720488385286e-05i,0.0250193032801765-2.36602389095376e-06i,-0.02160037771527-0.000192726352146686i,-0.0148653218858165+0.000105726546610717i,0.0385922161213374-0.000226467516170627i,0.00820816828648492+0.000165209858817067i
