3.52094744546999+0.00142073379547075i,0.330513489111168+0.000969934938251772i,0.183582624050023+0.000749396102412703i,-0.141635412398768+0.000660548992275554i,-0.0574306065099194-0.00199182508212685i,0.193348372740518+0.0020602296789663i,0.120445036021748-0.0025276210515915i
0.00853420941695881-7.81950789105922e-05i,0.019606818885018-7.51031784466251e-05i,-0.0434786561869383-0.000409819108077781i,-0.0444513008497405+0.000304058893865984i,0.0942712146092396-6.52754857744616e-05i,0.0209759214198738+0.000402740091874985i,0.0227039317832404-0.000165991171853926i
-0.00152380899654342-7.09003494667264e-05i,-0.0488070641590512+6.7353603178139e-05i,-0.0485284295573149-0.000232441544894878i,-0.0116701450906377+4.63427382149355e-05i,0.0521566748730008-3.17835190533431e-05i,0.0241879608225706-0.000148569636470657i,0.0351290837542663-7.77772365619985e-05i
-0.00054692858394541-8.8570845053273e-06i,0.0622025282350222-0.000212583899755263i,-0.0678139494965719+9.61047176186336e-06i,-0.0825385459221625+0.000284217106040656i,-0.00432709463454937-0.000304632947358596i,0.0185183450692972+0.000222803346822939i,0.041777844524967-0.000142650141320735i
0.0047856457413809-4.45586857054873e-05i,-0.227294662042032-0.000337989605096527i,0.0260485164330374-7.60414990409737e-05i,-0.0158672131873939-0.000215804446299824i,0.041969786573874+0.000924410733307847i,-0.0217068827955555-0.00101923627584317i,-0.107807025565807+0.00136101051079464i
0.011322828385671-6.8162627366813e-05i,-0.0643038948260136+0.000235849743690719i,0.0725747063714252-0.000285298590402276i,0.00639283802430105+0.00015689778234553i,0.104693446582535-0.000518989861494623i,-0.103441622907725-0.000941912922980372i,0.0170654219739314-6.98417433095025e-05i
0.0169745143974611+2.81003432536498e-05i,-0.0308301829670709-0.000420368303620392i,-0.00590146976871421-0.000103842234801375i,0.0068845251821182+0.000252402057621292i,0.110342912994306+0.000574176054651684i,-0.00946039269643091-0.000258301591555314i,-0.038510862149646+0.000577007011337054i
-0.0467341047248947-0.000136091077087046i,-0.211592836414727-0.00111716624544551i,-0.147443900913415-0.000766316286441113i,0.14365340435527-0.000334213283919857i,0.0847139317707002+0.00134801199392687i,-0.0690600825390635-0.00193136165618358i,0.0696829182881509+0.00174745861470509i
-0.0155482691383429+3.8369116331615e-05i,0.0248253544675296-0.000450727225149447i,-0.0739548201881699+3.02045000565653e-05i,0.0635149831253285+4.53498166899143e-05i,-0.000275233838165859+0.000531296581238357i,0.0199564713539127+7.86186242042878e-05i,0.0368649941156508+0.000247316418955815i
-0.0107604698379186+4.07795556358877e-05i,0.0325588441958611-0.000229618227332071i,-0.0213616309092168-7.19302051447282e-05i,0.00076111897243097+3.70299093991296e-05i,-0.073648944472585+0.000390356693174416i,0.0247712181443388+0.000577031408989752i,-0.0051961789931203+5.93959575050376e-05i
0.0317644033506456+0.000141144655674079i,0.221618546191391+0.000876205877527809i,0.071742445069386+0.00090354769258714i,-0.150780166437074+0.000318887217394567i,-0.0540867411426316-0.00130382174708294i,0.0713608622301888+0.0015697617903691i,-0.0584201146409054-0.00152958426286221i
0.0186769692369538-1.49762995124271e-05i,0.112832693945292+0.00106969575466666i,0.0675509759038326+0.000607530747352618i,-0.122188913574099+0.000492414216806392i,-0.0138208646105413-0.00137351908593038i,0.0515974561726732+0.00137276940947187i,-0.077823569020629-0.00130084927257949i
0.0206460412416716+5.48585473859437e-05i,0.191152685782515+0.000116064352883342i,-0.0351905730576149+0.000297149913305332i,-0.15860283249269+0.000382584094406949i,0.0545003304836886-0.000965179889426575i,0.0338046213022311+0.000897135307972925i,0.0140055226177773-0.00097886500352319i
-0.0116636912821781+3.35513512938156e-06i,-0.0596923490699882+0.000317342633013909i,0.0632632593032808+0.000146378172501806i,0.016186998329091-0.0004039543753298i,-0.103341437515007+7.82003211969059e-05i,0.000369419041924581+7.19960688171747e-05i,-0.0516704090983421-1.81339191944969e-05i
-0.00663387810400618-2.60772626997597e-05i,-0.126935950854778+0.00016103485740215i,0.0770301134758141-0.000198936473105135i,0.0768408754844642-0.000383395981177543i,-0.0617240447223607+0.000448029818948467i,-0.0308314954234104-0.000450160104237969i,-0.0335477376574279+0.000415249143382027i
