-5.00039958798516-2.91870873948396e-07i,0.640769113138956+1.83146922181543e-05i,0.763349551669772+3.07433176040999e-07i,0.785760510478485-0.000220269093202766i,0.595455918083556+0.000105160181794923i,0.281675970319961+1.46320094461315e-05i,1.01128472127821+8.17958052428333e-05i
0.193388285805073-1.34614159171784e-06i,0.0887501619860093-4.90962563280295e-06i,0.024177683507756-7.40364006053109e-06i,0.11027224240768+7.49829308328076e-05i,0.073000376124453-3.43661758637918e-05i,-0.0580491432414569+2.03585464280724e-05i,-0.0853727526042814-4.91504851487681e-05i
0.0421053628772317+9.23085788993508e-07i,0.0396162809765543-3.85341727932259e-06i,0.0138585061328579-5.2639129787261e-07i,-0.0285454261564403-4.39748726500961e-05i,-0.0366049910941649+2.1617913374359e-05i,-0.0409154509825326-3.51710821446786e-06i,0.0334016931346652+3.07174176534113e-05i
0.164937205454449-6.042982777791e-07i,-0.0249808966714262-1.18400079203071e-05i,0.0191969691035806-1.63329397240295e-05i,0.105372858304006+4.19802459831664e-05i,0.0321451176906813-1.86626214303872e-05i,0.0171106441366271+1.25241358102331e-05i,0.0194613721335611-8.02303349826142e-06i
-0.211239080849755-8.50909164329915e-07i,-0.113509963279937+3.29276478011781e-06i,-0.0750094163998198-9.67238047068699e-06i,-0.0638835350072014+1.11707024659053e-05i,0.165774720060824-2.31345250142567e-05i,-0.131194513729348-1.29377316517135e-05i,-0.1889591464733+3.0176459835843e-05i
0.00781026675321562+1.68923722245796e-06i,0.0519319526058872+1.56133793410517e-05i,0.0120757658599891+5.22878413373664e-06i,-0.109954545957744-0.000153698540112116i,0.00348440296119021+6.14974506287367e-05i,-0.103333028515216-2.71574397220397e-05i,0.0974443603576634+9.88830102275427e-05i
0.132645489895048+2.41390407509211e-07i,0.0272041677550865+1.47859230403283e-05i,-0.0136359314143192+7.85373696882143e-06i,-0.0680312143763546-0.000192195783090743i,0.0511013819961263+7.84994015427213e-05i,-0.155204278483201-2.34099578424439e-05i,0.169896238232353+0.000114444907922577i
-0.0192154906201206-3.23599942211663e-07i,-0.168483546810623-2.16019710441537e-07i,-0.0759690326676999-6.58359256242023e-06i,-0.073988263087745-3.59328201314711e-05i,-0.102559770405334+1.45958194810974e-05i,-0.22096677095834+3.14117484921172e-06i,-0.0657963449293545+2.46053686502711e-05i
0.0825021325501073-2.69983901937518e-06i,0.0527352738584171+2.47000507210899e-06i,-0.0847441409591175+1.89798435235116e-05i,0.0642511575332717+5.74222416274172e-05i,-0.0394378812861991-1.87812397046727e-05i,-0.0406613957000583+2.46401379104768e-05i,-0.0398796575844905-8.54694286015336e-05i
-0.038114245816641-2.82698430309018e-07i,-0.0073559059493529-1.15947818935125e-05i,-0.044571686196552-1.39670144354468e-05i,0.0827144453172058+0.000126513704527073i,0.00858690579989494-5.96264493614277e-05i,0.0608768391735687+1.84066757505563e-05i,-0.126313396766281-5.96655653053049e-05i
0.102645972065087-1.20187631245736e-06i,0.0475204579508764-6.99567474630175e-06i,0.0984666596659947+5.59860853855551e-06i,0.127415528725525+6.81619246152239e-05i,0.130173142386086-2.92702638272343e-05i,0.190631923123587+5.58287698395256e-06i,0.054599183647562-4.36425099270013e-05i
-0.0268246319140895+1.3063037034836e-06i,0.0921434692429748-1.16976891426164e-05i,0.0234388498857985-2.8205961848522e-09i,0.0570408030968052+4.57235938996714e-05i,0.0994894342656706-2.31882847320111e-05i,0.130336661452588-9.54071211609531e-08i,-0.0106467831240202-1.02044373264857e-05i
0.315762251714446-7.80445488745912e-07i,0.0177277351395435-1.12900198215426e-05i,0.192104417761217-1.05491841903813e-06i,0.119384181331085+7.43545242939985e-06i,0.0790050175470206+1.25079540539382e-06i,0.0473877158363047+5.84730825281267e-06i,0.104767533801479-2.64277162091486e-06i
-0.348759491059509+7.7771791957433e-07i,-0.0385547963975752-5.82138215103201e-06i,-0.0475687730606194-2.43854451231392e-06i,-0.0954427114106649+4.73875226282455e-05i,-0.05074682266352-2.11626743191205e-05i,0.113557350333289-9.79564553044531e-06i,-0.101700235120602-7.78644688256304e-06i
-0.299892776678966+1.61122607375279e-06i,-0.0215002319800174+1.02282113526412e-05i,-0.0758861665045851-1.15501600961127e-05i,-0.120520789773705-1.44066064769859e-05i,-0.0485024728551098-2.65069389253116e-06i,0.0198941730504715-1.77051905853244e-05i,-0.0781926912325485+3.66466626365898e-05i
0.0887640394836476-4.16815827922759e-07i,0.0539396470034341-7.40199432942736e-06i,-0.0189733249385899+6.6054087369522e-06i,0.0735306935276434-9.41518424210286e-06i,0.136565363837481+3.23002151413904e-06i,0.0307790984146612+2.45556358732023e-06i,0.0554499603593286+4.23119474605857e-06i
0.0912464255339446+3.94657146764925e-07i,0.0957932586065923-2.69882611656079e-06i,0.00648504092413839-8.67972380148261e-06i,0.0478865088925292+4.95910753524008e-05i,-0.0444387395269234-1.97397886435835e-05i,-0.0105235123579104+1.43344905188309e-05i,-0.0474166923127032-3.2451180211e-05i
0.060144478720766-1.71554271593323e-07i,-0.0593270116575402-2.1388643156069e-06i,-0.016725443543391+5.2756002085731e-06i,0.0229385608642628-2.84468388974614e-05i,0.0313180797699673+1.12638630173476e-05i,-0.00821477412803798-1.9368435769606e-06i,0.0617892917995806+1.56701185835612e-05i
0.293690292755727-1.76544230057516e-06i,0.0642710193324779+9.17329641827484e-07i,0.0794550546758268-5.44851242312668e-07i,0.13814407651479+8.23905488985333e-05i,-0.0214287817659749-3.25962883803853e-05i,-0.0260422840001511+2.77089222184768e-05i,-0.0196953788040004-7.84782988335565e-05i
0.0832484055457382+2.80674526907248e-07i,0.0181696746798444-7.43321058897423e-06i,-0.0250620910587711-3.61336085186621e-06i,0.040040747559287+1.41254015749837e-05i,-0.0551200817705869-2.34865440204226e-06i,-0.00532837282324744+1.10600970237778e-05i,0.0209879844128387-1.13123375137383e-05i
-0.0402099013761954+7.15428843471577e-07i,-0.0592618973242479-4.48169355787922e-06i,0.0599322516111735-1.68753759074627e-05i,-0.0401665702584412-4.56587131875899e-07i,-0.0348823434978776-4.23061369740301e-07i,-0.0232157054644415-5.62566549340551e-06i,-0.0345640152041168+2.81873098145583e-05i
-0.136548763688202-2.03771251624358e-07i,0.0474914636784678-8.91682643565529e-06i,-0.0763362516058909-8.87253442470935e-06i,0.0105629215002482+6.19137388017518e-05i,0.0795128527244288-3.14086262787682e-05i,0.0178053860313009+4.13622657262327e-06i,-0.123856327678321-1.68582015633827e-05i
-0.00703605755241509+6.29786664408036e-07i,-0.0333059456810517+3.78078943739857e-06i,-0.013118313051307-9.21525121824348e-06i,-0.0572382321779856-4.57920938705096e-05i,-0.0630770606645918+2.16545760921356e-05i,-0.0917296127671556-4.24516522986133e-06i,0.00376539449274744+3.42077048691627e-05i
