-4.1815283270582-1.08850852299195e-06i,0.694116598226902+3.37242309923942e-06i,0.832536530955058+7.81228265076136e-06i,0.9296109415921-0.000167427979066886i,0.640216099615546+9.37151769505972e-05i,0.259159757101259+4.20540933251121e-05i,1.0507010209758+1.97203441209366e-05i
0.127146465211437-2.8051846453786e-07i,0.0779983054435787-4.20454423155608e-06i,0.0209670381163834-5.45347143945161e-06i,0.10278600200756+6.5160549671756e-05i,0.0752022955810625-2.96454712542967e-05i,-0.0722904213677817+2.02404638971157e-05i,-0.0797228959201947-4.57317715708126e-05i
0.0362978931000758+7.96990266663219e-07i,0.033547700956345-4.16162140058969e-06i,0.0113393218890981-1.0653832076995e-06i,-0.0208235064398618-3.42383550813713e-05i,-0.0333412619355191+1.78186050100177e-05i,-0.0383315687205864-1.35844520952149e-06i,0.0268873918455144+2.3429789091392e-05i
0.0974672263881631-1.33315772949665e-07i,-0.0237151492152412-1.23993340509921e-05i,0.0162903126890183-1.21649175702168e-05i,0.101517121962179+4.6777465394614e-05i,0.0182072602563052-1.74610544673514e-05i,0.0115682922182469+1.68373347217955e-05i,0.0138012568285606-2.07902779148487e-05i
-0.111136066675353+1.04045427555199e-06i,-0.0997413688509725+7.5786907449715e-06i,-0.0689596262373658-7.39809075344836e-06i,-0.0786574076963537-2.98744413899584e-05i,0.207164545103799-8.26008557307383e-06i,-0.163928773302143-2.11658724797068e-05i,-0.163243723116385+5.87265274404563e-05i
0.0162443882663085+1.86158285168374e-06i,0.049469609891388+1.49864522111349e-05i,0.014218069175158+4.25590512960684e-06i,-0.107588412773363-0.000148342404785039i,0.0247063908012093+5.79744057311036e-05i,-0.106410098164929-2.88867717270166e-05i,0.0850805349829575+9.96385579973937e-05i
0.0961854518373484+2.46474914320928e-07i,0.022785710419232+1.25721593238656e-05i,-0.00934194095073948+7.07006163476638e-06i,-0.065037794726502-0.000178167367534221i,0.0744612743760959+7.16628062792296e-05i,-0.164580077834504-2.40010084268346e-05i,0.141829049626013+0.000109968734862021i
0.126864003530527+1.89794114011116e-07i,-0.154126967119825-2.86064000844986e-06i,-0.0645992086834673-3.11109831330663e-06i,-0.0403806450125645-2.86849220243365e-05i,-0.0957269641895745+1.48394711623552e-05i,-0.23899038810949+1.14943811367028e-05i,-0.0509626928664122+8.46623343951489e-06i
0.0895739094015943-3.41648027609189e-06i,0.0441686949219929+5.23865980398103e-07i,-0.0761939331764378+1.65977319283964e-05i,0.0736308644483116+6.24915364455185e-05i,-0.0475156422223997-2.02270143195756e-05i,-0.0432691867747159+2.64247002275762e-05i,-0.0361277634192361-8.75063229912256e-05i
-0.0227961152305532+4.48026919154548e-07i,-0.00866677507821667-1.13311362360824e-05i,-0.0404391738673132-1.11717274672721e-05i,0.0785572119768504+0.000116537460546685i,-0.00175698205501598-5.24604302755552e-05i,0.0592423598409592+2.02870636642551e-05i,-0.108296609139722-6.02441295539889e-05i
-0.0504445474518415-1.61089266959459e-06i,0.0451097111523522-3.93538640988602e-06i,0.083858061768809+3.84960393970196e-06i,0.09684117800656+6.09722873605108e-05i,0.117610801088-2.84356264664522e-05i,0.198911710558784+1.10390362177181e-07i,0.0399752714485633-3.32234480389058e-05i
