-3.94126648935814-1.53403022165762e-06i,0.696125709406439-8.73535538125562e-06i,0.830045063882562+1.21371314434639e-05i,0.985678937028995-9.2074618155353e-05i,0.629287104941234+6.67376455154471e-05i,0.260439938414688+6.30398092601985e-05i,0.99390566373101-4.25800304163049e-05i
0.0849660321933308+8.16137462503463e-07i,0.0675659404048795-3.50563951692666e-06i,0.0218138133261257-3.72789802939189e-06i,0.0944905695686943+5.28978054373894e-05i,0.0732620980611748-2.36928219231447e-05i,-0.07693569059262+1.91727180081861e-05i,-0.0649994256228563-3.97222745904795e-05i
0.0321691202322521+6.94628271701826e-07i,0.0270332186555024-4.05892830376902e-06i,0.00899677078748792-1.06108124953886e-06i,-0.0133301937153182-2.56831583136523e-05i,-0.0291215957259695+1.4206568510982e-05i,-0.0348390673090882+4.0052989625527e-07i,0.0219454931070355+1.66760633912799e-05i
0.0587512709274084+1.00909110059361e-06i,-0.0180640628118821-1.18582553216976e-05i,0.0166163363158816-8.74206286045094e-06i,0.0966109466028799+4.57869968186046e-05i,0.00886541335198573-1.46013958349957e-05i,0.00732867138794023+1.94211608293761e-05i,0.0148051879218117-2.74475393623484e-05i
-0.0628634751085177+2.41432948873351e-06i,-0.0904394533136982+1.02477046061126e-05i,-0.0681310328914378-5.65226402838569e-06i,-0.0951511467992263-5.65927963147797e-05i,0.217270180877507+2.4872791722908e-06i,-0.180698981774121-2.70299067211543e-05i,-0.144554815588128+7.69698343956422e-05i
0.0177316607611629+1.3709590847345e-06i,0.0439939738985435+1.36573868220672e-05i,0.0133751019123471+3.49516688272154e-06i,-0.10030480951027-0.000134490743382703i,0.0395838714433168+5.08694847453914e-05i,-0.100328102632342-2.91442773610477e-05i,0.06912210886227+9.41274346311603e-05i
0.0715468001440691-2.00689598554056e-07i,0.0192877864297899+1.06663421011832e-05i,-0.00463871407596219+6.12279003572349e-06i,-0.0580251974076943-0.000157883971020102i,0.0881205628710926+6.19667855909857e-05i,-0.159513977499202-2.385177380461e-05i,0.115375042735987+0.000100802213961918i
0.18037787330513+1.03068563349047e-06i,-0.144760365070767-4.6216135677322e-06i,-0.0623771643552646-6.16166480427129e-07i,-0.0200879965657101-1.95459560853845e-05i,-0.0990279826745639+1.33902784293802e-05i,-0.250519792508446+1.84387387220166e-05i,-0.0462949088569499-5.97414963565899e-06i
0.0861408719895386-4.07090777749375e-06i,0.0334466705369148-8.69865212111732e-07i,-0.0650978968141188+1.40944640978537e-05i,0.0766149216455272+6.13028888532298e-05i,-0.0531404915960658-1.98709885108045e-05i,-0.0464334607958225+2.64698187977925e-05i,-0.029374497389565-8.44506920553461e-05i
-0.015354364197067+1.68639248040166e-06i,-0.0102231296377898-1.03359761127627e-05i,-0.0351359963633529-8.65582858839672e-06i,0.0697188497066615+0.000101794187979472i,-0.010529396240295-4.34470436046869e-05i,0.0524905802750631+2.08738140899275e-05i,-0.0891800154242103-5.63938768231077e-05i
-0.11477983718638-1.79733174858836e-06i,0.051215133016891-1.39241404528357e-06i,0.0780324339149849+2.20221347763138e-06i,0.0757527981654777+4.92169692320459e-05i,0.113093479439923-2.48255842005023e-05i,0.20275012249526-4.88821915147889e-06i,0.037479169912189-2.11356603850404e-05i
-0.107903129646435+1.95961780831501e-06i,0.0856571530367859-4.96358408654056e-06i,0.0250930051049413-3.80525083927494e-06i,0.0136089472534053+1.96912688357944e-05i,0.106509162135924-1.55867718231945e-05i,0.14060902647923-1.15303517196695e-05i,-0.0118951778513015+1.79275400640711e-05i
0.0615735398026881-2.05166372809774e-07i,0.0247698467915407-7.73341334075552e-06i,0.146440237973829-3.58558640853004e-08i,0.105400380445537+2.12542762107747e-05i,0.0668445820146335-5.39882040751403e-06i,0.0561312643871284+7.9729227723298e-06i,0.0733936629948818-1.52340198969655e-05i
-0.0966992078350579-1.30980117899164e-07i,-0.0177162149305387-9.62946020423614e-07i,-0.0363474935218125-4.37222818103955e-06i,-0.0985011188997998+1.73981109677106e-05i,-0.0350549419306612-1.04856477747169e-05i,0.135991193506447-1.73607564875168e-05i,-0.0578327168117713+1.62062448104462e-05i
-0.0962173746697251+1.6374089502957e-06i,-0.0196255023428388+8.88706252514804e-06i,-0.060990494072189-8.70371153027129e-06i,-0.117961974879127-3.44208943763069e-05i,-0.0291841340805563+6.48196882716387e-06i,0.0237738919688855-2.05992031009572e-05i,-0.0454955167757279+4.93896997080869e-05i
-0.0437182197925218-1.86280921493587e-07i,0.0518014439275122-2.89465238205453e-06i,-0.0113337587383263+3.88726454784871e-06i,0.0375092038180434-1.89371081560178e-05i,0.144258309933274+2.59305482699593e-06i,0.0278833950613538-7.15629018713173e-06i,0.029072881771366+2.14572207857093e-05i
0.0454477761478632+9.09614684007733e-07i,0.0664085119450046-5.86923188549069e-06i,0.00960163297863996-5.83247376490466e-06i,0.0556020169537492+5.53463440034052e-05i,-0.0586885003519073-1.83913788578126e-05i,-0.00866888243797245+2.01956315069537e-05i,-0.0362100751159489-4.3920575173739e-05i
0.0116545185114243-4.80045526784931e-07i,-0.0470222693168524-3.42003470422476e-06i,-0.0162506797493803+4.40536676783182e-06i,0.0207907702957573-1.9163357301302e-05i,0.0253973557653946+9.17523025784103e-06i,-0.0180194925281629+9.20630590183894e-08i,0.0427061419772777+8.22904682027869e-06i
0.111655644339238-1.14363121641509e-06i,0.0369225401766264-3.82246144066677e-06i,0.0620271038004064+1.06447496604844e-06i,0.147133370952098+9.45216689814969e-05i,-0.0542055773217662-3.27603349989405e-05i,-0.0364378545032512+3.76042922881273e-05i,-0.0169924819141393-9.64625095805399e-05i
0.0786002623273882+2.520395344072e-07i,0.0127478922781214-1.03849206906708e-05i,-0.0190932585533092-1.17954763608106e-06i,0.0588249579381168+3.64231121266143e-05i,-0.0694664333919334-7.71208760587715e-06i,0.00317446811977719+1.95929847097046e-05i,0.0161736021096206-3.53347779569541e-05i
0.0296282352895009+1.75851422646677e-06i,-0.0445452153176803-4.6477837883354e-06i,0.0425155462850729-1.11074154827886e-05i,-0.0255842825000142-2.78199444868833e-07i,-0.0303595922891086+1.58074881251432e-06i,-0.0191160431180055-5.56530194687174e-07i,-0.0203504052411806+1.78910699502284e-05i
-0.0579779037557605+9.06989688362844e-07i,0.0498561579620097-3.0546975494356e-06i,-0.0507532067924979-6.84215114624979e-06i,-0.0180453630825637+2.2901342093191e-05i,0.0973636650612078-1.80777763738994e-05i,0.00959383309623612-6.0658448149312e-06i,-0.0982538122234806+1.24135689392857e-05i
0.053201775137441+5.5603380939936e-07i,-0.0325917912810198+5.19295714656013e-07i,-0.00833620786945799-5.58763770167154e-06i,-0.0313244643781184-2.94822514226433e-05i,-0.0612563838282022+1.62917701599499e-05i,-0.0967736246935285+2.66950299613518e-06i,0.00127082089514475+1.64970502984313e-05i
