-3.49352616437763-2.48771230098319e-05i,-0.204115482533859+7.61074138593974e-06i,0.0429326912913889-3.26987360588797e-05i,0.613381803140353-0.000124249339113593i,-0.134561841505815+1.12861974081156e-05i,-0.112899633072342+3.44823840027619e-05i,0.561849811546405-1.59425873341285e-05i
-0.0430866294624604-4.01638477174948e-07i,-0.0226403530134194-2.78161345598612e-06i,0.00154533678298446+1.87961509992015e-06i,0.0132638995166045+9.28531118266424e-07i,0.0720021452118862+1.64825131984054e-06i,0.0424632655616653-2.32100334052531e-06i,0.00835374960222622+9.81339841341296e-06i
0.000956115860568143-1.57889064291917e-07i,0.0165628212272964-3.45839634416878e-06i,-0.00573734592111062-5.47624695004808e-07i,0.00630581562931995-4.39964732751199e-06i,0.0246766847475246+5.27070021605523e-06i,0.0265615516429033-1.0161827422973e-06i,0.0195703103458555+6.17289051933378e-06i
-0.0593503555300099-1.77486651295082e-06i,0.0655291796590334-6.83951568442577e-06i,-0.00631206267008394+1.37069196183626e-05i,0.00893204821782216+1.5877160428221e-05i,0.00490020461637191+2.82797085609953e-06i,0.0373966968209424+4.73048849739613e-06i,-0.00159833204650342-1.65037143230267e-05i
0.105924104765318-1.02603650598686e-05i,-0.0370938121603788+1.24796640518625e-05i,0.00613479006824666+6.74435982613272e-06i,-0.000959687395305108-7.06089465237141e-05i,0.105305279121058+2.98403428442064e-05i,-0.175160551503755-5.03593522767177e-06i,0.0453803429304866+4.50313344962177e-05i
0.00184300205003792-3.42154888752024e-06i,0.0230701219819958-1.63457373929969e-06i,0.0191899618221823+2.83641748076691e-06i,-0.0496200993534848-5.23753691472737e-05i,0.0517215132127617+2.00859785177504e-05i,-0.0210124741824301-1.72930431365805e-05i,0.0242204414364521+4.89354034032445e-05i
-0.0283499118790363-1.80039687979539e-06i,0.0130316721897098-8.92521868398701e-06i,0.043634674752134-1.43218754544896e-07i,-0.0449001946216537-6.08989311725396e-05i,0.115900271042652+2.30015416187242e-05i,0.0329779507347322-2.66164928237596e-05i,0.0422871418215113+6.78554618937272e-05i
0.14116411396417-5.26010012905988e-06i,0.132252772434161-6.69730193458016e-06i,0.144718856369215+9.36702200106066e-06i,0.108813396524546-2.14489699324216e-05i,0.107020872315147+2.17164682348002e-05i,0.00763323375450725+5.5984141339385e-06i,0.156049601220618+6.20329052996836e-07i
0.021275990754754-7.2543794607117e-07i,-0.0110685678693209+1.72873205572474e-05i,8.77591440956027e-07+4.96650193832018e-06i,0.0559365642342592+1.43796090083842e-05i,0.0483021949233381-1.62632280253419e-05i,0.0706987377209086-1.75133765363136e-05i,0.0529731693094903-1.22087984128709e-05i
0.0203846623339225+9.35544380436084e-07i,-0.0494556452509268-7.47912728758489e-06i,-0.0231285112970393+6.30469198116717e-06i,0.0350107782163127+3.21625011714502e-05i,-0.0203556545931105-1.18913722954799e-06i,-0.00484013565255175+1.70462870707964e-05i,-0.000195676634709354-3.21294623180038e-05i
-0.145864906946105+2.76480287999521e-06i,-0.0731772393071776+1.44600470916258e-05i,-0.116894754057714-6.89039690042637e-06i,-0.0793719233332901+2.20372939538123e-05i,-0.0689580669733462-2.15539426088086e-05i,0.00968635768459479-8.82084355362178e-06i,-0.128810381980891-5.87205349290929e-06i
-0.0754991297581606+6.74032024607552e-06i,-0.0561830506648416-1.0655191034313e-05i,-0.0788332189764394-1.73488666760888e-05i,-0.0665817016613422+1.87007091148502e-05i,-0.04871380702701-6.7957394287441e-06i,-0.0293046174303486+1.34884803740749e-05i,-0.122296549857796+1.9142071936118e-06i
-0.152105165491819-1.12365971877027e-06i,0.0177818799120343+1.07343322501397e-05i,-0.0693622877969285-1.61247626989378e-06i,-0.0520193587024642+4.14737886012021e-06i,0.0295709596607348-7.68059399504119e-06i,0.106496290092831-1.7283699473589e-05i,-0.0520451780344067+1.38430809122923e-05i
0.0912681560042531+3.88134271856478e-06i,0.0125608889410981+1.83421784015239e-06i,-0.0390036194434515+3.72689591887591e-06i,-0.0181896364221197+3.69744321926581e-05i,-0.082378550133725-1.3103111412317e-05i,-0.0602529796108881+1.36583323231098e-05i,-0.0723134377242931-3.92144511916554e-05i
0.10248049992952+1.57525512475536e-07i,-0.0390826065203613-1.42235284362391e-05i,0.0132082812272064+5.45818124632892e-06i,-0.00605586195777222-9.5680734048004e-06i,-0.0530014813279435+1.36627863579208e-05i,-0.0996077710917011+1.65877452941775e-05i,0.00803903446184052-4.38951964544136e-06i
-0.0846654838989203+1.11810347767143e-06i,-0.0184115569510761+5.24142158076964e-06i,-0.0506052355209612-4.96931424262706e-06i,-0.0485363961055295-6.97574291956843e-06i,0.0180060622144766-5.8166683057065e-06i,-0.00901170984621267-9.43214971929296e-06i,-0.0693057292968089+1.7475554157266e-05i
-0.0119273363625805+3.11198809130314e-06i,-0.0178056548520455-1.65746927205647e-05i,0.027478349985298-2.19224105314813e-06i,0.0245824539892488+1.93954705454035e-05i,-0.0048526128419076+7.46574776604344e-07i,0.0481002393952714+1.2473915598623e-05i,0.0141085459549064-1.0330185335706e-05i
-0.0232026362630618-3.26292581775944e-07i,0.0492046823270451-6.15570076787473e-06i,-0.00268785746886932-6.68978627595082e-06i,0.00780347351994647-1.06465440732332e-05i,0.012314058391219+5.98601309643445e-06i,-0.0168694294308158+3.27018984581464e-06i,0.00918956928856418+7.86014566126276e-06i
