-2.44591396116857-2.76242326581244e-05i,-0.553451499562809+3.86503626859297e-05i,-0.670272428671041-1.14186454469936e-05i,-0.547891420105786-0.000171875121832436i,-0.49380981338806+2.00260164785928e-05i,0.0461863007994512-0.000183293893917507i,-0.350985843489574+0.00028118200148745i
0.0360436391619534-6.78876920385527e-06i,-0.0824888635100947-1.78599166661504e-06i,-0.0422235596691982+2.65842330873794e-06i,-0.177382986924775-0.000101231215344038i,-0.0747326371648497+3.60670720215481e-05i,0.10141640058334-4.25281264965066e-05i,0.0876637025981354+8.45406451556467e-05i
-0.00082087494653373+3.71552986172885e-06i,-0.0394248348464733+8.77411334513265e-06i,-0.0157265837013565+1.07983186349354e-06i,0.0178649547415728+3.27170855187856e-05i,0.0513420355799024-1.4358638069439e-05i,0.0434082340090269-1.89305135967893e-06i,-0.0352720241278512-2.49192488993695e-05i
0.0173755283753865-2.16997750710208e-06i,0.0231309662796721+1.27697241864703e-05i,-0.0445906965543386+9.96356142341242e-06i,-0.145038002097342-5.07520614518858e-05i,-0.0343557516745603+9.09846217280465e-06i,0.0259655553504044-3.21518756568945e-05i,-0.0363556008506966+3.13736412557278e-05i
-0.0183115049220597-6.78006992100787e-06i,0.156918661113735-1.97715851860614e-05i,0.137322922640017+5.85992225335532e-06i,0.116619886637802-4.73110091917465e-05i,-0.148127900294171+3.4970470245619e-05i,0.0337363514057393+2.75730606810639e-05i,0.278803506849645-3.12729283397258e-05i
-0.00957064994881598+1.12598780833635e-05i,-0.0725605197320735-6.43890379744479e-06i,-0.00425138699739592-6.92877272964907e-06i,0.0967581767685229+0.00010774132596956i,0.0421261942200551-3.32059349587898e-05i,0.0634693297565944+2.85699268376909e-05i,-0.0753264369365512-8.07695710145551e-05i
0.00118577401778634+1.14633263633824e-05i,-0.0216294104079329-1.12081159854023e-07i,0.0078797054977422-9.16549787733188e-06i,0.00833443122196579+0.000117851120121966i,-0.00166284207062209-4.04124940162201e-05i,0.115600559371182+1.35640971897315e-05i,-0.153058803513162-6.92167450996941e-05i
-0.0321380172344136+1.18440889517148e-05i,0.201001682351039+9.06569133251494e-08i,0.126361434912305-3.10975769168321e-07i,0.137892281000092+3.93530725569785e-05i,0.166016265353515-2.55540417846865e-05i,0.215785929783588+7.34738458006022e-06i,0.0917841783759411-3.82313129028296e-05i
0.0106994797122724+4.52164580099239e-07i,-0.0342778064625824-1.29529172303762e-05i,0.0688469428063498-1.55556290403971e-05i,-0.0684426449297482-4.20080214873504e-05i,0.0356047340892825+1.15054342894217e-05i,0.0803381116034941-2.0098081851117e-05i,0.0293883390902942+8.65866312732849e-05i
0.00445697145532123-8.34691955684767e-06i,0.0344582604228933+5.2126509991819e-06i,0.0425664450270726+1.13200784917668e-05i,-0.0589366132547664-9.81975697476567e-05i,-0.0438456883216725+3.55552157717918e-05i,-0.0403227534970712-2.2125810599083e-05i,0.123367578423767+4.24434903832395e-05i
0.0380455721339108-1.30092189522017e-05i,-0.0661662707944731+1.2908438904574e-06i,-0.144929415504667-2.83938108932958e-06i,-0.212686971611909-7.93986214065387e-05i,-0.18734763569308+3.4055500983456e-05i,-0.169247683118555-2.25790436299961e-05i,-0.0847413728650215+7.61492965394668e-05i
0.0316906057686503-1.2487287116757e-05i,-0.120353734031998+1.21802831957744e-05i,-0.0604381409987944+5.42719675531501e-06i,-0.0980100576874985-4.9038842551607e-05i,-0.141334123085071+3.10175214009519e-05i,-0.13185618110113-1.18012760103716e-05i,0.00932173797644946+1.21953311596294e-05i
0.0479415051176854-4.7076340875844e-06i,-0.035359248612961+1.1353690601261e-05i,-0.224764196109401-2.71200084247187e-06i,-0.261980699991123-5.49980981566849e-05i,-0.0913759046348373+1.15222007628486e-05i,0.00364309014412734-4.20216462828185e-05i,-0.147311987826567+7.04221932469972e-05i
-0.00370042449251382-3.55922268444437e-06i,0.0171843311039052+7.70964210634737e-07i,0.0620780669213907+7.50721715836427e-06i,0.179151396372102+2.15882658387565e-05i,0.0174480811559662+2.24189197604061e-06i,-0.156431614557833+3.73423302645904e-05i,0.0856868996538988-6.24204548900797e-05i
-0.0351398789682784+2.5226101393284e-06i,0.0243935426422836-6.39497557122451e-06i,0.115573570645478+1.02385835365378e-05i,0.223839315092088+5.15685145630381e-05i,0.0442768230069851-7.60076225667325e-06i,-0.0772720412717056+4.28705238547691e-05i,0.098005141884838-9.20349272975528e-05i
0.0268370849025841-7.09216363240603e-06i,-0.0649179562618001+6.08590257059639e-06i,-0.0148783382651476-3.72169058013707e-06i,-0.137969418592084-2.82429253025792e-05i,-0.153767019839464+1.78283736095547e-05i,-0.0373881105888592-1.62056276489514e-05i,-0.0413037299982818+2.8612573611396e-05i
0.00998916604686749-1.4049133539063e-06i,-0.0982268673234181+7.05548352396562e-06i,-0.0201568611139024+6.90626330781395e-06i,-0.0598560454927536-3.89851816173979e-05i,0.0446781733218996+1.03651077257688e-05i,0.0584105869105607-2.67674145811671e-05i,0.0337482261982165+3.22132561720998e-05i
-0.00569140860972201+6.76367350592729e-07i,0.0669087018836949+6.98365891780995e-06i,0.0149340429739223-5.74929191043612e-06i,-0.0347438102576916+1.11514019866106e-05i,-0.0217016372711269-7.36284758036825e-06i,0.00371486554345724-2.20912051999154e-06i,-0.0550172154967595-4.66301358450758e-07i
0.0184946360009585-2.94638294058093e-06i,-0.0382422113972255-3.7531609850648e-06i,-0.0958589655657665-3.66647349937522e-06i,-0.206933834945841-9.77044651272487e-05i,0.0154416504981437+2.33277460568984e-05i,0.108928717674334-5.22484456158306e-05i,-0.0036266947234651+0.000122123584350184i
0.0124954795322199+1.67754535338014e-06i,-0.0182638607192598+1.33247616686029e-05i,0.00594883766275953+2.2182443302566e-06i,-0.0574887286566667-4.93431927348432e-06i,0.0534723455320322-5.73936561474081e-06i,0.0414065614339092-2.01767364283595e-05i,-0.046311068270608+1.11956622923085e-05i
0.00166446187553938+1.8039269207409e-06i,0.0652690894181717+9.08412658171989e-06i,-0.0392093120128744+1.25339368443821e-05i,0.0434822853944565+8.82015156613805e-06i,0.0397165180234171-7.45977612316382e-06i,0.0173798620900071+2.98077212633418e-06i,0.0169020161516377-4.00984787655503e-05i
0.0169642583919235-9.7324029296302e-06i,-0.0799479312371835+5.25956773525401e-07i,0.0680452870657796+1.01045448207905e-05i,0.00987518960680955-5.37829449770548e-05i,-0.0937147147568821+3.34048290884617e-05i,-0.0338900375001382-1.5550891396462e-06i,0.160563536706842+6.05303183003698e-07i
-0.020976745894005+6.04211695989466e-06i,0.0380033281335985+2.55628189345587e-06i,0.0328011647228541+6.8916680282653e-06i,0.0885508464985156+4.3313930423626e-05i,0.0958551693782478-2.09963246910076e-05i,0.0872567481134204+6.93986466743457e-06i,0.0128197075223613-4.0804708461586e-05i
-0.00836493986842989-6.09501267513992e-07i,-0.0126759938903661-2.99864507448025e-06i,-0.0187007303531352+1.34191447056064e-06i,0.041500984841814+2.02733442377454e-05i,-0.00591691605847583-3.9887240931599e-06i,-0.0851277677273402+1.45204551357286e-05i,-0.0302966163352428-1.99103255922827e-05i
-0.00953590575745568+2.73500517355657e-06i,-0.0614362231207984+2.16969512071258e-06i,0.0403997638035922-2.05574886776229e-06i,0.0499822995404539+3.06317812921174e-05i,0.0269191773899975-9.6477610553231e-06i,0.00263917385295874+6.81979418905807e-06i,-0.00512966851085328-2.0967520235393e-05i
0.0237228935256865-3.36069851540042e-06i,0.060144561988902+8.06031729593234e-07i,-0.0373000953795163-6.83424193418294e-06i,-0.0760571444746103-3.52632171254402e-05i,-0.0377992850626786+1.08821503120946e-05i,0.021520638312792-1.26239332852663e-05i,0.00163651532854148+4.27008369789112e-05i
0.00792410997572765-4.00400040970455e-06i,0.0164274236377498+1.37088597109263e-05i,-0.0365966701681611+1.11767445119696e-05i,-0.0164677354592562-6.34994951739294e-05i,0.0526868477784262+1.8302480678191e-05i,0.0300586820630491-2.20817944295847e-05i,0.102046908936246+1.85571449545641e-05i
0.00727806776900968-2.71815302888799e-06i,0.041309833776513-6.75130887781363e-06i,0.0418239738408654-6.69005520344022e-06i,-0.0224073667804133-2.95464985760781e-05i,-0.0617354220021122+1.4212786630172e-05i,-0.00417214986214606+7.89526512899031e-07i,0.0483044374748959+2.55010451746323e-05i
0.0261685738709411-7.40986505488315e-06i,0.072396041776228-3.00860609127732e-06i,0.0132966622818842+5.91832472445979e-06i,-0.109386261378271-8.06130699802536e-05i,-0.108528100885599+3.14449931335702e-05i,-0.0350084101778593-1.68113765913141e-05i,0.0579684853168832+4.43637176365786e-05i
0.00459957947782636-5.88433485675769e-06i,0.0459407791720098-1.56149764561577e-06i,0.00734512688012435+1.21821579852292e-05i,-0.0248256616165621-5.41240165616492e-05i,-0.0647962288607847+2.13424223361116e-05i,-0.0447108613783797-5.07140183748316e-06i,0.0752754351180755+1.28588260047815e-05i
-0.0144034851686306+4.91516237925439e-06i,0.0397296741731663+7.60369463144686e-06i,0.0285247290970372+1.66736783999257e-06i,0.0126283544453781+3.35805488181372e-05i,0.00666408205373828-1.6374617854176e-05i,0.00961708637704684+3.92647383673352e-06i,-0.0561777266219973-3.28399035887495e-05i
-0.00344120556827831-1.42033261698915e-07i,0.0157667090618408+4.16594329567349e-09i,-0.0578500912433167+1.69705667191573e-05i,-0.0196496000530641-2.13919959690046e-05i,-0.0141520750734481+2.34924838355836e-06i,-0.0130163852563315-4.76001508017719e-06i,0.00599857227204554-8.3104788478517e-06i
-0.00277195027274205-1.61542846105128e-06i,-0.0802174730723515-6.07994780487602e-06i,-0.0136355988449196+5.09209896862058e-06i,0.0400796952812427-7.08077117014144e-06i,0.0181527513459693+4.84650334928514e-06i,-0.0264063984674941+5.50094346692087e-06i,0.0434777185277917+3.41830244560625e-06i
-0.00918781204470776+1.19740479514202e-06i,-0.0338924415216414+4.98806620798644e-06i,-0.0535741486203274+7.91678565085262e-06i,0.0177849818849883+8.59627844911899e-06i,0.0283325894057007-3.25784254669903e-06i,0.00445496878792215-1.07098951048626e-06i,-0.00392134863999956-2.56288311013589e-05i
-0.00071769160026933+3.99391236142676e-07i,0.0409994543793436+9.31991022663358e-07i,-0.0252109287148709+5.66965760426197e-06i,0.0612541909335026-2.40652572942262e-07i,0.0423963748690168+6.26449334040508e-07i,0.00190046490608823+8.0264403510289e-06i,0.0511967812539808-2.53384930103619e-05i
0.00284373257901949+2.38253265053944e-06i,-0.0219745448025048+4.8067301566449e-06i,-0.00589734553655586+3.51047429304986e-06i,0.0190158349118968+2.92727483524582e-05i,0.0044756853515091-6.2487651557819e-06i,0.041992291966809+3.73573642541311e-06i,-0.00451621003462182-4.22412938239751e-05i
0.00811187120571423+3.29095226578497e-06i,-0.115430268394453-4.63843332228162e-06i,-0.00849550629030824-1.24615924684831e-05i,0.0274412852759112+5.62620291307318e-05i,0.00703449376758036-1.07106374353786e-05i,0.0301877209200279+1.08169883486521e-05i,-0.0474472853387681-2.25219902219001e-05i
-0.00958053859217021+3.62991385055151e-06i,0.033193032564045+4.51020230648255e-06i,0.0139033740571033-8.89640872059746e-06i,0.0182737037808253+3.36689577178281e-05i,0.0676059053153513-2.00815735408234e-05i,0.0126655150263794+2.29288249164077e-06i,-0.069822503675917+5.10357052561443e-06i
0.0137376796978193-4.98428622563281e-06i,-0.028074078211673+3.02573446207578e-06i,0.0356173667183206-5.14239962784767e-06i,-0.0774061784156581-2.96608983090033e-05i,-0.0781694643335862+1.59944431483406e-05i,-0.033668529575115-1.13200830909316e-05i,-0.000752306824637432+2.87724478989153e-05i
0.00776266748383008-5.7248025538748e-06i,-0.00325269241369273-2.67135942999677e-06i,-0.0344179711784861+2.12301258620042e-06i,-0.0363862976266046-4.79842223598771e-05i,-0.0359335538626356+1.65549807771259e-05i,-0.0504705456045512-6.3366586922978e-06i,0.0369342673909024+3.94010178538858e-05i
-0.0216139210301818+9.13467889178747e-06i,-0.0120089724025294+7.35478414478179e-06i,0.0619078931244756+2.15920512099368e-06i,0.108589330452993+0.000106587997450471i,0.0545893840892658-3.9317239598294e-05i,-0.0371763075311211+2.67426510717477e-05i,-0.11603792048156-8.90643447221576e-05i
-0.00119913576475968-2.5895248033785e-07i,-0.0338717278870921-1.75745947128991e-06i,-0.0799376079396265+5.97448044597042e-06i,-0.0322734266368429-3.28236144103182e-05i,0.051964179370833+5.90726145951052e-06i,0.0211715561719159-1.46216029955886e-05i,0.012417873829156+2.85036235483795e-05i
