-2.27590407784554-2.98378047476371e-05i,-0.453875679333974+6.06978167591869e-06i,-0.582811619601753-2.16824336938306e-05i,-0.718953094329492+3.03273193046636e-07i,-0.481752523683686-4.34710980106591e-05i,-0.167626200406017-0.000116779737086132i,-0.587578323611605+0.000111381167012362i
0.0133436374224564+4.63084135381122e-07i,-0.050916498584193+7.20075130511216e-06i,-0.0293900035826008-2.67964464441487e-07i,-0.103305842278917-5.09418270178159e-05i,-0.0998118792184751+2.11976981152128e-05i,0.0893493205694355-2.7055306125011e-05i,0.0399597710563634+3.14029325431992e-05i
0.00792646503574643+2.00723914613275e-06i,-0.0294000101602132+6.26279576894263e-06i,-0.00189878875016759+1.6895883703211e-06i,0.00470472303488597+2.59048737870433e-05i,0.0187901694078215-1.48876933324302e-05i,0.0332329043769301-9.37693537882342e-07i,-0.0298649615183207-1.57140484303958e-05i
0.00804061649916647+4.0613387538347e-06i,-0.00953821084931335+1.49024146338585e-05i,-0.0109072441463245+6.24362989269708e-07i,-0.115271332042984-5.62922777613449e-05i,-0.00330986593762877+5.96056857760713e-06i,-0.0102407066446376-2.95059668343059e-05i,-0.031285184297488+4.00908231758206e-05i
-0.0139995324096542-1.09571027447884e-06i,0.112433031861149-2.56707547172077e-06i,0.0555325146822437+8.22454336377014e-06i,0.20647623888029+0.000138307969554554i,-0.296162283236081-1.38204327000804e-05i,0.270953148699469+4.47005004716434e-05i,0.11431217931794-0.000156992842032316i
0.0154164163841314+1.21870886547163e-06i,-0.0592259436398364-2.30863023156229e-06i,-0.0386439897232461-8.67332258347033e-07i,0.142979365670037+0.00017762876473672i,-0.0926209312318415-4.9826448581402e-05i,0.121328544739618+4.63462124354409e-05i,-0.090800450113409-0.000130746720832338i
0.0276514038803323-1.96512739161448e-07i,-0.0239749354072422+5.19581925988465e-06i,-0.0366582058419772-1.98791291084017e-06i,0.0922755244743552+0.000212765404467221i,-0.170213537738768-6.29726930911355e-05i,0.174273727846093+4.50488337040998e-05i,-0.156771764433396-0.000149256796144373i
0.0157425662732561+8.41457772580789e-06i,0.153993375045646+7.98314225525415e-06i,0.0565730392813262+1.33102482760094e-06i,0.0512758172052957+6.84313272790057e-05i,0.110327682593169-2.9065135874182e-05i,0.304983959379089-1.07922042217564e-05i,-0.0147728695762046-2.84077455876547e-05i
0.0114681113827674-8.11194108902863e-07i,-0.00959638070654727-1.11984929480402e-05i,0.0898612099002866-1.7948328433429e-05i,-0.111546191419218-6.14708916997481e-05i,0.0579771066216064+2.34127882418107e-05i,0.0379594410078889-2.16264329140908e-05i,0.00244271828953127+9.33296992068671e-05i
-0.0142769566995594+2.81937353127646e-06i,0.0370409209448534+9.15948153436985e-06i,0.0565686476032289+2.83841384085319e-06i,-0.0804420176602337-0.000126571764627728i,0.0336217955181614+3.33876834232805e-05i,-0.0523069400542892-3.53559744738707e-05i,0.0919938772131497+7.46589886399821e-05i
-0.00888285507407495-7.53411158912635e-06i,-0.0705428141791213-6.71889274986159e-06i,-0.0771238804297646-4.01888329221383e-06i,-0.107164055346696-8.45886901569396e-05i,-0.126111298585122+3.51728004352084e-05i,-0.242215091638639-1.67789347565642e-06i,0.00296293931705788+4.76449715921766e-05i
-0.00357944839036936-4.92217867279437e-06i,-0.0998215270746625+9.75647516015849e-06i,-0.0279783273195001+9.07819314067873e-06i,-0.0176074626643018-5.14605211517099e-05i,-0.128469795935322+2.30137476462479e-05i,-0.155275751951174-2.22517389705719e-06i,0.0604225649248006-6.34729961035783e-06i
0.0240023806808079-2.53609787914216e-06i,-0.057417533167271+4.60692999754335e-06i,-0.151058784839557-2.88805095120101e-06i,-0.147730716851103-3.531864879555e-05i,-0.0973029763738206+7.96788840695431e-06i,-0.0861490848694225-1.30921560808519e-05i,-0.0811569558389881+2.84032580203827e-05i
-0.0014315445673651-1.60486317932407e-06i,0.00263611383682851-3.84936806116073e-06i,0.0631450596386063+5.91401771961321e-06i,0.113236166219099-4.88425605859203e-05i,0.0698709762416588+1.93599526974603e-05i,-0.143722974641687+1.21563597741488e-05i,0.114307516224517+8.44494951466731e-06i
-0.0212125512938938+2.52516899061691e-06i,0.0372199454935229-7.81734592514467e-07i,0.0641498356795345+9.36461954031376e-06i,0.165638309842435+4.12519055259304e-05i,0.0471957105946225-1.19204943188128e-05i,-0.00691947539437898+2.26386118576155e-05i,0.0635402174404421-5.87024031725191e-05i
0.0035683462459312-4.86603814129751e-06i,-0.0699242781483137+4.43315599511632e-06i,0.00450993352377079-3.27730841127656e-06i,-0.0380800063459254+1.7849067812393e-05i,-0.187528088776248+6.20801422423441e-06i,-0.033522876821527+7.47647812423044e-06i,-0.0158512012655752-2.71392326381039e-05i
0.00108860868414524+2.86728452536516e-06i,-0.0469056402119636+9.56831647565562e-06i,-0.0129918945748317+3.93216614783504e-06i,-0.0842249518158355-8.1075541580451e-05i,0.0857171729319176+1.53580349367639e-05i,-0.00230162520572624-3.45669272574595e-05i,0.0325817625844208+6.19498615141263e-05i
0.00159427839206455-8.51045773756163e-07i,0.0221423742226864+7.21967408224823e-06i,0.0167144660235234-6.48416226357356e-07i,-0.0172541786765243+3.69950428508513e-05i,-0.043488764565576-1.27204411450763e-05i,0.0322556999533755+1.62215521969339e-06i,-0.0548261871569127-2.24130317909989e-05i
0.00332966258915783+1.52844038589386e-06i,0.00450540771711517-1.19389889395988e-06i,-0.0690909604487346-6.00250000895579e-06i,-0.201459270142935-0.000108871281971243i,0.0628605629751553+2.53070997362476e-05i,0.0220166958686037-4.53376624632289e-05i,-0.0182739779049989+0.000111110828581742i
0.0171592067069972+2.90349572019611e-06i,-0.0178825133098979+1.31822679108041e-05i,0.0338862967515484-1.24623227227919e-06i,-0.0958024973654934-5.97405473641174e-05i,0.0858855807223493+5.10544107961239e-06i,-0.0209631267058438-2.97961290442326e-05i,-0.0259040381749334+5.76077047249511e-05i
0.00913189829373435+3.45260977906702e-06i,0.047080238685321+9.01150644405818e-06i,-0.0392510227496041+7.07296257710438e-06i,0.0301225222030516-4.31229759020329e-06i,0.0410881496394511-6.98473239524737e-06i,0.0143697849892866-3.28076039484134e-06i,0.0151664922160859-1.42921549776978e-05i
-0.00387209078536012-2.09214396537714e-06i,-0.0577987739990752+6.84469776473474e-06i,0.0342040355349621+6.72138880923777e-06i,0.0494590255858871-3.48800236116534e-05i,-0.101465152215673+2.49902924479808e-05i,0.0173621925204791-3.20913041580427e-06i,0.134861887451625-1.44079320468067e-05i
-0.000286478554559441+3.91920328821951e-06i,0.0386586357008031+5.52160357455867e-06i,0.00033351847627401+5.65731091657698e-06i,0.0386284724033633+4.16141543744113e-05i,0.0733404604103056-2.15351812864424e-05i,0.11417157353036-2.97376335509888e-06i,-0.0159940240403365-2.50601946603876e-05i
-0.0102734989021057-1.32676412089063e-06i,-0.00684493721572135-7.42399619243293e-06i,-0.0118602065928231+2.10490209413424e-06i,0.0317375894404436+1.59478057830973e-06i,0.0115215673665056-6.93103002377573e-07i,-0.0919864023474976+1.25339420374857e-05i,-0.00220192951865048-5.75446272109231e-06i
-0.00506635697649138+6.55656601342599e-07i,-0.0366347358435605-5.64982973568463e-07i,0.0307891265940567-1.78952222886153e-06i,0.0297175434827711+1.86866612876545e-05i,0.0166934369155175-6.24969824694023e-06i,0.00408494995081745+5.03034435037627e-06i,-0.0023084862188295-9.29825525944236e-06i
0.0199887324433553-3.39855189794397e-06i,0.033104290361718-1.51900162180802e-06i,-0.0310867221993869-2.84706135969142e-06i,-0.049787549430856-2.80058857959547e-05i,-0.0493601585531078+1.47853890533003e-05i,0.0182529345034584-6.01548294052673e-06i,0.0152304684661326+2.55571453077696e-05i
0.00310227337289342+4.98439924186673e-06i,0.0209565051379651+1.26035400383281e-05i,0.000266582834198401+7.06011234136611e-06i,-0.0584458405982367-0.000102822055891773i,0.0943228667862557+2.11181684160857e-05i,-0.00584303328561459-3.66598816624727e-05i,0.074712743461916+6.15430078076583e-05i
-0.001083054862068-2.12078328369747e-06i,0.0408382766555997-7.00837847661153e-06i,0.0209759045661916-5.44991000020848e-06i,0.0100874047247161+2.75839140071685e-06i,-0.060031029383907+9.91793259418656e-06i,0.0166109597053124+7.99263299716249e-06i,0.0251746103680344-3.76635066730188e-06i
0.00535294032462257-4.94550247699667e-08i,0.0422492354673473+6.46417175441796e-07i,0.00803846496201846-3.17611438588855e-06i,-0.0589994467042706-7.49941095941258e-05i,-0.0543367783266371+2.98205980156733e-05i,-0.0438919600952714-1.42269746923348e-05i,0.0538701417251734+4.07951715264533e-05i
-0.00871909882468019+1.51143810164703e-07i,0.0293861412907771+3.83559427691441e-06i,0.0149767696792043+4.12126630060913e-06i,-0.014904169502239-5.03636953312466e-05i,-0.0303827673193855+1.65283771909371e-05i,-0.028553651230328-9.27546928547669e-06i,0.0584225485194294+1.65099253492059e-05i
-0.00728924059141602+2.58847503951126e-06i,0.0317318312301563+5.75882825900855e-06i,0.0012597577051613+1.51115348132073e-08i,0.015886412329943+4.10757945985548e-05i,0.00967826662841984-1.97912297910416e-05i,0.0202431216455636+5.70444769606654e-06i,-0.0557888188414652-2.88028153523157e-05i
