-2.45719915089996-4.5552135802261e-05i,-0.216053019548788-1.85621537982125e-05i,-0.313860185303303-1.09151375688386e-05i,-0.60079136388265+3.05161075357135e-05i,-0.164607824112654-8.69547701531598e-05i,-0.298500805869149-4.47588459113777e-05i,-0.49569881773497+6.78746666977309e-05i
0.00217288206606493+3.18876719818401e-06i,-0.027079284424899+8.17409296215335e-06i,-0.0253474063454316-1.52789832726382e-06i,-0.0572477443938925-2.71770109177468e-05i,-0.0772230709768624+1.09462374347816e-05i,0.0299725314264263-1.38214921341501e-05i,0.00536447208577549+1.36453672805004e-05i
0.0148961696558818-1.98317430669796e-07i,-0.0269319384576422+6.23273945402266e-06i,0.00531980060524276+1.27675995569104e-06i,-0.00198129699536353+1.36368496906129e-05i,-0.0027969109421044-9.57451174098719e-06i,0.0160670932536457-9.84030087378886e-07i,-0.0212903945722797-6.29011054909682e-06i
0.00396945412268269+2.41682503977231e-06i,-0.0429514300288911+1.64029219870564e-05i,-0.00731586728975326-5.82156119705379e-06i,-0.0600805430203395-3.58653434330177e-05i,-0.0131714784676386+1.89453743173478e-06i,-0.027751951169524-1.39709706505771e-05i,-0.0261742666787829+2.92528320332931e-05i
-0.012998875729075+1.11803990522843e-05i,0.102105774189712-6.94493056751706e-06i,0.0736815148764004-3.62289815211588e-06i,0.0892885899317195+9.67683581349771e-05i,-0.145846095629989-1.97224751494511e-05i,0.263140363256222+7.68651923105689e-06i,0.0500759213139812-8.97166834032067e-05i
0.0143956780256006-4.16852353503303e-07i,-0.0368296921498027-5.0610895085249e-06i,-0.0219662379397553-1.79839994693566e-06i,0.0867649267535108+0.000107936059258488i,-0.0607178568349109-3.09049245653761e-05i,0.071522241142279+2.32264677274934e-05i,-0.0479276235856909-7.96385390017983e-05i
0.0273253173528795-1.5415257901288e-06i,-0.0123588357045836+1.37386136074359e-06i,-0.0355554731155416-1.36216202252389e-06i,0.0564916710859186+0.000124999789761917i,-0.121815837758717-3.89826247327889e-05i,0.0844054452989959+2.58221596832887e-05i,-0.088207925002449-9.15632408294149e-05i
0.120458519373059+6.16879609170476e-06i,0.0746356950422255+1.34666661726702e-05i,0.00132267495771609-1.24086504790337e-06i,-0.0344727981554786+4.88895908477359e-05i,0.0432114891048336-2.03825371747544e-05i,0.259576260248218-1.87681155861775e-05i,-0.0714882805449654-3.33912029629322e-06i
0.038785747194174-3.96995562077095e-06i,0.00672493629677974-1.43400260740235e-05i,0.0477246234490627-1.07370815225647e-05i,-0.0831428747920201-2.72564376214484e-05i,0.00582646277592995+2.06326355431673e-05i,0.0158577591846327-2.34892418327265e-06i,-0.033007883545627+5.22586842088737e-05i
-0.0123296921032463+4.17469452545117e-06i,0.0378244049012236+1.36947238411984e-05i,0.0395038867455129-1.4577733369786e-06i,-0.0505985954104108-7.14817766380227e-05i,0.0242259248217802+1.43275936179167e-05i,-0.0168426302265163-2.09312062544145e-05i,0.0370069841544164+4.63707771137238e-05i
-0.0944724817612273-5.40304537167955e-06i,-0.0466941682094678-1.46774301224058e-05i,-0.0197008035248961+5.16254846043695e-07i,-0.007281842589495-5.35822259674694e-05i,-0.0640773360263054+2.32998014804251e-05i,-0.215318301691532+1.38755521577204e-05i,0.0467393641492133+1.56808950645078e-05i
