-2.15056992893148-0.000121632173432932i,0.1927304782552+1.33187735707127e-05i,0.281942921258236+1.6645359983945e-06i,0.276649611487105-0.000105830645815258i,0.24420834476841+0.000123226238513093i,0.229589366324517-2.70831998165589e-06i,0.295977423810351+1.42124606077041e-05i
-0.00569538484052652+3.27098467578104e-06i,0.00593624212031877-8.6451681734593e-06i,0.0318252172598988+9.1988983276537e-06i,0.0537467737043934+3.03586605924283e-05i,0.0751710255490979-7.18540385398794e-06i,-0.0373270176870071+2.0180678189424e-05i,0.0184754757844233-2.07917482560593e-05i
0.00466528813034733-1.30468392356066e-06i,0.018248746100705-6.41148736778474e-06i,-0.0150454765106046+1.21240831125601e-06i,0.0141772730068424-7.18896620273874e-06i,0.0061717109684808+1.81988161243437e-06i,-0.0297755108115184+5.15752743255822e-06i,0.0175953235796698-5.92932299326794e-06i
-0.00296325578702196+2.13725970938177e-06i,0.0571427343595275-1.58846145819447e-05i,0.0163138125522344+1.51023956388131e-05i,0.0535394346559909+3.05371395147088e-05i,0.0232774909359111+5.81881145501352e-06i,0.00510236409726459+1.50949365233603e-05i,0.0471327688117157-3.53767407901422e-05i
-0.00126780681187776+8.39210481799222e-06i,-0.086487512989778+9.22584084929266e-06i,-0.100766898309989+8.99512960165983e-06i,-0.0693254054335784-3.39897736225859e-05i,0.0604582846654785-2.01619010517746e-05i,-0.199950383759361+1.0298651472461e-05i,-0.124955231520939+4.78087466508577e-05i
0.003273276442251-8.8538911446723e-07i,0.0209983962253349+5.19137589058225e-06i,0.00541432817693872-7.69903941177278e-07i,-0.0617628311315027-9.78569106951839e-05i,0.0342666569972475+1.00218079411008e-05i,-0.0587591339141919-2.09047346183958e-05i,0.0243917726344765+6.40805999312025e-05i
-0.000931829936805456-1.63974124314624e-06i,0.00389538193366933-1.04260389357941e-06i,0.0385485870816301+3.42893401113883e-06i,-0.0228182520539801-9.35666773053846e-05i,0.0767620495331974+9.28540893461373e-06i,-0.0948277386156729-1.57405469219022e-05i,0.0438526636129111+5.33225542341016e-05i
0.10855147154808+8.46032618578312e-06i,-0.0406942645206226-1.18953386699384e-05i,0.0157427529877916+7.85690412365294e-06i,0.0851355629114644-2.53797192395086e-06i,-0.0593626936202605+1.94275898255131e-06i,-0.285660738054678+3.13755409420512e-05i,0.0207712941582629-3.77265231346969e-05i
0.0174527935650183+1.7148715757931e-06i,-0.0341109608204909+2.06167302558922e-05i,-0.0252704549374609+6.85873284031266e-06i,0.0866158357008255+2.42856958530122e-05i,0.00805838931578289-1.3730437786333e-05i,-0.0458994490326773+9.3238144219387e-06i,0.0383151783692578-4.51229773060486e-05i
-0.0013932185872506+2.68886330922959e-06i,-0.031890948588149-1.30920744867296e-05i,-0.0294061325954861+5.20321990880603e-06i,0.0302255955816668+6.51497218439697e-05i,-0.00886782246532941-9.92548188290189e-07i,0.0144614761622705+1.87800660600227e-05i,-0.0187944335124346-3.8483048534651e-05i
-0.0704545474977189-4.1853071560428e-06i,0.0534163327878752+1.34608925301778e-05i,0.0202880820959733-5.16108671506793e-06i,-0.0343821848289816+1.63570065505507e-05i,0.0792774325416476-1.99178438315068e-06i,0.233971678706868-2.17297454882945e-05i,0.00678983949307279+1.7401173837026e-05i
-0.0460453466791151-1.80953807445063e-06i,0.0375779966204202-1.44482869622044e-05i,-0.0152192218134021-1.24077979485311e-05i,-0.0563580759305285+2.62954819727262e-05i,0.0749626113800823-1.53071330580416e-06i,0.158455411647527-2.29795238396213e-06i,-0.0427478496331423+2.79591390485544e-05i
-0.0283929571844039-7.67712678181119e-07i,0.0929066448463742+4.31166200185992e-06i,0.0838715565151529+6.56114514355465e-06i,0.0358858584301128-4.04666871667343e-06i,0.105429600150545+1.0321618529569e-05i,0.113031927149555-9.19637583430144e-06i,0.0844549545501375-1.2981186846537e-06i
-0.000413261352380442+6.11824671064762e-07i,-0.00327280574314638+5.64355115223335e-06i,-0.100545696413398-4.5519159215386e-06i,-0.0819388478850905+4.09079766617669e-05i,-0.0601217135866888-1.4795948439657e-05i,0.0684435966282304-3.85037478671971e-06i,-0.115972125981453-6.04077042213115e-06i
0.00793059354472765+3.20198241985204e-07i,-0.0616352279756296-9.52161158204608e-06i,-0.0532508382855492-7.22643544673841e-06i,-0.090755348787989-1.91102899329573e-05i,-0.0743897867261549+5.97650607825885e-06i,-0.0181914550394293-7.72224995117473e-06i,-0.0707228887316674+3.45251353508209e-05i
-0.0361001892153269-1.3694053708117e-06i,0.0350796061753072+3.14937598003639e-06i,-0.00742046000802278+3.53371664917343e-06i,-0.0119163327184786+2.12749456912657e-06i,0.0874833086552802-1.16002485337714e-05i,0.0768255189976461-3.28166961701643e-06i,-0.0110492303195621+1.35393799369445e-05i
0.00670390124379147-4.85446988404335e-07i,0.000941948902030628-1.92798133538423e-05i,0.0413683157053659+1.77836962618156e-06i,0.0453375144898967+4.48427479568618e-05i,-0.018474187110626+1.48577797727111e-06i,0.00165848697538745+1.73146626186887e-05i,0.0169052169437656-3.50523584974794e-05i
-0.00253857701492471+5.61818221411664e-07i,0.0305912723881019-6.89372372935205e-06i,-0.00774791948509023-6.12967564407477e-06i,0.014220592904776-1.65124754459114e-05i,0.0208365950421906+5.06195866187544e-06i,-0.0370900112352735+6.61922799879095e-06i,0.0191842361924504+1.2312957619616e-05i
0.00794632855056762+6.30030610160818e-07i,-0.0162519671107803-2.02968400187681e-06i,0.105127491590507+1.72046197802427e-06i,0.114385809443467+3.18956147144886e-05i,0.0304082290978661+1.02648910781563e-05i,-0.00180009158288643+1.1495481705986e-05i,0.0992810268756877-3.95089070774294e-05i
0.0135452364727541-7.25820063557013e-07i,0.0200500752606865-1.69815278414464e-05i,-0.00246856052908446+4.88859241505389e-06i,0.0624525695025338+3.86796847584224e-05i,-0.0044280877425646+4.13606931175275e-06i,-0.00745431061941053+1.52319790192367e-05i,0.0355774175200102-4.39286116957432e-05i
0.0146055999190503+1.04074892900804e-06i,-0.00115721572741656-8.84906928651721e-06i,0.00534339626120148+1.02020402684855e-05i,-0.00067642362005381+1.9042891654773e-05i,-0.0233971334783376+2.21240573613382e-06i,-0.0285125624773689+4.69109420001532e-06i,-0.0168589415256207-2.07747402157665e-05i
-0.0108635278190939+2.37935082576437e-06i,0.00111732816151422-7.96048918299095e-06i,-0.0307815575179908+4.97954636223381e-06i,-0.0433218192050797+4.69812739192275e-05i,0.0151284529265574-2.15392533895691e-05i,0.00216417935243106+1.42241770070346e-05i,-0.106912094615083-5.22084078190381e-06i
0.0250984545793512+3.43652316279038e-07i,-0.0188539120152863-1.28154566569507e-05i,0.0128350219452346+3.38589159517815e-06i,0.0215600487033413-6.17567075125407e-06i,-0.0505331438269287+2.23876351977312e-06i,-0.108187597930141+1.2398386694268e-05i,0.00188531437383238-1.16266481909786e-05i
