-6.99077088313638+5.55898848936427e-08i,0.493569747333352+1.24661569540522e-05i,0.558519970145508-1.10036212820283e-06i,0.557577493789571-0.000137018508502331i,0.471399910686542+6.00544043705422e-05i,0.334086593566257+1.81813829473396e-06i,0.719537621615821+6.38440233502249e-05i
0.253555352134855+7.65454455843302e-07i,0.0854153309149114-3.58684371764762e-06i,0.0319055653261821-8.60460688817096e-06i,0.0988198133227624+6.49038328479052e-05i,0.0593965307136703-3.0189595792244e-05i,-0.0299457891129898+1.55496128381071e-05i,-0.062707645096308-3.77649188774884e-05i
0.0291048808341128-4.79808307262439e-08i,0.0352230125175434-2.54498987170028e-06i,0.0110603292552442+1.13651857523112e-06i,-0.0319161848436225-4.51484081648722e-05i,-0.0350454668315964+2.06387857669427e-05i,-0.0367908422058738-4.86092766584606e-06i,0.0321765675035915+3.07826823233474e-05i
0.237487899030723+6.76234898096788e-06i,-0.0147370199404011-6.9506560161337e-06i,0.0248293364591308-1.92606716768312e-05i,0.0949805331423331+2.50135619113757e-05i,0.0422127215412135-1.42303320569806e-05i,0.022995971246831+5.43507502342874e-06i,0.033916050640052+1.28171316901057e-05i
-0.486290556037873+4.23077924518127e-06i,-0.129048843701959-4.73090102327046e-06i,-0.096284749260061-9.02639074608531e-06i,-0.0719656170017517+6.29692880780775e-05i,0.0746722066891762-3.78573957992677e-05i,-0.0865204702446487-3.91586138459305e-06i,-0.228450719912583-5.70936412722621e-06i
-0.0405910612543932-9.46949344122886e-07i,0.0386716105424296+1.31959360704825e-05i,3.82605972981679e-05+5.93079055710065e-06i,-0.09504726776914-0.00012450545084963i,-0.0169374980904615+4.95001256095885e-05i,-0.0795938877184686-2.10249911750932e-05i,0.0789406599281634+7.65566990761979e-05i
0.0920759479805485-2.64686582578355e-06i,0.0213105914699099+1.55761289265675e-05i,-0.0243203175324174+7.1748172042125e-06i,-0.0638240241128349-0.000166059528751701i,0.0178319630807789+6.64118936299328e-05i,-0.115195348387563-1.98036633691865e-05i,0.153986291702185+9.56594907713122e-05i
-0.572719344453641+3.44941233298101e-06i,-0.202758168852516-1.92485883354737e-06i,-0.133893767386126-8.0316185578701e-06i,-0.142747249593509-4.7920699410219e-06i,-0.141619690976472-6.49997134845667e-07i,-0.190481675777687-1.73174307592497e-06i,-0.156707577511192+1.85712473740929e-05i
-0.00089457606339344-7.45056310349134e-06i,0.0402145281141142+3.23143675904449e-06i,-0.0826487838301309+1.81076887635169e-05i,0.0346472733932598+4.25923686127577e-05i,-0.0355032331368817-1.51224456996229e-05i,-0.0370833695670254+1.89136329792668e-05i,-0.0445188600896734-7.0840047999394e-05i
-0.0515315421082561+5.26318491241047e-06i,-0.0051788568057265-9.39559839357269e-06i,-0.0379685720702136-1.45453137223873e-05i,0.0687719215043223+0.000110893881012949i,0.0134359831779624-5.3445235067262e-05i,0.0481787820798173+1.31997526645137e-05i,-0.119113134300932-4.45573089847821e-05i
0.578522100716601+3.52701143615685e-07i,0.0876463120050603-4.46265323891674e-06i,0.146038064386837+4.4733728258256e-06i,0.174480176722996+3.49981822973964e-05i,0.159539617721244-1.31750406141921e-05i,0.170612736108415+6.68339535503671e-06i,0.135119284320262-2.83956631971922e-05i
0.279875220980538+6.50402426756526e-07i,0.110913429317185-9.21241313187201e-06i,0.054460571612923+2.4841515005535e-06i,0.0977605872837552+2.82808939593893e-05i,0.109288680969021-1.32410153709925e-05i,0.115158662930075+3.1282450205325e-06i,0.0494978057821881-1.11658750014562e-05i
0.658972233152608+3.90350626497003e-06i,0.051669251286558-6.86131803554033e-06i,0.219128128460345-3.71457507343639e-06i,0.1358255220722-2.34585885789979e-05i,0.100003200072236+1.39106307807029e-05i,0.053271169143541+1.16696049484626e-06i,0.163244771379572+2.06036978629023e-05i
-0.396186925640749+1.29120934065809e-06i,-0.0420810006745888-7.76622936756062e-06i,-0.0431659752524266-1.8594191351722e-07i,-0.0749264358587267+5.15578635416626e-05i,-0.044278241002578-2.077836021212e-05i,0.0697623606477936-4.20171279781064e-06i,-0.106767507390342-1.81371075632188e-05i
-0.476718558130546+2.4131158379949e-06i,-0.0362767819923045+5.98105591194927e-06i,-0.0880189094148266-9.74558374684689e-06i,-0.112080315287568+1.46503793207631e-05i,-0.0597429718874568-1.25446941376393e-05i,0.00401621846098451-1.12302403375055e-05i,-0.117528550344266+1.38683804605509e-05i
0.310914799252128-2.27856930052645e-06i,0.0670845103752906-4.65547632850043e-06i,0.00658019332859456+5.7502847078102e-06i,0.0954710037864269-1.89937156415225e-05i,0.125113192134199+8.69358402617702e-06i,0.0415491524048026+3.90133459822814e-06i,0.0996339336370439+4.35226852861341e-06i
0.108755517080957+2.38795015825477e-08i,0.0889812359636583-7.9082406724467e-08i,0.00734503949250784-8.23099442114468e-06i,0.0364284828457316+3.42189097576228e-05i,-0.0286075101112756-1.55021438301133e-05i,-0.00957870778024797+8.92716619498509e-06i,-0.0372994201239841-1.93318247821904e-05i
0.0548659153564402+1.5963602574272e-06i,-0.0514254547410144-1.73056749159135e-07i,-0.0170498307434432+4.15228053111148e-06i,0.0173927484927842-2.53391191612064e-05i,0.0255715214221235+8.77245341901312e-06i,-0.000331095140190425-2.65714666974883e-06i,0.0544804557539721+1.59053022763962e-05i
0.364950816461737-7.02305774556169e-07i,0.0710730493680569+3.06426328303571e-06i,0.0806837970113241-1.67804143228639e-06i,0.11183599580903+5.47453918600197e-05i,0.000659074861657819-2.36538221412501e-05i,-0.0119188458655235+1.79852528567935e-05i,-0.00199474696939641-5.07497195335789e-05i
0.0661893223859693+8.51658066161821e-07i,0.0151090953164389-2.55356914880406e-06i,-0.0220610435307174-4.7144303710757e-06i,0.0208712506218776-5.53627883389889e-06i,-0.0394874931115857+2.6362726957673e-06i,-0.013085380530273+4.2869329700857e-06i,0.0252922647618886+6.29938520711835e-06i
-0.123626099358688+5.12583205658641e-06i,-0.060989220695779-4.37372835132886e-06i,0.0488386289218987-1.67341085854836e-05i,-0.0467185236990086+3.9030317173183e-06i,-0.0380435988423296-1.87517252121634e-06i,-0.0265009352983394-6.39023157958614e-06i,-0.0474290587959374+2.76033841929081e-05i
-0.140198100661175+6.82425790982691e-07i,0.033512222323964-9.3818052338757e-06i,-0.0735890054913835-8.35001014980327e-06i,0.0209721923374561+6.44268031363415e-05i,0.05683708026221-2.94509641135077e-05i,0.0195327240700154+6.85966259843213e-06i,-0.105074068168458-2.38144305717912e-05i
-0.20753356429862+4.64921820368811e-07i,-0.0495369469273823+3.12316258650793e-06i,-0.0404275376772011-8.88180584445575e-06i,-0.0778530806255829-3.10893414839524e-05i,-0.071776915813488+1.43366027612761e-05i,-0.0799495319995511-5.02041733586134e-06i,-0.0315888155334808+2.77202462073241e-05i
0.011562100395325-6.00816811920931e-07i,0.014289613435266+2.61823040156604e-06i,0.0230230890847864+2.75699081706376e-06i,-0.00783969291408459-1.25848245129573e-05i,0.00466873754661439+6.18394181006228e-06i,0.0531763382319496-5.20695767245824e-06i,0.0378298891297297+5.97471549050203e-06i
-0.0525852818643493-2.16492249868364e-06i,0.0399851140970902+6.23342513252607e-07i,-0.0427475619803471+5.37481751061432e-06i,-0.0274621000080107-2.93535805796974e-05i,-0.0185804400588594+1.27295592781519e-05i,-0.00934998035922303-2.67232195272445e-06i,0.0177494002811778+1.24442263514599e-05i
0.0655273462937147-3.76581831228939e-07i,-0.0439131488537832-7.43672841042752e-06i,0.0283625196575383+9.56601378658385e-06i,0.0244942554190224+1.05423528567895e-05i,0.0211433409798584-3.10717389711618e-06i,-0.0124519709657931+4.74521513566346e-06i,0.00356356006315401-1.44715953556735e-05i
-0.076702032565265+6.01632592637244e-06i,-0.00325139916178511-1.75577331938258e-05i,0.0520395501581862-1.21047728850464e-05i,0.00134884095047789+8.07537488631906e-05i,-0.057723215184799-3.39070658711526e-05i,-0.0085178543036098+7.89691073394786e-06i,-0.129777049320087-2.25522861215702e-05i
-0.050997251652134-1.83134050703261e-06i,-0.0179591530036898-1.10305252026691e-06i,-0.0341512951829206+7.19361532188119e-06i,0.0162218514435486+3.27095884893893e-05i,0.0305673916945426-1.48330271458658e-05i,-0.0055883662221857+6.48396588166207e-06i,-0.0455548450987853-3.11992305410744e-05i
0.0484517743740511+4.17886572914418e-06i,-0.054982047993436-5.61360291281563e-06i,-0.0205101077102337-1.49409243277562e-05i,0.0893833608265579+8.15422122917154e-05i,0.0725920230121559-3.83740842699031e-05i,0.0421810497705719+1.12393161888521e-05i,-0.0530356149135885-3.21402308017348e-05i
-0.0243419672381947+3.50422585123603e-06i,-0.0308343847112916-2.12817775144488e-06i,0.00448626531602802-1.50904290413324e-05i,0.0373749647156608+6.29288069097923e-05i,0.0375641513392086-2.98126072244848e-05i,0.0353668221184943+4.54098236601509e-06i,-0.0654482799862081-1.90095319193897e-05i
0.00177292397891661+2.36061556436836e-06i,-0.0234848374614989+2.11365644770913e-06i,-0.034532375941217-5.15473928044853e-06i,-0.00692398332690096-4.08489934131099e-05i,0.00157053328117119+1.34909207531073e-05i,-0.0116568526562381-6.39741705804783e-06i,0.0495424532483432+3.77696267539974e-05i
0.0749985637014558+5.8599168978257e-06i,-0.0144421283752518+2.90606316645502e-06i,0.0675841328889475-2.75574283276105e-05i,0.0197659618957439+1.41370579023273e-05i,0.0171422426818435-8.73217101993696e-06i,0.0224609157181294-4.5199080438495e-06i,-0.00415020533128321+2.62047366255413e-05i
-0.0267746821405211-2.71841942158743e-06i,0.0537817170961076+3.90276258019317e-07i,0.0194999019745888-1.48127172965419e-06i,-0.00733502415925104+2.96933842702709e-05i,-0.0131201405926526-6.84246271603659e-06i,0.0226956034173618+4.00913354176613e-06i,-0.0384196516186116-2.6901785613552e-05i
