-3.90751239389391-3.68922271749633e-07i,0.655825662949651-1.81311861601959e-05i,0.781124096307124+1.37727951294854e-05i,0.977814429566168-2.60249828448996e-05i,0.571395118168089+4.05584444620889e-05i,0.247609430735108+7.90444237198799e-05i,0.917299645003331-9.39685487811794e-05i
0.0515504918158399+1.46954584566554e-06i,0.0599809636432629-2.97437982217933e-06i,0.0240655566807858-2.4160256949498e-06i,0.0879690667397919+4.36846498390359e-05i,0.0696241478098376-1.90081591997283e-05i,-0.0737333658916767+1.8176744624248e-05i,-0.050405158621346-3.47447811938571e-05i
0.029043071699652+5.98764125238958e-07i,0.0224714914375538-3.78270319694594e-06i,0.00771334589215376-9.10411063756677e-07i,-0.00728407826553314-1.95500933984127e-05i,-0.0244865171194135+1.15413078042902e-05i,-0.0309700176780351+1.52858968710884e-06i,0.0191867826535137+1.18354992572642e-05i
0.0296492264762519+1.67818048222043e-06i,-0.011177845144225-1.09752363075583e-05i,0.017966203443057-6.12327848965389e-06i,0.0914890723956074+4.30093112519446e-05i,0.00469667067376456-1.18615455352021e-05i,0.00580006240186258+2.07248808993182e-05i,0.0170591011367038-3.02556343881064e-05i
-0.0189607965104488+2.78800433250931e-06i,-0.0857073317160441+1.13537200839825e-05i,-0.0687411093381479-4.28750911616062e-06i,-0.104487814366753-7.05228960475679e-05i,0.206786380635175+9.45728510151035e-06i,-0.187001374434324-2.9333572719548e-05i,-0.128048231475989+8.47224329267787e-05i
0.0180587467059782+7.7667999593976e-07i,0.0390024163715926+1.21334566832795e-05i,0.0120311195150167+2.90216209055042e-06i,-0.0917531207921368-0.000119456339099217i,0.0474670566893892+4.36848169107655e-05i,-0.0899574006341134-2.86796538026659e-05i,0.0561160796118854+8.67546508416587e-05i
0.054823487765338-5.82977502231975e-07i,0.0180502615341342+8.96376415870437e-06i,0.000737324581570152+5.18604375172992e-06i,-0.04953057760586-0.000137884092931037i,0.0940530560931191+5.27488570460142e-05i,-0.145119647188837-2.34286198931767e-05i,0.0963450346976608+9.08198800650909e-05i
0.221057871533943+1.53706753985973e-06i,-0.134587411838967-5.42113238167446e-06i,-0.0582656166433686+1.0919359314887e-06i,-0.00374740947170409-1.5055389111317e-05i,-0.100526472021571+1.32451984040712e-05i,-0.255432997545311+2.32674022320261e-05i,-0.0363328150483096-1.49058591340378e-05i
0.081920726561239-4.02689403870653e-06i,0.0257118776716797-1.58852568361016e-06i,-0.054015075444934+1.19035075370961e-05i,0.0772778001732439+5.67124429136699e-05i,-0.053662594143787-1.87243867357847e-05i,-0.0484592163377262+2.51348470889292e-05i,-0.0209093481473216-7.90744265461687e-05i
-0.0101060317603514+2.35839739460233e-06i,-0.0121727725799207-9.15482274548165e-06i,-0.0308605488114892-6.5612437425902e-06i,0.0607193878864042+8.76124803919811e-05i,-0.0161916674420341-3.52193398142061e-05i,0.0434406573008913+2.10509148172711e-05i,-0.0734616563957303-5.13501702825077e-05i
-0.163033532702069-1.81057214534565e-06i,0.0557112778978817+2.63890873546653e-07i,0.0719685498790536+8.98219226721902e-07i,0.0582612049845283+4.1113227229818e-05i,0.109062696717472-2.23850550849886e-05i,0.20345708281393-8.659802378153e-06i,0.0316975381469555-1.25288438040186e-05i
-0.126202152497762+1.9820962482487e-06i,0.0823093056952562-2.6323040997041e-06i,0.0249860247920568-4.52113938725424e-06i,-0.000818036192441359+1.19798310005552e-05i,0.106820325501863-1.26770605737513e-05i,0.14262743409793-1.47389972317408e-05i,-0.0133422655407719+2.55291142817261e-05i
-0.00748525263081149+6.76142316338217e-08i,0.0348570715910099-6.14140964307569e-06i,0.132256123509948+3.48747139250391e-08i,0.10079029786156+2.29537351508896e-05i,0.0685951404524932-6.51256462065631e-06i,0.0657723474870184+7.56647064459454e-06i,0.0675083373165765-1.62982250534858e-05i
-0.0395339812456986-4.52152694710868e-07i,-0.0136271385609165+5.4412832076734e-07i,-0.0368009649297925-4.62611392941019e-06i,-0.100347014651795+8.78114014677088e-06i,-0.0286113010577779-7.51279081012926e-06i,0.132817529109287-1.93540641863849e-05i,-0.0511732145909399+2.2455875408061e-05i
-0.0435622378724121+1.56068849811198e-06i,-0.0239117895307354+7.77433897548371e-06i,-0.0594253924978152-7.21140008899765e-06i,-0.116514084338386-3.64910916245972e-05i,-0.0270467761999088+8.2005613439983e-06i,0.0180895164524136-2.01647602754605e-05i,-0.0422047049590157+4.95103847747862e-05i
-0.0736986732837121-2.78126455335109e-07i,0.0514702366474761-1.33202763436598e-06i,-0.0061697630781112+2.77014682325384e-06i,0.0262341530870735-1.98883816643614e-05i,0.1401566908899+1.85785975736092e-06i,0.0330751684282602-1.02501004512076e-05i,0.0218285115205426+2.52477937658231e-05i
0.0326259762182585+1.3557858620491e-06i,0.0544717136743833-6.35865349329172e-06i,0.0124727240231506-4.46634349804626e-06i,0.0566885143804135+5.28994362336278e-05i,-0.0586507974972457-1.62633134530911e-05i,-0.00866895312319471+2.14589864868814e-05i,-0.0279297457762685-4.44281933505692e-05i
0.00159768725820703-4.72332102149458e-07i,-0.0392896958601116-3.38933460485024e-06i,-0.0150419865084928+3.74836442657777e-06i,0.0199090341273539-1.57051197283467e-05i,0.0221961315834516+7.978644298989e-06i,-0.0203196790131592+7.54864892980862e-07i,0.0358615896869951+5.70924380929086e-06i
0.0624607533935231-4.15341402261626e-07i,0.0296810922875323-5.11010147884851e-06i,0.059075153804426+1.60354109223397e-06i,0.147322897229973+9.10323954632639e-05i,-0.0572974403090451-2.99762460662054e-05i,-0.037478160860754+3.92321075282854e-05i,-0.00767808558179454-9.59386285506147e-05i
0.0703308543970935+4.72215890470177e-07i,0.012083320731453-1.03249916457633e-05i,-0.01401839830415-4.26800630035871e-07i,0.0620511906467724+3.86457854829121e-05i,-0.0670552618750752-7.86209125679377e-06i,0.0049715743033488+2.10015574334087e-05i,0.0175232375727017-3.8890911349648e-05i
0.0443828893310389+1.9745721937832e-06i,-0.0381969980721895-4.45565232035296e-06i,0.0344220952295111-8.64809322833134e-06i,-0.0203613517930661-4.71419013582604e-07i,-0.0274804484224271+2.69945768357422e-06i,-0.0173619523272157+1.35424629484416e-06i,-0.0149809029965148+1.42291768771853e-05i
