-3.93230921646742-2.15171846829977e-06i,0.53526559262188-2.58106020306966e-05i,0.686772200610424+1.51105912100831e-05i,0.961485273337702+3.17286574787439e-05i,0.430435024485271+1.26616095003948e-05i,0.183094665638536+9.43594431781844e-05i,0.8341283712016-0.000143892770384789i
0.0226167304269749+1.7415279167389e-06i,0.0559010474623711-2.46440548676605e-06i,0.0274765989020996-1.44146083918401e-06i,0.0832211400818+3.74450717779809e-05i,0.0668801025294865-1.55660849383769e-05i,-0.0638497184824402+1.72092037333745e-05i,-0.0371982942726129-3.06701329501956e-05i
0.0264498980961076+4.56708338133888e-07i,0.0209768663908749-3.35422803695318e-06i,0.00815850073367773-7.58610051741168e-07i,-0.00230777823868353-1.57717653761779e-05i,-0.0182364563048932+9.88808184256331e-06i,-0.0253976299058631+1.95319038573625e-06i,0.0190679867212074+9.18085129500189e-06i
0.00443359328679614+1.89828854713421e-06i,-0.00335384808044977-9.94353365148417e-06i,0.019746214167267-4.03739736563107e-06i,0.0858931979360411+3.95701526798964e-05i,0.00528808649005023-9.40898739950802e-06i,0.00760063856767732+2.08908942785319e-05i,0.019360376104774-3.02554828670639e-05i
0.0274651121558671+2.47852724194316e-06i,-0.0844642001621237+1.13879258273203e-05i,-0.0693695422506152-3.04784986682101e-06i,-0.105511397827671-7.5490041788949e-05i,0.184457943778485+1.40361071075883e-05i,-0.18737677060191-2.82457034183278e-05i,-0.111223552292226+8.46493154062901e-05i
0.0180521841370523+1.76471211522831e-07i,0.0359062543393297+1.06735884353009e-05i,0.0115769044153282+2.50256746637458e-06i,-0.0827580898293193-0.000105521106926938i,0.0506201332915554+3.7532195229697e-05i,-0.0771344258669407-2.76641915647318e-05i,0.0474658578579151+7.91790365968428e-05i
0.041693405476957-9.25108755493725e-07i,0.0205097780345416+7.55605820674082e-06i,0.00835539501567381+4.31693389700535e-06i,-0.0399624892361068-0.000120424045743172i,0.0975998888376271+4.50593671362198e-05i,-0.122226070235169-2.31185737373503e-05i,0.0860476957786795+8.20200974306064e-05i
0.264000583826244+1.52051684817522e-06i,-0.114441861844105-4.88595672692785e-06i,-0.0435487028565508+2.04165935074677e-06i,0.0135375155656781-1.85466872539311e-05i,-0.0860531259627203+1.56667664099703e-05i,-0.243430299113681+2.42784455105761e-05i,-0.0112585162178202-1.4904794870971e-05i
0.0791622348694471-3.42266598361044e-06i,0.0238402904967674-1.59439125534261e-06i,-0.0416934364880177+9.81778002820249e-06i,0.0776267707758952+4.90879403940695e-05i,-0.0458638017679823-1.7280338083854e-05i,-0.0450607967227202+2.16871949463145e-05i,-0.00897380408035885-7.1433805045947e-05i
-0.00501748853568001+2.51321665242623e-06i,-0.0151618693611512-8.06315558053564e-06i,-0.0283914309153347-4.7360978018648e-06i,0.0524948182388447+7.54127558379591e-05i,-0.0196754184479642-2.81849008228255e-05i,0.0329779883636135+2.11668819125485e-05i,-0.0615931178646337-4.63473678027598e-05i
-0.210229470794518-1.51108156296126e-06i,0.0504859530622735+7.91147834166576e-07i,0.0584622528654444+1.26588038086967e-08i,0.0404916618375559+3.98628686336775e-05i,0.094834430634189-2.24859251242909e-05i,0.193375078967045-1.00193613019252e-05i,0.0140161291612771-1.06251123582446e-05i
-0.14890098337962+1.84585020689912e-06i,0.07241058768901-1.59125470053087e-06i,0.0175573059411376-4.64683429354327e-06i,-0.0137588880726245+1.17765290660478e-05i,0.095334546733686-1.19002963951613e-05i,0.135498783400201-1.45755578670467e-05i,-0.0250457895020859+2.60740591093064e-05i
-0.0724311257456082+1.9989192465529e-07i,0.0427622210892821-4.77997562028096e-06i,0.119487537921284-2.81384289133622e-08i,0.094072054471546+2.53360739228966e-05i,0.0701036818269861-7.98706240210565e-06i,0.0762083512126922+6.74408070437191e-06i,0.0587868896792016-1.69098179499381e-05i
-0.00154059931400035-6.5076572660721e-07i,-0.0138144350909955+1.22251596616926e-06i,-0.0403031708421009-4.51723136967678e-06i,-0.100742160589117+4.16664568546387e-06i,-0.0272996275147053-5.89893484798886e-06i,0.120794773192654-1.95467590814042e-05i,-0.0509383345327631+2.44402320309894e-05i
0.00170373424416867+1.31213331975261e-06i,-0.030365976925225+6.46536770717242e-06i,-0.0598928332263032-5.65860015204937e-06i,-0.113733344469853-3.65566797525322e-05i,-0.0301627265010057+9.60287060324493e-06i,0.00666963009377901-1.83052771132544e-05i,-0.0412520344713203+4.73543969099404e-05i
-0.100710638180884-2.97224652421283e-07i,0.0472563308361401-6.57438438393037e-07i,-0.00591231519470464+1.9444822142061e-06i,0.0169928143760547-1.61679541394429e-05i,0.127746322858159-3.84541806568139e-08i,0.036322452249737-1.12880657083054e-05i,0.0110056783451773+2.41283677900019e-05i
0.0222499725176738+1.64153703208535e-06i,0.0469270103440068-6.29814618522084e-06i,0.0162741215183658-3.34973951051576e-06i,0.0561743248859117+4.86593507586252e-05i,-0.0539312391719262-1.37489440257699e-05i,-0.00730157068751092+2.16853119901425e-05i,-0.0198771213776908-4.20990117656822e-05i
-0.00402150880188117-4.26655406070723e-07i,-0.0322887579744089-3.241510407584e-06i,-0.0138264913667972+3.08430193116351e-06i,0.0190696568306759-1.33598942971212e-05i,0.0199545628242613+6.96082116658873e-06i,-0.0207970497426918+1.09426839273219e-06i,0.0312763974613659+4.23843079416493e-06i
0.0240251200005379+2.73585545839475e-07i,0.0269566982871679-5.38835371331061e-06i,0.0597912791343438+1.78787206147645e-06i,0.144626692968755+8.43381176975705e-05i,-0.0509760152342994-2.68281812655862e-05i,-0.0327902814152963+3.82619274293831e-05i,0.00260308484246622-9.08467404999531e-05i
0.0604987208237288+5.98225009222148e-07i,0.0155440134192105-9.68018082370554e-06i,-0.00703713466308887+2.96792761864145e-08i,0.0632031769779817+3.66840127127019e-05i,-0.0568967639151828-6.87229924242782e-06i,0.00975123939462305+2.05003302358935e-05i,0.0218752185460148-3.76321741651465e-05i
0.0549358038806478+1.74787018267004e-06i,-0.0309365291787134-4.06411105558487e-06i,0.0302140366912517-6.52468349233884e-06i,-0.0152448088315071-1.71293091171743e-06i,-0.0213498207486588+4.22728196695956e-06i,-0.0130314515012796+2.56171537733489e-06i,-0.0078193509309253+1.26124091818554e-05i
-0.0272748390649634+1.23287472985234e-06i,0.0387904008450397-2.12681272899951e-07i,-0.0385742116185997-4.96308119385648e-06i,-0.036342044471866+5.35709890275571e-06i,0.0829054403095081-1.01155487915302e-05i,0.00321345269498598-9.10351525516628e-06i,-0.0831208733017371+2.30886650924243e-05i
0.0832974414644949+6.09439902459264e-07i,-0.029325258996449-9.06680616570169e-07i,-0.00474500004694913-2.91242991479343e-06i,-0.0127254493263933-2.06635009161794e-05i,-0.0545214380274706+1.34942898942525e-05i,-0.0919897199234622+6.87692857364706e-06i,0.00635664794425296+6.89354350230814e-06i
-0.0630872994223577-5.13710832508181e-07i,0.00357253706443178+3.6874854683547e-06i,0.00622281682868248-1.34675061389405e-06i,-0.0352722889509926-7.9870810519585e-06i,-0.007547890086095+1.06225095696531e-06i,0.0727959615189524-1.12967752480711e-05i,0.00919368149944823+1.4142456528221e-05i
