-3.18092174541966-1.82974867997872e-05i,-0.438379172528781+1.72676137744064e-05i,-0.219882293099787-2.39855593163743e-05i,0.277571763716841-0.000186827116481694i,-0.23795480813463+3.80330793864269e-05i,0.0232783568985402-7.28054065937006e-05i,0.347452552165084+0.000131731878155983i
0.00393093417334617-1.60344443908413e-05i,-0.0907907786386356-6.45720028007821e-06i,-0.0332485669118925+9.23092084500587e-06i,-0.092739240564576-4.1400423829996e-05i,0.00189819894976425+2.41531358329268e-05i,0.0986094337437148-2.32316539825798e-05i,0.070368973508871+6.21381011901305e-05i
-0.00743649508026853+3.19385784957917e-06i,-0.0156026392384188+3.22210720640054e-06i,-0.0158969818782616-7.0700460866182e-07i,0.0245645968457172+2.1801922399692e-05i,0.052489390574923-5.83070734298214e-06i,0.0394550903573807+6.19820412061737e-07i,-0.0110447985892125-1.88520039085663e-05i
-0.0258818879635278-1.78049368373751e-05i,0.063280336402921+9.97944126710398e-07i,-0.0336455679414711+1.89945015573305e-05i,-0.0875468642330932-1.26290786324189e-05i,-0.0150156680068297+2.01937949028861e-05i,0.036082932576778-1.6295045866759e-05i,-0.00583525376623385+1.28419177467145e-05i
0.0652711586388109-2.00798473714587e-05i,0.0761032607177401-9.8277232176219e-06i,0.0914301581172431+1.46403419902765e-05i,0.0813342355957825-3.15935918213781e-05i,-0.070897440490992+3.61370594979904e-05i,-0.0954290321351516+2.56886549111706e-05i,0.193521259492-1.28076104060906e-05i
-0.00687395714615351+7.67188157303578e-06i,-0.0262300478866015-1.17390751360502e-05i,0.0160318893866473-2.55889033213177e-06i,0.0270100753584735+2.98456706997749e-05i,0.0376734683850629-7.79121114573477e-06i,0.0286646220090306+1.04757448481166e-05i,-0.0105696270825298-2.1087523581703e-05i
-0.0330089919859372+1.35552992731453e-05i,-0.00609314311048741-1.56241153636509e-05i,0.0416843798144712-6.85265241348046e-06i,0.00512322580673064+3.96923919934253e-05i,0.0546955636476987-1.33662769297401e-05i,0.0976082401304743+1.10352580542611e-06i,-0.0407185559989903-1.47081212905393e-05i
0.0425072716781352-1.73817175925492e-06i,0.205689684656324-7.26020622762734e-06i,0.173823403416181+7.54816631697487e-06i,0.171357728569534+2.72660656553801e-05i,0.10750226697363+2.81177769618804e-06i,0.0920038873859374+2.12503277730684e-05i,0.171863953157319-4.98795445273973e-05i
0.0117711138266167+4.0701330302532e-06i,-0.0479288267579627+6.73987406170414e-06i,0.0242193038342743-5.08523700580911e-06i,0.00719988137360606-2.47320785287768e-05i,0.0632341306839243-8.38236589329562e-06i,0.0874649786943608-2.43095560796728e-05i,0.0562974299244358+4.71205313464987e-05i
0.0257559387639147-2.10742737891911e-05i,-0.0164301991926619-8.24402475131606e-07i,0.00157431333108983+1.62062351044351e-05i,-0.0268274437429308-2.40768423741715e-05i,-0.0298942450866423+3.40175566460244e-05i,-0.0327124358732507-6.03244518818619e-06i,0.0688636289097282+7.37516891934509e-06i
-0.050330096349932-4.90025315872608e-06i,-0.0795296474086278+1.31122755625868e-05i,-0.160797108943934-6.24340520063892e-06i,-0.189418932301669-4.44725929906074e-05i,-0.107940306006991+3.52431788461314e-06i,-0.0638232474643268-2.92546357101628e-05i,-0.145047138166819+6.48729294041635e-05i
-0.0106039364673222-4.24399301385676e-06i,-0.110382139528495+1.48362783277678e-06i,-0.0942007406310084-8.97035624829157e-06i,-0.1109878681778-9.67570678730103e-06i,-0.0774181845139605+9.26675888251351e-06i,-0.0708306579593063-1.98795961427612e-06i,-0.0975798946529027+2.04941136382245e-05i
-0.0633353381382514-6.9161858618793e-06i,-0.01137612262479+1.33855368220657e-05i,-0.173587871423242-2.09044714839172e-06i,-0.190036924856669-3.53876178554947e-05i,-0.00733703393081979+1.94162642554483e-06i,0.087676773799689-3.94205804152982e-05i,-0.111835959615026+6.74938588415283e-05i
0.0628343313592459+2.8680607123975e-06i,0.0326544881202505+7.85523342542221e-06i,-0.00128577496576567+3.41303206726597e-06i,0.0690814735543262+4.00290086415108e-05i,-0.0372365646113076-1.15378092151671e-05i,-0.134174447137087+2.77365553331054e-05i,-0.0393269343900612-6.69890584696516e-05i
0.0516171005382307-1.54309115981102e-06i,-0.00495141162076177-1.50782529607114e-05i,0.0788539926645329+9.66685583748e-06i,0.110083971441829+2.75123771745982e-05i,-0.0268670287365692+1.16999085948242e-05i,-0.116332282038538+3.50633183477009e-05i,0.0570332130872593-6.33432637124661e-05i
-0.0314454962330426-1.40064091470362e-06i,-0.0450337104987565+5.79275834911749e-06i,-0.0459273559667133-4.03075404057906e-06i,-0.100127843115908-1.09688247883483e-05i,-0.0639343081633737-1.77887094618249e-06i,-0.00525684302561154-1.36383988221401e-05i,-0.073928438806669+2.8589783140285e-05i
0.00142509567900696-5.77551302773413e-06i,-0.0903370544386216-7.7347481055422e-06i,0.0017109519477852+4.2546834240566e-06i,-0.0219204104714371-5.7541683018778e-06i,0.0301827994494768+1.33356195022542e-05i,0.0662250562446301-8.73050017617358e-06i,0.0341502761712757+1.64240063545063e-05i
-0.0283142295087624+1.83424333841398e-06i,0.0906265247032293-2.41399295536321e-06i,0.0124829693076088-9.20568759880996e-06i,-0.00388175429191224-3.75488387568418e-06i,-0.00199298046548878-9.34378574298537e-07i,-0.0189972457085494+4.29006369932997e-06i,-0.0196427176957666+3.81218570790636e-06i
-0.0300792711432685-8.22356130422161e-06i,-0.0968599964845553-7.3006212205843e-07i,-0.0386076241491782-9.81292438387375e-07i,-0.0815687921254283-5.14411382905852e-05i,0.0531204983552627+1.79602638396851e-05i,0.131934278820206-3.84514165733142e-05i,0.0524797204290379+8.05076373757317e-05i
-0.00562951944972929-1.41256754816239e-06i,0.0108439695854817-8.44826973646909e-07i,-0.00417642682831932+3.24634471333986e-06i,-0.0102522584996378+2.05527906740932e-05i,0.0536578367772495+4.66218287318782e-07i,0.0654078080982881-7.20663178835649e-06i,-0.0193955025387921-1.03136620475287e-05i
0.0214118618330432-6.11897929266423e-06i,0.0493056442742382-3.83578214454548e-07i,-0.0155404562741372+1.53723175358191e-05i,0.0189449613465224+2.03623504834909e-05i,0.0209131994224144+5.65073975364013e-06i,0.0271394214612178+5.03226426215337e-06i,0.0146707689358263-3.41886844300244e-05i
0.037698902872687-1.01096978923585e-05i,-0.0416519452126352-2.13832237051709e-06i,0.0448440321430522+1.05589250502068e-05i,-0.0103650234036567+4.8310895838955e-06i,-0.071823808015303+1.15318426111398e-05i,-0.0622190108131474+1.23412431303524e-05i,0.025533172262935-1.48752145970614e-05i
0.00694824472703693+4.7869287237924e-06i,0.048182981436665-8.3140462970741e-06i,0.0702921025676859+5.16421647082853e-06i,0.0938257921475898+2.5928098871693e-05i,0.0502055231674615-4.87457438270306e-06i,0.0330151595104061+1.66739273074058e-05i,0.050984037439283-3.88043236281193e-05i
-0.00452554252696842+3.77829706821916e-06i,-0.0261607249241596+3.61428199656603e-06i,-0.029114044005509-3.45626131816877e-06i,0.00194400310300938+5.81272494092029e-06i,-0.0213869469614262-5.40043620525546e-06i,-0.0631374713722199+5.14099024080877e-06i,-0.0460261797105532-1.15399439226001e-05i
-0.000221027053855642+3.99159723899003e-06i,-0.0427790012542362+4.22346075150054e-06i,0.0264738125839354-1.65322735948753e-06i,0.0296117506515788+1.83373891784212e-05i,0.0116861306242968-6.89494004654424e-06i,-0.006454847556312+2.53046001935442e-06i,-0.0060979264301831-1.77809137632451e-05i
-0.00121721681036538+2.75001710270115e-06i,0.0529806744627654+1.12876297143142e-05i,-0.0161307578273154-9.24443090547453e-06i,-0.0228634065266722+9.58904006329729e-07i,0.015733937483855-9.56998898738832e-06i,0.0358471144621854-9.44076785943652e-06i,-0.0277787826864692+1.10602782131925e-05i
0.0323539834965391-1.50554796705104e-05i,-0.00745471394758418+8.75803649913681e-06i,-0.0511253146395837+1.06746250454035e-05i,0.00508460496949496-8.88339472128315e-06i,0.0492831522205071+1.95205373481473e-05i,0.0424020738463571-5.53923938188315e-06i,0.0678334403866468-2.61967222026181e-06i
0.0219955924222226-3.01021327887644e-06i,-0.00938370584362812+5.29440678023402e-06i,0.0263719031972028-1.40615337501539e-06i,-0.0273371821814088-2.4549073351808e-05i,-0.0345158174501773+2.64765635474606e-06i,0.0086402572807368-9.0867736997194e-06i,0.0340746028992292+2.88384430249709e-05i
0.019633498982877-1.76823211293635e-05i,0.0492614114923724+2.11228375806409e-06i,0.00954708100262433+1.87287163359658e-05i,-0.0937091272169331-2.64496247715473e-05i,-0.076992010098254+1.8955986232839e-05i,-0.000487212871185211-1.47091783704996e-05i,0.0153002676610339+2.39628565093945e-05i
0.0142997965598688-1.12668489640862e-05i,0.0235821332312408-6.33041110188893e-06i,-0.0123567427452302+1.53077038715632e-05i,-0.0163336204043028-1.22139636217561e-05i,-0.0527548540913344+1.73851337880826e-05i,-0.0448991346648364+3.88203007442993e-06i,0.025966771972951-4.5934814344045e-06i
-0.0147629521362688-2.31684369212225e-06i,0.0251830842347054-2.6481948620493e-07i,0.0490905518440602+6.2369237220896e-06i,0.00292603892813984+1.21012792483126e-05i,-0.0158028575613544+5.00691109164769e-06i,0.00071361559749078+9.94217268516991e-07i,0.00087699537363814-1.91097663437196e-05i
-0.00904395245383312-1.22018655663601e-05i,0.0027600127503618-3.7439908402281e-06i,-0.0377548920378816+2.76085943059869e-05i,-0.0150505287378082+1.06698681405821e-06i,-0.0297487298314897+1.5103263717042e-05i,-0.016724787752379-1.26950549742407e-06i,0.0146794122965029-1.97403101077647e-05i
0.0104733408258936+2.07253388099256e-06i,-0.0520525018036997+4.10021491781503e-07i,-0.0113400315934814+3.4019332072153e-06i,0.00744815312251132-9.53891453193125e-06i,-0.0213903634777235-5.53101471955093e-06i,-0.029199842669939+4.08480404181439e-06i,0.00521849310234654+5.57140139529292e-06i
-0.00982937877537067-4.99323846466323e-06i,-0.0415436983641339-7.70420646965992e-06i,-0.0279877980553887+5.4915654066928e-06i,0.00246335931246353+1.69871869219948e-06i,0.0157574505110807+1.5184970308514e-05i,-0.00903263145903798+4.34947685533282e-06i,0.00949354624227913-1.0201635125175e-05i
0.0332956409253364-6.42103621631501e-06i,0.0179155838096246+1.52864709047438e-06i,-0.0111753166400052+6.04706588028086e-06i,0.0156953740192248+5.3673691411861e-07i,0.022026110542987+8.18445394013394e-06i,0.00351131017097978+4.11222747941294e-06i,0.0372607678103425-1.1947613928912e-05i
0.00449859462401453-3.14625284242558e-06i,-0.0156976015164771-4.38571962035015e-06i,0.00967363270433274+2.47474146029225e-06i,6.05163407921141e-05+1.5207793523913e-05i,0.0280964346741272+7.75976090209667e-06i,0.0283325823261611+4.85159376451993e-06i,0.0095262937752312-1.48882282163768e-05i
-0.00408584005389022+1.4157308803841e-05i,-0.122095834425268-2.79842075344206e-06i,-0.0150409217304398-1.91970752566146e-05i,0.006569862937122+1.31261510168944e-05i,0.0497335288604958-1.36684146720739e-05i,0.0437568664239988-2.20302605971604e-06i,-0.0322535930534638+1.12982281190856e-05i
-0.0159834131440414+1.18079322469409e-05i,0.0703277874816063+8.16051468659302e-06i,0.0197831836824523-1.55414086172388e-05i,0.0368048326116919+9.49881013638816e-06i,0.0375600404678557-2.22565282193305e-05i,0.00390418007232882+2.85506727301063e-06i,-0.0316987565687658-3.55061685800879e-06i
-0.00450211620063431-2.06559324208304e-06i,-0.0426282147550729+1.56183930961731e-06i,0.013713838679347-7.94676210582972e-06i,-0.0615238347576475-1.59281517858751e-05i,-0.0381574778567927+5.11328332922342e-06i,-0.00611373297162101-8.71732313437261e-06i,-0.0206556827248906+2.88601291318686e-05i
0.00210929702663641-1.78293351320964e-06i,0.00405585219567723+4.80255566997117e-06i,-0.04811170723205+2.21631862828962e-06i,-0.0308531113805821-2.41186592434258e-05i,-0.0412609560608628-2.60773592259132e-06i,-0.0304136107669381-4.5557637126879e-06i,-0.0104604801132579+2.24461323465816e-05i
-0.0140152549634281+8.70194640393508e-06i,0.0426110339643948-5.10170273734456e-06i,0.019374050118221+4.7970255044041e-06i,0.0577462569968371+5.2738026800652e-05i,0.0102059385332499-1.39811303824393e-05i,-0.041182834444942+1.83995134309445e-05i,-0.0570253202868883-6.31009150659896e-05i
-0.00818705916639594-5.51875683881738e-06i,-0.028813108593081+1.3462203567235e-06i,-0.0616643796398922+5.47082692740708e-06i,-0.00567016796937655-1.53920635761526e-05i,0.0276800223620014+8.74185200684051e-06i,0.0203795703655552-6.85406514739776e-06i,0.0241738858403341+1.24187017578176e-05i
0.0160793593196515-1.2399593399203e-05i,0.0920592657025752+4.04844221410426e-06i,0.0210391151992836+6.20533139112488e-06i,-0.0418370483598905-3.87145741916239e-05i,-0.0998974973570344+1.16316013272972e-05i,-0.0917189957973794+1.65164206503605e-06i,0.028018805688244+2.23825714648104e-05i
0.0159827961643463+1.11715105246679e-05i,0.0910395505599186+3.79881958329936e-06i,0.068633232965034-3.17369385986176e-06i,0.0457476814453903+6.23837019876286e-06i,0.011509906954535-2.49945874714052e-05i,0.0308273527767175+5.048951468907e-06i,0.0129580503401247-3.96935696070194e-06i
0.00165713210563119-1.29764278193498e-06i,0.0294241839471757+5.97659206099386e-06i,0.0345318079092545-8.91353193369097e-07i,-0.0108616003003484-8.78101411507752e-06i,-0.0213682804763872+1.72416477968127e-06i,0.00785601970493784-3.68952043590216e-06i,0.00407924178825277+4.41875327142856e-06i
0.0105427106720375-9.81706740755178e-06i,0.0519176044590842-1.04809219375339e-06i,0.0026215669413827+2.80008617733354e-06i,-0.0570325245412225-5.48089879249033e-06i,-0.0720013260552812+1.71829580493091e-05i,-0.0528291412599488+1.33219738251341e-06i,-0.0284604881631004-4.80927780460643e-06i
0.0234828117620721-4.61504648086085e-06i,-0.0809768208658368-2.3407680843472e-06i,0.014407288646808+5.55122650815027e-06i,-0.0157159553399877+5.60561400302048e-06i,-0.00469382615791685+1.10390874243489e-05i,0.0130721971507566-3.01367914122039e-06i,0.01198220079504-4.74538896077792e-06i
-0.00571930857254992-6.39643467555172e-06i,-0.0150048513368576-1.73097613435986e-06i,-0.0699092370727575+2.08970679677507e-06i,-0.0687489459806153-1.02274248539906e-06i,0.0194459842750811+9.34164862116138e-06i,0.0426862742613361-8.98425528978347e-06i,-0.0329315976738353+1.32060159995933e-05i
0.00798939176095835+2.41237893321235e-06i,0.00683789132231844+4.24698904558266e-06i,0.00133575598216929-5.88056145024627e-06i,-0.0136817799175303-2.50436232986545e-06i,0.0391995865321099-1.01298288678743e-05i,0.0890494969417498-1.03583889795675e-05i,0.0176046728153024+2.35699721375795e-05i
-0.0344718599003217-1.82690638946316e-06i,-0.0122403920127744-7.9318049295819e-06i,-0.0200605188772272+4.29760767348976e-06i,-0.0467216504309291-1.27450512546587e-05i,-0.0247011919652873+4.58427968116525e-06i,0.00210856077960558-4.60317446695046e-06i,-0.0178754621693201+1.97892407515149e-05i
0.00512056007225031+1.05426878797e-05i,0.000678997635839834+1.66657289226794e-06i,0.00375594813211625+1.6224466365579e-06i,0.0602097733607111+6.76108442010033e-06i,0.0154894230742691-1.97768326196946e-05i,0.00260519261933553+6.55084803885142e-06i,0.0108036880797746-1.09547151504508e-05i
0.00996389876345458+6.41360820194492e-06i,-0.00436622690014917-8.86756957231794e-07i,0.0400515657179582-6.18520938001557e-06i,0.0495091857387612+1.06298944885986e-05i,0.00271085680247643-8.03442225118817e-06i,-0.018778646892561+9.72319735348794e-06i,0.0141677582345009-1.33331257684691e-05i
-0.0260035688659837+6.67264206267257e-06i,0.0678518319736925+1.6018173381672e-05i,-0.0197754882520094-1.26701608221246e-05i,-0.0388266263404378-4.14045038605717e-05i,-0.0333132178764676-1.95112793385115e-05i,0.0133773013330392-1.40143990097176e-05i,-0.0125779015738746+5.19462714867309e-05i
-0.00687215425675112+9.75007412887497e-08i,-0.0360184424810429-7.87421145798994e-06i,0.0392974379760428+3.71413004760953e-06i,0.00245136976282548+2.32791147893205e-05i,0.00116465975965876+4.16786469704091e-06i,-0.00351388360809796+5.98492617308845e-06i,-0.0202761921056612-2.28084015430515e-05i
0.00253235139554264+4.28996493302444e-06i,-0.00157136414831869-3.22132176458002e-07i,0.0112371140468612+1.28909019374554e-06i,0.0520263292209023+1.49244376844501e-05i,0.0390146825652622-6.11019121850028e-06i,0.0120594444659567+2.18914911447975e-06i,0.0175494553186753-1.71718492515551e-05i
-0.00494225638179323-9.11876529327977e-06i,0.00595800093684504-4.42849977511069e-06i,-0.0891015414251689+2.15074850366938e-05i,-0.0372374803532322+1.46132987297467e-05i,0.0109396989744628+1.08433122376392e-05i,0.0347581786723299-4.29588618163901e-06i,-0.0252774659264653-1.96185582450959e-05i
-0.0129722466733385+1.44504138376972e-06i,0.00525044759587903+5.26080106869925e-07i,0.034216959421316-2.97004539353763e-06i,0.00859261098562454+1.01409195870399e-05i,-0.00783716568705366+3.00667355475533e-06i,-0.0228248955473688+2.46499048523547e-06i,-0.0176968473176436-1.43736621790255e-05i
-0.00107042790691074+7.34301851232051e-06i,0.0106939129321832+1.69670047445579e-06i,0.00152187438018036-1.17808039437367e-05i,0.0387018935674799+9.98999799273376e-06i,0.0369188086634636-7.82555428045768e-06i,-0.00286368530235004+8.10953653504931e-06i,-0.012418994201916-1.153095745259e-05i
0.0102563779581078+4.10529649440931e-06i,0.0401808143678568-1.88895194688328e-06i,-0.031606320476503-2.60911913073304e-06i,-0.0161782775755054+9.53718358172386e-06i,0.0438465831910644-7.45077189740287e-06i,0.0643684014661445-4.94345883277581e-06i,-0.023591693437558+1.82555082602368e-06i
-0.00305746509879116+1.27776088911361e-05i,-0.117397932507481+9.88566202628507e-06i,0.0115018859297069-1.23753154250343e-05i,-0.027085738633582-8.4607951646093e-06i,-0.00407910927861723-2.05972182944601e-05i,0.0281196112270574-1.77556719174159e-05i,-0.0386485676400412+3.33674889450711e-05i
-0.017758027367912+1.03092744159218e-05i,-0.0211884746654122-4.56619472812353e-06i,0.0180032772620861-8.22733110150926e-06i,-0.00172979568646641+5.08530093301876e-05i,0.0342439554641216-1.31457244128437e-05i,0.0376953337913423+5.22847846811221e-06i,-0.0838159664633798-3.37249671504533e-05i
-0.0135581821930853+1.77903864134695e-05i,0.010169717554761+4.70948559019375e-06i,0.00665435167660349-2.58537752396919e-05i,0.0376164711448123+1.41091992767369e-05i,0.0142551784960334-2.22982930226435e-05i,-0.0423344482468426+8.47221709153928e-06i,-0.0659215759993173-6.45286726053514e-06i
0.0123279027858111-1.92791429564483e-06i,0.0472810038830714-3.5735968280296e-06i,0.0198638230284011+8.32070761044355e-06i,0.0518676269197877+2.00588059432283e-05i,0.0149405680313037+4.67221961482393e-06i,-0.021824610493735+1.3784828550227e-05i,0.0212753402023682-4.02846960544704e-05i
